"tf_name","motif_id","gene","grn_weight"
"FOS::JUN","MA0099.3","CACNA1A",0.0893383723544625
"FOSL2::JUND","MA1144.1","CACNA1A",0.0848300187574934
"FOSL1::JUND","MA1142.1","CACNA1A",0.0835498188697974
"FOXG1","MA0613.1","IFI6",0.0834205785139371
"BACH1","MA1633.2","CACNA1A",0.0829511021898405
"CTCF","MA1929.1","APOC1",0.0815703882715998
"FOSL2::JUNB","MA1138.1","CACNA1A",0.0811741406328502
"JUNB","MA0490.2","CACNA1A",0.0811265625062668
"FOSB::JUNB","MA1135.1","CACNA1A",0.0800030678301
"FOXP1","MA0481.3","IFI6",0.0799300703529135
"NFIB","MA1643.1","CACNA1A",0.0786487052685846
"FOSL2","MA0478.1","CACNA1A",0.0778373253866251
"FOS::JUNB","MA1134.1","CACNA1A",0.0762888161357698
"FOSL2::JUN","MA1130.1","CACNA1A",0.0762484188673941
"BATF3","MA0835.2","CACNA1A",0.0759430413432116
"JUND","MA0491.2","CACNA1A",0.0757101004517015
"CTCF","MA0139.1","CRELD1",0.075211067494566
"SP2","MA0516.3","CRELD1",0.0750144660586726
"BNC2","MA1928.1","CACNA1A",0.0745270244162408
"BATF::JUN","MA0462.2","CACNA1A",0.0743040401030529
"ELK4","MA0076.2","CRELD1",0.0739963166843551
"ZNF610","MA1713.1","GRINA",0.0733110500615049
"CTCF","MA1929.1","CRELD1",0.0729218663745523
"ZBTB7A","MA0750.2","CRELD1",0.0719819320935215
"BATF","MA1634.1","CACNA1A",0.0718144958539391
"FOS","MA0476.1","CACNA1A",0.069988120330163
"CTCF","MA1929.1","GRINA",0.0698035086112383
"KLF10","MA1511.2","IFI6",0.0695817497762815
"HOXD9","MA0913.2","IFI6",0.0687279882844994
"ZNF135","MA1587.1","CRELD1",0.0683348556734814
"FOSL1::JUNB","MA1137.1","CACNA1A",0.0681880921876639
"ZNF354A","MA1978.1","IFI6",0.0670727007461286
"FOSL1","MA0477.2","CACNA1A",0.0661369711738551
"ZNF93","MA1721.1","CRELD1",0.0657115742532491
"ZNF257","MA1710.1","CRELD1",0.0641281586858771
"FOSL1::JUN","MA1128.1","CACNA1A",0.0597622356693706
"NFIC","MA1527.1","CACNA1A",0.0596360106755548
"FOS::JUND","MA1141.1","CACNA1A",0.0582777787953354
"ZBTB6","MA1581.1","CAMK1",0.0578652450826538
"KLF7","MA1959.1","CRELD1",0.0577625994560326
"ZNF707","MA1715.1","CRELD1",0.05728193292565
"KLF1","MA0493.2","CRELD1",0.0567873158875948
"ZBTB14","MA1650.1","GRINA",0.0561258116173928
"NFIC::TLX1","MA0119.1","CACNA1A",0.0560879640070065
"PAX6","MA0069.1","IFI6",0.055818347890542
"ZNF460","MA1596.1","CRELD1",0.0550990432402019
"NKX2-2","MA1645.1","IFI6",0.0549067828247503
"CTCF","MA1930.1","APOC1",0.0537610630632501
"KLF12","MA0742.2","CRELD1",0.0535044117282336
"ZNF76","MA1716.1","CRELD1",0.0533628616125127
"SP4","MA0685.2","CRELD1",0.0532366692925191
"ZNF582","MA1983.1","CRELD1",0.0531775278943548
"FOXC2","MA0846.1","IFI6",0.0519423417905712
"TFAP2C","MA0814.2","CACNA1A",0.0518304441555768
"LBX2","MA0699.1","IFI6",0.0517766638935821
"SOX4","MA0867.2","CRELD1",0.0517043749933943
"GBX1","MA0889.1","IFI6",0.05166898041729
"ETV4","MA0764.3","CRELD1",0.0515335518741414
"ZNF610","MA1713.1","CRELD1",0.0509166231482032
"ZNF320","MA1976.1","CACNA1A",0.0508490294567914
"KLF1","MA0493.2","IFI6",0.0506736142176212
"TBX18","MA1565.1","IFI6",0.0500151525026583
"ZNF667","MA1984.1","CRELD1",0.0499147046530047
"PATZ1","MA1961.1","CRELD1",0.0497338422514084
"FOXF2","MA0030.1","IFI6",0.0493887689350768
"FOXD3","MA0041.2","IFI6",0.0493495375711141
"CDX1","MA0878.3","IFI6",0.0493336513514832
"ZNF343","MA1711.1","CRELD1",0.0493103497399029
"HESX1","MA0894.1","IFI6",0.0492361481322871
"GLIS2","MA0736.1","CRELD1",0.0491843974590088
"HOXA10","MA0899.1","IFI6",0.0489123802612338
"CTCF","MA1930.1","GRINA",0.0477648613384911
"SRY","MA0084.1","IFI6",0.0475681021394408
"NR1D1","MA1531.1","CRELD1",0.0474557911829049
"NFIX","MA1528.1","CACNA1A",0.0472713282594246
"FEV","MA0156.3","CRELD1",0.047142055373042
"TFAP2A","MA0872.1","CRELD1",0.0467914264948961
"CDX4","MA1473.1","IFI6",0.0467492585230653
"SCRT1","MA0743.2","CRELD1",0.0467175838785419
"NR2F2","MA1111.1","CACNA1A",0.0459041323843416
"KLF15","MA1513.1","CRELD1",0.0457721404648421
"HOXD12","MA0873.1","CRELD1",0.0455845428485093
"FOXC1","MA0032.2","IFI6",0.0454200696592732
"ZNF281","MA1630.2","CRELD1",0.0453299249035656
"KLF5","MA0599.1","CRELD1",0.0450202697583964
"FOXO1::FLI1","MA1956.1","IFI6",0.0448311397541029
"TFAP2B","MA0813.1","CRELD1",0.0445650238393292
"FOXA1","MA0148.4","IFI6",0.0445415670149825
"ZBTB6","MA1581.1","CACNA1A",0.0437597392691526
"KLF4","MA0039.4","IFI6",0.0435583125115708
"HOXA9","MA0594.2","APOC1",0.043164762928398
"TBX2","MA0688.1","IFI6",0.0430473487795188
"SP8","MA0747.1","CRELD1",0.0425724663332902
"FOXP2","MA0593.1","IFI6",0.0421158508374829
"ZIC1","MA0696.1","CRELD1",0.0415744190569043
"ZIC4","MA0751.1","CRELD1",0.0414134893138752
"CDX2","MA0465.2","IFI6",0.0413190040689345
"ELK1","MA0028.2","CRELD1",0.0411084513913871
"ZNF768","MA1731.1","CACNA1A",0.0408141644082478
"HOXC11","MA0651.2","APOC1",0.0407604716730539
"KLF1","MA0493.2","CACNA1A",0.0404269075326489
"SNAI2","MA0745.2","IFI6",0.0402060763097993
"TBX1","MA0805.1","IFI6",0.0400202040059202
"ZNF549","MA1728.1","CAMK1",0.0399879415846482
"PRDM9","MA1723.1","CRELD1",0.0392911742012157
"MXI1","MA1108.2","CACNA1A",0.0390129284761419
