"tf_name","motif_id","gene","grn_weight"
"KLF4","MA0039.4","PLCG2",0.108967606836444
"SP2","MA0516.3","PLCG2",0.108404434182512
"KLF1","MA0493.2","PLCG2",0.107179789932928
"SP3","MA0746.2","PLCG2",0.106672602491737
"KLF7","MA1959.1","PLCG2",0.100016705787207
"KLF6","MA1517.1","HSP90AA1",0.0981345780156861
"KLF15","MA1513.1","PLCG2",0.0964898388333605
"KLF12","MA0742.2","PLCG2",0.0947314456344712
"ELK1","MA0028.2","LEPR",0.0931655982325053
"ETV5","MA0765.3","LEPR",0.0906012415741635
"SP4","MA0685.2","PLCG2",0.090549550745143
"KLF5","MA0599.1","PLCG2",0.0884413165529092
"SP8","MA0747.1","PLCG2",0.0878428822328286
"ZNF281","MA1630.2","PLCG2",0.0864759407131866
"SP9","MA1564.1","PLCG2",0.0861476858462068
"SP1","MA0079.5","PLCG2",0.085409785356444
"KLF2","MA1515.1","HSP90AA1",0.0852723383955065
"SP3","MA0746.2","HSP90AA1",0.0848116005456118
"ZNF449","MA1656.1","PLCG2",0.0847368338786085
"EGR4","MA0733.1","PLCG2",0.0843749370485614
"KLF11","MA1512.1","HSP90AA1",0.0824396735582658
"KLF2","MA1515.1","PLCG2",0.082008704976479
"KLF10","MA1511.2","PLCG2",0.0816958859609776
"SP2","MA0516.3","HSP90AA1",0.0814538580368537
"CTCF","MA1929.1","MOK",0.0807745518197759
"NKX2-2","MA1645.1","WNK2",0.0786024185806878
"ETS2","MA1484.1","LEPR",0.0779376125108213
"KLF11","MA1512.1","PLCG2",0.0777862079976571
"ERF","MA0760.1","LEPR",0.077208198959556
"SP9","MA1564.1","HSP90AA1",0.0767990141668494
"FEV","MA0156.3","LEPR",0.0761207463098722
"ZNF148","MA1653.1","PLCG2",0.0757338427456567
"KLF14","MA0740.2","PLCG2",0.0755720968705779
"KLF16","MA0741.1","PLCG2",0.0737530513345443
"EGR3","MA0732.1","PLCG2",0.0736462442196325
"KLF16","MA0741.1","HSP90AA1",0.0726197863847256
"PATZ1","MA1961.1","PLCG2",0.0712600849324376
"ETV4","MA0764.3","LEPR",0.0709753939283302
"JUN::JUNB","MA1133.1","HSP90AA1",0.0707839289161098
"ELK3","MA0759.2","LEPR",0.0704108750058312
"ETS1","MA0098.3","LEPR",0.0681462292954704
"EGR1","MA0162.4","PLCG2",0.0668445593657831
"ETV4","MA0764.3","THRA",0.0658272547986306
"KLF15","MA1513.1","HSP90AA1",0.0656870219262505
"KLF12","MA0742.2","HSP90AA1",0.0654522445064317
"ZNF354C","MA0130.1","MOK",0.0652896776012843
"ZBTB14","MA1650.1","MOK",0.0634057429024204
"ELK1","MA0028.2","THRA",0.062403246417604
"TEAD2","MA1121.1","ZNF407",0.0616047224659522
"ZNF16","MA1654.1","WNK2",0.0607024051080148
"YY2","MA0748.2","LEPR",0.0606003219587642
"ETV4","MA0764.3","HSP90AA1",0.0603906538825469
"KLF9","MA1107.2","PLCG2",0.0600762217377125
