"tf_name","motif_id","gene","grn_weight"
"FOSL1::JUND","MA1142.1","IL7R",0.091194371099822
"FOSL2::JUND","MA1144.1","IL7R",0.090912274395884
"BACH1","MA1633.2","IL7R",0.0867124950346644
"FOS::JUN","MA0099.3","IL7R",0.0835039103499498
"FOSL1::JUNB","MA1137.1","IL7R",0.0722331356466345
"FOSL1::JUN","MA1128.1","IL7R",0.0686030959391398
"FOS::JUND","MA1141.1","IL7R",0.0683913656518143
"JUN::JUNB","MA1132.1","IL7R",0.067331461318938
"TCF7L1","MA1421.1","IL7R",0.0666592824814397
"FOXP2","MA0593.1","IL7R",0.0662694825937376
"SPIB","MA0081.2","IKZF2",0.0657958171188091
"KLF4","MA0039.4","IL7R",0.0611551853475053
"TBX21","MA0690.2","CCL5",0.0610260536167049
"SPIB","MA0081.2","IL7R",0.0600056553338838
"BACH2","MA1101.2","IL7R",0.059008712479534
"TBX2","MA0688.1","CCL5",0.0576906961587167
"KLF5","MA0599.1","IL7R",0.0576019371655914
"ZNF135","MA1587.1","CCL5",0.054225127848158
"TBX20","MA0689.1","CCL5",0.0526778374945763
"TBX3","MA1566.2","CCL5",0.0525482614235916
"KLF1","MA0493.2","IL7R",0.0505051037067157
"TCF7L2","MA0523.1","IL7R",0.0488091250593798
"SNAI2","MA0745.2","CCL5",0.0486031706564969
"ARNT::HIF1A","MA0259.1","CCL5",0.0484292072271711
"TBX15","MA0803.1","CCL5",0.0482920176165626
"MGA","MA0801.1","CCL5",0.0482920176165626
"FOXG1","MA0613.1","IL7R",0.0471219763475118
"CTCF","MA1929.1","CCL5",0.0469511067866303
"ZNF257","MA1710.1","IL7R",0.0446135128402626
"ELF2","MA1483.2","CCL5",0.0443676148420747
"REL","MA0101.1","IL7R",0.042141337430594
"TBX1","MA0805.1","CCL5",0.0414950118802677
"ZNF549","MA1728.1","IKZF2",0.0407909771422635
"TBR1","MA0802.1","CCL5",0.0404403235554116
"ELK4","MA0076.2","CCL5",0.0403271071880763
"SOX10","MA0442.2","IL7R",0.038812002001546
"ELK1","MA0028.2","CCL5",0.0383372985609611
"IKZF1","MA1508.1","IKZF2",0.0382012681147018
"ISL2","MA0914.1","CCL5",0.0377369359590534
"FOXP1","MA0481.3","IKZF2",0.0367186902730575
"TBX5","MA0807.1","CCL5",0.0361994898392566
"TBX4","MA0806.1","CCL5",0.0361994898392566
"GLIS3","MA0737.1","CCL5",0.0359027627227782
"MYB","MA0100.3","IL7R",0.0351998952321183
"BHLHE40","MA0464.2","CCL5",0.0343556105877677
"HIF1A","MA1106.1","CCL5",0.033546454756423
"RELA","MA0107.1","IL7R",0.0335193712665331
"E2F2","MA0864.2","IKZF2",0.033046520183501
"FOXK1","MA0852.2","IKZF2",0.03296835184833
"ETV5","MA0765.3","CCL5",0.0325350454817361
"HNF4G","MA0484.2","IL7R",0.0325067373782098
"FOXA3","MA1683.1","IKZF2",0.0323856128184361
"ZBTB7A","MA0750.2","CCL5",0.0321706923697527
"PATZ1","MA1961.1","IKZF2",0.031423294410912
"ZNF410","MA0752.1","CCL5",0.0312449414948908
"EGR1","MA0162.4","IKZF2",0.0302467123859431
"ELK3","MA0759.2","CCL5",0.0298290573285591
"FOXC1","MA0032.2","IKZF2",0.0287599329819417
"FOXK2","MA1103.2","IKZF2",0.0286285670388369
"FEV","MA0156.3","CCL5",0.028369793007733
"SOX4","MA0867.2","IL7R",0.0277948470013482
"TFAP2C","MA0524.2","IKZF2",0.0275951938096903
"PAX3","MA0780.1","IKZF2",0.0273734747711104
"DPRX","MA1480.1","IKZF2",0.027355713934057
"FOXO6","MA0849.1","IKZF2",0.0269539243313829
"PRDM9","MA1723.1","IKZF2",0.0261078040203328
"TFAP2A","MA0810.1","IKZF2",0.0259665525880773
"SOX15","MA1152.1","IKZF2",0.0259415153150683
"MEIS2","MA1640.1","IKZF2",0.0254904497156391
"ISL2","MA0914.1","IL7R",0.0252901995498898
"HES1","MA1099.2","IKZF2",0.0252885888532685
"ETV4","MA0764.3","CCL5",0.0250503703592683
"ZNF354A","MA1978.1","IKZF2",0.0241905331338299
"EHF","MA0598.3","IKZF2",0.0236131797220967
"ZNF460","MA1596.1","IKZF2",0.0235103527364121
"NR3C1","MA0113.3","IL7R",0.0234294673405143
"ZNF143","MA0088.2","IL7R",0.023078364966256
"FOXC2","MA0846.1","IKZF2",0.0230457003261053
"SCRT1","MA0743.2","CCL5",0.0228650362057384
"FOXA2","MA0047.3","IKZF2",0.0226962937193297
"E2F4","MA0470.2","IKZF2",0.0220558526211484
"ZFP42","MA1651.1","IKZF2",0.022001503082956
"ZKSCAN5","MA1652.1","IKZF2",0.0216427295851143
"HNF4A","MA0114.4","IL7R",0.0212483769032941
"USF1","MA0093.3","CCL5",0.0206231194645726
