"tf_name","motif_id","gene","grn_weight"
"ELK3","MA0759.2","CCL5",0.150047220659234
"ETV4","MA0764.3","CCL5",0.131889515131234
"ETV5","MA0765.3","CCL5",0.131767038410744
"ETS2","MA1484.1","CCL5",0.129792267685663
"ELK1","MA0028.2","CCL5",0.126735345436851
"FEV","MA0156.3","CCL5",0.119975714962645
"ELK4","MA0076.2","CCL5",0.119100226906081
"FLI1","MA0475.2","CCL5",0.112673998433824
"ETS1","MA0098.3","CCL5",0.109993601813446
"TBX20","MA0689.1","CCL5",0.10991864890783
"TBX21","MA0690.2","CCL5",0.0991239118905178
"TBR1","MA0802.1","CCL5",0.0935328744022664
"ELF2","MA1483.2","CCL5",0.0800011330813496
"TBX2","MA0688.1","CCL5",0.0760198821144303
"TBX3","MA1566.2","CCL5",0.0748726170814008
"ZBTB7A","MA0750.2","CCL5",0.0742101609372855
"TBX18","MA1565.1","CCL5",0.0735589546342308
"ERF","MA0760.1","CCL5",0.072686581208657
"TBX4","MA0806.1","CCL5",0.0671341800340661
"TBX5","MA0807.1","CCL5",0.0671341800340661
"CTCF","MA1929.1","CCL5",0.0662540212448235
"ZNF135","MA1587.1","CCL5",0.0579059748203535
"PPARA::RXRA","MA1148.1","CSNK2B",0.0559024116068392
"RFX1","MA0509.3","CSNK2B",0.0544107710661
"ELK1::HOXA1","MA1931.1","CSNK2B",0.0511539069021472
"ZNF740","MA0753.2","FAAP20",0.0476506096091803
"ZNF76","MA1716.1","CCL5",0.0467420705476427
"TBX1","MA0805.1","CCL5",0.0456695955002404
"VEZF1","MA1578.1","ATAD3B",0.0453795223484869
"NFYA","MA0060.3","AKTIP",0.0451447791968061
"MGA","MA0801.1","CCL5",0.0432485359440854
"TBX15","MA0803.1","CCL5",0.0432485359440854
"ZBTB7B","MA0694.1","AKTIP",0.0403262577693378
"ETV2","MA0762.1","CCL5",0.0395759749298533
"HIC2","MA0738.1","PSD4",0.0365846628253024
"ZNF93","MA1721.1","ATAD3B",0.0352276139309403
"RFX3","MA0798.3","CSNK2B",0.035217132969788
"RFX2","MA0600.2","CSNK2B",0.0333798349300684
"CTCF","MA0139.1","FAAP20",0.0331622459000966
"CREB3L1","MA0839.1","AKTIP",0.032794375100924
"NFYB","MA0502.2","AKTIP",0.031959062003452
"NFYC","MA1644.1","AKTIP",0.0300274347615051
"NFATC4","MA1525.2","CCL5",0.0297599584401786
"ZNF417","MA1727.1","CSNK2B",0.0281779872228706
"BARX1","MA0875.1","CSNK2B",0.0276908887934461
"NR2C2","MA1536.1","AKTIP",0.0275132031281773
"ERF::SREBF2","MA1939.1","PSD4",0.0274714733629848
"ZNF669","MA1985.1","SNAI3",0.0266588276287508
"ZNF384","MA1125.1","ATAD3B",0.0257175955660417
"FOXO1::ELF1","MA1953.1","ABCB10",0.025569551472479
"RFX5","MA0510.2","CSNK2B",0.0255650762627635
"SP8","MA0747.1","ATAD3B",0.0248348953976739
"BHLHE40","MA0464.2","CCL5",0.0246326737808786
"POU2F2","MA0507.2","ABCB10",0.0238046862040977
"ERF","MA0760.1","ABCB10",0.0237288586932206
"ZNF667","MA1984.1","FAAP20",0.0230930489235825
"NFYA","MA0060.3","CSNK2B",0.0225322705584063
"TCF4","MA0830.2","AKTIP",0.0222551654070722
"ZNF530","MA1981.1","ABCB10",0.0222463418622915
"ZKSCAN3","MA1973.1","CSNK2B",0.0222343326146898
"JUN::JUNB","MA1132.1","AKTIP",0.0221819820497704
"ZNF384","MA1125.1","FAAP20",0.0220698186236928
"ZEB1","MA0103.3","AKTIP",0.0204416419455197
"NKX6-2","MA0675.1","ABCB10",0.0203573779611036
"SOX2","MA0143.4","CSNK2B",0.0197570354147986
"NFYC","MA1644.1","CSNK2B",0.0197326576664797
"FOXO1::ELK3","MA1955.1","ABCB10",0.0188376017371011
"ZNF701","MA1987.1","FAAP20",0.0187912387033285
"MEF2D","MA0773.1","CSNK2B",0.0185035710463318
"NKX6-1","MA0674.1","ABCB10",0.0179746155626539
"POU6F1","MA1549.1","ABCB10",0.0178403237488223
