"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0877.3","MA0877.3",1,412,100,1.03,97.0873786407767,0.0103000000000001,"BARHL1",1
"MA0635.1","MA0635.1",1,567,100,1.4175,70.5467372134039,0.014175,"BARHL2",1
"MA1602.1","MA1602.1",1,766,100,1.915,52.2193211488251,0.0191500000000001,"ZSCAN29",1
"MA0780.1","MA0780.1",1,1192,100,2.98,33.5570469798658,0.0297999999999999,"PAX3",1
"MA0671.1","MA0671.1",1,1468,100,3.67,27.2479564032698,0.0367,"NFIX",1
"MA1151.1","MA1151.1",1,2248,100,5.62,17.7935943060498,0.0561999999999999,"RORC",1
"MA1532.2","MA1532.2",1,2266,100,5.665,17.6522506619594,0.05665,"NR1D2",1
"MA1150.1","MA1150.1",1,2279,100,5.6975,17.5515577007459,0.0569749999999998,"RORB",1
"MA0596.1","MA0596.1",1,2306,100,5.765,17.3460537727667,0.0576500000000001,"SREBF2",1
"MA1592.1","MA1592.1",1,2368,100,5.92,16.8918918918919,0.0592000000000001,"ZNF274",1
"MA1531.1","MA1531.1",1,2416,100,6.04,16.5562913907285,0.0603999999999999,"NR1D1",1
"MA0042.2","MA0042.2",1,2461,100,6.1525,16.253555465258,0.0615249999999999,"FOXI1",1
"MA0033.2","MA0033.2",1,2461,100,6.1525,16.253555465258,0.0615249999999999,"FOXL1",1
"MA0848.1","MA0848.1",1,2461,100,6.1525,16.253555465258,0.0615249999999999,"FOXO4",1
"MA0850.1","MA0850.1",1,2461,100,6.1525,16.253555465258,0.0615249999999999,"FOXP3",1
"MA0808.1","MA0808.1",1,2490,100,6.225,16.0642570281125,0.0622499999999999,"TEAD3",1
"MA1649.1","MA1649.1",1,2557,100,6.3925,15.6433320297223,0.0639249999999998,"ZBTB12",1
"MA1541.1","MA1541.1",1,2560,100,6.4,15.625,0.0639999999999999,"NR6A1",1
"MA0071.1","MA0071.1",1,2630,100,6.575,15.2091254752852,0.0657500000000001,"RORA",1
"MA1963.1","MA1963.1",1,2693,100,6.7325,14.8533234311177,0.0673250000000002,"SATB1",1
"MA0031.1","MA0031.1",1,2731,100,6.8275,14.6466495789088,0.0682750000000001,"FOXD1",1
"MA1589.1","MA1589.1",1,2824,100,7.06,14.1643059490085,0.0706000000000001,"ZNF140",1
"MA0030.1","MA0030.1",1,2835,100,7.0875,14.1093474426808,0.070875,"FOXF2",1
"MA0258.2","MA0258.2",1,2842,100,7.105,14.0745953553835,0.0710500000000001,"ESR2",1
"MA1720.1","MA1720.1",1,2882,100,7.205,13.8792505204719,0.0720499999999999,"ZNF85",1
"MA1113.2","MA1113.2",1,2890,100,7.225,13.840830449827,0.0722500000000003,"PBX2",1
"MA0729.1","MA0729.1",1,2916,100,7.29,13.7174211248285,0.0729000000000001,"RARA",1
"MA0852.2","MA0852.2",1,3118,100,7.795,12.8287363694676,0.0779499999999999,"FOXK1",1
"MA0805.1","MA0805.1",1,3367,100,8.4175,11.8800118800119,0.0841750000000001,"TBX1",1
"MA1683.1","MA1683.1",1,3437,100,8.5925,11.6380564445738,0.085925,"FOXA3",1
"MA1967.1","MA1967.1",1,3527,100,8.8175,11.3410830734335,0.0881750000000001,"TFAP4::FLI1",1
"MA1103.2","MA1103.2",1,3564,100,8.91,11.2233445566779,0.0891,"FOXK2",1
"MA1636.1","MA1636.1",1,3772,100,9.43,10.6044538706257,0.0943000000000002,"CEBPG.1",1
"MA0867.2","MA0867.2",1,3774,100,9.435,10.5988341282459,0.09435,"SOX4",1
"MA0047.3","MA0047.3",1,3823,100,9.5575,10.4629871828407,0.0955749999999999,"FOXA2",1
"MA0698.1","MA0698.1",1,3849,100,9.6225,10.3923096908288,0.096225,"ZBTB18",1
"MA1966.1","MA1966.1",1,3873,100,9.6825,10.3279111799639,0.0968250000000002,"TFAP4::ETV1",1
"MA1962.1","MA1962.1",1,3877,100,9.6925,10.3172556100077,0.0969249999999999,"POU2F1::SOX2",1
"MA0138.2","MA0138.2",1,3919,100,9.7975,10.2066853789232,0.0979749999999998,"REST",1
"MA1579.1","MA1579.1",1,3962,100,9.905,10.0959111559818,0.0990499999999999,"ZBTB26",1
"MA0148.4","MA0148.4",1,3977,100,9.9425,10.0578325370883,0.0994250000000001,"FOXA1",1
"MA1581.1","MA1581.1",1,4040,100,10.1,9.9009900990099,0.101,"ZBTB6",1
"MA0849.1","MA0849.1",1,4047,100,10.1175,9.8838645910551,0.101175,"FOXO6",1
"MA0481.3","MA0481.3",1,4081,100,10.2025,9.8015192354815,0.102025,"FOXP1",1
"MA0660.1","MA0660.1",1,4106,100,10.265,9.74184120798831,0.10265,"MEF2B",1
"MA0613.1","MA0613.1",1,4312,100,10.78,9.27643784786642,0.1078,"FOXG1",1
"MA0442.2","MA0442.2",1,4515,100,11.2875,8.859357696567,0.112875,"SOX10",1
"MA1565.1","MA1565.1",1,4564,100,11.41,8.76424189307625,0.1141,"TBX18",1
"MA1729.1","MA1729.1",1,4846,100,12.115,8.25423029302518,0.12115,"ZNF680",1
"MA0773.1","MA0773.1",1,4874,100,12.185,8.20681165367255,0.12185,"MEF2D",1
"MA0597.2","MA0597.2",1,5012,100,12.53,7.98084596967279,0.1253,"THAP1",1
"MA0847.3","MA0847.3",1,5249,100,13.1225,7.62049914269385,0.131225,"FOXD2",1
"MA1731.1","MA1731.1",1,5330,100,13.325,7.5046904315197,0.13325,"ZNF768",1
"MA0593.1","MA0593.1",1,5437,100,13.5925,7.35699834467537,0.135925,"FOXP2",1
"MA0901.2","MA0901.2",1,5499,100,13.7475,7.27404982724132,0.137475,"HOXB13",1
"MA1587.1","MA1587.1",1,6002,100,15.005,6.66444518493835,0.15005,"ZNF135",1
"MA0846.1","MA0846.1",1,6027,100,15.0675,6.63680106188817,0.150675,"FOXC2",1
"MA0041.2","MA0041.2",1,6233,100,15.5825,6.41745547890262,0.155825,"FOXD3",1
"MA0497.1","MA0497.1",1,6276,100,15.69,6.37348629700446,0.1569,"MEF2C",1
"MA1487.2","MA1487.2",1,6504,100,16.26,6.15006150061501,0.1626,"FOXE1",1
"MA0052.4","MA0052.4",1,6775,100,16.9375,5.90405904059041,0.169375,"MEF2A",1
"MA1515.1","MA1515.1",1,6908,100,17.27,5.79038795599305,0.1727,"KLF2",1
"MA1976.1","MA1976.1",1,7145,100,17.8625,5.59832050384885,0.178625,"ZNF320",1
"MA0073.1","MA0073.1",1,7507,100,18.7675,5.32836019714933,0.187675,"RREB1",1
"MA1981.1","MA1981.1",1,8207,100,20.5175,4.87388814426709,0.205175,"ZNF530",1
"MA0493.2","MA0493.2",1,8336,100,20.84,4.79846449136276,0.2084,"KLF1",1
"MA1125.1","MA1125.1",1,8645,100,21.6125,4.62695199537305,0.216125,"ZNF384",1
"MA0039.4","MA0039.4",1,8789,100,21.9725,4.55114347479804,0.219725,"KLF4",1
"MA0149.1","MA0149.1",1,9505,100,23.7625,4.20831141504471,0.237625,"EWSR1-FLI1",1
"MA1596.1","MA1596.1",1,9584,100,23.96,4.17362270450751,0.2396,"ZNF460",1
"MA0081.2","MA0081.2",1,11789,100,29.4725,3.39299346848757,0.294725,"SPIB",1
"MA0130.1","MA0130.1",1,14839,100,37.0975,2.69559943392412,0.370975,"ZNF354C",1
"MA0051.1","MA0051.1",0,4397,0,10.9925,0,1,"IRF2",1
"MA0059.1","MA0059.1",0,1366,0,3.415,0,1,"MAX::MYC",1
"MA0066.1","MA0066.1",0,2127,0,5.3175,0,1,"PPARG",1
"MA0069.1","MA0069.1",0,1106,0,2.765,0,1,"PAX6",1
"MA0070.1","MA0070.1",0,2097,0,5.2425,0,1,"PBX1",1
"MA0072.1","MA0072.1",0,2572,0,6.43,0,1,"RORA.1",1
"MA0074.1","MA0074.1",0,1418,0,3.545,0,1,"RXRA::VDR",1
"MA0077.1","MA0077.1",0,1829,0,4.5725,0,1,"SOX9",1
"MA0084.1","MA0084.1",0,3574,0,8.935,0,1,"SRY",1
"MA0091.1","MA0091.1",0,2402,0,6.005,0,1,"TAL1::TCF3",1
"MA0101.1","MA0101.1",0,2511,0,6.2775,0,1,"REL",1
"MA0107.1","MA0107.1",0,2758,0,6.895,0,1,"RELA",1
"MA0115.1","MA0115.1",0,2555,0,6.3875,0,1,"NR1H2::RXRA",1
"MA0119.1","MA0119.1",0,2326,0,5.815,0,1,"NFIC::TLX1",1
"MA0139.1","MA0139.1",0,7356,0,18.39,0,1,"CTCF",1
"MA0155.1","MA0155.1",0,4026,0,10.065,0,1,"INSM1",1
"MA0159.1","MA0159.1",0,2869,0,7.1725,0,1,"RARA::RXRA",1
"MA0163.1","MA0163.1",0,3980,0,9.95,0,1,"PLAG1",1
"MA0259.1","MA0259.1",0,760,0,1.9,0,1,"ARNT::HIF1A",1
"MA0468.1","MA0468.1",0,2982,0,7.455,0,1,"DUX4",1
"MA0476.1","MA0476.1",0,4645,0,11.6125,0,1,"FOS",1
"MA0478.1","MA0478.1",0,4396,0,10.99,0,1,"FOSL2",1
"MA0479.1","MA0479.1",0,2670,0,6.675,0,1,"FOXH1",1
"MA0488.1","MA0488.1",0,3538,0,8.845,0,1,"JUN",1
"MA0492.1","MA0492.1",0,3321,0,8.3025,0,1,"JUND",1
"MA0501.1","MA0501.1",0,4051,0,10.1275,0,1,"MAF::NFE2",1
"MA0504.1","MA0504.1",0,4756,0,11.89,0,1,"NR2C2",1
"MA0517.1","MA0517.1",0,9586,0,23.965,0,1,"STAT1::STAT2",1
"MA0523.1","MA0523.1",0,3780,0,9.45,0,1,"TCF7L2",1
