"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1494.1","MA1494.1",2,2415,100,6.0375,16.5631469979296,0.00364372234305857,"HNF4A",0.854806955888183
"MA0760.1","MA0760.1",2,2855,100,7.1375,14.0105078809107,0.00509273356833921,"ERF",0.854806955888183
"MA0856.1","MA0856.1",2,2982,100,7.455,13.4138162307176,0.00555597764944124,"RXRG",0.854806955888183
"MA0855.1","MA0855.1",2,3054,100,7.635,13.0975769482646,0.00582755943898597,"RXRB",0.854806955888183
"MA1537.1","MA1537.1",2,3464,100,8.66,11.5473441108545,0.00749758243956099,"NR2F1.1",0.854806955888183
"MA1574.1","MA1574.1",2,3706,100,9.265,10.7933081489477,0.00858192079801995,"THRB",0.854806955888183
"MA1148.1","MA1148.1",2,3720,100,9.3,10.752688172043,0.00864689117227931,"PPARA::RXRA",0.854806955888183
"MA1953.1","MA1953.1",2,5724,100,14.31,6.98812019566737,0.0204745443636091,"FOXO1::ELF1",1
"MA1713.1","MA1713.1",2,7907,100,19.7675,5.05880865056279,0.0390714405360134,"ZNF610",1
"MA1930.1","MA1930.1",2,8108,100,20.27,4.93339911198816,0.0410832495812395,"CTCF.2",1
"MA1712.1","MA1712.1",2,8794,100,21.985,4.54855583352286,0.0483297344933623,"ZNF454",1
"MA0648.1","MA0648.1",1,1051,50,2.6275,19.0294957183635,0.0518602640066003,"GSC",1
"MA0473.3","MA0473.3",2,9195,100,22.9875,4.35019032082654,0.0528380897022425,"ELF1",1
"MA0062.3","MA0062.3",2,9433,100,23.5825,4.24043252411746,0.0556089252231306,"GABPA",1
"MA1496.1","MA1496.1",1,1134,50,2.835,17.636684303351,0.0558969661741542,"HOXA4",1
"MA0598.3","MA0598.3",2,9607,100,24.0175,4.16363068595816,0.0576794682367059,"EHF",1
"MA1562.1","MA1562.1",1,1171,50,2.9275,17.0794192997438,0.0576936848421211,"SOX14",1
"MA1652.1","MA1652.1",2,9873,100,24.6825,4.05145345892839,0.0609179329483237,"ZKSCAN5",1
"MA0727.1","MA0727.1",1,1281,50,3.2025,15.6128024980484,0.0630251743793594,"NR3C2",1
"MA0113.3","MA0113.3",1,1313,50,3.2825,15.2322924600152,0.064573313082827,"NR3C1",1
"MA1976.1","MA1976.1",2,10657,100,26.6425,3.75340152012762,0.0709773944348609,"ZNF320",1
"MA1507.1","MA1507.1",1,1450,50,3.625,13.7931034482759,0.071186810920273,"HOXD4",1
"MA0646.1","MA0646.1",1,1463,50,3.6575,13.6705399863295,0.0718131503287582,"GCM1",1
"MA1504.1","MA1504.1",1,1502,50,3.755,13.3155792276964,0.0736909010225255,"HOXC4",1
"MA1499.1","MA1499.1",1,1616,50,4.04,12.3762376237624,0.0791688092202306,"HOXB4",1
"MA0081.2","MA0081.2",2,11508,100,28.77,3.47584289190129,0.0827661666541663,"SPIB",1
"MA1583.1","MA1583.1",1,1695,50,4.2375,11.7994100294985,0.0829553738843473,"ZFP57",1
"MA0737.1","MA0737.1",1,1861,50,4.6525,10.7469102632993,0.0908865334133352,"GLIS3",1
"MA1520.1","MA1520.1",1,1900,50,4.75,10.5263157894737,0.0927448811220278,"MAF",1
"MA0778.1","MA0778.1",1,1995,50,4.9875,10.0250626566416,0.0972636690917271,"NFKB2",1
"MA0829.2","MA0829.2",1,2019,50,5.0475,9.90589400693412,0.0984034725868147,"SREBF1.1",1
"MA0673.1","MA0673.1",1,2069,50,5.1725,9.6665055582407,0.100775750643766,"NKX2-8",1
"MA1521.1","MA1521.1",1,2101,50,5.2525,9.51927653498334,0.102292368559214,"MAFA",1
"MA0066.1","MA0066.1",1,2482,50,6.205,8.058017727639,0.120251252531313,"PPARG",1
"MA0475.2","MA0475.2",1,2491,50,6.2275,8.02890405459655,0.120673284332108,"FLI1",1
"MA1533.1","MA1533.1",1,2503,50,6.2575,7.99041150619257,0.121235835895897,"NR1I2",1
"MA0093.3","MA0093.3",1,2517,50,6.2925,7.94596742153357,0.121891918547964,"USF1",1
"MA1101.2","MA1101.2",1,2563,50,6.4075,7.80335544284042,0.124045893647341,"BACH2",1
"MA1592.1","MA1592.1",1,2579,50,6.4475,7.75494377665762,0.124794482362059,"ZNF274",1
"MA0115.1","MA0115.1",1,2628,50,6.57,7.6103500761035,0.127085044626116,"NR1H2::RXRA",1
"MA1132.1","MA1132.1",1,2676,50,6.69,7.47384155455904,0.129325950648766,"JUN::JUNB",1
"MA1154.1","MA1154.1",1,2732,50,6.83,7.32064421669107,0.131936700917523,"ZNF282",1
"MA0098.3","MA0098.3",1,2837,50,7.0925,7.04970038773352,0.136821291782295,"ETS1",1
"MA1964.1","MA1964.1",1,2972,50,7.43,6.72947510094213,0.143081229530738,"SMAD2",1
"MA0492.1","MA0492.1",1,3022,50,7.555,6.61813368630046,0.14539394359859,"JUND",1
"MA0655.1","MA0655.1",1,3066,50,7.665,6.52315720808872,0.147426546913673,"JDP2",1
"MA0101.1","MA0101.1",1,3070,50,7.675,6.51465798045603,0.147611209030226,"REL",1
"MA0488.1","MA0488.1",1,3198,50,7.995,6.25390869293308,0.153509836495912,"JUN",1
"MA1144.1","MA1144.1",1,3247,50,8.1175,6.15953187557746,0.155762484062102,"FOSL2::JUND",1
"MA1483.2","MA1483.2",1,3293,50,8.2325,6.07348921955664,0.157874483112078,"ELF2",1
"MA0099.3","MA0099.3",1,3298,50,8.245,6.06428138265616,0.158103888847221,"FOS::JUN",1
"MA0107.1","MA0107.1",1,3314,50,8.285,6.03500301750151,0.15883777719443,"RELA",1
"MA1550.1","MA1550.1",1,3358,50,8.395,5.95592614651578,0.160854320108003,"PPARD",1
"MA0641.1","MA0641.1",1,3365,50,8.4125,5.94353640416047,0.161174910622766,"ELF4",1
"MA0820.1","MA0820.1",1,3374,50,8.435,5.92768227623,0.16158700842521,"FIGLA",1
"MA1135.1","MA1135.1",1,3376,50,8.44,5.92417061611374,0.161678571964299,"FOSB::JUNB",1
"MA0811.1","MA0811.1",1,3410,50,8.525,5.86510263929619,0.163234387109678,"TFAP2B",1
"MA0524.2","MA0524.2",1,3415,50,8.5375,5.85651537335285,0.163463061576539,"TFAP2C",1
"MA1130.1","MA1130.1",1,3483,50,8.7075,5.74217628481194,0.166569931748294,"FOSL2::JUN",1
"MA1137.1","MA1137.1",1,3526,50,8.815,5.67214974475326,0.168531587039676,"FOSL1::JUNB",1
