"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1513.1","MA1513.1",393,9891,57.2052401746725,24.7275,2.31342594984016,1.1950726774626e-74,"KLF15",8.26990292804122e-72
"MA0516.3","MA0516.3",394,10061,57.3508005822416,25.1525,2.28012327133452,5.0902662776057e-73,"SP2",1.76123213205157e-70
"MA1959.1","MA1959.1",371,9294,54.0029112081514,23.235,2.32420534573494,4.22789813629896e-69,"KLF7",9.75235170106292e-67
"MA0742.2","MA0742.2",374,9519,54.4395924308588,23.7975,2.28761812925134,5.89862582220342e-68,"KLF12",1.02046226724119e-65
"MA0079.5","MA0079.5",389,10360,56.6229985443959,25.9,2.18621616001529,3.14781308032936e-66,"SP1",4.35657330317583e-64
"MA0740.2","MA0740.2",384,10199,55.8951965065502,25.4975,2.19218341039514,2.7704058143058e-65,"KLF14",3.19520137249935e-63
"MA1564.1","MA1564.1",370,9612,53.8573508005822,24.03,2.24125471496389,2.03272321095181e-64,"SP9",2.00949208854093e-62
"MA1511.2","MA1511.2",393,10723,57.2052401746725,26.8075,2.13392670613345,3.56633216261995e-64,"KLF10",3.08487732066625e-62
"MA1961.1","MA1961.1",415,11880,60.4075691411936,29.7,2.03392488690888,2.06848542703228e-63,"PATZ1",1.5904354616737e-61
"MA0685.2","MA0685.2",416,12136,60.5531295487627,30.34,1.99581837668961,3.87341534799208e-61,"SP4",2.68040342081052e-59
"MA0599.1","MA0599.1",406,11767,59.0975254730713,29.4175,2.00892412587988,1.28373160108103e-59,"KLF5",8.07583879952794e-58
"MA0746.2","MA0746.2",358,9508,52.1106259097525,23.77,2.19228548210991,7.08139652671815e-59,"SP3",4.08360533040747e-57
"MA0493.2","MA0493.2",397,11614,57.7874818049491,29.035,1.99026973669534,2.24257139595447e-56,"KLF1",1.19373800461576e-54
"MA1515.1","MA1515.1",346,9479,50.3639010189229,23.6975,2.12528330072467,1.01269059067247e-52,"KLF2",5.00558491960964e-51
"MA1653.1","MA1653.1",394,12112,57.3508005822416,30.28,1.89401587127614,1.00125589848171e-49,"ZNF148",4.61912721166229e-48
"MA0747.1","MA0747.1",329,9002,47.8893740902475,22.505,2.12794374984437,3.04153166936577e-49,"SP8",1.3154624470007e-47
"MA0039.4","MA0039.4",390,12018,56.7685589519651,30.045,1.88945112171626,1.19853880457158e-48,"KLF4",4.87875795743255e-47
"MA0741.1","MA0741.1",352,10161,51.2372634643377,25.4025,2.01701657176804,2.12535840216454e-48,"KLF16",8.17082230165478e-47
"MA0162.4","MA0162.4",305,8318,44.3959243085881,20.795,2.13493264287512,1.00997645042425e-44,"EGR1",3.67844054575568e-43
"MA1630.2","MA1630.2",382,12083,55.6040756914119,30.2075,1.84073742254115,3.67377763720852e-44,"ZNF281",1.27112706247415e-42
"MA1512.1","MA1512.1",297,8185,43.2314410480349,20.4625,2.11271550631814,2.98778773090818e-42,"KLF11",9.84547195137363e-41
"MA1713.1","MA1713.1",271,7504,39.4468704512373,18.76,2.10271164452224,3.7119818102721e-37,"ZNF610",1.11795153986503e-35
"MA1721.1","MA1721.1",299,8777,43.5225618631732,21.9425,1.98348236815191,3.71573488683464e-37,"ZNF93",1.11795153986503e-35
"MA1522.1","MA1522.1",328,10250,47.7438136826783,25.625,1.86317321688501,2.53918623238442e-36,"MAZ",7.32132030337507e-35
"MA1981.1","MA1981.1",348,11429,50.6550218340611,28.5725,1.77285928196907,9.64245385560306e-35,"ZNF530",2.66903122723093e-33
"MA1965.1","MA1965.1",344,11254,50.0727802037846,28.135,1.77973272449919,1.61551645490344e-34,"SP5",4.29975917997377e-33
"MA1517.1","MA1517.1",264,7532,38.4279475982533,18.83,2.04078319693326,1.03967399097728e-33,"KLF6",2.66464593243066e-32
"MA0471.2","MA0471.2",277,8228,40.3202328966521,20.57,1.96014744271522,1.03771748879684e-32,"E2F6",2.56464465088361e-31
"MA1107.2","MA1107.2",328,10739,47.7438136826783,26.8475,1.77833368778018,3.68452543021401e-32,"KLF9",8.79203999209688e-31
"MA0732.1","MA0732.1",209,5341,30.4221251819505,13.3525,2.27838421134248,7.07183210064873e-32,"EGR3",1.63123593788297e-30
"MA1976.1","MA1976.1",317,10365,46.1426491994178,25.9125,1.78071005111115,9.12405250105489e-31,"ZNF320",2.03672397765483e-29
"MA1516.1","MA1516.1",207,5407,30.1310043668122,13.5175,2.2290367573007,3.20018055711338e-30,"KLF3",6.92039045475769e-29
"MA1596.1","MA1596.1",351,12203,51.0917030567686,30.5075,1.67472598727423,7.08196104367358e-30,"ZNF460",1.48506577037034e-28
"MA1712.1","MA1712.1",268,8451,39.0101892285298,21.1275,1.84641766553212,4.34637554339827e-27,"ZNF454",8.84615257656354e-26
"MA0733.1","MA0733.1",196,5381,28.5298398835517,13.4525,2.12078348883491,1.12724588121717e-25,"EGR4",2.22872614229222e-24
"MA1723.1","MA1723.1",392,15114,57.0596797671033,37.785,1.51011458957532,4.66744101219415e-25,"PRDM9",8.97185883455097e-24
"MA1102.2","MA1102.2",244,7698,35.5167394468704,19.245,1.84550477770176,4.56084607339209e-24,"CTCFL",8.53001481834412e-23
"MA1650.1","MA1650.1",170,4546,24.745269286754,11.365,2.17732241854413,3.90177620462438e-23,"ZBTB14",7.10533982526334e-22
"MA1987.1","MA1987.1",280,9605,40.7569141193595,24.0125,1.69732073375782,1.04124165034044e-22,"ZNF701",1.84753646675791e-21
"MA0528.2","MA0528.2",283,9944,41.193595342067,24.86,1.65702314328507,2.11445799838207e-21,"ZNF263",3.65801233720099e-20
