"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1596.1","MA1596.1",18,10715,66.6666666666667,26.7875,2.48872297402395,1.70537985976994e-05,"ZNF460",0.011801228629608
"MA1965.1","MA1965.1",16,9587,59.2592592592593,23.9675,2.4724839578287,9.39830742006603e-05,"SP5",0.0220813446161795
"MA0079.5","MA0079.5",15,8528,55.5555555555556,21.32,2.60579528872212,0.00010348980168623,"SP1",0.0220813446161795
"MA1522.1","MA1522.1",15,8678,55.5555555555556,21.695,2.56075388594402,0.000127637830151326,"MAZ",0.0220813446161795
"MA1511.2","MA1511.2",15,8871,55.5555555555556,22.1775,2.50504139580907,0.00016602776879887,"KLF10",0.0229782432017637
"MA1513.1","MA1513.1",14,7980,51.8518518518518,19.95,2.59909031838856,0.000221077587757082,"KLF15",0.0254976151213168
"MA1548.1","MA1548.1",8,2673,29.6296296296296,6.6825,4.43391389893447,0.000276422511588938,"PLAGL2",0.0273263397170779
"MA0740.2","MA0740.2",14,8354,51.8518518518518,20.885,2.48273171423758,0.000365980014348663,"KLF14",0.0280441793763314
"MA0741.1","MA0741.1",14,8552,51.8518518518518,21.38,2.42525032047951,0.000472181430496624,"KLF16",0.0280441793763314
"MA0073.1","MA0073.1",14,8558,51.8518518518518,21.395,2.4235499813906,0.000475781724930253,"RREB1",0.0280441793763314
"MA0493.2","MA0493.2",15,9761,55.5555555555556,24.4025,2.2766337693087,0.000509141654309826,"KLF1",0.0280441793763314
"MA1959.1","MA1959.1",13,7583,48.1481481481481,18.9575,2.53979417898711,0.000555071490614012,"KLF7",0.0280441793763314
"MA0528.2","MA0528.2",14,8719,51.8518518518518,21.7975,2.37879811225378,0.000581791772203531,"ZNF263",0.0280441793763314
"MA0747.1","MA0747.1",13,7646,48.1481481481481,19.115,2.51886728475795,0.000603269643881408,"SP8",0.0280441793763314
"MA0107.1","MA0107.1",8,3024,29.6296296296296,7.56,3.91926317852244,0.000635704673502673,"RELA",0.0280441793763314
"MA1556.1","MA1556.1",6,1633,22.2222222222222,4.0825,5.44328774579846,0.000648420332400726,"RXRG.1",0.0280441793763314
"MA0003.4","MA0003.4",10,4852,37.037037037037,12.13,3.0533418826906,0.000809631475085812,"TFAP2A.2",0.0319204698796722
"MA0039.4","MA0039.4",15,10188,55.5555555555556,25.47,2.18121537320595,0.000830301239644653,"KLF4",0.0319204698796722
"MA0778.1","MA0778.1",6,1733,22.2222222222222,4.3325,5.12919151118805,0.000885178803263179,"NFKB2",0.0322391437820063
"MA0516.3","MA0516.3",13,8119,48.1481481481481,20.2975,2.37212209129933,0.00109563041600081,"SP2",0.0371497431555261
"MA1713.1","MA1713.1",11,6041,40.7407407407407,15.1025,2.69761567559945,0.0011424493340732,"ZNF610",0.0371497431555261
"MA1710.1","MA1710.1",13,8224,48.1481481481481,20.56,2.34183599942355,0.00124275103056376,"ZNF257",0.0371497431555261
"MA1134.1","MA1134.1",8,3388,29.6296296296296,8.47,3.49818531636713,0.00134330604114778,"FOS::JUNB",0.0371497431555261
"MA1107.2","MA1107.2",14,9438,51.8518518518518,23.595,2.19757795515371,0.00134669571847198,"KLF9",0.0371497431555261
"MA0099.3","MA0099.3",8,3408,29.6296296296296,8.52,3.47765605981568,0.00139561450402875,"FOS::JUN",0.0371497431555261
"MA1976.1","MA1976.1",13,8334,48.1481481481481,20.835,2.31092623701215,0.00141472935770069,"ZNF320",0.0371497431555261
"MA0841.1","MA0841.1",7,2629,25.9259259259259,6.5725,3.94460645506671,0.00144948419826475,"NFE2",0.0371497431555261
"MA1981.1","MA1981.1",14,9563,51.8518518518518,23.9075,2.16885294789718,0.00154401624925301,"ZNF530",0.0381592587315387
"MA1135.1","MA1135.1",8,3481,29.6296296296296,8.7025,3.4047261855363,0.00160067616300507,"FOSB::JUNB",0.0381954449930865
"MA1138.1","MA1138.1",8,3528,29.6296296296296,8.82,3.35936843873352,0.00174507193530001,"FOSL2::JUNB",0.0395028008360052
"MA0738.1","MA0738.1",7,2736,25.9259259259259,6.84,3.79034004764999,0.0018259893569462,"HIC2",0.0395028008360052
"MA1961.1","MA1961.1",14,9720,51.8518518518518,24.3,2.13382106386222,0.00182671911380371,"PATZ1",0.0395028008360052
"MA1137.1","MA1137.1",8,3611,29.6296296296296,9.0275,3.28215227135194,0.00202553164197025,"FOSL1::JUNB",0.0424747847346489
"MA0599.1","MA0599.1",14,9851,51.8518518518518,24.6275,2.10544520766833,0.00209556460135552,"KLF5",0.042650903062883
"MA0742.2","MA0742.2",12,7718,44.4444444444444,19.295,2.30341769600645,0.00251489052006919,"KLF12",0.0497229782825109
"MA1653.1","MA1653.1",14,10070,51.8518518518518,25.175,2.05965647872301,0.00262078961580571,"ZNF148",0.0503774003927097
"MA0685.2","MA0685.2",14,10108,51.8518518518518,25.27,2.05191340925413,0.00272250222031775,"SP4",0.0508689943031714
"MA1712.1","MA1712.1",11,6740,40.7407407407407,16.85,2.41784811517749,0.00284496715238007,"ZNF454",0.0508689943031714
"MA0829.2","MA0829.2",6,2181,22.2222222222222,5.4525,4.07560242498344,0.00286689418760648,"SREBF1.1",0.0508689943031714
