"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1517.1","MA1517.1",28,7825,75.6756756756757,19.5625,3.86840514636042,2.64945058188589e-13,"KLF6",1.83341980266504e-10
"MA0079.5","MA0079.5",31,10704,83.7837837837838,26.76,3.13093362420717,6.68910691824801e-13,"SP1",2.31443099371381e-10
"MA1515.1","MA1515.1",29,9839,78.3783783783784,24.5975,3.18643676708521,9.3180758733104e-12,"KLF2",2.1493695014436e-09
"MA1959.1","MA1959.1",28,9608,75.6756756756757,24.02,3.15052771339199,5.13826471784264e-11,"KLF7",5.88401434538217e-09
"MA0685.2","MA0685.2",31,12477,83.7837837837838,31.1925,2.68602336407097,5.44941526910653e-11,"SP4",5.88401434538217e-09
"MA0740.2","MA0740.2",29,10543,78.3783783783784,26.3575,2.9736651191645,5.7909480851879e-11,"KLF14",5.88401434538217e-09
"MA0741.1","MA0741.1",29,10554,78.3783783783784,26.385,2.97056579034976,5.95203763261202e-11,"KLF16",5.88401434538217e-09
"MA0732.1","MA0732.1",22,5534,59.4594594594595,13.835,4.29775637581926,1.37400922249105e-10,"EGR3",1.17139197714346e-08
"MA0733.1","MA0733.1",22,5563,59.4594594594595,13.9075,4.27535210925468,1.5234866754756e-10,"EGR4",1.17139197714346e-08
"MA0747.1","MA0747.1",27,9294,72.972972972973,23.235,3.14064871844084,2.08162715602325e-10,"SP8",1.44048599196809e-08
"MA1512.1","MA1512.1",26,8552,70.2702702702703,21.38,3.28672919879655,2.52948912983565e-10,"KLF11",1.59127861622388e-08
"MA1976.1","MA1976.1",28,10497,75.6756756756757,26.2425,2.8837067991112,4.76511980485445e-10,"ZNF320",2.74788575413273e-08
"MA1965.1","MA1965.1",29,11522,78.3783783783784,28.805,2.72099907579859,5.9002472397986e-10,"SP5",3.14074699226203e-08
"MA0742.2","MA0742.2",27,9836,72.972972972973,24.59,2.96758735148324,8.13816690886255e-10,"KLF12",4.02257964352349e-08
"MA1564.1","MA1564.1",27,9989,72.972972972973,24.9725,2.92213326551098,1.17710364183315e-09,"SP9",5.43037146765694e-08
