"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0864.2","MA0864.2",4,792,28.5714285714286,1.98,14.4300144300144,0.000130338423344681,"E2F2",0.0901941889545191
"MA1566.2","MA1566.2",5,2983,35.7142857142857,7.4575,4.78904267037019,0.00259833376341476,"TBX3",0.378764305675871
"MA1587.1","MA1587.1",7,6176,50,15.44,3.23834196891192,0.00261633341453198,"ZNF135",0.378764305675871
"MA0690.2","MA0690.2",5,3060,35.7142857142857,7.65,4.66853408029879,0.00290733387870481,"TBX21",0.378764305675871
"MA1565.1","MA1565.1",6,4581,42.8571428571429,11.4525,3.74216484236131,0.00298016259124898,"TBX18",0.378764305675871
"MA0688.1","MA0688.1",5,3253,35.7142857142857,8.1325,4.39155065653682,0.00380076864520228,"TBX2",0.378764305675871
"MA0802.1","MA0802.1",5,3259,35.7142857142857,8.1475,4.38346556787796,0.0038314308377617,"TBR1",0.378764305675871
"MA0689.1","MA0689.1",5,3665,35.7142857142857,9.1625,3.89787565776652,0.00636121104727076,"TBX20",0.506108581188698
"MA0861.1","MA0861.1",3,1152,21.4285714285714,2.88,7.44047619047619,0.00683754620180425,"TP73",0.506108581188698
"MA0613.1","MA0613.1",5,3839,35.7142857142857,9.5975,3.72120715960258,0.00774967614939062,"FOXG1",0.506108581188698
"MA0806.1","MA0806.1",4,2468,28.5714285714286,6.17,4.63070155128502,0.00877644938477511,"TBX4",0.506108581188698
"MA0807.1","MA0807.1",4,2468,28.5714285714286,6.17,4.63070155128502,0.00877644938477511,"TBX5",0.506108581188698
"MA0113.3","MA0113.3",3,1313,21.4285714285714,3.2825,6.52812534000653,0.00979388377699721,"NR3C1",0.521335967206313
"MA0468.1","MA0468.1",4,2610,28.5714285714286,6.525,4.37876299945265,0.0106622498512447,"DUX4",0.526136953558203
"MA0773.1","MA0773.1",5,4295,35.7142857142857,10.7375,3.32612672542824,0.0124036771085708,"MEF2D",0.526136953558203
"MA0025.2","MA0025.2",4,2786,28.5714285714286,6.965,4.10214336991078,0.0133504372625348,"NFIL3",0.526136953558203
"MA0755.1","MA0755.1",2,531,14.2857142857143,1.3275,10.7613666935701,0.0144021958730516,"CUX2",0.526136953558203
"MA0801.1","MA0801.1",4,2851,28.5714285714286,7.1275,4.00861852983915,0.0144459568173495,"MGA",0.526136953558203
"MA0803.1","MA0803.1",4,2851,28.5714285714286,7.1275,4.00861852983915,0.0144459568173495,"TBX15",0.526136953558203
"MA1523.1","MA1523.1",4,2946,28.5714285714286,7.365,3.87935214819125,0.0161503781593331,"MSANTD3",0.535313196370639
"MA0470.2","MA0470.2",2,566,14.2857142857143,1.415,10.0959111559818,0.0162515287700921,"E2F4",0.535313196370639
"MA0024.3","MA0024.3",2,580,14.2857142857143,1.45,9.85221674876847,0.0170186276302804,"E2F1",0.535313196370639
"MA0592.3","MA0592.3",4,3074,28.5714285714286,7.685,3.71781764104471,0.0186462062701737,"ESRRA",0.561007597346097
"MA0465.2","MA0465.2",4,3226,28.5714285714286,8.065,3.54264458418209,0.0219169541821503,"CDX2",0.568597404326838
"MA1149.1","MA1149.1",4,3227,28.5714285714286,8.0675,3.54154677055204,0.0219396001325455,"RARA::RXRG",0.568597404326838
"MA0511.2","MA0511.2",3,1775,21.4285714285714,4.4375,4.82897384305835,0.02199322814491,"RUNX2",0.568597404326838
"MA0805.1","MA0805.1",4,3278,28.5714285714286,8.195,3.48644643946657,0.0231143802650496,"TBX1",0.568597404326838
"MA0904.2","MA0904.2",2,693,14.2857142857143,1.7325,8.24572253143682,0.0237620962517079,"HOXB5",0.568597404326838
"MA0914.1","MA0914.1",3,1830,21.4285714285714,4.575,4.68384074941452,0.0238285039385525,"ISL2",0.568597404326838
"MA0100.3","MA0100.3",3,1936,21.4285714285714,4.84,4.42739079102715,0.0276002104823746,"MYB",0.636644855126775
"MA0745.2","MA0745.2",4,3602,28.5714285714286,9.005,3.17284048544459,0.0315079627599585,"SNAI2",0.699810803750827
"MA0660.1","MA0660.1",4,3653,28.5714285714286,9.1325,3.12854405381096,0.0329790336113713,"MEF2B",0.699810803750827
"MA0867.2","MA0867.2",4,3719,28.5714285714286,9.2975,3.07302270195521,0.0349445181855788,"SOX4",0.699810803750827
"MA0525.2","MA0525.2",2,877,14.2857142857143,2.1925,6.51571917250366,0.0366991072858351,"TP63",0.699810803750827
"MA0497.1","MA0497.1",5,5664,35.7142857142857,14.16,2.52219531880549,0.037510674098763,"MEF2C",0.699810803750827
"MA0259.1","MA0259.1",2,889,14.2857142857143,2.2225,6.42776795757673,0.0376210438664285,"ARNT::HIF1A",0.699810803750827
"MA0499.2","MA0499.2",4,3812,28.5714285714286,9.53,2.99805126667666,0.0378332393545522,"MYOD1",0.699810803750827
"MA0868.2","MA0868.2",3,2202,21.4285714285714,5.505,3.89256520046711,0.038428916968976,"SOX8",0.699810803750827
"MA1502.1","MA1502.1",2,931,14.2857142857143,2.3275,6.13779346324996,0.0409189697115195,"HOXB8",0.707898176009287
"MA0910.2","MA0910.2",2,931,14.2857142857143,2.3275,6.13779346324996,0.0409189697115195,"HOXD8",0.707898176009287
"MA1596.1","MA1596.1",7,10213,50,25.5325,1.95828845588955,0.042576328453218,"ZNF460",0.708053872970237
"MA1709.1","MA1709.1",5,5883,35.7142857142857,14.7075,2.42830431509677,0.043358296383998,"ZIM3",0.708053872970237
"MA1558.1","MA1558.1",4,4021,28.5714285714286,10.0525,2.84222119586457,0.044839671277403,"SNAI1",0.708053872970237
"MA1495.1","MA1495.1",2,988,14.2857142857143,2.47,5.78368999421631,0.0455669463944577,"HOXA1",0.708053872970237
"MA1108.2","MA1108.2",3,2397,21.4285714285714,5.9925,3.57589844448418,0.0475991434262272,"MXI1",0.708053872970237
"MA0043.3","MA0043.3",3,2403,21.4285714285714,6.0075,3.56696985910469,0.0478976473241726,"HLF",0.708053872970237
"MA0780.1","MA0780.1",2,1018,14.2857142857143,2.545,5.61324726354196,0.0480903642046259,"PAX3",0.708053872970237
"MA1106.1","MA1106.1",2,1058,14.2857142857143,2.645,5.40102619497705,0.0515350160775476,"HIF1A",0.742963148451311
"MA1984.1","MA1984.1",3,2519,21.4285714285714,6.2975,3.40271082629161,0.0538582781191752,"ZNF667",0.752082433687541
"MA1980.1","MA1980.1",4,4314,28.5714285714286,10.785,2.64918206503742,0.0558767529487217,"ZNF418",0.752082433687541
"MA1562.1","MA1562.1",2,1114,14.2857142857143,2.785,5.12952038984355,0.0565063973265659,"SOX14",0.752082433687541
"MA0625.2","MA0625.2",3,2596,21.4285714285714,6.49,3.30178296279991,0.0580121829317362,"NFATC3",0.752082433687541
"MA1113.2","MA1113.2",3,2605,21.4285714285714,6.5125,3.29037565122018,0.0585078773841288,"PBX2",0.752082433687541
"MA0158.2","MA0158.2",2,1138,14.2857142857143,2.845,5.02134069796636,0.0586885136114555,"HOXA5",0.752082433687541
"MA0138.2","MA0138.2",4,4424,28.5714285714286,11.06,2.58331180573495,0.0603891188902626,"REST",0.759804914037486
"MA0090.3","MA0090.3",3,2669,21.4285714285714,6.6725,3.21147567307178,0.062093722774455,"TEAD1",0.767301002855766
"MA1576.1","MA1576.1",3,2693,21.4285714285714,6.7325,3.1828550209538,0.0634657941191981,"THRB.2",0.770497009306755
"MA1712.1","MA1712.1",5,6549,35.7142857142857,16.3725,2.1813581135615,0.06462341900131,"ZNF454",0.771024240498388
"MA0809.2","MA0809.2",3,2743,21.4285714285714,6.8575,3.12483724806,0.0663718418185698,"TEAD4",0.77500527933603
"MA1649.1","MA1649.1",3,2757,21.4285714285714,6.8925,3.10896937665164,0.0671969895378061,"ZBTB12",0.77500527933603
"MA1654.1","MA1654.1",4,4711,28.5714285714286,11.7775,2.42593322618795,0.0731100815018217,"ZNF16",0.775848917853296
"MA0661.1","MA0661.1",2,1292,14.2857142857143,3.23,4.42282176028306,0.0733817026975071,"MEOX1",0.775848917853296
"MA1104.2","MA1104.2",3,2864,21.4285714285714,7.16,2.99281723862729,0.0736670986100549,"GATA6",0.775848917853296
"MA0727.1","MA0727.1",2,1297,14.2857142857143,3.2425,4.40577156074457,0.0738778241173122,"NR3C2",0.775848917853296
"MA1570.1","MA1570.1",2,1322,14.2857142857143,3.305,4.32245515452777,0.0763755154946369,"TFAP4.1",0.775848917853296
"MA0800.1","MA0800.1",3,2939,21.4285714285714,7.3475,2.91644388275896,0.0783723207126042,"EOMES",0.775848917853296
"MA1525.2","MA1525.2",3,2945,21.4285714285714,7.3625,2.91050206160563,0.0787547091725024,"NFATC4",0.775848917853296
"MA1951.1","MA1951.1",2,1351,14.2857142857143,3.3775,4.22967114306863,0.0793079176462834,"FOS.1",0.775848917853296
"MA1726.1","MA1726.1",4,4854,28.5714285714286,12.135,2.35446465359939,0.0799570017282226,"ZNF331",0.775848917853296
"MA0107.1","MA0107.1",3,2974,21.4285714285714,7.435,2.88212124123355,0.0806152809685222,"RELA",0.775848917853296
"MA0056.2","MA0056.2",3,2974,21.4285714285714,7.435,2.88212124123355,0.0806152809685222,"MZF1",0.775848917853296
"MA1981.1","MA1981.1",6,9244,42.8571428571429,23.11,1.85448476231687,0.0812785017274064,"ZNF530",0.775848917853296
"MA1483.2","MA1483.2",3,2993,21.4285714285714,7.4825,2.86382511574626,0.0818453338197841,"ELF2",0.775848917853296
