"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0493.2","MA0493.2",50,11201,64.9350649350649,28.0025,2.31890241710793,1.68416025551407e-11,"KLF1",1.16543889681574e-08
"MA1630.2","MA1630.2",50,11628,64.9350649350649,29.07,2.23374836377932,7.43324742269029e-11,"ZNF281",1.84763134052712e-08
"MA1961.1","MA1961.1",49,11206,63.6363636363636,28.015,2.27151039216004,8.00996245893261e-11,"PATZ1",1.84763134052712e-08
"MA1564.1","MA1564.1",44,9219,57.1428571428571,23.0475,2.47935164954364,1.21535406702328e-10,"SP9",2.10256253595028e-08
"MA1513.1","MA1513.1",44,9318,57.1428571428571,23.295,2.45300953607457,1.75691126459807e-10,"KLF15",2.43156519020373e-08
"MA1511.2","MA1511.2",46,10237,59.7402597402597,25.5925,2.33428776947386,2.45527804609652e-10,"KLF10",2.83175401316465e-08
"MA0685.2","MA0685.2",49,11615,63.6363636363636,29.0375,2.1915235001761,3.16287517873791e-10,"SP4",3.12672803383805e-08
"MA0516.3","MA0516.3",44,9568,57.1428571428571,23.92,2.38891543239369,4.35281521612142e-10,"SP2",3.76518516194503e-08
"MA0740.2","MA0740.2",44,9656,57.1428571428571,24.14,2.36714404071488,5.94438001561405e-10,"KLF14",4.16264896761752e-08
"MA0599.1","MA0599.1",48,11367,62.3376623376623,28.4175,2.19363639791193,6.0153886815282e-10,"KLF5",4.16264896761752e-08
"MA0747.1","MA0747.1",41,8683,53.2467532467532,21.7075,2.45291964743767,1.37786725712854e-09,"SP8",8.66803765393592e-08
"MA0039.4","MA0039.4",48,11655,62.3376623376623,29.1375,2.13943071085928,1.51053813936274e-09,"KLF4",8.7107699369918e-08
"MA1959.1","MA1959.1",41,8803,53.2467532467532,22.0075,2.41948214230391,2.1204098854536e-09,"KLF7",1.12871049287223e-07
"MA0742.2","MA0742.2",41,8969,53.2467532467532,22.4225,2.37470189527275,3.79840114730047e-09,"KLF12",1.87749542423709e-07
"MA0609.2","MA0609.2",17,1537,22.0779220779221,3.8425,5.74571817252364,4.38635078943796e-09,"CREM",1.98992776277914e-07
"MA0079.5","MA0079.5",43,9843,55.8441558441558,24.6075,2.26939574699404,4.60098904688818e-09,"SP1",1.98992776277914e-07
"MA0746.2","MA0746.2",41,9176,53.2467532467532,22.94,2.32113135338942,7.69494263652517e-09,"SP3",3.06711760718872e-07
"MA1517.1","MA1517.1",36,7247,46.7532467532467,18.1175,2.58055729285204,7.97805157939261e-09,"KLF6",3.06711760718872e-07
"MA0741.1","MA0741.1",42,9840,54.5454545454545,24.6,2.21729490022173,1.75108307262725e-08,"KLF16",6.26417929400026e-07
"MA1596.1","MA1596.1",46,11579,59.7402597402597,28.9475,2.06374504673149,1.81045644335268e-08,"ZNF460",6.26417929400026e-07
"MA1515.1","MA1515.1",40,9092,51.9480519480519,22.73,2.28544003291034,2.22768095542114e-08,"KLF2",7.34073914834014e-07
