tf,mean_cirrhosis,mean_hepatitis,mean_diff,statistic,pvalue,padj
ELK3,-1.2361755866013204,0.05029662249376665,-1.286472209095087,106821.0,4.634400887715441e-31,3.207005414299085e-28
ELK1,-1.1588765972581012,0.04602272057661065,-1.2048993178347118,108827.0,4.61596103641627e-30,1.5971225186000295e-27
ETV3,-1.1322890571238096,0.04166513984426893,-1.1739541969680785,109403.0,8.866711962580029e-30,2.0452548927017938e-27
ETV5,-1.1502279571174612,0.04205744824552167,-1.1922854053629828,111685.0,1.140683379092259e-28,1.639321660973931e-26
ETV4,-1.141819372814978,0.04530409786389048,-1.1871234706788685,111719.0,1.1844809689117998e-28,1.639321660973931e-26
FEV,-1.1333964969792945,0.038302666976473464,-1.171699163955768,118039.0,1.0724257047356271e-25,1.2368643127950901e-23
FLI1,-1.172859606021888,0.03299899617200601,-1.2058586021938942,119660.0,5.775683434134222e-25,5.709675623458402e-23
ETS1,-1.2450823208434962,0.03712683768962106,-1.2822091585331172,120643.0,1.5835762870427998e-24,1.3697934882920218e-22
ELF4,-1.190099716886536,0.04283364821990469,-1.2329333651064407,122115.0,7.046281220157187e-24,5.417807338165303e-22
ETS2,-1.0043292484890376,0.026644043844792978,-1.0309732923338306,123262.0,2.2223262871790413e-23,1.5378497907278966e-21
ELK4,-1.1860416017217361,0.04470475539623479,-1.2307463571179709,124064.0,4.923976473419099e-23,3.09762883600547e-21
ELF2,-1.176524109608021,0.04685380388389321,-1.2233779134919143,124974.0,1.2052272753507738e-22,6.950143954522796e-21
ERF,-1.2597175786052777,0.033319175148661354,-1.2930367537539391,125462.0,1.9413590717086865e-22,1.0334003674018547e-20
ETV6,-1.3964993835674695,0.05875208820683782,-1.4552514717743072,126419.0,4.91140854585261e-22,2.4276390812357186e-20
ELK1::SREBF2,-0.8780740949527511,0.03449920316182351,-0.9125732981145747,131916.0,8.549037328413396e-20,3.9439558875080465e-18
ELK1::HOXA1,-0.8897110586328898,0.033539444740643215,-0.923250503373533,132575.0,1.555983486656246e-19,6.729628579788264e-18
ETV2,-1.2076602961715577,0.03678648991190267,-1.2444467860834603,134000.0,5.599699649712067e-19,2.279407151529853e-17
ETV7,-1.0821958346144946,0.04336795642698595,-1.1255637910414806,136255.0,4.081474724995678e-18,1.569100283165005e-16
ZBTB7A,-0.9785891101372752,0.031631656992577216,-1.0102207671298524,137441.0,1.1374868667205283e-17,4.142846904055819e-16
TFEB,-0.7506193461343704,0.026009183505529023,-0.7766285296398995,138295.0,2.3594447165150204e-17,8.163678719141971e-16
FOXB1,0.6161277544916814,-0.036391909985440764,0.6525196644771222,305480.0,6.820273054932064e-16,2.2474423590538042e-14
TCF7,0.6175079619650259,-0.0329569816984665,0.6504649436634924,305067.0,9.526188903730134e-16,2.99641941880966e-14
TFEC,-0.6905634797252059,0.020968269059537442,-0.7115317487847433,143577.0,1.8389857942015614e-15,5.5329485634238287e-14
MAX,-0.6619900794464864,0.029239964544198065,-0.6912300439906844,147080.0,2.848764902992974e-14,8.213938803629741e-13
EHF,-1.4646634216134131,0.043672580180381504,-1.5083360017937946,147484.0,3.877942909103862e-14,1.073414597239949e-12
FOXJ2::ELF1,-1.4010200653189409,0.019147727591833787,-1.4201677929107746,148456.0,8.092161289425502e-14,2.1537598508778642e-12
ERF::FOXI1,-1.2161893904784529,0.026234099475247546,-1.2424234899537003,149051.0,1.263773290394643e-13,3.2390041368633074e-12
FOXA2,0.6212006300993338,-0.019170356447431855,0.6403709865467656,297672.0,2.8597738871543994e-13,7.0536582474746445e-12
TFE3,-0.6249299730440868,0.024751304741833322,-0.6496812777859201,150198.0,2.9560128493752124e-13,7.0536582474746445e-12
USF2,-0.5981020831481942,0.022250993065715482,-0.6203530762139097,150747.0,4.419719541883267e-13,1.0194819743277402e-11
ETV2::FOXI1,-1.251324165739547,0.01616656641152223,-1.2674907321510693,151636.0,8.425507801107924e-13,1.880790773666672e-11
ELF1,-1.2089412069868344,0.031259134055771874,-1.2402003410426063,153997.0,4.505244395284355e-12,9.742591004802419e-11
MITF,-0.6023273666051848,0.021305155659393078,-0.6236325222645779,154216.0,5.249004449870426e-12,1.0810526996591728e-10
HOXB2::ELK1,-0.7117604861363709,0.009565757358961506,-0.7213262434953324,154233.0,5.311530605261832e-12,1.0810526996591728e-10
ELK1::HOXB13,-0.7119482851800857,0.02446733431323351,-0.7364156194933192,154637.0,7.032026848162905e-12,1.3903321654082085e-10
ERF::SREBF2,-0.5332742699466728,0.024681164924958518,-0.5579554348716314,154854.0,8.170604721420728e-12,1.5705717964508733e-10
ARNT2,-0.5734354717622011,0.02588201746416549,-0.5993174892263666,155489.0,1.2642728264543608e-11,2.3645318808281557e-10
USF1,-0.6299907820192113,0.0267992334762027,-0.656790015495414,155727.0,1.4875273342972343e-11,2.708865566667595e-10
ETV2::DRGX,-0.6815781648779573,0.02380299662865042,-0.7053811615066077,156699.0,2.873712141376696e-11,5.098996927776086e-10
TLX2,-0.5389024025762192,0.03819244911832205,-0.5770948516945413,157351.0,4.4469737309768715e-11,7.693264554589988e-10
FLI1::DRGX,-0.7149630789906322,0.024191575829166704,-0.7391546548197989,157787.0,5.941249882823003e-11,1.002767053393541e-09
FLI1::FOXI1,-1.1218482137494503,0.006599606114586652,-1.1284478198640369,157848.0,6.186100281581566e-11,1.0192336654415342e-09
ETV1,-1.2308815589333946,0.018341692281072065,-1.2492232512144665,158124.0,7.423018952990189e-11,1.1945881663881887e-09
MYC,-0.50582036824509,0.018705422135291798,-0.5245257903803818,158449.0,9.191611838180673e-11,1.4455898618229605e-09
FOXC2,0.49056579790355676,-0.029693449158515885,0.5202592470620726,289018.0,1.1617625741249659e-10,1.786532669543281e-09
SPIC,-1.1097211595489052,0.03265148312689445,-1.1423726426757996,159338.0,1.6406578563702975e-10,2.4681200795831435e-09
SPDEF,-0.6135965570110055,0.01321440521358631,-0.6268109622245918,159568.0,1.9036290963389145e-10,2.8027900737585723e-09
FOXP1,0.5336387332297146,-0.021903464782240804,0.5555421980119554,288027.0,2.2076306747718433e-10,3.1826675561294077e-09
ELF3,-1.1324403064442186,0.021087105433332087,-1.1535274118775507,160017.0,2.5409055908379843e-10,3.588380956856908e-09
NR2F1.1,0.49742585039255116,-0.026244683248373965,0.5236705336409251,287284.0,3.550433156807322e-10,4.913799489021333e-09
SPIB,-1.1554103658362984,0.017876466245250647,-1.173286832081549,160964.0,4.6423288512343436e-10,6.299003068733658e-09
FOXA3,0.49297031107191674,-0.017056057576493113,0.5100263686484099,285780.0,9.140316165021022e-10,1.216365151191259e-08
MLX,-0.4998504353780848,0.016309196797973696,-0.5161596321760585,162378.0,1.1236163183067737e-09,1.46706130616658e-08
FOXO1::ELF1,-0.9344798296343122,0.012894910112690922,-0.9473747397470031,162611.0,1.2974088831978932e-09,1.6626054577276704e-08
FOXO1::ELK1,-0.986898561596251,0.01625131238465537,-1.0031498739809064,163451.0,2.1695923400045204e-09,2.729741635060233e-08
GABPA,-1.0936675898441652,0.017052329671972007,-1.1107199195161372,163643.0,2.437849958644069e-09,3.0124860203244565e-08
ETV5::FOXI1,-0.761293953783111,0.01876228075452655,-0.7800562345376376,163732.0,2.572904271512581e-09,3.1235960629591334e-08
FOXO4,0.47651654538115606,-0.012482140199067989,0.4889986855802241,283689.0,3.283265791781604e-09,3.724622832644049e-08
FOXI1,0.47651654538115606,-0.012482140199067989,0.4889986855802241,283689.0,3.283265791781604e-09,3.724622832644049e-08
FOXL1,0.47651654538115606,-0.012482140199067989,0.4889986855802241,283689.0,3.283265791781604e-09,3.724622832644049e-08
FOXP3,0.47651654538115606,-0.012482140199067989,0.4889986855802241,283689.0,3.283265791781604e-09,3.724622832644049e-08
FOXD2,0.44072562240576496,-0.03309506905736479,0.4738206914631298,283442.0,3.808091552413985e-09,4.250321539145931e-08
RAX,-0.4349257434061175,0.023443215353455466,-0.45836895875957295,164523.0,4.14092864136334e-09,4.5484486028943356e-08
BHLHE40,-0.49789157424147407,0.02282057472763339,-0.5207121489691074,165451.0,7.182210378793988e-09,7.695986840137303e-08
IKZF1,-1.0003968833887629,0.023328372732956074,-1.023725256121719,165462.0,7.228889372961339e-09,7.695986840137303e-08
TCF7L2,0.47173454454486674,-0.025927836184684496,0.4976623807295512,282084.0,8.516542875440565e-09,8.929466166371017e-08
FOXK2,0.46150482131075266,-0.019243833249164344,0.480748654559917,282013.0,8.878277739957263e-09,9.169803277687203e-08
HOXB9,-0.4638417990118881,0.01790252924887029,-0.4817443282607584,165860.0,9.13124739956503e-09,9.292387059557355e-08
HEY1,-0.49580024313765,0.030556631101452254,-0.5263568742391023,165899.0,9.341931983367171e-09,9.369010047087076e-08
PDX1,-0.4846151211980131,0.03192164707391249,-0.5165367682719256,165986.0,9.829089788089167e-09,9.716757333368147e-08
FOXA1,0.4641555439498119,-0.0062941111841072275,0.4704496551339191,280810.0,1.7833929831135542e-08,1.7381802032599712e-07
SCRT1,0.44141256626125897,-0.04206880789824797,0.4834813741595069,280661.0,1.9424434469405822e-08,1.8669039795595595e-07
BHLHE41,-0.48765948081947386,0.013787051766939368,-0.5014465325864133,167224.0,2.0103077821032983e-08,1.8955939619266073e-07
NFE2,-0.649611702257971,0.015519773242015998,-0.6651314754999871,167240.0,2.028790247623893e-08,1.8955939619266073e-07
FOXO1::FLI1,-0.8051442975569887,0.013019883583236223,-0.8181641811402249,167262.0,2.0544732246314385e-08,1.8955939619266073e-07
VENTX,-0.3897289237085915,0.0348568943703151,-0.4245858180789066,167420.0,2.2484244853117423e-08,2.0472496629417442e-07
CLOCK,-0.43668037538278553,0.030228019806258406,-0.4669083951890439,167625.0,2.5267150129638795e-08,2.2707620635987073e-07
