tf,mean,sd,variance,iqr,fold_enrichment
EHF,-0.052874164630852066,2.5108380858285164,6.3043078932470085,4.214516788469281,0.74802298437453
SPIB,-0.05722419052661154,2.467788831883263,6.089981718767758,3.93473379489758,0.911641306920919
ETV1,-0.061619561911514506,2.4583791619514477,6.0436281039171025,4.1555005921476,0.832681807491594
FOXJ2::ELF1,-0.07175547787977743,2.374875321918863,5.6400327946592235,3.980317444306275,0.832777103445716
GABPA,-0.0540434954616509,2.371135785977058,5.62228491554104,4.0503403940475025,0.819104472464387
SPIC,-0.040470394147525734,2.336910967138907,5.461152868334101,3.28247329910666,0.807687366431857
ELF3,-0.05274877499043213,2.320835681551128,5.38627826076089,3.939719898545265,0.906585130314574
ELF1,-0.04812457467958149,2.2987618476655776,5.284306032282861,3.8536309363335874,0.838165784465668
IKZF1,-0.04219903027410383,2.2951216324501647,5.267583307740709,3.770743711141293,0.773764275271437
ETV2::FOXI1,-0.0649639669192883,2.2229228520270685,4.941386006064156,3.638556380378015,0.837005039031899
FLI1::FOXI1,-0.06563096026295782,2.183287725712068,4.766745293244974,3.591362467234328,0.797008984682284
FOXO1::ELK1,-0.04795908554755362,2.172749714296997,4.720841320977682,3.553322927807672,0.859871360279429
ERF::FOXI1,-0.05329191030598765,2.1294160848445007,4.534412862394483,3.5375882583726,0.778249267125445
STAT1::STAT2,-0.04186866153624861,1.9630792591439157,3.8536801776810248,3.130619834260022,0.963129086009308
FOXO1::ELF1,-0.04774538961507979,1.9264785521222516,3.7113196117870473,3.043761017881388,0.782442613702604
FOXO1::FLI1,-0.03934980613861405,1.8654055498653168,3.479737865468325,2.984052521012365,0.911759059321484
ETV6,-0.034396780688738006,1.8637560450672428,3.4735865955246905,2.9210205657048274,0.737014721869069
EOMES,-0.05494214587279172,1.8499228359357844,3.422214498916695,2.6241319463373123,0.782407565881162
BACH1,-0.04866494139920204,1.8423615879183193,3.394296220636911,2.5842453212882726,0.918362192865244
FOXO1::ELK3,-0.03978749132810251,1.816022698843328,3.2979384427142047,2.8129692886652,0.916697223240775
FOSL1::JUND,-0.04898178972991335,1.8106092560314748,3.278305878026851,2.526875089861585,1.00213705727464
BATF3,-0.04019349246376162,1.8093340607132962,3.2736897432572656,2.60540251120016,0.96281297520594
BATF,-0.037856962594521176,1.8064221409232069,3.2631609512175825,2.5569460615457027,0.943010507157787
BATF::JUN,-0.03693301155405555,1.8018452731640626,3.246646388423675,2.54073977360698,0.940381158999911
FOS::JUN,-0.046698310956438276,1.7982267659239635,3.233619501685357,2.566982790463885,0.941142827926061
JUNB.1,-0.04696474199181911,1.7979442081616412,3.232603375661991,2.52746182478505,0.925172082007253
ETV2,-0.04286902858283233,1.7912843135314747,3.2086994919039267,2.73734778615637,0.812720958510595
FOSB::JUNB,-0.04367781910013659,1.789947018972724,3.2039103307293413,2.5279224842576524,0.820309800695926
BNC2,-0.035047355003929775,1.7894288309096968,3.2020555408908447,2.5500290344174648,0.965120960626666
TBX2,-0.054470094839918506,1.7853455338233066,3.1874586751428273,2.53747311112908,0.89283382130501
FOSL1,-0.038937459136874894,1.7826921946285919,3.177991460789705,2.5324366780731724,0.973699094269667
FOSL1::JUN,-0.045591001372565665,1.7809157324721652,3.1716608461668687,2.4950550940068377,0.937561577137481
TBR1,-0.05167247734209408,1.7773722498946811,3.1590521146956805,2.5083576903390874,0.87511267075636
TBX20,-0.034921247698273095,1.774503262384809,3.1488618282143297,2.5002038658292274,0.859576780074037
FOSL2::JUN,-0.05195407289235632,1.7728777461467335,3.1430955027823217,2.5303569262711374,0.917183431590855
FOSL2::JUNB,-0.04600258136182829,1.7721400615165754,3.140480397631972,2.495929630600245,0.923639820552467
FOSL2::JUND,-0.04447924635879296,1.7685481543060493,3.1277625740993336,2.5274567807395574,0.905134514072071
JUND.1,-0.0449490788325708,1.7669354980577128,3.1220610542964575,2.478881292650205,0.979254737352261
TBX1,-0.05223873075326872,1.7668794459404857,3.121862976486958,2.4906455371729823,0.712876192563899
FOS,-0.03971980737159464,1.762788862282086,3.107424572985771,2.5005584248269126,0.932889692457365
FOSL1::JUNB,-0.04561932248430358,1.7612085338799186,3.1018554998114527,2.49922892763858,0.878090625707116
FOS::JUND,-0.04319219823924018,1.7593741413034323,3.0953973690871894,2.4852434411482998,0.99812850904554
FOS::JUNB,-0.040774297109218656,1.747417259638607,3.053467079282899,2.4636171730836223,1.01669882430582
TBX3,-0.05082797431568049,1.7417843094920638,3.0338125807927456,2.4748321132419475,0.755125663839913
TBX21,-0.03822572426256118,1.7288073611755803,2.9887748920548733,2.389711081194055,0.756934038676341
JDP2,-0.047227103934650766,1.7247556475532746,2.9747820437669152,2.4591659156867953,0.908490754592421
FOSL2,-0.035615162177869135,1.7109486203744666,2.9273451815612908,2.4561413420207074,0.817963976122888
ETV5::FOXI1,-0.03116816585998947,1.7072981985632778,2.914867138817413,2.64387146931201,1.08342687921897
TBX15,-0.04715033976439286,1.705223959874711,2.90778875333079,2.40805278968103,0.723281528293869
MGA,-0.04715033976439286,1.705223959874711,2.90778875333079,2.40805278968103,0.723281528293869
ZNF384,-0.044756072444247,1.6945029949775292,2.871340399987816,2.6939425520767526,0.911933510741623
RUNX3,-0.035409823914574104,1.6701553330847025,2.789418836631274,2.4489263804625976,0.934939494906998
ETV7,-0.028678006788909947,1.6578766701956873,2.7485550535791394,2.55178554201846,0.88741315368147
ERF,-0.04944652781656888,1.6515963700825047,2.7277705696697057,2.43158119676764,0.922529050492216
JUN::JUNB,-0.04029315819252483,1.6489367744523695,2.7189924861413846,2.2997993692516876,0.842543105503026
MEF2A,-0.04303405178785774,1.6411588662014533,2.69340242411164,2.524801155299498,1.0848457223023
NFE2,-0.027054479944706267,1.6292751958962302,2.6545376639626994,2.166477377004915,0.800493951856175
ERF::FOXO1,-0.038474282130605796,1.6171837853717161,2.6152833956691928,2.4145757777524848,1.01422735596563
ETS1,-0.04494580413309115,1.587247330274942,2.5193540874649307,2.3272455712764177,0.841389639127984
TBX18,-0.03316272337618707,1.577009766295032,2.486959802989911,2.1978425205903473,1.04056180878021
MEF2C,-0.041031335607141235,1.5675768147138518,2.4572970700284253,2.3992176332512427,1.03615041408565
BACH2,-0.03855176396352958,1.5628538458494243,2.4425121434863364,2.1798755224168676,0.80770737454141
TBX4,-0.03726533061965501,1.557516021641029,2.4258561576684983,2.2229683329374677,0.851942184769221
TBX5,-0.03726533061965501,1.557516021641029,2.4258561576684983,2.2229683329374677,0.851942184769221
IRF3,-0.03501930748244805,1.554586594581342,2.416739480052014,2.314457980009005,1.10222567828515
ELF2,-0.031453121815113755,1.549528158722627,2.4010375146743352,2.34082407140178,1.23386586268682
ELK4,-0.034073815377592825,1.5290441993100672,2.3379761634437646,2.2394439519260376,1.1717368697468
ELF4,-0.0360849102634995,1.5234727635153404,2.3209692611730683,2.2736907540120623,1.09627085198516
ETV5::FOXO1,-0.03547376493884737,1.5033864995024389,2.260170966886197,2.177999148721333,1.1461449414893
ETV5::DRGX,-0.025575820406341206,1.5002577347134387,2.2507732705674988,2.15414025357433,0.969614412727017
