"gene","log2FC","pvalue","padj"
"GLUL",3.55860773113426,3.73262745177116e-16,1.36617897362276e-11
"MT-CO1",1.2833441397553,1.09101815702797e-15,3.99323555653807e-11
"MT-CO3",1.82453972602491,3.94097909475541e-14,1.44243775847143e-09
"APOA2",0.38476702532454,1.0818953373507e-13,3.95984512423729e-09
"APOA1",-7.93992043162724,2.85927590441166e-13,1.04652357377371e-08
"MT-CO2",1.84969496525008,1.00609395677943e-12,3.68240449120838e-08
"MT-CYB",1.60597095914925,4.35768997309543e-12,1.59495810705266e-07
"HPD",3.16083540432686,1.99670447911505e-11,7.30813806400901e-07
"MT-ND4",1.54690960767177,2.66899487097881e-11,9.76878812726954e-07
"MT-ND5",1.16131287536984,3.21167689273978e-11,1.17550585951169e-06
"PDK4",3.12481302796562,4.22513040671664e-11,1.54643998016236e-06
"MALAT1",0.843002216525386,1.29976797984442e-10,4.75728078302855e-06
"FTL",0.563753488747262,1.10889005335799e-09,4.05864848429558e-05
"MT-ND2",1.63569324252294,2.19894923623948e-09,8.04837409956012e-05
"INSIG1",2.50982464471506,3.43668578600951e-09,0.000125786136453734
"ALB",-0.929708947170958,3.45856627547154e-09,0.000126586984248534
"DCXR",2.92849460398498,4.52474474666219e-09,0.000165610182472583
"RARRES2",2.89534169478148,4.95113329771639e-09,0.000181216429829718
"C4BPA",2.6974833893298,6.4824288026704e-09,0.000237263376606539
"MT-ATP6",1.93814913220023,1.56746991110655e-08,0.000573709662164108
"CYP2E1",1.6472264177176,1.98262799208001e-08,0.000725661671381203
"HSP90AA1",3.22062700871708,3.37048836108532e-08,0.00123363244504084
"MT-ND3",2.04772478907696,4.1865151716738e-08,0.00153230641798433
"TMEM176B",2.32502608468346,8.04713954925019e-08,0.00294533354642106
"HSP90AB1",2.25845945404523,1.12397184457508e-07,0.00411384934832925
"PAGE4",8.25198660995128,1.62271158306625e-07,0.00593928666518079
"CPS1",1.60617328781415,2.62515779329645e-07,0.00960834003924434
"THRAP3",0.273579847506252,2.65423500405189e-07,0.00971476553833031
"RNF149",1.65612163223746,5.01006168813123e-07,0.0183373267847291
"SLC1A2",3.85400148631065,5.62297015199823e-07,0.0205806330533287
