"gene","log2FC","pvalue","padj"
"MT-CO2",2.32271658611786,4.11478598125311e-42,1.50605281699845e-37
"MT-CYB",2.02081342006275,5.77114578914046e-39,2.1122970702833e-34
"MT-CO3",2.23568922358054,7.66436527698428e-36,2.80523433502902e-31
"MT-CO1",1.47823806738815,2.84829349434048e-35,1.04250390186356e-30
"MT-ND4",1.94115828183596,4.09285821502083e-35,1.49802703527977e-30
"APOA2",0.346783543629619,9.01541916590647e-32,3.29973356891343e-27
"MT-ATP6",2.76465371931436,1.64054924773762e-30,6.00457430164447e-26
"HSP90AA1",3.48641305438195,5.37846305065987e-30,1.96857126117202e-25
"APOA1",-6.47372841313406,3.57132788499927e-27,1.30714171918858e-22
"MTRNR2L12",9.96932804860351,4.31667578100033e-27,1.57994650260393e-22
"MT-ND2",1.96404347524687,2.07467606066043e-26,7.59352184962322e-22
"FTL",0.594747244026651,2.14139140046315e-26,7.83770666483519e-22
"GLUL",1.48510209567146,1.10505162269236e-25,4.0445994442163e-21
"MT-ND5",1.56926373632867,1.52140308262772e-25,5.5684874227257e-21
"MT-ND1",1.75666139453861,3.49724474498679e-23,1.28002654911262e-18
"PLCG2",2.60472017891618,3.78701103618408e-23,1.38608390935373e-18
"HSPD1",3.45078622938841,5.32243770876303e-23,1.94806542578436e-18
"MALAT1",0.822295096945728,5.34963847382569e-23,1.95802117780494e-18
"MT-ND3",2.4873141032993,8.75864940354048e-22,3.20575326818985e-17
"ALB",-1.19887906235266,1.22673257061543e-20,4.48996388170954e-16
"MTRNR2L8",8.86291923023621,6.18875928108481e-19,2.26514778446985e-14
"MT-ATP8",1.57449053732931,2.20643342124475e-18,8.0757669650979e-14
"PAGE4",9.18041901824331,2.52592550477534e-18,9.24513994002822e-14
"PALD1",-2.80618726255925,4.21519882637979e-18,1.54280492244327e-13
"CPS1",1.83138151549428,4.38707279792366e-18,1.60571251476804e-13
"CYP2E1",1.68919859090316,8.05558016831833e-18,2.94842289740619e-13
"HPD",2.87714905505038,1.67380553274519e-16,6.12629563040067e-12
"FP236383-3",-0.714969102767657,2.36873049080639e-16,8.66979046940045e-12
"APOC3",0.250283502783261,4.06586876656651e-15,1.48814862725101e-10
"HSPA1B",3.6187457734897,2.60094879670433e-14,9.51973269081751e-10
"HSPH1",2.56975121561579,2.7308850711105e-14,9.99531244877156e-10
"CYP3A4",2.09762454641456,2.97510484515609e-14,1.08891812437558e-09
"MT-ND4L",0.840374430901907,1.00791806515908e-13,3.68908091028874e-09
"RBP4",0.631446950797808,2.78009079606328e-13,1.01754103226712e-08
"DCXR",2.59767084150406,6.02499340062274e-12,2.20520783456193e-07
"HSPB1",4.53953112084679,6.60017476359981e-12,2.41572996522517e-07
"DNAJB1",5.7965835476614,7.17888049572988e-12,2.62754205024209e-07
"SELENOP",1.12526362939099,7.6315696021295e-12,2.79323079007542e-07
"HSP90AB1",2.21307362886423,9.23180783637272e-12,3.37893398619078e-07
"HSPA1A",3.54492286360105,1.95568886149224e-11,7.15801680194774e-07
"FP671120-4",-0.640935894365656,9.52048886720250e-11,3.48459413028479e-06
"ATOX1",2.60425184667066,9.76498965777728e-11,3.57408386464306e-06
"FABP1",-5.46479889391942,1.14068828246135e-10,4.17503318263678e-06
"B2M",0.349601456397453,1.24553538883758e-10,4.55878407668442e-06
"EEF1A1",0.677430798413069,1.63716790478856e-10,5.99219824831661e-06
"MS4A4E",-2.13567924059155,1.85482247532634e-10,6.78883574194193e-06
"DYNC1H1",1.4731862635642,2.45998149407192e-10,9.00377826645262e-06
"CTH",3.77295064372202,2.79626542348969e-10,1.02346110765146e-05
"TMEM163",-2.77900027557619,2.96711078438264e-10,1.08599221819189e-05
"FCGR2B",-2.60584835121109,3.94904628715327e-10,1.44539043156097e-05
"RGS1",-1.79217803394234,6.11943488843217e-10,2.23977436351506e-05
"APOE",0.650123285377271,8.76005609655802e-10,3.2062681319012e-05
"AP001636-3",-3.58505377611454,1.11934065540429e-09,4.09689873284526e-05
"GPR183",-1.34025102729785,1.58568541937086e-09,5.80376720343928e-05
"MYO1F",0.831674658758278,1.72681217739157e-09,6.32030525047088e-05
"A2M",-3.11929756273269,1.79631125554284e-09,6.57467882641234e-05
"SLC1A2",3.81507594176042,2.09222354143594e-09,7.65774738400967e-05
"AREG",-3.09768465949481,2.71234223636058e-09,9.92744381930335e-05
"PCBD1",2.99673910123525,3.6440023749836e-09,0.000133374130926775
"IGKC",-2.95147753954516,4.13027563922258e-09,0.000151172218671186
"SOD1",2.99143442245348,4.33514637771678e-09,0.000158670692570812
"MACF1",0.608735023035203,6.9198576265088e-09,0.000253273708987849
"SERPINC1",2.21532984761765,7.17783861883175e-09,0.000262716071287861
"GGH",5.30357725928442,7.43778624173704e-09,0.000272230414233817
"HSPE1",2.27312038726881,7.95967670762806e-09,0.000291332127175894
"COX5B",3.13231747851457,1.01273278064775e-08,0.000370670325044885
"NUP98",0.718248780017153,1.21403381598577e-08,0.000444348516988952
"HSPA8",2.46912244087041,1.71277725409643e-08,0.000626893602771833
"PIK3CB",0.935843420638944,2.36329111845325e-08,0.000864988182265075
"HSD11B1",3.07095444877765,2.46519229772382e-08,0.000902285032889896
"RUNX2",-0.895551855909517,2.57180977378478e-08,0.000941308095302968
"EPHX1",1.85835950897965,3.14470250504512e-08,0.00115099256387156
"HP",-0.430286440765712,3.1762889105301e-08,0.00116255350414312
"WSB1",0.75545101501165,3.28455818791097e-08,0.00120218114235729
"CES1",2.03119391959487,3.64479129383925e-08,0.00133403006145811
