"gene","log2FC","pvalue","padj"
"APOA2",1.98283281222573,0,0
"GLUL",4.33338946478253,9.93304362334632e-290,3.63559329658099e-285
"FTL",2.09892296677804,1.97181026276795e-263,7.21702274275696e-259
"CPS1",3.83600287025294,4.82245334885811e-243,1.76506615021556e-238
"RBP4",2.3411229307953,1.25289013272283e-233,4.58570317477884e-229
"CYP2E1",3.78438978462492,9.68952040125586e-232,3.54646136206366e-227
"APOC3",2.01564945565141,5.52029310686407e-217,2.02048248004332e-212
"HPD",4.53027305138165,3.25095163212708e-207,1.18988080687483e-202
"DCXR",5.03015983872293,3.60009469140302e-206,1.31767065800042e-201
"B2M",1.41697622500858,3.25372488732565e-203,1.19089584601006e-198
"APOE",2.45829897390848,4.20361979082174e-200,1.53856687963866e-195
"FTH1",2.22459363069574,7.50317255877671e-193,2.74623618823786e-188
"APOC1",1.65456787295458,5.27095580301458e-183,1.92922253346137e-178
"CYP3A4",3.85833951139431,5.62501298600547e-180,2.05881100300786e-175
"APOC2",2.34740506852636,2.66480855267633e-179,9.75346578365064e-175
"MT-CO2",1.39092402948022,3.73231398865572e-164,1.36606424298788e-159
"MT-CYB",1.46987940394382,2.97962456513934e-162,1.09057238708665e-157
"SELENOP",2.2820357491189,1.34439467257115e-159,4.92061894107767e-155
"FN1",1.794421647033,1.11882746147277e-155,4.0950203917365e-151
"SERPINA1",1.67974820475004,9.47060384639358e-152,3.46633571381851e-147
"IFITM3",2.57896890848237,1.15705770627739e-145,4.23494691074587e-141
"MT-CO1",0.95383718383547,1.50434768141853e-145,5.50606294875994e-141
"EEF1A1",1.76756400777306,5.88475466911404e-145,2.15387905644243e-140
"GAPDH",3.02286820181477,9.04758312609413e-143,3.31150589998171e-138
"PRICKLE2",-4.28525632856023,1.34486435447393e-137,4.92233802381003e-133
"MT-ND5",1.15618886272905,3.33417145036517e-137,1.22034009254816e-132
"MT-ND4L",1.06076575253132,1.08204884729262e-134,3.96040698597573e-130
"EPHX1",3.33666104500058,3.6008028541048e-130,1.3179298526309e-125
"ACTB",1.97748872894644,5.11373959334452e-128,1.87167982856003e-123
"INSIG1",3.32945004235659,6.21742926708004e-128,2.27564128604397e-123
"RPLP1",2.10602225615775,1.07965241853474e-127,3.95163581707902e-123
"PAGE4",11.5220167284431,3.75985712512302e-127,1.37614530636628e-122
"MT-CO3",1.2812495315459,1.06462049236049e-122,3.89661746408864e-118
"RARRES2",3.9459903119795,4.84862415443289e-120,1.77464492676398e-115
"MT-ATP8",1.346888073367,2.55732606385803e-119,9.36006912632679e-115
"AMBP",2.6243144201005,3.64947118995362e-119,1.33574295023492e-114
"APOH",3.03397806095528,4.77605631898911e-119,1.7480843733132e-114
"NRG3",-4.47026478795736,2.450473923888e-117,8.96897960882246e-113
"IGFBP1",3.19621442674638,6.11832213302927e-116,2.23936708391004e-111
"CD74",1.73495144189305,4.94584462872817e-115,1.8102285925608e-110
"TAT",3.30129845994133,1.42993587688138e-114,5.23370830297355e-110
"UBC",1.85020120837765,2.32048571090889e-113,8.49320975049764e-109
"SERPINC1",3.75473509468884,7.99488380084393e-111,2.92620741994689e-106
"RFX2",-3.4480455917371,2.68630238946206e-110,9.83213537567008e-106
"PLXDC2",-2.41428309671554,4.23583383147132e-108,1.55035754065682e-103
"RPL10",2.15831843734788,9.25255679185711e-108,3.38652831138762e-103
"HP",1.76908300882564,2.93276090764654e-106,1.07341981980771e-101
"C4BPA",3.86324261525817,3.58768849951627e-106,1.31312986770795e-101
"RPL19",2.85137339829473,1.68007821465192e-104,6.14925427344751e-100
"MIR99AHG",-2.09268198075912,2.57611321121064e-104,9.42883196435206e-100
"TMEM176B",4.04309066443803,3.12349301438368e-104,1.14322967819457e-99
"STAB2",-6.19397834707827,1.12342834720855e-101,4.111860093618e-97
"CCSER1",-2.40766573227494,1.34204807712548e-101,4.91203016708697e-97
"TTR",2.41487462394299,1.66650066520227e-101,6.09955908470682e-97
"ATOX1",4.21120429953522,2.5335541329764e-101,9.27306148210693e-97
"TOR1AIP2",3.00528045192347,4.85355480951886e-101,1.776449595832e-96
"PPIA",2.5505546484664,4.70160727699971e-100,1.72083527945466e-95
"CES1",3.26612020529966,5.6433910509617e-100,2.06553755856249e-95
"FOS",-2.6105342263982,4.14855455670441e-98,1.51841245329938e-93
"RPS12",2.64551669555463,5.64730626503057e-98,2.06697056606384e-93
"PEBP1",3.11723307386035,3.96103154121007e-96,1.4497771543983e-91
"UQCRQ",3.36733294144484,4.75485323038128e-95,1.74032383085185e-90
"MYRIP",-2.27400696024165,7.87840418897749e-95,2.88357471720765e-90
"PECAM1",1.17885984599983,2.60955823337462e-93,9.55124408997444e-89
"ATRNL1",-6.97638228329064,5.10345051485418e-92,1.86791392294178e-87
"TPT1",1.53952981207327,8.25362375120373e-92,3.02090882917808e-87
"CRHBP",-6.6018198573172,3.62834881971255e-90,1.32801195150299e-85
"FGG",1.94583504801384,2.29188848157991e-89,8.38854103143062e-85
"AOX1",3.35761456632649,3.23203238995572e-89,1.18295617504769e-84
"PDK4",1.8691545887426,8.26028911461571e-89,3.02334841884049e-84
"C7",-3.82580575780546,8.28401594607632e-89,3.0320326764234e-84
"ROBO2",-3.18264813695933,9.45018682378641e-89,3.45886287937406e-84
"APOA1",-2.84842085927104,2.09636696733823e-88,7.67291273715466e-84
"BMPER",-5.12610632450361,2.97536977970893e-88,1.08901509307127e-83
"MT-ND1",1.18309687684871,6.45977461327305e-87,2.36434210620407e-82
"RPS2",2.34716734764127,1.67012937765365e-86,6.11284053515012e-82
"RELN",-5.78568578913894,2.07838898466445e-86,7.60711152277035e-82
"MYO1B",1.77122492748084,3.18476046076431e-86,1.16565417624435e-81
"HSD11B1",4.94780920614927,3.4153524147609e-86,1.25005313732664e-81
"RHOB",1.957792731556,7.05384441617557e-85,2.58177759476442e-80
"APOC4",4.16184384239472,1.00133553295307e-84,3.66498818416152e-80
"TIMP3",1.13335114276008,2.26664772210089e-84,8.29615732766146e-80
"APOB",1.41747029993466,4.21058326389415e-84,1.5411155804179e-79
"SPARCL1",1.85115777827613,5.96057160007645e-84,2.18162881134398e-79
"CTH",4.71985308753286,7.60444254588543e-84,2.78330201621953e-79
"SPARC",1.40918656363223,1.33197837039034e-83,4.8751740334657e-79
"HGD",4.09787671444988,1.6564554851155e-83,6.06279272107126e-79
"PRAP1",4.25885817316613,6.35482013969157e-83,2.32592771932851e-78
"ATP1B1",3.73624626745319,9.86837096026919e-83,3.61192245516812e-78
"RPS23",2.69053181058058,2.17315697798666e-82,7.95397185512898e-78
"FGB",1.67391704307349,4.39294132656346e-82,1.60786045493549e-77
"COX6A1",4.10991795650953,2.30439063394651e-81,8.43430015930761e-77
"ACTG1",2.17359600690548,2.31496109228953e-81,8.4729890938889e-77
"RPS14",2.66402393935207,2.36181614217333e-81,8.6444832619686e-77
"MPC2",3.96940936156072,9.54512583873799e-80,3.49361150823649e-75
"DGKG",-5.14811859552895,1.19940333280655e-79,4.38993613840524e-75
"AL135905-2",4.31596657752634,9.50255470828754e-79,3.47803004878032e-74
"EIF1",2.16738152951616,3.07221059731284e-78,1.12445980072247e-73
"RPL30",2.53658255576407,8.19772198933844e-78,3.00044822531776e-73
"RPLP0",2.22963069171294,1.06798905369066e-77,3.90894673541318e-73
"TMEM176A",3.94395844210891,1.53189455919967e-77,5.6068872761267e-73
"PLVAP",1.75969216797917,1.77994514944479e-77,6.51477724148288e-73
"HLA-B",0.967457605230376,4.79218094806536e-77,1.7539861488014e-72
"MT-ND4",0.980709156822634,5.82607432887226e-77,2.13240146511054e-72
"GPM6A",-2.29241611620228,2.50229173670685e-76,9.15863798552075e-72
"UGT2B4",4.09208845433385,7.46537852175673e-76,2.73240319274818e-71
"HLA-A",1.0398406149936,6.83404920701114e-75,2.50133035025815e-70
"SERF2",2.35392866501654,1.3905679507924e-74,5.08961775669526e-70
"HSP90AA1",2.19916410858496,1.88916496932205e-74,6.91453270421565e-70
"HLA-C",1.20417823674886,2.80779600427324e-73,1.02768141552405e-68
"RPL8",2.45225295925749,3.58322128749671e-73,1.31149482343667e-68
"ADH1B",2.07391053372878,1.14275381282861e-72,4.18259323033401e-68
"MT-ND2",1.1573863123496,1.40807570039518e-72,5.15369787101641e-68
"ZFAND5",1.89148503467696,1.5023056837869e-72,5.49858903322844e-68
"RPL13",1.64305082616419,1.56591233402291e-72,5.73139573375726e-68
"IGFBP2",2.96141929128262,2.61565180510453e-72,9.57354717186309e-68
"MBNL3",3.91022923057413,4.57505197304548e-72,1.67451477265438e-67
"DNASE1L3",-2.08686462195156,6.73124743295395e-72,2.46370387293547e-67
"ESM1",4.81094564901607,9.34962432195318e-71,3.42205599807808e-66
"CYB5A",2.77543947921379,1.09188279016068e-70,3.9964002002671e-66
"GPX3",2.30690083951255,1.46027162256542e-70,5.34474016575168e-66
"IFITM2",2.65941415541952,3.84517443175645e-70,1.40737229376718e-65
"FAM102B",-2.91730348893367,6.1542961616315e-70,2.25253393811875e-65
"OIT3",-4.10293866417786,2.04891591051061e-69,7.49923712405989e-65
"FMO5",2.96441629338729,3.79548429637069e-69,1.38918520731464e-64
"SLC1A2",4.25647298541339,4.52365047991835e-69,1.65570131215492e-64
"CANX",1.66595141047658,1.26626505302092e-68,4.63465672056187e-64
"FGA",1.37218089889603,3.03683227705989e-68,1.11151098172669e-63
"EEF2",1.82245880399932,4.12236135548539e-68,1.50882547972121e-63
"MYO10",-1.86311294240725,6.22691528628501e-68,2.27911326393318e-63
"TF",1.86625337753949,7.28998731787218e-68,2.6682082582144e-63
"GGH",5.36084396988661,2.18337722016795e-67,7.9913789635367e-63
"CPB2",3.44877294612387,2.38543373512148e-67,8.73092601391812e-63
"HINT1",2.42413731348623,2.40112878196582e-67,8.78837145487311e-63
"SOD1",3.30137413773975,4.2548043029371e-67,1.55730092291801e-62
"VTN",1.99909568965752,2.50150158644814e-66,9.15574595655884e-62
"PIP4K2A",-1.59301421612992,2.52573971051806e-66,9.24445991446714e-62
"RPS18",1.98151672801066,2.6341200776913e-66,9.64114289635793e-62
"HSP90AB1",1.8762173474003,2.67057258666109e-66,9.77456272443826e-62
"STARD10",3.72021683012676,8.47041168358556e-66,3.10025538030915e-61
"GPX4",3.05712692727126,1.63446554376698e-65,5.98230733674151e-61
"HPR",4.58852651184253,1.76567321543324e-65,6.46254053580719e-61
"C4BPB",4.55658878027922,7.448714669438e-65,2.726304056161e-60
"PTPRB",-0.896263649976397,7.67840934440799e-65,2.81037460414677e-60
"DSP",3.04493204866571,1.83771344975365e-64,6.72621499744335e-60
"NME2",3.12856829059989,3.0155055023121e-64,1.10370516890125e-59
"ASPSCR1",4.38364631867548,1.23623188523297e-63,4.52473232314119e-59
"KNG1",2.76424682709842,2.78862385153747e-63,1.02066421590123e-58
"RPS27A",2.18791078544503,3.24108917965535e-63,1.18627105064566e-58
"BMP6",-2.74089183495278,9.43210826473482e-63,3.45224594597559e-58
"RPL15",2.23115993295795,1.13280527780841e-62,4.14618059730656e-58
"FOSB",-4.69117294704197,1.77662101625812e-62,6.50261058160635e-58
"NDUFA4",3.40243415620921,2.52939421826383e-62,9.25783577826746e-58
"PAH",2.93316543467483,2.69990615641955e-62,9.88192652311121e-58
"LHFPL2",-2.33024180155831,3.5420591650962e-62,1.29642907501686e-57
"COX7C",3.36475439941678,3.87748010783773e-62,1.41919649426969e-57
"RPS13",2.80626483715187,1.18134563689204e-61,4.32384316558855e-57
"MGST1",2.9431735347507,1.36680415535372e-61,5.00263988901014e-57
