"gene","log2FC","pvalue","padj"
"APOA1",-4.05218220726303,0,0
"A2M",-2.35961109817684,0,0
"C9",-4.44403942667344,0,0
"GLUL",3.11489082943871,0,0
"PDK4",3.28586240336334,0,0
"CYP2B6",-2.97313971476876,0,0
"FBP1",-2.75735051999555,0,0
"CYP2C8",-2.59895495823615,0,0
"DCXR",2.564297568853,0,0
"SLC22A1",-3.38060968888938,0,0
"SLC7A2",-1.8908701436397,0,0
"ATF5",-3.94134333071244,0,0
"PAGE4",10.5406824821179,0,0
"ADRA1A",-3.18805048885804,0,0
"MCC",-4.70297706044239,0,0
"CFHR3",-3.01518668318644,0,0
"ETS2",-2.11525089291988,0,0
"PALM2-AKAP2",-2.28154526910709,0,0
"NNMT",-1.645656660858,0,0
"SDS",-4.2113688562893,0,0
"SORL1",-2.09226798226576,0,0
"CYP2A6",-3.23434371194267,0,0
"FTCD",-2.04528696574366,0,0
"GOT1",-2.42749180748676,0,0
"LINC02532",-2.17763735159115,0,0
"HAMP",-8.41982505478646,0,0
"FTH1",1.67038362811869,0,0
"CRP",-6.41053951574529,0,0
"AC004160-1",-6.13868805944638,0,0
"SLC1A1",-2.68375466265087,0,0
"C6",-0.842194504508653,0,0
"LINC01146",-2.64415955661641,0,0
"DPYD",-1.6265350493167,0,0
"UTY",-2.43645587960051,0,0
"SLC13A5",-2.20076714868436,0,0
"GAPDH",1.87229317500862,0,0
"MT1G",-1.74250335934032,0,0
"SOX6",-3.08668403563074,0,0
"TTTY14",-6.17440210660805,0,0
"CXCL2",-2.15311722791924,0,0
"GPC6",-1.94985212303881,0,0
"ST6GAL1",-1.53442986421663,0,0
"LPIN2",-1.24097019697,0,0
"C8B",-1.87769195579041,0,0
"GLIS3",-2.01738064975336,0,0
"CP",-1.25360125950733,0,0
"PIK3C2G",-1.64900916780541,0,0
"HSD17B2",-2.44997631815872,0,0
"MBNL2",-1.47291665045655,0,0
"ATOX1",3.19221407195742,0,0
"MAST4",-1.74988956190351,0,0
"BLNK",-2.94819715245512,0,0
"TNS1",-2.21590473235446,0,0
"SLC27A2",-2.48311216992011,0,0
"ADGRG6",-1.64260206036651,0,0
"UQCRQ",2.65015779292321,0,0
"PHLDB2",-2.54389351261026,0,0
"SLC39A14",-1.27402058135333,0,0
"KYNU",-2.67790215372403,0,0
"CYP3A5",-1.65382955308452,0,0
"SDC4",-1.74571597361457,0,0
"LINC02027",-10.2286045303764,0,0
"FYB2",-2.14564414334908,0,0
"DDAH1",-2.16963695707682,0,0
"AC007262-2",-3.07832623370432,0,0
"GDA",-2.16509973964842,0,0
"NCOR1",-1.59521329032547,0,0
"SOX5",-1.59413010398804,0,0
"PLGLB1",-2.63345045133972,0,0
"RALGAPA2",-1.52608462738142,0,0
"DTNA",-3.53203650278748,0,0
"FOXO1",-1.85758599956119,0,0
"RPL10",1.6743321070988,0,0
"PKHD1",-3.19491635186183,0,0
"ITIH4",-1.07010730688924,0,0
"APP",-1.38003342960337,0,0
