"gene","log2FC","pvalue","padj"
"APOA2",0.60255048630382,7.66280513884896e-212,2.80466330887011e-207
"APOA1",-4.34694092849934,1.25600813427025e-190,4.59711537224254e-186
"MT-CO2",1.42696177931539,7.16888293497289e-171,2.62388284302943e-166
"MTRNR2L12",9.80035224766563,7.15500763853718e-147,2.61880434578099e-142
"DCXR",3.32357326794253,8.65653493744432e-131,3.16837835245399e-126
"PAGE4",11.7255556025392,4.80330876839081e-130,1.75805904231872e-125
"FTL",0.408080157343071,1.15478185119689e-127,4.22661705356575e-123
"GLUL",0.977448972203917,6.09549691233268e-126,2.23101282488288e-121
"HPD",2.94048793365517,4.03870516500558e-125,1.47820647744369e-120
"FP236383-3",-0.636314293884396,5.12670251520368e-123,1.8764243875897e-118
"CYP2E1",1.94604264271904,1.90897022817896e-120,6.9870219321578e-116
"CPS1",1.86589171776566,1.42848460274325e-119,5.22839649450056e-115
"MT-CYB",1.21889273371663,4.07041298665428e-117,1.48981185724533e-112
"ALB",-0.712998229405588,6.32511548091034e-116,2.31505551716799e-111
"APOC3",0.571304827197885,4.1915332586586e-101,1.53414308800163e-96
"MT-CO1",0.769313571898337,1.58718973316157e-100,5.80927314234467e-96
"MT-CO3",1.22132998579575,2.56940799920808e-100,9.40429021790148e-96
"PALD1",-4.15841523253878,4.0987344481238e-96,1.50017779535779e-91
"HSP90AA1",2.53082886984041,2.78496088423171e-88,1.01932353323765e-83
"CYP3A4",1.88220477057482,3.57974644285428e-84,1.31022299554909e-79
"MTRNR2L8",9.98324934784631,6.68930686908399e-83,2.44835320715343e-78
"EPHX1",2.24901812378636,1.26045946209868e-80,4.61340767722739e-76
"APOE",0.698807346665954,2.36287210905857e-80,8.64834820636528e-76
"MT-ND4",1.0392559900306,2.03848694220389e-79,7.46106605716045e-75
"MT-ATP6",1.6590404890244,1.27162750177838e-78,4.65428381925904e-74
"RARRES2",2.39901958695331,3.40270097532563e-78,1.24542258397893e-73
"RBP4",0.823119392523934,1.1276530735764e-77,4.12732301459698e-73
"FP671120-4",-0.768949079690026,1.02279201846035e-74,3.74352106676672e-70
"CTH",4.82856252432565,1.20923410329865e-72,4.4259177414834e-68
"ADAM28",-3.0624421923994,3.93412599919971e-72,1.43992945696709e-67
"MT-ND5",0.84460481534733,1.72757967604727e-71,6.3231143723006e-67
"SELENOP",0.631559809419674,6.35437931428411e-70,2.32576637282113e-65
"INSIG1",2.03644695179717,2.04163440033757e-69,7.47258606867553e-65
"IGKC",-2.70110252669546,3.58164578004091e-67,1.31091817195277e-62
"UQCRQ",2.26410535652389,4.86426010860745e-66,1.78036784235141e-61
"SPARCL1",5.4702581815238,1.83508682108187e-65,6.71660127384174e-61
"MT-ND1",0.977954667401888,1.44982911394882e-63,5.30651953996406e-59
"GAPDH",1.67306626014105,2.28994021541239e-62,8.38141018243088e-58
"SLC1A2",3.20832539509258,6.8125553425519e-62,2.49346338092742e-57
"MT-ND2",1.10515998539501,1.66563983302164e-60,6.0964083528425e-56
"C4BPA",2.06365450250272,4.00458196825089e-60,1.46571704619951e-55
"TAT",1.74529777627679,1.01005487522188e-58,3.69690184879959e-54
"FABP1",-2.78123897830356,4.44161929294314e-58,1.62567707741012e-53
"ALOX5",-1.61836316352809,8.83059878933383e-58,3.23208746288408e-53
"GGH",5.48622801795593,7.19633973272776e-57,2.63393230557569e-52
"APOC4",2.4455606455908,8.1255400644972e-57,2.97402891900662e-52
"TMEM163",-5.15982094740198,9.72854954293638e-57,3.56074641821014e-52
"HSD11B1",2.80652430535154,2.21540771745481e-55,8.10861378665635e-51
"RGS1",-2.40108325603289,1.16522451697443e-54,4.26483825457811e-50
"PPIA",1.59652396277732,8.81704830547334e-54,3.2271278502863e-49
"SERPINC1",2.062143292989,9.875591950339e-54,3.61456540974358e-49
"ALDH3A1",10.3319826842457,1.3317497057432e-53,4.87433709799067e-49
"PLSCR1",-1.36806992274939,2.29154033884556e-53,8.38726679420864e-49
"ATOX1",2.01387951446908,1.56127597788393e-52,5.71442620665296e-48
"LINC01632",7.34209539324491,1.77668564260675e-52,6.50284712050495e-48
"FOS",-1.58537527843242,2.11182768260507e-52,7.7295005011028e-48
"HSPD1",1.9637121138465,4.24053325940581e-52,1.55207757827512e-47
"ATP1B1",1.6739918180891,8.54372459688698e-52,3.1270886397066e-47
"PLCG2",2.22398169838541,1.73446135862427e-51,6.34830201870067e-47
"TOR1AIP2",1.70719257861544,2.71015103780503e-51,9.91942381347019e-47
