"gene","log2FC","pvalue","padj"
"MT-CO2",2.22658570686583,0,0
"MT-CYB",2.16732293017778,0,0
"GLUL",2.11875991627164,0,0
"APOA2",1.02759040148306,0,0
"FTL",1.09814630145282,0,0
"MT-CO1",1.5501448208153,4.58881110674143e-310,1.67955075317843e-305
"CYP2E1",2.54094588830745,1.57748231690134e-300,5.7737430280906e-296
"CPS1",2.45691448964254,2.53970132705278e-298,9.29556082714588e-294
"HPD",3.62718044619493,6.65090484092555e-285,2.43429768082716e-280
"MT-CO3",2.12487712860044,1.62390634495802e-271,5.94365961318086e-267
"DCXR",3.50698475394412,2.85855707507683e-263,1.04626047504887e-258
"MT-ND5",1.64321752855186,1.06684423224447e-262,3.90475657443799e-258
"BICC1",-4.24053421768552,1.54383419706336e-253,5.6505875446716e-249
"SOX6",-3.38498439372288,1.66097318249562e-244,6.0793279452522e-240
"FTH1",1.53932583681669,2.50070536854159e-234,9.15283171939909e-230
"PAGE4",13.0578059182244,5.13098338748364e-233,1.87799122965289e-228
"RBP4",1.25736788908185,1.77371803541154e-232,6.49198538140978e-228
"MT-ND4",1.89453508127456,1.04675598883753e-230,3.83123159474423e-226
"C7",-3.42649967682253,1.14243339159421e-228,4.18142045657397e-224
"APOC3",0.926081320818829,6.06938043472864e-228,2.22145393291503e-223
"HSP90AA1",3.25321877493076,7.0649396815309e-226,2.58583857283713e-221
"FGFR2",-4.43970806114139,4.20304844132383e-225,1.53835776000894e-220
"SPARCL1",3.76169936396004,9.473700206655e-223,3.4674690126378e-218
"CYP3A4",2.4880211353788,1.14564887181687e-215,4.19318943573693e-211
"APOE",1.44954922848753,2.23347902536177e-210,8.17475658072661e-206
"EPHX1",2.38663578073616,4.30091752684586e-209,1.57417882400085e-204
"APOC1",0.62115373411697,1.63991117192197e-204,6.0022388803516e-200
"PDGFRA",-4.64250375624268,1.97424593920072e-200,7.22593756206854e-196
"INSIG1",2.59241825383038,4.33986394813253e-200,1.58843360365599e-195
