"gene","log2FC","pvalue","padj"
"APOA2",0.722328696984252,1.34258648242208e-126,4.91400078431306e-122
"APOA1",-5.88048207354651,7.83574161674186e-100,2.86795978914369e-95
"MT-CO2",1.47807854239228,3.22472919581507e-84,1.18028313296027e-79
"FTH1",1.63379455822914,4.9470265309599e-80,1.81066118059663e-75
"GLUL",2.8423074210245,1.97487234201386e-67,7.22823025900493e-63
"MT-CYB",1.37279916842387,7.72617158419751e-63,2.82785606153213e-58
"MT-CO1",0.887023082437007,3.79766671505569e-58,1.38998399437753e-53
"MT-ND5",1.01580247317344,2.6268564315316e-57,9.61455722504882e-53
"FTL",0.532464542351113,3.2245962516097e-57,1.18023447405166e-52
"RBP4",0.933644626754122,3.03280125057841e-52,1.1100355857242e-47
"CPS1",1.77372217963986,4.64412679033352e-50,1.69979684652997e-45
"B2M",0.275181226105647,7.07099939731442e-50,2.58805648941105e-45
"MT-CO3",1.26400745855005,2.10752330031375e-46,7.71374603147834e-42
"CYP2E1",1.50621029709916,2.56464983091045e-46,9.38687484611535e-42
"HSP90AA1",2.70204275037051,3.08136162606815e-44,1.1278091687572e-39
"INSIG1",2.3161774409609,5.90220470929974e-43,2.1602659456508e-38
"APOE",1.01561297632041,1.23433351889051e-42,4.51778411249117e-38
"APOC3",0.3400213148443,1.24752845921239e-41,4.56607891356328e-37
"IGKC",-2.91537211834225,8.20079108295385e-41,3.00157154427194e-36
"RPL10",1.2324899877992,8.33838140013249e-41,3.05193097626249e-36
"PDK4",3.16937563772888,1.59394656937643e-39,5.83400383857466e-35
"DCXR",2.61344668728972,2.81797356501332e-39,1.03140650453052e-34
"GAPDH",1.80550917025999,1.5828406338023e-38,5.79335500377979e-34
"HPD",2.67954021888634,1.99051459796768e-38,7.28548248002151e-34
"MT-ND4",1.12705800758959,2.95650353560245e-38,1.08210985906585e-33
"MT-ATP6",1.92405747193026,9.76471531183661e-38,3.57398345128532e-33
"APBA2",-1.41697881566037,2.04122794727522e-37,7.47109840982203e-33
"ACTB",0.990137389643112,1.09637113440064e-36,4.01282798901978e-32
"PAGE4",10.4065750794545,6.43456346747292e-36,2.35511457472976e-31
"AKT3",-1.22196546997774,3.95320209016468e-33,1.44691149702118e-28
"CDK2AP2",4.48607786887259,9.92408535734099e-33,3.63231448164038e-28
"MT-ND2",1.03695255060476,1.06768875242019e-32,3.90784760273315e-28
"SELENOP",0.853333159668117,1.2028531532873e-32,4.40256282634685e-28
"MTRNR2L12",9.98727558339881,1.79801522227492e-32,6.58091551504842e-28
"SERPINC1",1.87776971350584,4.11425920975686e-32,1.50586001336311e-27
"RPLP1",0.741829468735133,4.61786726000537e-32,1.69018559583457e-27
"MT-ND4L",0.399836252091488,9.6237817004302e-32,3.52240034017446e-27
"PCNX2",-1.24319106910021,1.20732527842775e-31,4.41893125157341e-27
"RPS3",1.17843440639016,1.36012718441132e-31,4.97820150766386e-27
"MVB12B",-1.59507426304195,5.42014089394477e-31,1.98382576859273e-26
"UQCRQ",2.6231049724027,8.43823523155219e-31,3.08847847710042e-26
"ALB",-0.584381478147173,1.21494587602817e-30,4.4468234008507e-26
"ATP1B1",2.96597468598523,2.47479211683921e-30,9.05798662684321e-26
"EEF1A1",0.415557595299859,1.11642384668204e-29,4.08622292124093e-25
"ANK3",-1.78048585065672,3.44286564695589e-29,1.26012325544233e-24
"FABP1",-2.94057279818269,1.18610901412753e-28,4.34127760260819e-24
"C4BPA",2.14915830658081,1.40705173398925e-28,5.14995005157405e-24
"PPIA",1.58809225403695,1.48122568394869e-28,5.4214341258206e-24
"FP236383-3",-0.54826611732276,2.07858771405216e-28,7.60783889220229e-24
"CYP3A4",1.57366234440619,4.09994500370136e-28,1.50062087080473e-23
"HSP90AB1",1.98366806428961,1.73060984494881e-27,6.33420509349715e-23
"APOH",1.3307493186169,2.3882206570428e-27,8.74112642684234e-23
"RPL13",0.805071007324867,2.53156970615477e-27,9.26579828149709e-23
"POLD4",2.44146301575466,5.5533421742191e-27,2.03257876918593e-22
"NR3C2",-2.13472201007288,8.87096702659347e-27,3.24686264140348e-22
"RPL19",1.25739430850671,1.45825764375228e-26,5.33736880189773e-22
"IFITM3",1.7221760770703,2.07418167217143e-26,7.59171233831465e-22
"MT-ND3",1.07680908261733,2.69720182875632e-26,9.87202841343101e-22
"APOC2",0.625033848854452,3.7819868991707e-26,1.38424502496547e-21
"RARRES2",1.84917141454467,4.916327770783e-26,1.79942512738428e-21
"MT-ND1",0.920567061466004,5.73129238019197e-26,2.09771032407406e-21
"RPS2",1.19918803490654,6.7188922097578e-26,2.45918173769345e-21
"HSPD1",2.32959908200509,9.39526970002392e-26,3.43876266290575e-21
"AOAH",-0.467249416347085,1.077548125862e-25,3.94393389546752e-21
"RPL15",1.23776138084701,1.20912239221531e-25,4.42550886774725e-21
"GGH",5.80580814052185,2.56387146730683e-25,9.38402595748974e-21
"MT-ATP8",0.75374742958987,7.75466651624402e-25,2.83828549161047e-20
"PLCG2",1.40857674616143,5.91629159664537e-24,2.16542188728817e-19
"TMEM176A",2.07722585351545,3.76737423304846e-23,1.37889664303807e-18
"EPHX1",1.84693771482437,6.06010811524063e-23,2.21806017125922e-18
"STARD10",2.3739902064191,1.15839979953407e-22,4.23985910627465e-18
"SYTL3",-0.268643442557741,1.29753752329477e-22,4.74911708901117e-18
"TOR1AIP2",1.80710928272173,1.3163167290637e-22,4.81785086004606e-18
"CAMK4",-1.25090400175886,1.35628109475257e-22,4.96412443490389e-18
"EEF2",0.901084222677193,1.67838605175301e-22,6.1430607880212e-18
"AMBP",0.700903168487939,2.74800671551495e-22,1.00579793794563e-17
"PEBP1",1.39212829114419,4.16138966053529e-22,1.52311022965252e-17
"INPP4B",-0.865869723491086,5.85892278119377e-22,2.14442432714473e-17
"RPS23",1.36687859308175,8.94806998867109e-22,3.27508309655351e-17
"TAT",1.43696421793793,9.03343405170953e-22,3.30632719726621e-17
"GPX4",1.93476109089211,1.44167959660774e-21,5.276691491544e-17
"LINC00623",-1.65852125912667,1.87823072563919e-21,6.87451227891199e-17
"TTR",0.769809548066414,2.19235724987797e-21,8.02424677027835e-17
"KNG1",1.41486831203784,2.77867872396266e-21,1.01702419975757e-16
"RPLP0",1.04623411637735,5.4925489783106e-21,2.01032785155146e-16
"IL2RB",0.828607694431406,7.4276624112668e-21,2.71859871914776e-16
"NKG7",1.06175008379233,1.2611461053062e-20,4.61592086003124e-16
"CXCR4",-1.25572079511727,3.41419484458964e-20,1.24962945506825e-15
"LINC01138",-1.38094987569268,6.65854357451678e-20,2.43709353370889e-15
"HULC",2.91258627491872,1.63605043297067e-19,5.98810818971595e-15
"UGT2B4",2.32723174914882,1.82848292568877e-19,6.69243035631347e-15
"HGD",2.12778019881924,1.86484900314317e-19,6.82553383640433e-15
"FOXO1",0.263018834652015,2.07566493475109e-19,7.59714122768245e-15
"NME2",2.31339084590886,2.52360035961093e-19,9.23662967621197e-15
"RPL23A",1.64251634375143,3.85801745360515e-19,1.41207296819402e-14
"HSD11B1",2.77497914877547,4.72402595910329e-19,1.72904074129139e-14
"NDUFC2",2.46130439303993,6.79476994658329e-19,2.48695374814895e-14
"APOC4",2.16796905777829,6.87198928361555e-19,2.51521679769613e-14
"RNF19A",-0.410342085264024,1.11524311657085e-18,4.08190133096097e-14
"EIF1",1.16523645273733,1.20482427464723e-18,4.40977732763633e-14
"UBD",4.60789479656672,1.26461903081326e-18,4.6286321146796e-14
"PPP1R16B",-0.527749745203868,1.7508077956204e-18,6.40813161275023e-14
