"gene","log2FC","pvalue","padj"
"GLUL",3.60851098414719,5.95949803542476e-43,2.18123587594582e-38
"MT-CO2",2.12374026190192,7.00442374282182e-43,2.56368913411021e-38
"MT-CYB",2.01935618690838,2.68689270246037e-39,9.83429598027522e-35
"APOA2",0.56582935658323,1.78263824981698e-36,6.52463425815511e-32
"FTL",0.361634307542343,3.90070025723159e-36,1.42769530114933e-31
"MT-ATP6",2.67075923444903,3.25077563084294e-33,1.18981638864482e-28
"MT-CO1",1.45600789010836,6.16052797581657e-32,2.25481484442862e-27
"MTRNR2L12",9.93927188304757,5.29802539769275e-31,1.93913027580952e-26
"CPS1",2.53360822784124,5.37674990760672e-31,1.96794423368314e-26
"CYP2E1",2.27435540901726,7.49478547310889e-31,2.74316643101259e-26
"MALAT1",1.02283928479215,2.01078834637799e-29,7.35968642657808e-25
"MT-CO3",1.932223591687,4.93309139048771e-29,1.80556077983241e-24
"MT-ND4",1.89905793895647,9.11053716376924e-29,3.33454770731118e-24
"PAGE4",10.4685856946252,1.51286382847308e-28,5.53723289859431e-24
"APOA1",-4.32890038778343,6.99108333658026e-28,2.55880641202174e-23
"FP236383-3",-0.824720752205229,9.49526028205289e-28,3.47536021583418e-23
"HPD",3.25813478603691,9.86000208021557e-28,3.6088593613797e-23
"MT-ND2",1.88218401762211,2.31202076236742e-27,8.462227192341e-23
"ALB",-0.659943869952081,3.44845251465122e-26,1.26216810488749e-21
"DCXR",3.36824359108531,4.0603245752809e-26,1.48611939779856e-21
"HSP90AA1",3.15503656716356,3.66281928753712e-25,1.34062848743146e-20
"MT-ND5",1.44800197768666,3.89471684354212e-22,1.42550531190485e-17
"SLC1A2",4.61296768171756,1.0931772806297e-21,4.00113816483275e-17
"MT-ND1",1.62023395350284,1.68307383441287e-21,6.16021854133455e-17
"FP671120-4",-0.687972056135895,2.83073725802612e-21,1.03607814381014e-16
"MTRNR2L8",12.9033095460184,1.02724012058281e-20,3.75980156534513e-16
"FABP1",-8.98403988227519,6.77021150061688e-20,2.47796511134079e-15
"PDK4",2.71944713039031,1.57686216626542e-19,5.77147321474805e-15
"APOC3",0.491140180701496,1.21490952758542e-18,4.44669036191539e-14
"MT-ND3",2.17113242827134,1.47292069481647e-17,5.39103703509778e-13
"MT-ND4L",0.841913407992577,1.69753694582825e-16,6.21315497542597e-12
"SERPINA1",0.342579459004288,2.1949172204561e-16,8.03361651859137e-12
"DUSP5",-4.42006734806545,7.33680714513906e-16,2.68534478319235e-11
"HGD",3.26210137838176,9.34843739346931e-16,3.4216215703837e-11
"RBP4",0.812378546905679,2.83388268795899e-15,1.03722940261987e-10
"KDM2A",0.745867225901865,3.25180370433177e-15,1.19019267382247e-10
"HSD11B1",3.9659841188285,5.92913236207259e-15,2.17012173584219e-10
"CCND3",1.68930823364815,1.21771866691153e-14,4.45697209276289e-10
"SPARCL1",5.77232302135289,1.73140035291088e-14,6.33709843168911e-10
"CYP3A4",1.91056380668351,2.58726307065117e-14,9.46964156489036e-10
"SELENOP",1.28797655421378,4.68665108097742e-14,1.71536116214854e-09
"A2M",-1.92908758427809,6.21560392583196e-14,2.27497319289376e-09
"IGHA1",-3.56736647851269,1.5175397971727e-13,5.55434741163178e-09
"PPP1R21",1.45123576068046,1.54234805562883e-13,5.64514811840708e-09
"MPC2",3.84768340242162,3.16153979773056e-13,1.15715518136736e-08
"LINC01632",9.1760848257311,3.85760477455033e-13,1.41192192353316e-08
"DNAJB6",0.741412258553816,5.47857632450815e-13,2.00521372053323e-08
"AKR1C1",2.97037767043317,1.14595294571898e-12,4.19430237662602e-08
"C4BPA",2.62433277663892,1.16684823962116e-12,4.27078124183742e-08
"TXNDC5",-1.06008880498528,1.7581035078458e-12,6.43483464906641e-08
"COX6C",2.42447186197819,1.79590315792738e-12,6.57318514833e-08
"PUM1",0.358168823416172,2.58520414177809e-12,9.462105679322e-08
"APCDD1",4.64102901703934,4.37726254862933e-12,1.60212186542382e-07
"PHF20",1.76153460196599,4.59023882913553e-12,1.68007331385189e-07
"ATOX1",2.40141478084346,4.85576205979009e-12,1.77725747150377e-07
"PLCG2",0.769446085473529,4.96567608493119e-12,1.81748710384566e-07
"BPTF",0.817523663287477,5.43908417664326e-12,1.9907591994932e-07
"TXNIP",-1.83822831799303,7.9487451382906e-12,2.90932020806574e-07
"TOR1AIP2",1.62274336852345,1.00474446527008e-11,3.67746521733501e-07
"FTH1",0.907483793296403,1.28141476606171e-11,4.69010618526247e-07
"RARRES2",2.4071658763518,1.41166215855261e-11,5.16682466651841e-07
"RAP1GAP2",0.890571469559259,1.41731122034774e-11,5.18750079759477e-07
"AASS",3.16698732625596,1.45830741380177e-11,5.33755096525585e-07
"EPHX1",2.40225673512217,1.54186959732186e-11,5.64339691315774e-07
"ARID4B",0.567510140248557,1.72198440970613e-11,6.30263513796541e-07
"CELF2",1.07525142342476,2.21033213479742e-11,8.09003664657205e-07
"ASPSCR1",2.42052215715916,3.61278386514536e-11,1.32231502248185e-06
"AL135905-2",2.2823529236719,3.87247716792974e-11,1.41736536823396e-06
"CTH",3.1951992689087,4.45390219052521e-11,1.63017274075413e-06
"RPRD2",0.853954605559041,5.39858786095975e-11,1.97593714298988e-06
"SIN3A",0.589881377576776,5.56840417161188e-11,2.03809161085167e-06
"LINC02476",9.16529780335524,6.80438382255225e-11,2.49047252289235e-06
"NCOR1",0.512742277394061,6.86824219506704e-11,2.51384532581649e-06
"GAPDH",1.77479401853196,9.50210525433572e-11,3.47786554413942e-06
"CEMIP2",2.49549811326855,1.01143531468154e-10,3.70195439526589e-06
"APOE",1.02889136775434,1.17627268943568e-10,4.30527567060355e-06
"GATAD2B",0.651771064481382,1.33016528996723e-10,4.86853797780904e-06
"EIF4E",0.736315265110736,1.34325971213103e-10,4.9164648723708e-06
"PIP4K2A",0.801077470391697,1.3876249895599e-10,5.0788462242882e-06
"DENND4A",0.713741197204887,1.51781155517294e-10,5.55534207308848e-06
"FBXO11",0.535657485112794,2.30747323563341e-10,8.44558278974186e-06
"SPP1",3.60356256444592,2.3331881477456e-10,8.53970193956366e-06
"PITPNC1",2.21475031055791,2.51873552874917e-10,9.21882390877483e-06
"GRB2",0.283287489544374,2.5743700151543e-10,9.42245169246624e-06
"TAT",1.89375149045864,2.65075334165794e-10,9.70202230580224e-06
"NOP58",0.800254816147862,2.85470271734997e-10,1.04484974157726e-05
"FNBP1",0.978668376305741,3.1575599337675e-10,1.15569851135824e-05
"TENT5C",-1.46270070230397,3.36143519597904e-10,1.23031889608029e-05
"SYNE2",0.635771033988884,3.37874889933404e-10,1.23665588464525e-05
"SERPINC1",2.20696455558927,3.58338278576402e-10,1.31155393341749e-05
"SAFB2",1.09561411942327,3.81873775235465e-10,1.39769620473932e-05
"SMCHD1",0.391169386092872,4.13957362612635e-10,1.51512534289851e-05
"ABHD18",0.514067454198894,4.21648799053121e-10,1.54327676941433e-05
"HSPD1",1.57256637799661,5.15537185078161e-10,1.88691765110458e-05
"CBLB",2.00955017456506,5.49914901757278e-10,2.01274353192181e-05
"STAT4",1.40673768865763,6.52858931389653e-10,2.38952897477927e-05
"AOX1",2.15653065073063,7.01442270624974e-10,2.56734885471447e-05
