"gene","log2FC","pvalue","padj"
"APOA1",-4.50186471588493,0,0
"FTH1",2.00501494793912,0,0
"MT-CO2",1.55686295399509,0,0
"APOE",1.3640048775704,0,0
"RBP4",1.31711266224565,0,0
"APOA2",0.954362993776915,0,0
"SERPINC1",3.07482209389388,6.89242636604809e-300,2.52269697423726e-295
"CPS1",2.04203066375752,1.29604992539022e-288,4.74367233192073e-284
"ACTB",1.50478391454434,6.55753287895416e-277,2.40012260902601e-272
"GAPDH",2.41228321103532,1.81800139605063e-270,6.65406690968492e-266
"APOC3",0.672831602103601,1.12120284715869e-267,4.1037145408855e-263
"MT-CO1",0.987699673386286,1.06693406202209e-256,3.90508536040704e-252
"ANK3",-1.94969210504156,1.69938806100802e-255,6.21993024209546e-251
"AMBP",1.53988305733264,1.02932447245087e-254,3.76743050161742e-250
"INSIG1",2.45691551648299,2.80008292432913e-254,1.02485835113371e-249
"FTL",0.677886896921364,2.33847369662522e-253,8.55904757701798e-249
"CYP2E1",1.40846027862566,5.24027241497177e-253,1.91799210660382e-248
"MT-CYB",1.3912052413916,7.84747701382731e-252,2.87225506183093e-247
"MT-ND5",1.04664721401768,5.2150966465725e-242,1.908777523612e-237
"APOC2",1.06042741339781,9.14565287858421e-237,3.34740041009061e-232
"GLUL",2.62733326571143,4.63131141511187e-235,1.69510629104509e-230
"IL7R",-1.53882452369627,5.56576442453396e-232,2.03712543702367e-227
"APOC1",0.395528432597565,2.50278720107508e-229,9.16045143465489e-225
"RPS3",1.61127419310023,1.83980476150777e-227,6.73386940759458e-223
"KNG1",2.49724720797768,1.14504405732301e-223,4.19097575420795e-219
"EEF1A1",0.802769553393395,3.57306137090772e-223,1.30777619236593e-218
"EPHX1",3.02414834049826,1.454830310152e-221,5.32482441818733e-217
"RPL13",0.955324253782813,1.23721766445173e-220,4.52834037365977e-216
"APOB",0.599345770354662,1.83568348486843e-217,6.71878512296693e-213
"RPL10",1.49659537529289,8.92893852577442e-215,3.2680807898187e-210
"CAMK4",-1.30482990859609,1.2049650533374e-209,4.4102925917202e-205
"FN1",1.08730014277641,1.56530619349859e-209,5.7291771988242e-205
"AKT3",-1.60845898580248,7.48012029632996e-209,2.73779882965973e-204
"DCXR",3.17067590104745,3.45414452187597e-208,1.26425143645182e-203
"IFITM3",2.25738791986488,2.49687802033341e-207,9.13882324222231e-203
"B2M",0.291789795800137,3.19006627127425e-204,1.16759615594909e-199
"SELENOP",1.16975060559998,5.83885559134385e-204,2.13707953498776e-199
"ACTG1",1.81914326009485,2.91266893595416e-202,1.06606595724858e-197
"RPLP0",1.49884852639207,2.47318069286236e-194,9.05208865394552e-190
"CDK2AP2",4.69363495535094,1.29862899927104e-190,4.75311200023195e-186
"RARRES2",2.56418593236102,2.61681502882978e-190,9.57780468701989e-186
"HSP90AB1",2.49850197992519,3.75139873813401e-190,1.37304945214443e-185
"HSP90AA1",3.03423237014028,3.20293243053744e-187,1.17230529890101e-182
"CLU",1.50474613494151,2.5951558531116e-186,9.49852993797377e-182
"RPLP1",0.964522684016031,1.80820073164148e-184,6.61819549788099e-180
"ANG",3.04962399834272,1.46726899762431e-183,5.37035125820472e-179
"F5",2.35867819664315,2.66446273129026e-181,9.75220004279549e-177
"PPIA",1.90622651245459,5.77560165814081e-181,2.11392796289612e-176
"APOH",1.71641898931396,9.98928240369995e-181,3.65617725257822e-176
"SERPINA1",0.26229205096074,8.03072900910209e-179,2.93932712462146e-174
"TMEM176B",2.59643209426427,7.99171245808028e-177,2.92504667678196e-172
"IGKC",-3.07885235200777,7.90340684236739e-175,2.89272593837489e-170
"RPS2",1.4364640880791,3.10230845745106e-174,1.13547591851166e-169
"MT-CO3",1.32616847553058,6.63106796221622e-173,2.42703718485076e-168
"MKI67",4.87434956503603,1.59794636142622e-172,5.8486434774561e-168
"CD96",-1.17086218912471,5.02248944699675e-171,1.83828136249528e-166
"SPTBN1",1.37403226319408,6.37087146075988e-168,2.33180266335272e-163
"FGL1",1.49500828413778,3.85811819656385e-161,1.41210984112433e-156
"GC",1.69456461593591,1.72256620439514e-160,6.30476456470664e-156
