"gene","log2FC","pvalue","padj"
"APOC3",3.68434225266359,6.6550925286597e-16,2.43583041641474e-11
"APOC1",3.24717133245346,4.48748956107824e-14,1.64246605425025e-09
"APOA2",2.56590172248636,1.09495735279176e-13,4.00765340695312e-09
"ALB",2.2518496692885,3.13305705515078e-13,1.14673021275574e-08
"FTL",1.6203044050744,3.63428199399266e-10,1.33018355262125e-05
"TTR",3.09830282277127,4.29649869555244e-10,1.57256148755915e-05
"APOC2",4.72127407610987,1.43499084804485e-09,5.25221000292896e-05
"APOE",3.91988176453957,1.80945674054836e-08,0.000662279261608104
"GSTA1",9.17868852731669,1.92018545521883e-08,0.000702807078464643
"APOA1",2.65296339345284,2.35991258001639e-07,0.00863751603411799
"SELENOP",3.16295102971314,4.02403098317931e-07,0.0147283558015346
"PRAP1",8.79604592876583,5.12122369651865e-07,0.0187441908516279
"GLUL",2.14492363224042,1.37575526803751e-06,0.0503540185654409
"CYP2E1",4.76347955992864,1.5616075269553e-06,0.0571563970940911
"GATM",8.5298480643216,3.32509021282575e-06,0.121701626879635
"FGA",4.74874466426854,3.33841486103625e-06,0.122189322328788
"SERPINA1",2.19573731939333,4.13668492751463e-06,0.151406805031963
"APOH",4.18290482193036,4.31223978237842e-06,0.157832288274832
"GC",4.38712063039532,7.86066071036514e-06,0.287708042660075
"RBP4",2.15340881153331,1.2484059878318e-05,0.456929075606317
"EPHX1",8.32909449627345,1.35271410871434e-05,0.495106890930536
"CES1",3.09355853261777,1.35728686847955e-05,0.4967805667322
"DCXR",8.65992719400546,1.42139680520546e-05,0.520245444673252
"CYP3A4",8.39167858282567,1.53985092477906e-05,0.563600836978384
"FN1",3.81615350538449,1.63315966115426e-05,0.597752767579071
"AMBP",4.08676227838238,2.02394743923181e-05,0.740785002233233
"SERPINC1",8.21138804835839,3.23552031341588e-05,1
"HULC",2.89791488679034,5.48025769804225e-05,1
"FTH1",1.44404156180017,9.02821846126461e-05,1
"CYP2C9",7.84932113072106,0.000127821256422511,1
"AKR1C3",7.99969520635472,0.000127985767503685,1
"ALDH1A1",3.76974615096144,0.0001392185222316,1
"MT1E",7.94048958213399,0.000153896686253433,1
"BAAT",7.98878502988265,0.000177376325344153,1
"TMEM63A",8.03335064645642,0.000187761026912666,1
"AKR1C1",7.86459689106837,0.000210526467424537,1
"CLU",3.49360717715101,0.000300795540318315,1
"FOCAD",7.72105110482882,0.000332282894279497,1
"MGST1",3.41352617912268,0.000501180495207036,1
"ALDOB",7.70649232274344,0.000529541317963356,1
"CTSA",7.43371079089152,0.000560299826534666,1
"LMNA",7.56081888584058,0.000613797001741471,1
"SIMC1",7.78223201156535,0.000627646627465067,1
"UQCRQ",1.25605428757989,0.000712256641900174,1
"PRR12",3.0051561807479,0.000856492260534845,1
"TF",7.76151063233222,0.000871563655808084,1
"ARHGAP26",-2.11694977468047,0.000926880363184721,1
"POR",-6.50760494919383,0.00103193899178835,1
"VTN",3.71272266481815,0.00110893259381293,1
"UGT2B4",3.38407326255451,0.00112679693661398,1
"TBCA",7.69520318817479,0.00129577359460299,1
"KLHL24",2.07836978685694,0.00133962807173803,1
"STARD10",7.31760197469487,0.00146968674561436,1
"TPT1",0.868708572855981,0.00156908546637737,1
"UBE2E1",2.28759081545651,0.00157815227516419,1
"HPR",7.61316066443858,0.00160706372852507,1
"RBP5",7.40222643436036,0.00174216680198226,1
"KCNJ14",7.2677209554743,0.00177846493502072,1
"EIF2B3",-5.25889670738847,0.00178859291456293,1
"WRN",7.42594855521693,0.00181122248100184,1
"IGHG3",-7.64625537548232,0.00182009539087656,1
"DNAJC15",7.54946786592864,0.00186318591886924,1
"C12ORF75",-6.2516147285024,0.00191640770790999,1
"EHBP1L1",-3.44850995216326,0.00240332840796382,1
"KYNU",5.74457303076523,0.00248299603955666,1
"SMARCC1",1.25947179738531,0.00263476049770549,1
"SERPINA3",7.1127330445192,0.00271229975674783,1
"CD3E",-6.49497293138709,0.00277580703200805,1
"FAH",7.24559910632936,0.00281554929100858,1
"RBIS",2.14489760135818,0.00290943103565752,1
"HP",7.33947873414635,0.00302180353775358,1
"OSBPL8",2.06751321869283,0.00327455877247872,1
"HSPA4",2.23762901511882,0.0032871291681262,1
"ECI2",7.20784538564439,0.00329348136747892,1
"ITIH1",7.10249091727334,0.00332930863520382,1
"ST18",7.07541271836925,0.0034383198888059,1
"LINC02055",-6.34874577253907,0.0036819628792273,1
"UTP6",-5.83047877222396,0.00378595423542209,1
"DNAJB2",7.40679861733051,0.00383666925169577,1
"BMPR1A",7.08955535418954,0.00385059332039292,1
"LEAP2",7.35789514673131,0.00386540199102471,1
"PTPRF",7.08553776629183,0.00388431835864804,1
"APOB",2.46016521162346,0.00405267715244307,1
"ADH1A",7.05076297176411,0.00414786290179075,1
"HSPB11",7.12646724100535,0.00424448183812651,1
"SP140L",2.19709598206575,0.00429655221376957,1
"HADHA",7.02154137980941,0.00443788327687104,1
"SLC43A2",-6.71451496958077,0.00461235242727306,1
"ATP10D",-0.987628538340366,0.00469021985355052,1
"NDUFC1",7.32999023175072,0.004752119399917,1
"PDZD4",-4.32423137313686,0.00477911775837671,1
"MAIP1",6.95772573023455,0.00480815495647641,1
"ANKRD13C",-5.68360658669757,0.00485545193454678,1
"UBE2H",1.49471384734034,0.00490097332764797,1
"ROBO2",-5.65003792453624,0.00495131090890072,1
"INPP5A",5.160042398133,0.00496528924957095,1
"TFAM",-3.9952259964125,0.00503407287388185,1
"ACAT2",7.11864754508501,0.00553946807609713,1
"CPB2",6.91901982491275,0.0055560705463152,1
"TCL1A",-6.92417174568399,0.00555830872774791,1
"IGKC",-2.04819328584189,0.00564076903731792,1
"LY86-AS1",7.53164510496236,0.00575602700276845,1
"AC021678-2",7.29230279536378,0.00591718343892562,1
"MAFB",2.15903195439637,0.00593287570123236,1
"IL17RA",7.03834461168511,0.00612248260644107,1
"BHMT",7.00042251779365,0.00614705161118551,1
"MTTP",7.22949911938563,0.00650301924165672,1
"YAE1",6.89090393718291,0.00655624549970936,1
"VPS13A",2.62422344294951,0.00657352696729102,1
"CFHR1",7.32744605523822,0.00666919380531699,1
"ACSL6",6.88867391916443,0.00679897704692342,1
"SUGCT",6.96613332270113,0.00702793159090668,1
"HSP90AB1",1.32247885035013,0.00714298802045782,1
"AKAP17A",7.03475714121828,0.00714926110849104,1
"ECH1",2.09048664178656,0.0072972249901239,1
"IRF2",7.2755347188955,0.00730341506835833,1
"NOTCH1",7.04077528089197,0.00735468712706588,1
"IFI30",6.84179075619911,0.00740013072557247,1
"CDK11A",-5.71970474984956,0.00760411070453036,1
"NENF",6.87473369141101,0.00762108381188594,1
"LMF2",-4.13776717353983,0.0077998776729514,1
"CYB5A",2.54392851266739,0.00787087653362574,1
"TIMM10",7.39297383049082,0.00789971017631117,1
"CIAO3",7.32397048991847,0.00791474458361622,1
"PTGR1",2.98454625758302,0.00801850314688169,1
"APOA5",6.91090335343062,0.00813831464584701,1
"TRAPPC2",6.95036163168383,0.00824428999336925,1
"HIST1H1C",2.11177319959441,0.00824502068161368,1
"PRKCQ",-5.61452925832661,0.00832762772881509,1
"RNASEK",1.9714140161244,0.00856732795628657,1
"UTRN",-0.316642009006638,0.0085702751005253,1
"GSTO1",1.99676228327739,0.00857498463382142,1
"PDS5B",-1.24711999076392,0.00859745767008882,1
"CD200",7.05773636102976,0.0087328219823095,1
"RABEPK",7.11063882272894,0.00886432329812395,1
"MTG2",7.09503116601026,0.00895520038849688,1
"C2",6.83671841658312,0.00896510720195128,1
"ACSF2",6.81743650213686,0.00905502084079698,1
"NDUFB1",7.03182029937419,0.00910186493098526,1
"ZNFX1",3.25870402894232,0.00913150657294424,1
