"gene","log2FC","pvalue","padj"
"APOC3",4.49594905909244,9.61263181392466e-51,3.51831937021456e-46
"APOA2",2.80455000815866,9.36757612446432e-47,3.42862653731519e-42
"ALB",2.56534449656721,5.41411278208951e-46,1.98161941937258e-41
"APOC1",2.87096960615967,1.03959158551986e-45,3.80500916216123e-41
"TTR",3.3760749432596,2.27276272759321e-40,8.31853885926392e-36
"RBP4",5.83750841829093,1.34171184663556e-32,4.91079952987083e-28
"APOA1",4.33502650531469,2.44579659455811e-32,8.95186011574215e-28
"APOC2",5.31888175066004,2.76498547582813e-32,1.01201233400786e-27
"APOH",3.67764813535946,5.08203435571174e-25,1.86007539453406e-20
"GLUL",3.33580044146409,1.33407730087303e-23,4.88285632892539e-19
"AC105402-3",-1.37617377535686,3.41639937684161e-23,1.2504363359178e-18
"SELENOP",3.18818611913023,3.1529321782036e-22,1.1540047065443e-17
"TMSB4X",-1.33974314820116,3.55962229716786e-22,1.30285735698641e-17
"GATM",9.49727595096592,1.32406909538055e-21,4.84622529600235e-17
"AMBP",3.54543536736181,2.25167127420977e-21,8.24134203073519e-17
"MTRNR2L12",-1.19703756849255,3.91313151259123e-21,1.43224526492352e-16
"CES1",4.16196032496849,6.18737302286452e-20,2.26464040009864e-15
"ACTB",-1.15678819394695,3.41754275996188e-19,1.25085482557365e-14
"GSTA1",3.10822091873805,1.8553391752584e-18,6.79072691536326e-14
"APOB",5.52981883194166,2.28193734186028e-18,8.35211886494281e-14
"CYP2E1",3.21025857332815,2.33434894248433e-18,8.5439505643869e-14
"CYP3A4",9.0795354990183,2.71147809029014e-17,9.92428095827095e-13
"CST3",-0.9337394374789,4.20644783182024e-17,1.53960197092453e-12
"FN1",4.45459926047673,1.0042166183978e-16,3.67553324499778e-12
"PRAP1",4.6970898966342,1.2567594336737e-16,4.5998652031891e-12
"APOE",2.79753879556401,7.48627366224256e-16,2.7400510231174e-11
"HLA-B",-1.12035814461507,1.78954592913869e-15,6.54991705524051e-11
