"gene","log2FC","pvalue","padj"
"HLA-B",-1.31301541784611,3.49316472847973e-17,1.27853322227087e-12
"B2M",-1.04923106185392,1.68156805547565e-16,6.15470723984644e-12
"RPS29",-1.78583891625382,5.67020933381191e-16,2.0753533182685e-11
"ACTB",-1.49536188020057,2.39577786382573e-15,8.76878655938854e-11
"STAB1",-3.34771438175182,1.10544415956969e-14,4.04603616844102e-10
"HSPA1B",-1.20991750684966,3.46746687478628e-14,1.26912755084053e-09
"RPL13",-1.31978842915837,3.85454946254675e-14,1.41080364878674e-09
"AC105402-3",-1.20082673992996,6.53680290453678e-14,2.39253523108951e-09
"FAU",-1.96988967828205,1.20910637161162e-13,4.4254502307357e-09
"TMSB4X",-1.3831916911781,1.23003552220349e-13,4.50205301481698e-09
"PLCG2",-1.18708369105314,1.84545297438945e-13,6.75454243156284e-09
"PRRC2C",-1.65077822555999,3.1763591786797e-13,1.16257922298856e-08
"MALAT1",-0.852437183606582,9.63174196896798e-13,3.52531387806197e-08
"RNF213",-0.944399594842319,5.28835970691304e-12,1.93559253632724e-07
"RPL11",-1.42787768060865,5.51670518935713e-12,2.0191692663566e-07
"RPS27",-1.46612023862592,9.45078832605259e-12,3.45908303521851e-07
"SEC14L1",-1.50836892802392,9.54054773286988e-12,3.4919358757077e-07
"HIPK2",-1.56801031177267,1.01294728227037e-11,3.70748834783779e-07
"ANKRD11",-0.785116969102439,2.13033943450743e-11,7.79725536424065e-07
"CYTH1",-0.801692155624999,2.8965665017313e-11,1.06017230529867e-06
"RPS11",-1.37774059609445,3.44123479284826e-11,1.25952634653039e-06
"SRRM2",-1.34668000374159,3.90817367430405e-11,1.43043064653203e-06
"PECAM1",7.8024618706336,9.03964994102333e-11,3.30860227491395e-06
"RPS28",-1.24350003532858,9.39602132138677e-11,3.43903776384077e-06
"ANKRD44",-1.53649048449975,1.40539796089989e-10,5.14389707668967e-06
"RPLP1",-1.13280582690966,2.08924383695823e-10,7.6468413676508e-06
"LRMDA",-0.941223141085051,8.16934147643027e-10,2.99006067378824e-05
"FKBP5",-0.842218709559578,1.35113876777305e-09,4.94530300392615e-05
"ANO2",7.6130826575762,1.668671279262e-09,6.10750374922686e-05
"CLEC4M",-10.5150372835849,1.99582511782356e-09,7.30491951374603e-05
"MACF1",-0.614401865904008,2.63065910831404e-09,9.62847540234021e-05
"RPL23A",-0.975573549423763,2.63089353918841e-09,9.6293334427835e-05
"VWF",5.89414488981518,3.18867060455762e-09,0.000116708532797413
"SPRY1",7.50431689884608,3.69620706588264e-09,0.00013528487481837
"BTG1",-1.4949316440496,3.69686063317184e-09,0.000135308796034722
"INSR",-1.2163878042244,5.82974993888373e-09,0.000213374677513083
"RPS2",-1.14240249089308,6.00086570638635e-09,0.000219637685719447
"STAB2",-7.45689784281745,6.22300088435585e-09,0.000227768055368309
"MIR99AHG",-2.32125544037894,6.46319553760978e-09,0.000236559419872055
