"gene","log2FC","pvalue","padj"
"APOA2",2.67503009873077,2.71272101822651e-164,9.92883019881086e-160
"APOC1",2.62763124165609,1.65207676239891e-144,6.04676615805625e-140
"APOC3",3.30617845985358,9.06053314303179e-137,3.31624573568106e-132
"ALB",1.93267443608583,1.25070437109176e-133,4.57770306863297e-129
"TTR",2.68135439548394,7.50395549069719e-105,2.74652274915008e-100
"FTL",1.50073872791117,5.20075363758215e-96,1.90352783889144e-91
"RBP4",3.62544658321732,3.87323125201428e-79,1.41764137054975e-74
"APOA1",3.53972129311353,5.11271249985885e-79,1.87130390207334e-74
"AMBP",3.00563032996802,1.19015700072989e-60,4.35609363837148e-56
"APOC2",3.33731570894894,7.92779021118843e-60,2.90165049519708e-55
"IGKC",-2.47201792461185,9.79814333127608e-52,3.58621844068036e-47
"SELENOP",3.44373465172768,3.16690344624981e-50,1.15911833036189e-45
"FTH1",1.73107920122816,1.32859221721017e-46,4.86278037421095e-42
"APOH",2.43484359578331,1.0062923689587e-39,3.68313069962573e-35
"APOB",2.75326760766984,8.47357569376517e-38,3.10141343967499e-33
"GSTA1",2.84154122618963,1.47686378036114e-37,5.4054691224998e-33
"TXNIP",-1.91366223401322,4.94684151000322e-37,1.81059346107628e-32
"SERPINA1",2.33903702719831,1.06955577451832e-36,3.9146810903145e-32
"CYP2E1",2.70975097625628,1.5826990424471e-35,5.79283676526063e-31
"B2M",-1.11248512679285,2.88458539322811e-35,1.05578709977542e-30
"HLA-B",-1.39162293982959,5.34451481770205e-35,1.95614586842713e-30
"HLA-A",-1.47464780376579,2.61672244236798e-34,9.57746581131105e-30
"APOE",3.04555614853393,3.74366386559787e-34,1.37021841144748e-29
"TXN",2.4922710215328,5.31413321448096e-34,1.94502589783218e-29
"CYP3A4",3.75847515532726,8.1771708081523e-33,2.99292628749182e-28
"FN1",2.72175425910965,1.19968983190416e-31,4.39098475375243e-27
"CES1",2.50282260984979,1.85788697290431e-31,6.80005210952708e-27
"MGST1",3.07285899814567,6.05252781450085e-30,2.21528570538546e-25
"GATM",3.26826225870895,7.04497323520926e-30,2.57853065381894e-25
"GLUL",2.24904142137415,2.8514708138825e-29,1.04366683258913e-24
"PRAP1",3.01417312467456,4.91917152414565e-28,1.80046596955255e-23
"HLA-E",-1.5818519689473,9.25326598418237e-27,3.38678788287059e-22
"PARP8",-1.78881126081771,1.56549255983393e-26,5.72985931824816e-22
"HLA-C",-1.45856578242739,3.16545731527437e-26,1.15858903196357e-21
"GC",3.89441037486993,6.28167401153984e-25,2.2991555049637e-20
"ETS1",-2.2002354799575,1.32071160005846e-24,4.83393652737397e-20
"CCND3",-1.70540402126039,1.90605540956862e-24,6.97635340456209e-20
"CXCR4",-2.05076149252996,2.05805492376704e-24,7.53268682647974e-20
"APOC4",4.48266959446903,2.80639523387484e-24,1.02716871955053e-19
"ALDH1A1",1.8386517238931,8.39497399727036e-24,3.07264443274092e-19
"CLU",3.07847893630282,3.6615900658355e-23,1.34017857999645e-18
"AZGP1",4.02039373500618,4.50027353901465e-23,1.64714511801475e-18
"DCXR",2.55387759881928,4.93724451285676e-23,1.8070808641507e-18
"TPT1",0.819392845641611,5.52731899040673e-23,2.02305402367877e-18
"PITPNC1",-1.56036680047773,7.79660259475315e-23,2.8536345157056e-18
"BTG1",-1.65835684656126,1.15935633916016e-22,4.2433601369601e-18
"VTN",3.06231438501833,1.2007864433772e-22,4.39499846140488e-18
"NKG7",-1.73081984839032,2.28842815560412e-22,8.37587589232665e-18
"MALAT1",-0.585933735509077,2.87851010818627e-22,1.05356348469726e-17
"IL7R",-2.70546151039667,3.4191728181043e-22,1.25145144315436e-17
