"gene","log2FC","pvalue","padj"
"APOA2",3.11056504949298,9.20242667956716e-257,3.36818018898838e-252
"APOC1",3.75030990247656,5.02842008115922e-253,1.84045203390509e-248
"ALB",2.7057377925467,1.09022655481823e-243,3.99033821329022e-239
"APOC3",4.06870879930642,3.89092123782277e-230,1.42411608225551e-225
"TTR",4.10424948284515,4.43538070725461e-207,1.62339369266226e-202
"APOA1",4.35011752217105,7.09006077225262e-140,2.59503314325218e-135
"RBP4",4.86733367202502,1.26390479539172e-138,4.62601794161325e-134
"MTRNR2L12",-0.972771404373099,2.0267353010654e-111,7.41805387542947e-107
"APOC2",3.95926889157579,5.18246611060265e-109,1.89683442114168e-104
"AMBP",3.61592795498692,4.08103124623563e-104,1.4936982464347e-99
"AC105402-3",-1.01810781215077,8.04260856967669e-96,2.94367516258737e-91
"FTL",1.04832386802083,3.7960040486477e-92,1.38937544184555e-87
"APOH",5.19740663960353,7.15148709700423e-87,2.61751579237452e-82
"GSTA1",4.37984974560334,6.23505923818982e-80,2.28209403176986e-75
"SELENOP",3.00933269741925,6.72549856768376e-80,2.46159973075793e-75
"PRAP1",8.19701889689839,7.07206834512693e-79,2.58844773499991e-74
"HLA-B",-1.04072933027157,3.23222576564895e-77,1.18302695248517e-72
"CYP2E1",4.37240408798305,7.99352736234123e-75,2.92571094989051e-70
"CES1",4.01080461544515,2.78491129422425e-74,1.01930538279902e-69
"TXN",3.07061192756526,6.68364424030524e-72,2.44628062839412e-67
"SERPINA1",2.29371468760622,4.55609528626059e-71,1.66757643572424e-66
"GLUL",2.37346772794452,3.02443542791515e-67,1.10697361097123e-62
"IGKC",-2.27104677184621,5.13026105599598e-66,1.87772684910509e-61
"B2M",-0.800176682113992,2.40034107219039e-64,8.78548835832406e-60
"FN1",3.28109000809871,4.14643605411426e-61,1.51763706016636e-56
"APOE",3.07244250668506,6.55867160218083e-61,2.40053939311421e-56
"APOB",3.78056283668228,3.53583048427248e-59,1.29414931554857e-54
"MT-ATP8",-0.836859420447436,4.07047180199102e-58,1.48983338424673e-53
"CCND3",-0.991990094847847,4.92233904601276e-58,1.80162531423113e-53
"DCXR",4.41491378182219,1.62302518182142e-56,5.94043446798458e-52
"ALDH1A1",3.15753805902442,8.58508645980266e-56,3.14222749515237e-51
"CCL5",-2.16774259079714,2.56007783786897e-55,9.37014089438421e-51
"UQCRQ",2.19850946916261,5.70408909073204e-53,2.08775364809883e-48
"GATM",4.43110089553752,1.00420540929378e-52,3.67549221855616e-48
"FTH1",1.10495739528533,8.28900895243322e-52,3.03386016668008e-47
"MGST1",4.24301389062071,2.14621784835632e-51,7.85537194676896e-47
"TXNIP",-1.05809875990753,1.87712122036269e-50,6.87045137864947e-46
"PRF1",-2.87044674925936,2.97261897924381e-50,1.08800827259303e-45
"VTN",3.87982978619599,3.71677590980516e-48,1.36037715074779e-43
"CYB5A",8.1660000543399,4.06444052687063e-47,1.48762587723992e-42
"MT-CO1",-0.621595053211245,1.02610447624285e-45,3.75564499349645e-41
"APOC4",4.97616766767194,1.18106648879442e-44,4.32282145563646e-40
"CD247",-2.07142386938043,2.70534849378637e-44,9.90184602210751e-40
"RABGAP1L",-0.803432557417174,6.50153540887358e-44,2.37962697500182e-39
"CLU",3.75290835298306,1.3337867747284e-43,4.88179297418341e-39
"TMSB4X",-0.819965525567596,1.69225828223911e-43,6.19383453882338e-39
"MT-CO2",-0.618147861483624,3.48571098309189e-43,1.27580507692146e-38
"PARP8",-1.40795112031535,4.7422667343487e-43,1.73571704743897e-38
"KLRD1",-2.72102805190992,1.40355166195593e-42,5.13713943792489e-38
"CYP3A4",5.24522778927616,7.31015409464423e-42,2.67558950018073e-37
"PTGR1",2.91321846419498,2.63702111593557e-41,9.65176098643576e-37
"ACTB",-0.673113584542999,3.00279921389603e-41,1.09905454027809e-36
"IKZF3",-2.60655276401364,1.26744257612652e-40,4.63896657288067e-36
"MT-ND5",-0.60716600709725,2.36192573820385e-40,8.64488439439992e-36
"LEAP2",3.4735971321393,5.55917328932024e-40,2.0347130156241e-35
"MT-ND4L",-0.611910293210006,1.49269268331832e-39,5.4634044902134e-35
"TPT1",0.77812996697494,1.67185750756574e-39,6.11916566344137e-35
"MT-ND4",-0.606964157899701,2.28863890736262e-39,8.37664726483792e-35
"MT-ATP6",-0.589278006483317,4.74053978559827e-39,1.73508496692682e-34
"PRKCH",-1.00451265559942,1.6406177167351e-38,6.00482490502216e-34
"MT-ND2",-0.601555945147243,1.44987183396452e-37,5.30667589949353e-33
"PITPNC1",-1.13699045633666,2.01838355022082e-37,7.38748563216321e-33
"SYTL3",-1.50389651686028,2.12112364882639e-37,7.76352466706949e-33
"HLA-A",-0.633773583578213,3.08294613627845e-37,1.12838911533927e-32
"HSPB1",1.40763725943459,1.86509315873679e-36,6.82642747029253e-32
"SYNE2",-1.92216773511277,3.43884844246209e-36,1.25865291842555e-31
"HLA-C",-0.862149244463457,5.99650346832412e-36,2.19478023444131e-31
"HP",5.40496063228289,1.21353811640362e-35,4.44167085984888e-31
"CBLB",-1.11065699389337,1.32669660617989e-35,4.85584224827902e-31
"RPS29",-0.822389462586051,3.76469877934834e-35,1.37791740022928e-30
"RPL7",1.04880955824493,6.30530731495359e-35,2.30780553034616e-30
"MT-ND1",-0.604335942251991,6.74703849056497e-35,2.46948355793168e-30
"PIP4K2A",-0.682751903660686,2.33380825945903e-34,8.54197161044601e-30
"NAMPT",1.2353205502341,5.42910316843938e-34,1.9871060506805e-29
"PTPRC",-0.570074307674855,6.66248899394193e-34,2.43853759667269e-29
"SERPINC1",5.34250824068195,9.26040540736228e-34,3.38940098314867e-29
"CD69",-2.28955118184996,1.90897961831323e-33,6.98705630098827e-29
"AHSG",3.43724065545119,1.94248021958312e-33,7.10967185169619e-29
"RPLP1",-0.644828134425246,2.39589623381252e-33,8.7692198053772e-29
"NKG7",-1.51793602586388,2.99344395980167e-33,1.09563042372701e-28
"UGT2B4",3.58759817841327,5.85490182761274e-33,2.14295261792454e-28
"ETS1",-2.02290871307075,6.45949068658889e-33,2.3642381861984e-28
"MYH9",-1.0747825182861,3.07779750040993e-32,1.12650466312504e-27
"GNLY",-2.18927748766608,4.10701790118748e-32,1.50320962201363e-27
"CARD11",-1.77583207444259,6.90706695732548e-32,2.5280555770507e-27
"GC",4.02024453393085,7.50438279885383e-32,2.74667914820849e-27
"CDC42SE2",-0.818217025630311,1.90687983955145e-31,6.97937090074226e-27
"BTG1",-0.888423211602764,2.03521637656816e-31,7.44909545987712e-27
"TF",4.91868463595845,2.49226614094504e-31,9.12194330247295e-27
"GSTA2",3.37930566860565,2.94588691329701e-31,1.07822406913584e-26
"AKR1C1",4.21271107251104,3.92149944363999e-31,1.43530801136667e-26
"MT-CYB",-0.572747329962572,4.84121499243556e-31,1.77193309938134e-26
"SKAP1",-1.85399992628851,8.09050434247487e-31,2.96120549438923e-26
"IL7R",-2.5247027339154,8.25858748620548e-31,3.02272560582607e-26
"HULC",2.27429640468141,3.35539513101949e-30,1.22810817190444e-25
