"gene","log2FC","pvalue","padj"
"AC105402-3",-4.86812087808435,0,0
"MALAT1",-0.853368799432691,4.69273281635092e-289,1.7175871381126e-284
"B2M",-1.79566337984313,1.05079016567616e-250,3.8459970853913e-246
"HLA-B",-1.78628948659193,8.48653550787866e-202,3.10615686123867e-197
"MT-CO2",-0.773954972261962,9.57645458793894e-201,3.50507814373153e-196
"MT-ATP6",-0.778539173658067,3.87241629593564e-199,1.4173430884754e-194
"MT-CO1",-0.74131051645277,2.65104300626848e-184,9.70308250724326e-180
"RPL41",-2.89267009255155,1.36327606728446e-181,4.98972673386785e-177
"MT-ND4",-0.735790156612258,7.93891687924774e-179,2.90572296697346e-174
"RPS29",-2.89078517969998,1.14073827693871e-177,4.17521616742338e-173
"RPLP1",-2.33804748713,1.13866855681931e-172,4.16764078481437e-168
"TMSB4X",-2.63417281880301,1.87374099068377e-160,6.85807940000165e-156
"RPS27",-2.81027383364977,2.97722769105474e-157,1.08969510720294e-152
"HLA-A",-1.83361526136724,1.3645252022352e-148,4.99429869270106e-144
"RPS19",-2.12502897136043,1.63158624133397e-134,5.97176880190645e-130
"MT-CYB",-0.650733240704017,8.50077508227848e-133,3.11136868786475e-128
"RPL13",-1.61775015279981,2.07133626583146e-130,7.58129786656974e-126
"ACTB",-1.73260844208911,7.99222624294808e-130,2.92523472718143e-125
"RPL28",-2.41295149180379,1.38996572555019e-126,5.08741355208624e-122
"HSPA1B",-3.0992992536591,2.14203374212971e-125,7.84005769956895e-121
"NKG7",-4.15987527664908,1.17709528926523e-124,4.30828646823968e-120
"IGKC",-2.64030969221422,1.85913283380192e-124,6.80461208499841e-120
"MT-CO3",-0.656169486751544,6.6923900025333e-124,2.44948166482721e-119
"TMSB10",-2.88242499046717,2.83545793173185e-123,1.03780595759317e-118
"HSPA1A",-3.34132525040607,3.90160834988833e-123,1.42802767214263e-118
"MT-ND5",-0.51508135770722,6.41053881347759e-123,2.34632131112093e-118
"MT-ND2",-0.585530026110249,3.37906578939224e-116,1.23677186957545e-111
"RPL37A",-2.36835644182055,3.56566793420403e-114,1.30507012059802e-109
"HLA-C",-2.26833762734211,5.81604087558468e-113,2.12872912087275e-108
"TXNIP",-1.61609955086839,9.39981180213965e-113,3.44042511770113e-108
"RPS28",-2.74255967209366,3.07049168265223e-112,1.12383066076754e-107
"CCL5",-2.5882352955233,4.87360141538441e-109,1.78378685404485e-104
"RPL13A",-1.89189902316331,1.1367322092025e-106,4.16055355890207e-102
"RPLP2",-2.60850851866006,1.02520145210955e-102,3.75233983486615e-98
"MT-ATP8",-0.382244721614073,1.48588162889462e-102,5.43847534991721e-98
"RPS14",-2.86960420944922,1.99630632575476e-102,7.306680782895e-98
"RPS27A",-2.64969334310641,5.51062059368654e-99,2.01694224349521e-94
"RPS11",-2.89138370709308,9.38148833296592e-96,3.43371854474886e-91
"HSP90AA1",-0.738226900693328,1.31715492450825e-92,4.82091873919263e-88
"RPS18",-2.65909083846332,1.68506278502785e-88,6.16749829948042e-84
"MT-ND1",-0.512429569226168,2.24815604756016e-88,8.22847594967496e-84
"RPL34",-2.18351337533249,5.5399587983392e-88,2.02768031978013e-83
"RPS2",-2.18294089604964,8.83705927195412e-88,3.23445206412793e-83
"RPS21",-2.7450571000374,2.28062697051071e-87,8.34732277476626e-83
"CCND3",-0.608123601922953,4.16450611115913e-87,1.52425088174535e-82
"EEF1A1",-1.39816129369671,8.26073718382408e-87,3.02351241665145e-82
"RPL39",-2.81758331447022,1.64753819708418e-86,6.03015455514781e-82
"RPS16",-2.74864475142336,1.98090858427829e-82,7.25032350931695e-78
"RPL27A",-2.56210776158246,1.19084151964847e-80,4.35859904606537e-76
"RPS12",-2.50573602338432,2.01891410659907e-80,7.38942752156324e-76
"PLXDC2",2.31418544919382,4.07594599562247e-78,1.49183699385778e-73
"RPS15",-2.35217358139681,5.18832406333156e-77,1.89897849041999e-72
"RPS15A",-2.97820892302646,3.36616822310141e-76,1.23205123133735e-71
"CYBA",-2.56456306649718,5.44370901643034e-76,1.99245193710367e-71
"ARHGAP15",0.622329428883403,5.31229771105639e-75,1.94435408522375e-70
"RPL30",-2.67817914935296,5.57555611448815e-75,2.04070929346381e-70
"BTG1",-1.56731363977728,6.92835057649656e-75,2.53584559450351e-70
"RPL11",-2.39374616487302,1.74611708894613e-73,6.39096315725174e-69
"FYN",-0.597240349898233,2.42963426825111e-73,8.89270438522589e-69
"PITPNC1",-0.451486825164323,4.16044440568404e-73,1.52276425692441e-68
"S100A4",-3.03478824041537,5.31431875777368e-73,1.94509380853275e-68
"PTPRC",-0.572212320044587,3.89981722516699e-72,1.42737210258337e-67
"RABGAP1L",-0.464361745225133,6.24424318894527e-71,2.28545544958586e-66
"RPL10",-2.60859502339393,8.34678413333819e-71,3.05500646064311e-66
"PRF1",-2.86333039152998,1.46272892204648e-70,5.35373412758234e-66
"SRGN",-0.918659513005267,1.89546553955281e-70,6.93759342131724e-66
"PRKCH",-0.411896760531778,1.98108189066244e-70,7.25095782801361e-66
"HLA-E",-1.46797382419717,3.7002390503592e-70,1.35432449482197e-65
"PTMA",-1.39339234169241,1.41443346233433e-69,5.1769679154899e-65
"PIP4K2A",-0.492908658028652,5.70579784737628e-69,2.08837907011819e-64
"RNF213",-0.980792152438219,1.90637957250417e-68,6.97753987332252e-64
"IL32",-2.93869586866617,4.00746310350808e-68,1.46677157051499e-63
"RPL23A",-2.76885649531939,5.38606579201469e-68,1.9713539405353e-63
"FAU",-2.76443677606989,1.6234721440696e-67,5.94207039450915e-63
"RPL19",-2.63706261648983,2.73062076934028e-67,9.99434507786234e-63
"RPS3",-2.36086617436613,9.41674404455091e-67,3.44662248774608e-62
"PTPRD",1.87867083441798,1.20136068244516e-66,4.39710023381754e-62
"RPL38",-2.71166990215528,2.48773266145111e-65,9.1053503141772e-61
"RPS23",-2.66222673576082,2.91636836599066e-64,1.06741998563624e-59
"RPL23",-2.82075377027317,4.28286649125757e-64,1.56757196446518e-59
"AL136456-1",1.87754959314888,7.94572030005897e-64,2.90821308702458e-59
"LINC01619",1.10100846397789,1.99483231041251e-63,7.30128573934081e-59
"CCNH",0.263114138457537,3.83098228704277e-63,1.40217782688052e-58
"RPL18A",-2.1834072710298,4.07524598217937e-63,1.49158078193747e-58
"CNTNAP2",1.7161900314844,8.30128543449026e-61,3.03835348187778e-56
"LRP1B",1.69348063486118,1.04838129490375e-60,3.83718037747721e-56
"SYTL3",-0.521333845108709,1.54891109195706e-60,5.66916948767203e-56
"RPL37",-2.37965276519201,2.22030755984414e-60,8.12654769978555e-56
"KLRD1",-2.33879298963004,2.41853523402635e-60,8.85208081005986e-56
"DPYD",0.667253655181157,5.88137535921347e-59,2.15264219522572e-54
"ZBTB20",0.702347449498426,2.27887878522054e-58,8.34092424178572e-54
"RPL3",-2.11669562882909,2.48151184924047e-58,9.08258151940504e-54
"CD247",-0.921590039085531,1.70140457386371e-57,6.22731088079856e-53
"RPS20",-2.34090057143381,9.168020593654e-57,3.3555872174833e-52
"RPL21",-2.2215931433154,1.48872471809307e-56,5.44888134069243e-52
"ITGAL",-1.63670557074718,2.99663380887552e-56,1.09679794038653e-51
"NAMPT",1.35269481274677,3.48519719591146e-56,1.27561702567555e-51
"MYO1F",-1.50345290001131,6.22134183825848e-56,2.27707332622099e-51
"RPL18",-2.23797157668276,1.0454037450385e-55,3.8262822472154e-51
"FKBP5",0.580632259392176,1.30295753655e-55,4.76895487952665e-51
"NFKB1",0.86141149656859,1.52999049012645e-55,5.59991819291182e-51
"DNAJB1",-2.16287297604977,3.43928409911292e-55,1.25881237311632e-50
"GZMH",-4.14404352639256,8.21930476226525e-55,3.0083477360367e-50
"RPL35A",-2.44273527356324,2.29962625879875e-54,8.41686206982929e-50
"ZFP36L2",-0.859764006018361,1.84396770652053e-53,6.74910620263581e-49
"CD74",-1.86330068705459,2.54265615105962e-53,9.3063757784933e-49
"GNLY",-2.38561217853669,1.00014947870891e-52,3.66064710702247e-48
"CTNNA3",1.9060223910981,3.82562078741336e-52,1.40021546440117e-47
"EYS",1.72295722120903,7.51951231770717e-52,2.752216703404e-47
"PRKG1",1.65306518218053,7.61297195653466e-52,2.78642386581125e-47
"JMJD1C",0.324773963927657,1.66803421833251e-51,6.10517204251882e-47
"RBMS3",1.65966637700864,2.57855407018302e-51,9.43776575227685e-47
"CCSER1",1.00846656949482,4.54672771701964e-51,1.66414781170636e-46
"MACROD2",1.58926580488777,5.5022755673835e-51,2.01388788041803e-46
"SMCHD1",-0.32819104148656,1.63823874367883e-50,5.99611762573888e-46
"ELMO1",0.98204846820219,2.23648518467827e-50,8.18575942444095e-46
"HDAC9",0.818685214466017,2.29027937129957e-50,8.38265152689357e-46
"RBPJ",1.29486014552617,4.23567828867635e-50,1.55030061043843e-45
"AOAH",-1.42406081498003,6.96595884542945e-50,2.54961059701563e-45
"CSMD1",1.43095115264858,9.89711921636801e-50,3.62244460438286e-45
"GPC5",1.66996343824209,9.90933847923438e-50,3.62691697678457e-45
