"gene","log2FC","pvalue","padj"
"APOA2",3.54885439814891,0,0
"APOC1",3.65342906780828,0,0
"ALB",3.01034750836559,0,0
"APOC3",4.77885642222339,0,0
"TTR",4.47336764873778,0,0
"APOA1",5.03187513499905,0,0
"RBP4",5.0483902458708,0,0
"APOC2",4.66896804367201,0,0
"MTRNR2L12",-0.948948296611904,0,0
"AMBP",4.94509916241421,1.97626258336499e-323,7.23331868137419e-319
"FTL",1.79440775312557,1.55073668830871e-317,5.67585135287872e-313
"AC105402-3",-0.92867183769917,9.60559523917417e-289,3.51574391349014e-284
"SELENOP",4.21553691060304,4.38991200611618e-240,1.60675169335858e-235
"GSTA1",4.84210010443212,1.6500841596052e-236,6.03947303257099e-232
"CYP2E1",4.36769739997504,2.32028473618083e-220,8.49247416289544e-216
"APOH",3.94288499299916,4.09838120667787e-215,1.50004850545617e-210
"CES1",4.28258952569725,1.13470923875667e-196,4.1531492847733e-192
"SERPINA1",3.39438893752785,3.78463607633242e-190,1.38521465029843e-185
"APOB",4.73707783017421,4.78498283466162e-189,1.7513515673145e-184
"APOE",4.4776540337504,5.04365060361733e-189,1.84602655742998e-184
"MT-ND5",-0.516170501819977,3.00846678712502e-186,1.10112892875563e-181
"MT-ATP8",-0.956179628997597,4.04426547753226e-181,1.48024160743158e-176
"MT-CO1",-0.464241967737157,1.2293544688385e-180,4.49956029139581e-176
"MT-ND2",-0.485124728444696,6.53182141976011e-180,2.3907119578464e-175
"TXN",2.98238735254843,7.86079292558054e-179,2.87712881869173e-174
"MT-ND1",-0.437265026985948,4.83459486732358e-176,1.76951006738911e-171
"PRAP1",4.66944122440671,3.73751432976532e-174,1.3679676198374e-169
"MT-ND4",-0.459608602076863,3.39525709029983e-170,1.24269804762064e-165
"FN1",3.51049413587344,1.1547261439459e-168,4.2264131594564e-164
"GATM",4.49139032593229,5.60185209889124e-164,2.05033388671518e-159
"FTH1",1.75482421531085,5.36073799729056e-159,1.96208371438832e-154
"MT-CO2",-0.442925381349453,8.01960777554549e-159,2.9352566419274e-154
"MT-ND4L",-0.737546731111119,1.13024762721548e-153,4.13681934037139e-149
"IGKC",-2.10086648933958,4.97650254271283e-146,1.82144969565832e-141
"MT-ATP6",-0.424784620144968,5.38673088623756e-144,1.97159737167181e-139
"ALDH1A1",3.32044209601561,5.02703209138902e-136,1.8399440157693e-131
"MT-ND3",-0.403568563989649,2.5628328941708e-135,9.38022467595453e-131
"UQCRQ",2.82062800989082,1.34034933306214e-132,4.90581259394072e-128
