"gene","log2FC","pvalue","padj"
"APOC3",3.47804316617788,5.78385244954192e-40,2.11694783505684e-35
"ALB",2.47865467492873,9.05896469392178e-40,3.31567166762231e-35
"IGKC",-1.7623087530933,4.87900024913456e-38,1.78576288118574e-33
"APOC1",2.37206981090265,2.79921781915701e-37,1.02454171398966e-32
"TTR",3.36245585532368,2.12661328080353e-35,7.783617269069e-31
"APOA2",2.59244527284096,7.31241106297633e-35,2.67641557315997e-30
"APOA1",3.48139713001582,5.1982195236471e-32,1.90260032785008e-27
"RBP4",4.14667171838932,3.52726357809124e-30,1.29101374221717e-25
"SELENOP",4.04661952196347,2.79642111411069e-28,1.02351809197566e-23
"APOC2",4.56947172357939,5.8747103324275e-27,2.15020272877179e-22
"AMBP",3.59914207456753,1.59307852404501e-24,5.83082670585713e-20
"B2M",-1.13271312574155,6.33944478423428e-22,2.32030018547759e-17
"SERPINA1",3.44849073857948,5.3388167475427e-21,1.9540603177681e-16
"APOH",3.57503744459855,2.17223269045923e-20,7.95058887034982e-16
"PTGR1",3.37348605237375,9.90753417918364e-20,3.626256584923e-15
"GATM",4.315389273693,1.26933316338542e-18,4.64588631130699e-14
"HLA-B",-1.19068459363662,1.79631449980995e-18,6.57469070075439e-14
"APOC4",10.9774070873389,2.68625189751823e-17,9.83195057010646e-13
"GSTA1",3.32813387993015,2.84843621228034e-17,1.04255613805673e-12
"CYP2E1",3.74672741068486,5.27372603998089e-17,1.93023646789341e-12
"RPLP1",-1.01071140412431,1.31083901971652e-16,4.79780189606442e-12
"FN1",4.39074237477953,1.43533782739556e-16,5.25347998205048e-12
"APOE",3.17485855873306,3.50300421827912e-16,1.28213457393234e-11
"TXN",2.75379584153261,7.75039277903541e-16,2.83672126105475e-11
"VTN",3.47014008299536,1.18519910618253e-15,4.33794724853868e-11
"IGHG4",-2.73706664001638,1.6785836862898e-15,6.14378415018929e-11
"PRAP1",4.49080095930679,3.68250466839451e-15,1.34783353367907e-10
"CES1",3.25696991027191,1.62250897792948e-14,5.93854511011968e-10
"ALDH1A1",2.87875516026843,1.10037963073098e-13,4.02749948643845e-09
"AHSG",5.41498932585185,2.85262601598741e-13,1.04408964811155e-08
"FTL",1.35318130556367,5.62399648391943e-13,2.05843895307935e-08
"APOB",3.81860932946002,8.14441474272963e-13,2.98093723998647e-08
"DCXR",2.45132706619886,1.95744083216582e-12,7.16442918981011e-08
"UGT2B4",3.5850744829551,2.64248460931531e-12,9.67175791855498e-08
"IGHG1",-1.99177936529272,5.18995620166292e-12,1.89957586937064e-07
"HULC",2.54723613792297,6.01498177137248e-12,2.20154347814004e-07
"UGT2B15",5.06965855409616,1.16365576212776e-11,4.25909645496382e-07
"IGHG3",-1.87885282284828,1.25477886263961e-11,4.59261611514723e-07
"FGB",3.76540820213059,2.7407067954035e-11,1.00312609418563e-06
"RPL13",-0.862258583917115,4.09748695872277e-11,1.49972120176212e-06
"TMSB4X",-1.26096777363161,4.61680423930026e-11,1.68979651962629e-06
"HLA-A",-1.00501957178315,7.34786265867148e-11,2.68939121170035e-06
"GLUL",2.86223440531011,1.06400347073208e-10,3.89435910322648e-06
"NKG7",-2.40475691334929,1.19522434323301e-10,4.37464061866714e-06
"CLU",3.77077734840251,1.60701001307461e-10,5.88181734885438e-06
"RPS27",-1.06576299942638,1.82987680251783e-10,6.6975320848955e-06
"MGST1",2.79814043200903,2.23153356513955e-10,8.16763600176725e-06
"LEAP2",3.54659623168664,3.23620042375393e-10,1.18448171709818e-05
"RPL13A",-0.735675235188452,3.91074615183949e-10,1.43137219903477e-05
"GSTA2",4.6472971662318,6.53178761966851e-10,2.39069958667487e-05
"RPS29",-1.23464401853853,7.38903440300486e-10,2.70446048184381e-05
"ACTB",-1.12428090440183,8.63914281109337e-10,3.16201266028828e-05
"ADH1B",5.50664249318102,1.31455414171298e-09,4.81139961408367e-05
"AC105402-3",-0.713105840649164,1.33930572145288e-09,4.90199287108967e-05
"UQCRQ",2.43532894344387,2.89236969443773e-09,0.000105863623186115
"CYP3A4",4.01772837818481,3.2970666549153e-09,0.000120675936636555
"TAT",4.28005559687367,4.56031591426494e-09,0.000166912122778011
"HP",4.87959492102601,5.17129506554609e-09,0.000189274570694052
"RPS19",-0.93476734579006,6.81763983124876e-09,0.000249532435463536
"TFPI",3.87672930738664,6.87427631891657e-09,0.000251605387548665
"HRG",6.95139476649268,7.63719414549439e-09,0.00027952894291924
"EEF1A1",-0.6551655012127,9.04121898808685e-09,0.000330917656182967
"FABP1",3.86804913094025,9.12252434386327e-09,0.000333893513509739
"RPS27A",-0.839648230315218,1.0374976656526e-08,0.000379734520605509
"CFHR2",9.85864844596185,1.10889212303353e-08,0.000405865605951502
"MTRNR2L12",-0.428982532318808,1.26456932504402e-08,0.000462845018659362
"FTH1",1.34088424812924,1.32532834004748e-08,0.000485083425740778
"RPL41",-0.735608657024438,1.39538107367159e-08,0.000510723426774538
"AKR1C1",3.28967319705016,1.44766321962989e-08,0.000529859215016734
"MT2A",1.21410816139561,1.73935079531975e-08,0.000636619784594981
"RPS28",-0.465121565843297,1.89312864645013e-08,0.000692904015887214
"AZGP1",9.84871871282937,1.9069058764974e-08,0.000697946619856815
"IGFBP7",4.63055419449715,2.05585836961365e-08,0.000752464721862294
"FGA",3.72891185765921,2.40803534763786e-08,0.000881365017588934
"EPHX1",3.59806444834939,3.25166474278649e-08,0.00119014181250728
"RPL27A",-0.616213059087561,6.55872742260761e-08,0.00240055982394861
"MZB1",-1.25784925585364,7.25989094083931e-08,0.0026571926832566
"MALAT1",-0.43349167845489,7.29807414471166e-08,0.00267116811770592
"TF",3.76856660074426,7.58751289875726e-08,0.00277710559607414
"A2M",4.30231229128903,7.60810818962982e-08,0.00278464367848641
"CCL5",-1.49599282335324,1.17094568417789e-07,0.00428577829865951
"HSPA1B",-0.954785690301871,1.34086882831639e-07,0.00490771399852082
"HSD11B1",2.77627267220242,2.92625899140704e-07,0.0107104005344489
"HLA-C",-0.699669405008351,2.98964059978575e-07,0.0109423835592758
"IQGAP2",0.428004638223728,3.75338411587635e-07,0.013737761202519
"RARRES2",5.26642404673535,3.77532030977174e-07,0.0138180498657956
"IGFBP2",3.64759858097521,3.77845144873677e-07,0.0138295101475214
"TXNIP",-0.948429652647796,3.93024954006745e-07,0.0143851063416009
"PIP4K2A",-0.518976879269367,4.08708910678069e-07,0.014959154839728
"APOM",9.54339015973426,5.92738394212569e-07,0.0216948179665742
"SERPINC1",3.31830165903285,5.94910973235347e-07,0.0217743365313869
"ARL15",0.788281993603561,6.62537001338631e-07,0.0242495167859952
"ZFP36L2",-1.10585420788267,6.74487223777749e-07,0.0246869068774894
"RPS2",-0.940299692098339,7.39098483039453e-07,0.027051743577727
"RPL28",-0.67149822966412,8.61030717828459e-07,0.0315145853032394
"CYBA",-1.19072900384132,9.27527421264548e-07,0.0339484311457037
"CXCR4",-1.31575722603726,1.05046988956941e-06,0.0384482484281299
"CFHR3",9.59774803922326,1.05859176368442e-06,0.0387455171426133
"PTMA",-0.278116548609212,1.14417812934275e-06,0.0418780637120739
"RPS11",-0.850406543672733,1.41259377351108e-06,0.0517023447042789
"HIST1H1C",3.04992581149582,1.43223276087273e-06,0.0524211512807027
"IGHG2",-2.32469671965962,1.51141334276387e-06,0.0553192397585005
"OSGIN1",9.28100937034579,1.65454917447012e-06,0.0605581543347807
"MT1X",1.96340012772162,1.68137029806821e-06,0.0615398342795944
"PTPRC",-0.874452861116108,1.81016047570965e-06,0.0662536835714487
"S100A4",-1.53663978204332,1.90557198559202e-06,0.0697458402446537
"ALDH1L1",2.56236706561337,1.95012660640285e-06,0.0713765839209506
"APOA5",9.37883931284813,2.23324988664773e-06,0.0817391791011937
"CFHR1",9.70240083853769,2.3164831814816e-06,0.0847856009254079
"ADH4",5.97399190769945,2.34834618856843e-06,0.0859518188477933
"PTMS",3.22978659603112,2.4245163795342e-06,0.0887397240073312
"PEBP1",1.69577279109682,2.44139203031039e-06,0.0893573897013904
"GC",4.11779808386749,2.47735176783692e-06,0.0906735520545991
"RPL34",-0.793683796564235,2.67775647030479e-06,0.0980085645696256
"KNG1",4.20877065046653,2.71102068016751e-06,0.0992260679148112
"HPD",1.90376200999294,2.77747582863382e-06,0.101658392803826
"COX5B",1.7893018711834,3.66905868402441e-06,0.134291216893977
"CYP2C8",9.02850111137406,3.89328024053649e-06,0.142497950083876
"TMSB10",-1.20146667100362,5.53825754007038e-06,0.202705764224116
"UGT2B7",4.57724623441746,5.85495186578029e-06,0.214297093239424
"LINC01619",0.702661237546166,6.03195457582229e-06,0.220775569429672
