"gene","log2FC","pvalue","padj"
"ALB",2.47710172338516,0,0
"APOC1",3.42689146412186,0,0
"APOA2",2.86125725912858,0,0
"APOC3",4.43303946782332,0,0
"TTR",4.21872142724178,0,0
"APOA1",4.45440130196855,7.50422147688456e-278,2.74662010275452e-273
"RBP4",4.03599257505363,1.08884319241747e-275,3.98527496856719e-271
"AC105402-3",-1.32903523178638,1.04311835977723e-228,3.81791750862065e-224
"APOC2",4.06242587443332,9.03982591083682e-228,3.30866668162539e-223
"AMBP",4.1449889757544,2.7191458631945e-227,9.95234577387819e-223
"GSTA1",3.51366808521539,6.65937662999484e-179,2.43739844034441e-174
"APOH",3.07408118063395,2.47418023207764e-173,9.05574706742737e-169
"HLA-B",-1.03943843106171,9.09927372638549e-172,3.33042517659435e-167
"CYP2E1",3.54760277022404,2.34733420576297e-168,8.59147792651303e-164
"APOE",4.27373825652958,5.39913702725233e-168,1.97613814334462e-163
"SERPINA1",2.97893020623044,8.40256686448731e-168,3.075423498071e-163
"APOB",4.41004091088629,5.12496117007806e-163,1.87578703786027e-158
"SELENOP",3.44475485121373,4.75021902911394e-162,1.73862766684599e-157
"FTL",1.37025921440277,8.45371967591128e-162,3.09414593858029e-157
"PRAP1",4.70771455365051,1.98656277717881e-158,7.27101842075215e-154
"CES1",4.18142767934454,1.54682752678104e-141,5.66154343077129e-137
"B2M",-0.877972705364925,2.26254747774959e-140,8.28115002331126e-136
"FN1",3.5477255922659,1.0451899435186e-138,3.82549971227242e-134
"TXNIP",-1.46757762838249,2.0934754549651e-137,7.66232951271775e-133
"MTRNR2L12",-0.86911795866627,5.93056855455098e-133,2.1706473966512e-128
"ALDH1A1",3.08759768944276,2.08490654446195e-127,7.63096644338518e-123
"TXN",2.57799757725605,1.14643476695852e-126,4.19606589054489e-122
"GATM",3.72171707601259,4.03971813852316e-122,1.47857723588086e-117
"FTH1",1.30470541073116,1.75841358491236e-117,6.43596956213772e-113
"IGKC",-2.39008976555559,2.15441820103621e-114,7.88538605761264e-110
"HLA-A",-0.930574631955801,2.55235208042339e-110,9.34186384955765e-106
"GLUL",2.10494722643604,1.0939594281108e-109,4.00400090282832e-105
"PRF1",-2.23670161579645,1.2110862272436e-109,4.4326967003343e-105
"VTN",3.98667165589857,5.76888546998329e-109,2.11146977086858e-104
"TMSB4X",-1.1359526753951,3.63900926563765e-107,1.33191378131604e-102
"MGST1",3.11559067964625,5.00823085322857e-105,1.83306257459019e-100
"CLU",3.88237996353589,5.79558225281394e-101,2.12124106035243e-96
"HLA-C",-0.934022960304028,7.09214021056683e-99,2.59579423846957e-94
"UQCRQ",1.95269318156156,6.09164849694675e-95,2.22960426636748e-90
"RPS29",-1.06419766862132,1.64865524774777e-94,6.03424307228162e-90
"NKG7",-1.63400843238299,4.62721572755635e-94,1.6936072284429e-89
"APOC4",4.9761116703097,7.51732006206989e-92,2.7514143159182e-87
