"gene","log2FC","pvalue","padj"
"GLUL",3.42277857668398,2.64810055328626e-16,3.55110284195688e-13
"APOA2",0.283511658704176,7.44125124575869e-15,9.97871792056241e-12
"MT-CO1",1.2842000103941,1.46428517838919e-14,1.9636064242199e-11
"APOA1",-9.47193153127045,2.41083645556113e-13,3.23293168690748e-10
"MT-CO3",1.84572437037126,4.16998698009509e-13,5.59195254030751e-10
"PDK4",3.00084122965496,2.74346177712101e-12,3.67898224311928e-09
"HPD",2.99405712811446,3.13089708393259e-12,4.1985329895536e-09
"MT-CO2",1.89178790983224,4.23652541907673e-12,5.68118058698189e-09
"MT-CYB",1.60579469274586,5.15778664798948e-12,6.91659189495389e-09
"FTL",0.422735387048699,8.18922625602484e-11,1.09817524093293e-07
"DCXR",2.8439609184192,1.59720858271214e-10,2.14185670941698e-07
"MT-ND5",1.12469684202466,2.30903803459683e-10,3.09642000439435e-07
"MT-ND4",1.54397908249658,6.63676562657488e-10,8.89990270523691e-07
"RARRES2",2.72226668665426,8.83475355443046e-10,1.18474045164913e-06
"CYP2E1",1.49610279099268,4.06538503443486e-09,5.45168133117715e-06
"C4BPA",2.51771892976857,4.51385778741054e-09,6.05308329291753e-06
"MT-ND2",1.65833621054366,7.43857808185683e-09,9.97513320777002e-06
"INSIG1",2.32668665685798,8.34480523834293e-09,1.11903838246179e-05
"ALB",-1.06299244032655,1.92678259462677e-08,2.5838154593945e-05
"CPS1",1.46746759633167,6.5419906541143e-08,8.77280946716728e-05
"PAGE4",9.57690925840208,6.92129315693245e-08,9.28145412344642e-05
"TMEM176B",2.2172007770816,7.24400452462769e-08,9.71421006752573e-05
"HSP90AA1",3.26711221518378,1.71825436252276e-07,0.000230417910014301
"HSP90AB1",2.09739405507063,2.33077492196076e-07,0.000312556917034937
"MT-ATP6",1.95519246432629,3.25651424323711e-07,0.000436698560018097
"HPR",3.94346489759787,4.40777803685541e-07,0.000591083034742311
"CTH",5.24291100433785,5.09410736747184e-07,0.000683119797977974
"SLC1A2",3.66591014453513,6.29288702407444e-07,0.000843876149928383
"MALAT1",0.827262990632101,6.38972959765849e-07,0.000856862739046004
"MT-ND3",2.0978615553354,8.02214545695318e-06,0.0107576970577742
"SELENOP",0.752235250661431,9.23659530893056e-06,0.0123862743092759
"SEPHS2",2.10996814326385,9.65038368611836e-06,0.0129411645230847
"FP236383-3",-0.751206253517069,9.96125165303655e-06,0.013358038466722
"ATOX1",2.17416728171268,1.09815847102835e-05,0.0147263050964902
"MT-ND4L",0.474396055278016,1.10564478489268e-05,0.0148266965654109
"MT-ATP8",1.40532573981572,1.2867017658753e-05,0.0172546706803878
"AL135905-2",2.49564811507882,1.42860183100274e-05,0.0191575505537468
"HGD",1.82681052430459,1.78960833748428e-05,0.0239986478056642
"RBP4",0.375049792895112,1.88251694747122e-05,0.0252445522655891
"THRAP3",0.27343387582359,2.14795357308904e-05,0.0288040574151241
"EPHX1",1.93537222758994,2.16596267178969e-05,0.0290455594286998
"MTRNR2L12",8.4496638169075,3.17188773238835e-05,0.0425350144913278
"HSD11B1",2.2134858869475,3.31453190736769e-05,0.0444478728778007
"CUX1",0.558247988078413,3.78713125565207e-05,0.0507854301382943
"RHOA",1.99404675201488,4.46223046765869e-05,0.059838510571303
"PRAP1",2.03674346762526,4.97450520412169e-05,0.0667081147872719
"MPC2",2.30340530832608,5.38611263633461e-05,0.0722277704532471
"A2M",-4.14111264104648,5.66704627976811e-05,0.0759950906116904
"ATP1B1",2.185374581233,7.21647943491735e-05,0.0967729892222417
"VMP1",0.434797161693103,8.54270495288133e-05,0.114557673418139
"SERPINC1",1.82470358335332,9.00649340042946e-05,0.120777076499759
"AKR1C1",2.59489693483624,0.00010334302509072,0.138582996646655
"RPL23A",1.74536320135604,0.000135064662037795,0.181121711792683
"LUC7L3",0.26173822250864,0.000161571183517983,0.216666957097615
"KNG1",1.47472019600657,0.000181020793419743,0.242748883975875
"TRIO",-0.43846162501888,0.000183229163314998,0.245710308005413
"HLF",2.46152298111926,0.000188084859704966,0.25222179686436
"RACK1",1.4068104337119,0.000189211642447732,0.253732812522408
"KDM2A",1.454308334956,0.000189928035290771,0.254693495324924
"MT-ND1",0.94045247605996,0.000190427236022081,0.25536292350561
"RNF149",1.66040666439537,0.000201189110848911,0.269794597648389
"ARHGAP26",0.42619084897617,0.000202603934718543,0.271691876457566
"TOR1AIP2",1.24407838434633,0.000204398735447611,0.274098704235246
"FTH1",0.673905028039213,0.000210340132461979,0.282066117631514
"RPS23",1.01683853715852,0.000262379755715058,0.351851252413893
"RUNX1",-0.878144652061271,0.000337956092676662,0.453199120279404
"ASH1L",0.851331985704117,0.000470737939770821,0.631259577232672
"UQCRQ",1.58183661187637,0.00047250246627417,0.633625807273663
"SQSTM1",2.02438534207594,0.000535658025274862,0.718317411893591
"GAPDH",1.48059340740354,0.000573504484215684,0.769069513333232
"FKBP5",1.85178411954991,0.000633917540247803,0.850083421472304
"CHD9",-2.31707211182287,0.000657884127838009,0.88222261543077
"CYP3A4",0.893913203753041,0.000722286584863345,0.968586310301745
"APOE",0.474112737645396,0.000773193841750312,1
"IFITM3",1.27934493381204,0.000821617821131734,1
"CMIP",-0.485297238046513,0.000900493165925404,1
"EML4",0.542255513680748,0.000916598481067656,1
"TPRG1",2.43909737171806,0.000931135287278734,1
"CYB5A",0.988508376004458,0.000938584318434335,1
"CPB2",1.86838487920292,0.00110553181375782,1
"FAM120A",-1.35792440438983,0.00114225739688209,1
"NDUFA4",2.18979193103519,0.00116497211804383,1
"ZCCHC7",-0.57770793252937,0.00148067399371704,1
"MARK3",0.839769683387618,0.00169476798758052,1
"CLASP2",-0.875297018152318,0.00180385379970581,1
"SYNE1",-2.30648722530459,0.00187891297570001,1
"ASXL2",0.457972613666379,0.0019933439348142,1
"MKLN1",-1.97332691065488,0.0020555560865795,1
"HSPE1",3.46378935581751,0.00207906428624501,1
"DIP2B",-1.58437404490327,0.00210595037960496,1
"ALDH1L1",2.05581782053439,0.00213944196388396,1
"NME2",2.10052200373823,0.00218337623636193,1
"RSF1",-0.79279496731318,0.0022094980136182,1
"RPS20",1.16151780076026,0.00228501702307201,1
"SPPL2A",0.506611910812243,0.00236240470854321,1
"MIR122HG",2.48351337545814,0.00237456046226523,1
"KDM5A",0.283199770526618,0.00253140072971006,1
"ITSN1",3.00885631710085,0.00253280512394682,1
"PPIA",1.19421409575684,0.00263966195867778,1
"COP1",-1.50523584280871,0.00291396271484006,1
"PRDX1",2.15028497780652,0.00292040464081127,1
"EPB41",1.46961197429263,0.00294354451862156,1
"TMEM131L",-1.02135857200296,0.00299054662145653,1
"PJA2",-2.86946099043753,0.00303319786947204,1
"TAT",1.04030551295395,0.00318922136802153,1
"PPP4R3A",1.58873770296624,0.00334487403295024,1
"CHCHD2",1.53108229299988,0.00338563718828261,1
"CD63",2.20681951851158,0.00347079161454324,1
"F12",1.65287892964973,0.00359535881045346,1
"TRPC4AP",0.386791453362639,0.00376992259141827,1
"SYNE2",1.59210978626631,0.00385810422907261,1
"FCHSD2",-1.02671437331284,0.00391133089440069,1
"PITPNC1",2.4745833782007,0.0039583820679724,1
"NACA",2.08415661086525,0.00413927283165385,1
"MGST1",1.6204267575665,0.00424638270079526,1
"CEBPD",1.22978981214585,0.00449353678134932,1
"RPS6KA3",0.640317347547619,0.004947119575795,1
"FGGY",-0.559755104323663,0.00496738143989718,1
"SEPTIN2",-0.607730527415431,0.00507952108366668,1
"JAZF1",-0.309614933200477,0.00517374799298271,1
"ARID4B",0.649339965077366,0.00524653204321308,1
"RBM25",0.579993825099089,0.0052541766514488,1
"SCAF8",-1.7631249742813,0.00539185938318019,1
"SAMHD1",3.50958458743086,0.00559345372745909,1
"DYRK1A",-1.33199888122934,0.00559710694976715,1
"RPL29",1.30830851149174,0.00566452695539216,1
"GRHPR",1.66476384031096,0.00589695038220983,1
"HINT1",0.811679836700682,0.00595854478977726,1
"UGT2B4",1.73179655915613,0.00619420394068429,1
"RPS6",1.07902610652737,0.00643924566126431,1
"FP671120-4",-0.50135527549852,0.0065919242169603,1
"IGFBP1",1.04209348350983,0.00663503654169088,1
"OSBPL8",-0.49163557112944,0.00679164085369746,1
"PRRC2B",-1.21292672917632,0.00706149628318975,1
"ADH1B",0.581327604974145,0.00719739420550597,1
"RPS18",0.344137346181998,0.00732502288608812,1
"SPAG9",0.718316018275294,0.00739581216476522,1
"THRB",-3.7163208169345,0.00757929410084441,1
"CD99",1.31636399623167,0.00758263777283276,1
"TRAPPC9",-0.836804952645141,0.00766827946113148,1
"AGPAT3",-0.308676587950049,0.00771224014681397,1
"SETBP1",-1.32793252634805,0.00790704899278984,1
"FYN",1.94848746133171,0.00803359199771947,1
