"gene","log2FC","pvalue","padj"
"MT-CO2",2.32013379139009,2.02739878018045e-37,2.71874176422198e-34
"MT-CYB",2.00554268975902,7.25152583024236e-35,9.72429613835501e-32
"MT-CO3",2.20854290602339,3.76432991865764e-31,5.04796642091989e-28
"MT-CO1",1.45096395883253,3.089502186375e-29,4.14302243192888e-26
"MT-ND4",1.92543355581207,2.21837482678958e-27,2.97484064272482e-24
"HSP90AA1",3.42439861234656,2.34434961257583e-27,3.14377283046419e-24
"MT-ATP6",2.77345655343067,1.22580383350715e-25,1.64380294073309e-22
"FTL",0.449040735445691,1.72750883290589e-25,2.3165893449268e-22
"MTRNR2L12",10.0140042005763,1.53796910513961e-24,2.06241656999222e-21
"GLUL",1.29530558539117,3.39908828652555e-24,4.55817739223077e-21
"APOA1",-6.86134027177577,4.64408949542984e-24,6.22772401337142e-21
"MT-ND2",1.92757218032943,5.81950417607572e-22,7.80395510011754e-19
"MT-ND5",1.54613614708589,3.16536102559307e-21,4.2447491353203e-18
"HSPD1",3.37010917886729,4.08825291442447e-20,5.48234715824321e-17
"PAGE4",10.5710133818671,4.93072857007675e-19,6.61210701247292e-16
"ALB",-1.37949481737378,8.4889830655163e-19,1.13837262908574e-15
"MT-ND1",1.71733535644816,3.08008032424179e-18,4.13038771480824e-15
"HPD",2.73219613274997,3.48317134653583e-18,4.67093277570455e-15
"CYP2E1",1.51924855557819,6.40263878103919e-18,8.58593860537356e-15
"CPS1",1.67787570213785,6.6761923282063e-18,8.95277391212465e-15
"FP236383-3",-0.840070393776168,1.68106222638714e-17,2.25430444558516e-14
"MT-ATP8",1.50990187394689,7.24389048042862e-16,9.71405713425478e-13
"PLCG2",2.59444619656168,4.81939116148206e-15,6.46280354754744e-12
"MT-ND3",2.49052277209786,6.88036674767738e-15,9.22657180863537e-12
"CYP3A4",1.89781802450789,3.29852343001003e-14,4.42331991964345e-11
"MALAT1",0.77571809545133,1.96377659464374e-13,2.63342441341726e-10
"DCXR",2.50297284731294,2.25052721595393e-13,3.01795699659422e-10
"APOC1",-0.350259988201896,3.06747333172124e-12,4.11348173783818e-09
"RBP4",0.463267281387179,3.53693887492616e-12,4.74303503127598e-09
"SELENOP",0.987868944371172,3.93028109187051e-12,5.27050694419836e-09
"MT-ND4L",0.795440423939524,4.97852942328835e-11,6.67620795662968e-08
"HSPA1A",3.42355244880814,5.87223143576809e-11,7.87466235536501e-08
"HSPB1",4.47979320518635,8.56849851896854e-11,1.14903565139368e-07
"ATOX1",2.35161588556505,2.54622910240895e-10,3.4144932263304e-07
"CTH",3.85699581880452,2.6593480342471e-10,3.56618571392536e-07
"HSP90AB1",2.14514183243113,4.25492403946904e-10,5.70585313692798e-07
"FP671120-4",-0.786667075613922,4.25656260043792e-10,5.70805044718725e-07
"SERPINA1",-0.416655396883229,7.68168729661316e-10,1.03011426647582e-06
"APOE",0.485451194466295,9.12850018310016e-10,1.22413187455373e-06
"SLC1A2",3.75228781061313,2.42041828413874e-09,3.24578091903004e-06
"SOD1",2.88619646085055,3.41326868634167e-09,4.57719330838418e-06
"SERPINC1",2.04491852037451,3.65546723351952e-09,4.90198156014967e-06
"A2M",-3.26953540858869,4.62799380413266e-09,6.20613969134189e-06
"EPHX1",1.74859091727238,6.84680023231469e-09,9.181559111534e-06
"HSPE1",2.17590813866729,7.42331122821612e-09,9.95466035703782e-06
"COX5B",2.9584679464153,8.38871647484734e-09,1.12492687927703e-05
"EEF1A1",0.56065876262529,1.3648470797668e-08,1.83025993396728e-05
"B2M",0.272423881134291,1.57453286997922e-08,2.11144857864213e-05
"RARRES2",1.79514712145394,1.62319816036331e-08,2.17670873304721e-05
"HSD11B1",2.93460193977787,3.47332069870699e-08,4.65772305696608e-05
"CES1",1.86192343399095,6.46487774034246e-08,8.66940104979924e-05
"INSIG1",1.27420824444245,7.97673410247161e-08,0.000106968004314144
"RPL10",0.973885495117304,9.01428156819543e-08,0.000120881515829501
"TOR1AIP2",1.50802680358216,2.39465243944399e-07,0.000321122892129439
"HP",-0.590508165321815,3.27692986551636e-07,0.000439436294965744
"TAT",1.36177979544799,3.31377318129161e-07,0.000444376983611205
"AL135905-2",1.84435128812704,4.70964537801805e-07,0.00063156344519222
"PRKCH",-0.684474044219626,1.00415662680069e-06,0.00134657403653973
"SQSTM1",1.24251126782823,1.21510746400546e-06,0.00162945910923132
"HSPA5",1.36756649993393,1.24147703565509e-06,0.00166482070481348
"APOC4",2.0194734892889,1.60424597216887e-06,0.00215129384867845
"MACF1",0.561182835569938,1.67519761642209e-06,0.00224644000362202
"C4BPA",1.73777539097069,1.69034389725494e-06,0.00226675116621888
"HSPA8",2.4052649200461,1.70492089443409e-06,0.00228629891943612
"SERF2",1.00871221502002,1.83310169889674e-06,0.00245818937822053
"ACTB",0.30236909115658,1.95687782235888e-06,0.00262417315978325
"DYNC1H1",1.38609244725043,2.0218501344246e-06,0.00271130103026339
"PRAP1",1.88953724377691,2.17524978893442e-06,0.00291700996696106
"TRAPPC9",-1.39429381306164,2.96927867411597e-06,0.00398180270198952
"LRBA",-0.669169421159617,3.20760810545203e-06,0.00430140246941117
"NUTM2A-AS1",-2.01077788365661,4.38557531472424e-06,0.00588105649704521
"MPC2",1.91222221024466,5.36020026740619e-06,0.0071880285585917
"EIF4EBP2",1.62562307843773,7.02558915128326e-06,0.00942131505187085
"ABCB11",1.53751612438753,7.57281164346193e-06,0.0101551404138824
"UBAC2",-1.08789123712863,8.34246018327007e-06,0.0111872391057652
"RPL19",0.935493010483662,8.45473711997748e-06,0.0113378024778898
"CD46",0.566969697633326,8.57731474901001e-06,0.0115021790784224
"APP",-1.04070594756762,8.81425919588465e-06,0.0118199215816813
"AOX1",1.80749930491865,9.7346081357052e-06,0.0130541095099807
"AKR1C1",2.86782064419867,9.90863026294731e-06,0.0132874731826123
"MKLN1",-0.781585566082831,1.11465155947872e-05,0.0149474774126097
"GALNT2",-1.72532245743292,1.22658331496321e-05,0.0164484822536566
"SMARCA2",-1.51094815117922,1.48710631097021e-05,0.0199420956301105
"CFHR2",2.48186879364265,1.58154304608274e-05,0.0212084922479695
"APOH",0.804067017735357,1.79852891231555e-05,0.0241182727141515
"APOB",-0.730124567440915,1.89837598220695e-05,0.0254572219213952
"UQCRQ",1.65979606627749,2.00921188399263e-05,0.0269435313643412
"HLA-B",0.26221293201373,2.05108861162383e-05,0.0275050982818756
"HPR",2.74269812561006,2.31459859198714e-05,0.0310387671185475
"COX7C",1.68667315839801,2.31710495698464e-05,0.031072377473164
"CADM1",0.980769776531492,2.35731299106892e-05,0.0316115672102342
"ONECUT2",3.1527858644882,2.75106519987527e-05,0.0368917843303273
"COMMD10",-0.593472866402115,2.97552130698395e-05,0.0399017407266548
"CHST11",-0.480269802097307,3.15970240058287e-05,0.0423716091918163
"UBC",1.1096102773889,3.28160832469556e-05,0.0440063676341674
"RPS12",0.526220061113166,3.59158828512303e-05,0.0481631989034999
"FGG",0.25734082013062,4.08434896105348e-05,0.0547711195677271
"RPL8",1.24008869923841,4.09490606502706e-05,0.0549126903320128
"TMEM176B",1.25075436992687,4.20005214834938e-05,0.0563226993093652
"MAML3",-0.703079408173744,4.54376240085932e-05,0.0609318537955235
"RACK1",1.27540033438474,4.62124932031588e-05,0.0619709533854359
"NUP98",0.690882588199947,4.69289652646861e-05,0.0629317424199441
"SPAG9",0.285732879381338,5.11881323765189e-05,0.0686432855169118
"PTGES3",1.40443202497992,5.43893961774999e-05,0.0729361802740274
"UBR2",0.84648613072504,5.52540289753643e-05,0.0740956528559636
"AMBP",0.307551345133815,5.66523582825098e-05,0.0759708124568457
"HINT1",0.84654336101095,5.66681359872908e-05,0.0759919703589569
"SORD",1.62559547356446,5.71092866043678e-05,0.0765835533364573
"RPS14",1.11024996441495,5.8148566262921e-05,0.0779772273585771
"UBE2E2",-0.72894370706378,6.28885420605336e-05,0.0843335349031756
"BAZ1A",1.03102884348666,8.11498597323872e-05,0.108821961901131
"RPS2",0.387610048406545,8.81622738364146e-05,0.118225609214632
"IGFBP1",0.839194029680156,9.00209116599855e-05,0.120718042536041
"ZFP36",-1.43114514028765,9.31126290782432e-05,0.124864035593924
"FGA",-0.629497878695523,9.59236565104227e-05,0.128633623380477
"CERS2",1.4645093354089,0.000101870401471269,0.136608208372971
"AKAP9",0.363196588639633,0.00010547097383946,0.141436575918716
"IRS1",2.90300190037163,0.000112310341091923,0.150608167404269
"WSB1",0.739974459870742,0.000113826920961527,0.152641901009408
"IFITM3",1.07265660692159,0.000113861268889738,0.152687961581139
"HGD",1.53129853962418,0.000120491424718225,0.16157900054714
"RPS6KA3",-1.36996639261727,0.000125269525488283,0.167986433679788
"BDP1",0.890888189387129,0.000128587943791381,0.172436432624241
"PON2",-2.57754497274883,0.000134633366473068,0.180543344440384
"CANX",0.492936354244732,0.000135555191473272,0.181779511765658
"C3",-0.997806631073709,0.000137517628735046,0.184411140133696
"ALDH1L1",2.91551821991205,0.000142074560003679,0.190521984964934
"RPS5",0.966521110752109,0.000143035409359104,0.191810483950559
"HNRNPA3",-1.06409074021151,0.000147930964162998,0.198375422942581
"GPCPD1",0.820151951780735,0.000151705001451573,0.203436406946559
"PEBP1",0.650141423165963,0.000159118561570974,0.213377991066677
"ELMO1",-0.541760460820965,0.000159348491332432,0.213686326876791
"AZGP1",1.37903719703395,0.000164881571951327,0.221106187986729
"MT2A",-1.14976308001282,0.000168721573043845,0.226255629451796
"FGB",-0.37502830098298,0.000168792667833122,0.226350967564216
"UGT2B4",2.04066736717162,0.000179938663657025,0.241297747964071
"NUFIP2",0.97080483679935,0.000180436517112018,0.241965369447217
"GPX3",1.00009963040208,0.000184476482764565,0.247382963387282
"SOD2",0.294452422082405,0.000195343610037095,0.261955781059744
"STAU2",-0.428105414934594,0.000201423023264312,0.270108274197443
"ELL2",0.994903702848346,0.000203003506162556,0.272227701763988
"SYBU",2.33458822253043,0.000213152496566172,0.285837497895237
"ITSN2",0.442683570110905,0.000217557749646021,0.291744942275314
"RPL30",0.785832090686938,0.000224059295650974,0.300463515467957
"PPP6R2",0.694985987096904,0.000224064539573571,0.300470547568159
"R3HDM2",0.399797911519265,0.000245792351648095,0.329607543560095
"TTR",0.384197146844194,0.000253249613886411,0.339607732221677
"WAC",0.750003297510579,0.000277267794191228,0.371816112010436
"NFIC",1.39199555179964,0.000278536819127701,0.373517874450247
"ROBO1",2.55164421832707,0.000281782222895825,0.377869960903301
"PRDX1",2.14084440216738,0.000290694879904026,0.389821833951299
"UBR5",0.381869704679004,0.000293968439884984,0.394211677885764
"PCM1",-1.10664370437754,0.000296689420926829,0.397860513462878
"VPS13D",-1.00304038477223,0.000297302645078921,0.398682847050833
"PROC",1.50083497819907,0.000327700737490877,0.439446688975266
"RREB1",-0.410477307372338,0.000331996508133817,0.445207317407448
"SETD5",-1.10216814270553,0.000337926655825124,0.453159645461491
"DNAJA1",2.71332129562199,0.00034532301954064,0.463078169203998
"SLCO1B1",1.19305278885696,0.000363137325495182,0.486967153489039
"AFF4",0.598209357825566,0.0003770606430779,0.505638322367464
"DAPK1",-0.58516125815255,0.000435940092294511,0.584595663766939
"COX6C",1.05315166720263,0.000468446675142177,0.62818699136566
"CHD9",-0.778415953171964,0.000472104575729068,0.63309223605268
"MYL6",1.00216830149768,0.000506086793498184,0.678662390081065
"PABPC1",-0.278442165689976,0.000536108196942224,0.718921092099523
"RPL23A",1.10087360266462,0.000546159059928297,0.732399299363846
"EIF1",0.770693127923729,0.00055262746389614,0.741073429084723
"GAPDH",0.761399834111773,0.000552940454844066,0.741493149945892
"TPT1",0.412005906425577,0.000572817220274586,0.76814789238822
"FMO5",1.0642994304555,0.000589712650429601,0.790804664226095
"RPL13",0.32096066695556,0.00059393966117806,0.796473085639778
"AASS",1.77253326228194,0.000603036681259263,0.808672189568672
"JUND",1.20664999029918,0.000606718061527424,0.813608920508276
"SORL1",-1.13418297887164,0.000631629051305056,0.847014557800081
"FGGY",-2.11227210277531,0.000647732406972951,0.868609157750727
"STARD10",1.19659862156882,0.000679810827601234,0.911626319813255
"POR",1.34248730628018,0.000813080079498458,1
"RPS4X",0.985796764001556,0.000859654100775186,1
"ITPR2",-0.852908943257455,0.000915744286786468,1
"XPO1",0.360870768290225,0.000930980308376459,1
"ATRN",-0.87929634465557,0.000940104861779684,1
"RAPGEF6",0.710857401828065,0.000998911669516478,1
"LARP4",0.843787396050814,0.00109404651639121,1
"DNAJB6",0.807527342017468,0.00109700914277842,1
"TNKS",-0.421083087572537,0.00112557628485204,1
"NME2",1.4468894777471,0.0011513002500874,1
"ATP2A2",0.961492223817541,0.00124258635284184,1
"AGMO",2.8636753881404,0.00126979519391194,1
"ASPSCR1",1.58017908820452,0.00127840750596025,1
"RNF130",-0.480241158825536,0.00139567510678344,1
"ASH1L",0.355862738732971,0.0014315162125009,1
"CYP27A1",1.84724877982635,0.00143438617531831,1
"BPTF",0.503405118826844,0.00145394664112293,1
"RPS23",0.577454899974306,0.00145915661419347,1
"UBB",2.25602019702257,0.00147632869390477,1
"UBE2H",0.619456638827552,0.0015040364710772,1
"EIF4G3",-0.446510966081541,0.00152198686449946,1
"PPIA",0.44555613497789,0.00154174154215767,1
"TCF7L2",1.70509230147121,0.00155819031718082,1
"CD74",-0.806873500332046,0.00155849361667566,1
"ZBTB16",-1.24000552419309,0.00159319119601107,1
