"gene","log2FC","pvalue","padj"
"GLUL",3.98256690968987,0,0
"APOA2",1.71202609319606,0,0
"FTL",1.81304573023099,4.80267836342356e-309,6.440391685351e-306
"CYP2E1",3.48948855819164,2.66743706151361e-274,3.57703309948975e-271
"RBP4",2.06867870583474,5.17053661430754e-265,6.93368959978641e-262
"CPS1",3.51491189997582,2.72634197432416e-263,3.6560245875687e-260
"APOC3",1.72723196626374,1.20991349832238e-253,1.62249400125031e-250
"APOE",2.17047511635929,6.77573818077921e-226,9.08626490042492e-223
"HPD",4.25292164874258,7.19443582309269e-225,9.64773843876729e-222
"APOC1",1.36773369385231,1.95769150241184e-223,2.62526430473428e-220
"DCXR",4.71951733265833,4.64403104481891e-220,6.22764563110216e-217
"FTH1",1.93406473383736,2.02522839584329e-217,2.71583127882585e-214
"B2M",1.13057140668262,4.51675983503268e-212,6.05697493877882e-209
"APOC2",2.07832151119673,1.49373360169177e-205,2.00309675986866e-202
"CYP3A4",3.57011117381369,7.02702488780357e-198,9.42324037454459e-195
"MT-CYB",1.18786821840851,3.35810407839898e-185,4.50321756913304e-182
"MT-CO2",1.11172253907736,2.15041583292476e-183,2.8837076319521e-180
"SELENOP",1.95663131011849,2.61502021737886e-181,3.50674211150505e-178
"MT-CO1",0.671163596369352,3.18860997470836e-173,4.27592597608391e-170
"SERPINA1",1.38042065126027,5.84393241332694e-170,7.83671336627143e-167
"EEF1A1",1.44962888288518,4.59974169876376e-158,6.1682536180422e-155
"IFITM3",2.28109085241451,2.36815852725569e-157,3.17570058504989e-154
"FN1",1.49965357344531,1.17706568093983e-156,1.57844507814032e-153
"MT-ND5",0.872256201010517,1.15671480572443e-152,1.55115455447646e-149
"GAPDH",2.74871348972342,1.37196247136326e-152,1.83980167409813e-149
"MT-ND4L",0.779174680922773,5.64610074508144e-146,7.57142109915421e-143
"RPLP1",1.80340242806173,5.65082934981822e-143,7.57776215810623e-140
"EPHX1",2.99809337567265,1.32003163801588e-140,1.7701624265793e-137
"ACTB",1.68284518082538,8.10137690160234e-138,1.08639464250487e-134
"MT-CO3",1.00246018762857,1.54801951509488e-135,2.07589416974224e-132
"INSIG1",3.05307138353503,1.25231829635096e-132,1.67935883540664e-129
"RARRES2",3.63093234774433,3.11542701331554e-130,4.17778762485614e-127
"MT-ATP8",1.06590756441294,3.19825009149825e-130,4.28885337269915e-127
"PAGE4",12.7709209805663,1.34611639339592e-129,1.80514208354393e-126
"AMBP",2.36263198859414,4.06203894029495e-127,5.44719421893553e-124
"APOH",2.73338586699339,1.76394788897903e-125,2.36545411912088e-122
"TAT",2.99484806615672,3.24301559218199e-120,4.34888390911605e-117
"IGFBP1",2.90624716617658,4.33868597656165e-120,5.81817789456917e-117
"RPL10",1.852847278397,2.94471477807643e-117,3.9488625174005e-114
"CD74",1.49778901899759,4.73183225754191e-115,6.3453870573637e-112
"HP",1.46451692929169,7.96015057795165e-115,1.06745619250332e-111
"SERPINC1",3.4818263250495,4.20955888910169e-112,5.64501847028537e-109
"UBC",1.62600981614335,2.74343807068103e-111,3.67895045278326e-108
"PPIA",2.21350643929134,1.07388388415133e-110,1.44007828864693e-107
"RPL19",2.58376882345808,3.05731175145942e-110,4.09985505870709e-107
"C4BPA",3.58135334406067,1.54481477834888e-109,2.07159661776584e-106
"TMEM176B",3.70269549351409,6.60471945892889e-109,8.85692879442363e-106
"TOR1AIP2",2.65250809099467,1.02996816503732e-108,1.38118730931504e-105
