"gene","log2FC","pvalue","padj"
"APOA1",-4.10816036413527,0,0
"A2M",-2.2891671955097,0,0
"GLUL",2.91294751699087,0,0
"PDK4",3.10427942275337,0,0
"DCXR",2.44858865823906,0,0
"SLC7A2",-1.803598065147,0,0
"PAGE4",10.2862913433293,0,0
"SORL1",-2.19574518963908,0,0
"FTH1",1.5973872792122,0,0
"DPYD",-1.58514738833367,0,0
"UTY",-2.51384427904647,0,0
"GAPDH",1.79277579715683,0,0
"GPC6",-1.93866816982715,0,0
"ST6GAL1",-1.58187726908716,0,0
"LPIN2",-1.21367043729958,0,0
"CP",-1.246939453685,0,0
"MBNL2",-1.62730382269554,0,0
"ATOX1",3.05399367163862,0,0
"UQCRQ",2.50423697138369,0,0
"SLC39A14",-1.3098338028783,0,0
"CYP3A5",-1.67694503314727,0,0
"NCOR1",-1.68360475209496,0,0
"SOX5",-1.65649811455336,0,0
"RALGAPA2",-1.53146937383058,0,0
"FOXO1",-1.92490828194946,0,0
"RPL10",1.58847935490607,0,0
"ITIH4",-1.08764738315215,0,0
"APP",-1.4481075498398,0,0
"ROBO1",3.57387343726566,0,0
"RPS23",1.94725603032344,0,0
"PCCA",-1.86954548597962,0,0
"LDLRAD4",-1.83326673013107,0,0
"PPIA",2.00100664227235,0,0
"AFF1",-1.59682657364073,0,0
"NAV2",-1.19177057834621,0,0
"ACTB",1.54871432194375,0,0
"ARHGEF12",-1.04489814541674,0,0
"SERPINF2",-1.26592615872758,0,0
"RARRES2",1.58575824677132,0,0
"DUSP16",-1.39379042648854,0,0
"SPATA13",-1.61964369871851,0,0
"IGFBP4",-1.04369776197034,0,0
"ABHD2",-1.00360740849171,0,0
"PDLIM5",-1.39335479237054,0,0
"RPL30",1.98183237251251,0,0
"C1R",-1.0554747130227,0,0
"ADK",-1.49907438867554,0,0
"CAMK2D",-1.53928155561906,0,0
"LRBA",-1.42332876058754,0,0
"CTSB",-1.32946701492544,0,0
"SETBP1",-1.37664372705276,0,0
"RBM47",-1.47000189392486,0,0
"SLC23A2",-1.2110597056944,0,0
"DST",-0.989018342520888,0,0
"NSUN6",-1.63717703505962,0,0
"RPS12",1.67951218523252,0,0
"RPLP1",1.24430136600926,0,0
"L3MBTL4",-1.43770995258534,0,0
"AGAP1",-1.64063231372074,0,0
"RPS14",1.69764673346091,0,0
"PRAP1",1.92064839933444,0,0
"COX6A1",2.23812535073075,0,0
"MTUS1",-1.16117195036412,0,0
"GPHN",-1.3232939146081,0,0
"N4BP2L2",-1.26136195066371,0,0
"PAN3",-1.64487718493967,0,0
"BRWD1",-1.31770406664019,0,0
"MAN1A1",-1.12704935634207,0,0
"RBPMS",-1.31430264029326,0,0
"ABCA1",-1.32384644961132,0,0
"NAMPT",-1.19784312904915,0,0
"ACADVL",-1.17899265799794,0,0
"XRN1",-1.31432029080764,0,0
"RPL19",1.59828895209532,0,0
"SNHG14",-1.72654774330015,0,0
"PICALM",-1.25116506996412,0,0
"CYP2C9",-0.70932227591175,0,0
"EPHX1",1.58047628784669,0,0
"VWA8",-1.37340251054433,0,0
"FGGY",-1.36240274973082,0,0
"SIK3",-1.23906050356128,0,0
"MT1E",-0.847973931592615,0,0
"ZNF609",-1.63422561764466,0,0
"MPC2",2.3922275618047,0,0
"CTNND1",-0.976466427290231,0,0
"TNRC6B",-1.17867118134453,0,0
"SUCLG2",-1.22189263982404,0,0
"CHCHD2",2.5413236032278,0,0
"ABLIM3",-1.3420756057489,0,0
"EXT1",-1.25902332843071,0,0
"FGD4",-1.28901495964381,0,0
"MACF1",-0.940011349607634,0,0
"NME2",2.54855470145603,0,0
"USP15",-1.34851881153418,0,0
"CBLB",-1.6987111917951,0,0
"CCNL1",-1.29170063449647,0,0
"SCAPER",-1.4203206158099,0,0
"DOCK5",-1.28722586508459,0,0
"NUMB",-1.26869725622926,0,0
"BAZ2B",-1.21578987974315,0,0
"RBFOX2",-1.11086934063874,0,0
"MAGI1",-1.25824648594311,0,0
"MED13L",-1.21749766226541,0,0
"NDUFA4",2.82632045854843,0,0
"RPS2",1.43560674241184,0,0
"NCOA1",-1.55405944254494,0,0
"TXNIP",-1.53398763977854,0,0
"MYCBP2",-1.3011152519787,0,0
"SIK2",-1.24310945071311,0,0
"JMJD1C",-1.09570707592441,0,0
"ZSWIM6",-1.59144974401893,0,0
"SYNE1",-1.72219086554632,0,0
"VPS13D",-1.28351280972984,0,0
"EIF1",1.83886247663116,0,0
"CYP4F3",-1.03481123927566,0,0
"ETV6",-1.65604938694916,0,0
"DIAPH2",-1.2482874173796,0,0
"ITSN1",-1.31638906399243,0,0
"PARP4",-1.34457341965416,0,0
"PATJ",-1.13034699154323,0,0
"ARHGAP26",-2.42416291891107,0,0
"DENND1A",-1.28633087369738,0,0
"PCNX1",-1.29457938423654,0,0
"ERRFI1",-0.780826088768904,0,0
"EHBP1",-1.17291460546368,0,0
"TMEM131L",-1.39161972039378,0,0
"TRPM7",-1.10972503339326,0,0
"DIP2B",-1.12891311437729,0,0
"ELF1",-1.56866458879733,0,0
"FNDC3B",-1.04261260608515,0,0
"LCOR",-1.31879782615459,0,0
"HSP90AB1",1.56906441532493,0,0
"AUH",-1.29124950684276,0,0
"MARK3",-1.32729977613646,0,0
"MEF2A",-1.09085961049343,0,0
"SPATS2L",-1.15906880989908,0,0
"TANK",-1.16082056317656,0,0
"ASS1",-0.749853737519641,0,0
"BTBD9",-1.56834045683816,0,0
"LPP",-0.897705507142993,0,0
"COX7C",2.08812637004709,0,0
"CYP2E1",1.53597447872253,0,0
"ATP13A3",-0.674463675895371,0,0
"AOPEP",-1.12303482267087,0,0
"CAMK1D",-1.65991876047798,0,0
"MBP",-1.65878048657009,0,0
"RPLP0",1.20721640241645,0,0
"KRTCAP2",2.42128251305919,0,0
"ABCD3",-0.953497794880563,0,0
"PRKAG2",-1.26767869104152,0,0
"TCF12",-1.06072420852479,0,0
"DAPK1",-1.40561814678744,0,0
"IFITM3",1.32000697484647,0,0
"PPP3CA",-1.40624449782884,0,0
"NFE2L2",-0.97129616410669,0,0
"SERF2",1.52653013743701,0,0
"ASPSCR1",3.38199866613699,0,0
"FOXP1",-0.943869703725093,0,0
"H3F3A",2.50013805045075,0,0
"HINT1",1.83790139639045,0,0
"RPL8",1.3559628925034,0,0
"EBNA1BP2",-1.04033866712893,0,0
"FAF1",-0.926776624455119,0,0
"NFIA",-0.778928024575721,0,0
"FOXN3",-0.911580981048518,0,0
"RPL15",1.39003816225621,0,0
"AIG1",-0.794395260052055,0,0
"COX8A",2.05291179720314,0,0
"HSPA5",1.11100161975373,0,0
"HSPB1",2.27436158078193,0,0
"C8A",-0.792310174723916,0,0
"STARD10",1.5000940964053,0,0
"ANG",1.51933383708988,0,0
"SERPINC1",1.27807933712834,0,0
"UGT2B4",1.48660461833886,0,0
"GPX4",1.60104308800079,0,0
"HSP90AA1",1.5210743788605,0,0
"TOR1AIP2",1.80983078579441,0,0
"ACTG1",1.23769582386077,0,0
"RPS13",1.80546989346087,0,0
"TMEM176A",1.40999032996488,0,0
"RPL7",1.90892222519481,0,0
"RPS27",1.49431837999292,0,0
"RPS4X",1.72313768310438,0,0
"COX6C",2.42915770173755,0,0
"PLG",-0.564969385648075,0,0
"NDUFC2",1.98073784756914,0,0
"RPL27",1.88096125358136,0,0
"APOC4",1.73604363833903,0,0
"MBNL3",2.01973103345121,0,0
"ATP1B1",1.73587095004457,0,0
"TSC22D3",1.96625406468025,0,0
"INSIG1",0.997137186671221,0,0
"HSPE1",2.23371126633943,0,0
"CPS1",0.927537794921563,0,0
"HPD",1.87479030230351,0,0
"RPS27A",1.28492493792984,0,0
"RPS5",1.44033090670098,0,0
"CERS2",1.40774666264881,0,0
"CCND3",-2.73539569458919,0,0
"PRDX1",2.10908711388502,0,0
"FAU",1.39391844306922,0,0
"RPL23",1.73233756160864,0,0
"RPL23A",1.93764308345618,0,0
"UBA52",1.83000912279398,0,0
"ALDOB",-0.44820236141987,0,0
"RPL29",1.59424996224943,0,0
"CYP3A4",1.14450667495852,0,0
"FP671120-4",-0.456167874454174,0,0
"B2M",0.819202445470773,0,0
"RPS20",2.13444858135556,0,0
"COX5B",2.17961205577962,0,0
"RPS3",1.30349851692325,0,0
"MT2A",-0.326964989978428,0,0
"CANX",1.00758042386844,0,0
