"gene","log2FC","pvalue","padj"
"APOA2",0.435294319538741,7.69243428333485e-254,1.0315554373952e-250
"APOA1",-4.57113768733611,3.58230056661707e-192,4.80386505983349e-189
"MT-CO2",1.41172433488928,2.06867837444819e-181,2.77409770013503e-178
"MTRNR2L12",9.81660641933233,2.13678633032791e-147,2.86543046896972e-144
"FP236383-3",-0.793405144731805,5.14609733426079e-147,6.90091652524372e-144
"CYP2E1",1.75107776950113,4.33480755180681e-141,5.81297692697294e-138
"CPS1",1.70078192777781,7.80498073649626e-141,1.04664791676415e-137
"HPD",2.73861620230633,3.78416265579933e-139,5.07456212142691e-136
"DCXR",3.09337952314347,3.79265656815386e-139,5.08595245789433e-136
"GLUL",0.75199322372772,3.46843381963134e-133,4.65116975212563e-130
"PAGE4",13.0046974419666,7.25313182660324e-131,9.72644977947494e-128
"MT-CYB",1.17742836043152,5.70464730587401e-130,7.64993203717705e-127
"APOC3",0.39742384694291,1.57779187860842e-123,2.1158189092139e-120
"ALB",-0.884780301058512,7.53775008102708e-116,1.01081228586573e-112
"MT-CO1",0.726186124855144,5.74974973563945e-110,7.7104143954925e-107
"MT-CO3",1.1991830913437,1.42298691012941e-102,1.90822544648354e-99
"CYP3A4",1.67741261215606,2.81663275197781e-94,3.77710452040225e-91
"RBP4",0.649752174884292,2.018263991361e-93,2.7064920124151e-90
"APOE",0.506888613505904,3.37769496722688e-92,4.52948895105125e-89
"HSP90AA1",2.46490711803154,1.51744281859834e-89,2.03489081974038e-86
"EPHX1",2.06215558012319,7.3254564032379e-87,9.82343703674203e-84
"FP671120-4",-0.896331672382785,7.70699584521727e-85,1.03350814284364e-81
"RARRES2",2.2216767271722,4.08671243685669e-84,5.48028137782482e-81
"MT-ND4",1.01640876442366,3.89124209010008e-83,5.21815564282421e-80
"MT-ATP6",1.6912564748232,1.47485654508117e-80,1.97778262695385e-77
"MT-ND5",0.778601211954036,1.68863956945841e-78,2.26446566264373e-75
"INSIG1",1.80798417235143,1.21659440857501e-73,1.63145310189909e-70
"SELENOP",0.426420227748098,5.29983754729669e-73,7.10708215092487e-70
"CTH",4.64837660328693,2.71037829745636e-72,3.63461729688898e-69
"UQCRQ",2.05965004148189,1.51677983439081e-70,2.03400175791807e-67
"GAPDH",1.47854428410378,2.6556457626708e-68,3.56122096774155e-65
"MT-ND1",0.944543284237552,9.78094279824227e-67,1.31162442924429e-63
"TAT",1.54635715021464,7.0666376995366e-64,9.47636115507858e-61
"C4BPA",1.89448331064294,2.58308101916556e-63,3.46391164670102e-60
"SLC1A2",3.09576533279387,2.5699777065942e-62,3.44634010454282e-59
"MT-ND2",1.07926752829631,1.19743047955981e-61,1.60575427308971e-58
"APOC2",0.48106925844432,7.27401685587072e-59,9.75445660372263e-56
"APOC4",2.25818370518322,9.02726666443103e-59,1.2105564597002e-55
"PPIA",1.36253804267402,2.08992593198307e-58,2.80259067478929e-55
"RPL10",0.833699551929151,1.06878058872584e-57,1.43323476948135e-54
"SERPINC1",1.90058769353318,1.51953609890443e-56,2.03769790863084e-53
"HSD11B1",2.63078522099237,3.46611644941043e-56,4.64806215865939e-53
"EEF1A1",0.410975908066917,5.56238779853206e-56,7.45916203783149e-53
"ATOX1",1.79402756888989,1.37892595651087e-55,1.84913970768107e-52
"HSPD1",1.88680737152851,1.44373440961885e-55,1.93604784329887e-52
"TOR1AIP2",1.48697190060047,7.76328936647051e-54,1.04105710404369e-50
"ATP1B1",1.45376089646227,6.03567381038243e-53,8.09383857972284e-50
"FTH1",0.325608548732554,1.35412127527643e-51,1.81587663014569e-48
"NDUFA4",1.9843630908361,3.14057705178302e-51,4.21151382644103e-48
"RPLP1",0.514554293395795,7.17029294625395e-51,9.61536284092654e-48
"HPR",3.18828242371352,1.43673767760224e-49,1.9266652256646e-46
"MPC2",2.44793826840055,1.45153191741684e-49,1.94650430125598e-46
"AASS",2.75320601400518,2.1713202661267e-49,2.9117404768759e-46
"TMEM176A",2.22406936450821,3.99195273370037e-49,5.35320861589219e-46
"AL135905-2",2.05224642951825,1.29084406919416e-48,1.73102189678937e-45
"PRAP1",2.05377993506873,4.04430013106494e-48,5.42340647575808e-45
"CES1",1.39502647387595,7.38517911250741e-48,9.90352518987244e-45
"AOX1",1.55910789938017,3.93397674649279e-47,5.27546281704683e-44
"NME2",2.22690129450131,5.2275615885514e-47,7.01016009024743e-44
"ACTB",0.811029436393727,1.06006622975967e-46,1.42154881410771e-43
"HSP90AB1",1.28072528153021,7.57224887732119e-46,1.01543857444877e-42
