"gene","log2FC","pvalue","padj"
"CYP2E1",2.27189890084417,0,0
"APOA2",0.777465636252029,0,0
"FTL",0.824320082788416,0,0
"CPS1",2.20569655195586,4.94065645841247e-324,6.62542031073112e-321
"MT-CO2",2.1837961415296,4.07803760339948e-318,5.46864842615871e-315
"HPD",3.33680298997713,9.43447302980707e-317,1.26516283329713e-313
"GLUL",1.75615032419406,9.46808021494879e-316,1.26966955682463e-312
"MT-CYB",2.10182370827484,1.78351465510568e-315,2.39169315249671e-312
"DCXR",3.25976854225395,6.25182395113424e-299,8.38369591847102e-296
"MT-CO1",1.48213978250122,5.46123318056138e-272,7.32351369513281e-269
"FTH1",1.26414991464595,3.48149841928878e-255,4.66868938026625e-252
"RBP4",1.00451412566098,1.04782390740803e-249,1.40513185983417e-246
"PAGE4",14.3191247720778,1.28422612589177e-245,1.72214723482087e-242
"MT-CO3",2.081544973238,3.3027993146741e-244,4.42905388097796e-241
"APOC3",0.6620955957776,3.86751658585838e-242,5.18633974163608e-239
"MT-ND5",1.56579639288518,1.55821992828056e-238,2.08957292382424e-235
"CYP3A4",2.23701637148385,7.82789733821639e-238,1.04972103305482e-234
"APOE",1.20505071014216,5.21010637213319e-232,6.98675264503061e-229
"EPHX1",2.10264992507056,3.91944676491351e-231,5.25597811174902e-228
"HSP90AA1",3.16721413450378,2.78206922630928e-218,3.73075483248075e-215
"INSIG1",2.32908078201217,6.78011288845503e-218,9.0921313834182e-215
"APOC1",0.344923156076559,4.89492902161102e-209,6.56409981798037e-206
"SELENOP",0.877748396505987,1.19120657811688e-208,1.59740802125474e-205
"C4BPA",2.57567246869447,5.06322601658582e-206,6.78978608824158e-203
"GAPDH",1.87334093801299,1.26842371538994e-199,1.70095620233791e-196
"MT-ND4",1.85196006889238,2.86424257322277e-196,3.84094929069174e-193
"ACTB",1.23691175875361,3.57507158902278e-192,4.79417100087955e-189
"TOR1AIP2",1.73366859816812,6.38807388090195e-188,8.56640707428952e-185
"TAT",2.07457285114677,4.22748449997195e-182,5.66905671446238e-179
"UQCRQ",2.64561375161167,2.00953273055576e-179,2.69478339167528e-176
"MT-ATP6",2.75184104297157,4.67860370556817e-179,6.27400756916691e-176
"ATOX1",2.97075413050448,7.64190152193503e-179,1.02477899409149e-175
"MT-ND2",1.96635717879642,1.87325194441365e-177,2.51203085745871e-174
"B2M",0.682153856597661,7.90630584293894e-177,1.06023561353811e-173
"MT-ND1",1.7146402640879,2.56997768597582e-173,3.44634007689357e-170
"RPL10",1.1472224738546,6.92450119132689e-172,9.28575609756935e-169
"SERPINA1",0.367516109364979,5.14225219946175e-171,6.89576019947821e-168
"RARRES2",1.73332531613241,2.92921317651771e-170,3.92807486971025e-167
