"gene","log2FC","pvalue","padj"
"APOA2",0.610421235445945,6.58279977330443e-137,8.82753449600124e-134
"APOA1",-5.9633165513681,3.97637610142989e-98,5.33232035201748e-95
"FTH1",1.52296841486295,3.87952365737922e-89,5.20244122454553e-86
"MT-CO2",1.47313591061392,1.38420018432469e-80,1.85621244717942e-77
"GLUL",2.59464172252331,2.31473217029666e-71,3.10405584036782e-68
"MT-CYB",1.34978444104903,2.73978528582394e-60,3.6740520682899e-57
"RBP4",0.812771319613262,1.44589299169463e-59,1.93894250186249e-56
"FTL",0.36889438625607,8.22618069183639e-59,1.10313083077526e-55
"CPS1",1.61646111745114,2.24466712538755e-56,3.0100986151447e-53
"MT-ND5",0.983758242464045,1.59420949114592e-53,2.13783492762668e-50
"MT-CO1",0.865139289776959,1.13384152237868e-51,1.52048148150981e-48
"APOE",0.873316984374531,6.1377004032656e-48,8.23065624077916e-45
"CYP2E1",1.26902461242523,6.50742267909011e-46,8.72645381265984e-43
"INSIG1",2.16989509847218,7.72268607800759e-46,1.03561220306082e-42
"RPL10",1.0979732295611,6.72699827648061e-43,9.02090468876049e-40
"DCXR",2.42032272241574,1.67392771607865e-42,2.24473706726147e-39
"PDK4",2.90360283684237,7.18176425410722e-42,9.63074586475778e-39
"GAPDH",1.65015947846965,1.50113134668811e-41,2.01301713590875e-38
"HPD",2.43878647948579,7.87641007504615e-41,1.05622659106369e-37
"HSP90AA1",2.6778290512788,7.99919352246655e-41,1.07269185136276e-37
"MT-CO3",1.25305976937774,3.05227741185012e-40,4.09310400929101e-37
"PAGE4",11.6360272907979,8.84973707395567e-39,1.18674974161746e-35
"ACTB",0.84925276616785,5.54607768298205e-38,7.43729017287893e-35
"SELENOP",0.685950832630779,7.36730594138861e-35,9.87955726740212e-32
"SERPINC1",1.7747256156395,4.19807770553998e-34,5.62962220312911e-31
"FP236383-3",-0.65089802068416,4.43241002743502e-33,5.94386184679036e-30
"RPLP1",0.601881388501771,2.06832539567435e-32,2.7736243555993e-29
"UQCRQ",2.39740644444232,7.23038789116229e-32,9.69595016204863e-29
"MT-ND4",1.1159682797697,2.03578405300531e-31,2.72998641508012e-28
"SERPINA1",-0.284188042267154,5.00493085163562e-31,6.71161227204336e-28
"EEF1A1",0.286894742102953,4.10465456358748e-30,5.50434176977081e-27
"MT-ATP6",1.94547263382089,4.62513871419708e-30,6.20231101573829e-27
"C4BPA",1.98183778345798,6.32952316341527e-30,8.48789056213988e-27
"ATP1B1",2.77997909114143,6.72229318729842e-30,9.01459516416717e-27
"RPS3",1.09680110458534,8.81459483395435e-30,1.18203716723328e-26
"PPIA",1.424871629337,6.39554481559341e-29,8.57642559771076e-26
"APOC2",0.48803092439186,1.38742641126665e-28,1.86053881750858e-25
"CYP3A4",1.34610057767739,1.59568851372455e-28,2.13981829690463e-25
"APOH",1.15397638159065,8.81083228881778e-28,1.18153260993046e-24
"IFITM3",1.58927918898257,1.92989906108275e-27,2.58799464091196e-24
"RPL19",1.10945785268316,2.249218584021e-27,3.01620212117217e-24
"RPL13",0.698165624089304,2.66572554471818e-27,3.57473795546708e-24
"HSP90AB1",1.8808146922955,3.24694190604628e-27,4.35414909600806e-24
"RARRES2",1.66707591000895,5.84920426446736e-27,7.84378291865074e-24
"MT-ND4L",0.332241521714598,7.31236694295825e-27,9.80588407050701e-24
"ALB",-0.698329372583578,9.18083446548149e-27,1.23114990182107e-23
"MTRNR2L12",10.0388155559018,2.39994206244074e-26,3.21832230573304e-23
"MT-ND2",1.02384858963485,3.48247046572778e-26,4.66999289454095e-23
"RPL15",1.10970085812729,8.24571960334364e-25,1.10575099880838e-21
"RPS2",1.03943521084913,2.60622479164808e-24,3.49494744560008e-21
"TMEM176A",1.92729233050376,4.8819424385233e-24,6.54668481005975e-21
"HSPD1",2.27023543560688,1.23875971894679e-23,1.66117678310765e-20
"AMBP",0.579287995156007,2.9076623747935e-23,3.89917524459809e-20
"STARD10",2.25168328874088,3.6200154870199e-23,4.85444076809368e-20
"EPHX1",1.65307127638936,4.9075048373641e-23,6.58096398690525e-20
"RPS23",1.20967496543158,1.26277395197169e-22,1.69337986959403e-19
"EEF2",0.780130707244854,2.16748387349472e-22,2.90659587435642e-19
"KNG1",1.35185475301557,3.83630743126701e-22,5.14448826532907e-19
"TOR1AIP2",1.61939751318547,4.49641812094055e-22,6.02969670018128e-19
"TAT",1.25036197959951,7.5498907789799e-22,1.01244035346121e-18
"GPX4",1.81328010110153,8.18854793631192e-22,1.09808427825943e-18
"MT-ATP8",0.704491665515656,2.60136754251914e-21,3.48843387451816e-18
"RPLP0",0.898696412092232,5.58560110019058e-21,7.49029107535556e-18
"TTR",0.615477445338944,6.39045478975151e-21,8.56959987305677e-18
"PEBP1",1.20867997779463,6.95962931632589e-21,9.33286291319302e-18
"MT-ND1",0.886239566653072,1.79468856844283e-20,2.40667737028184e-17
"UGT2B4",2.1533937072803,1.14429366551422e-19,1.53449780545458e-16
"NME2",2.18780608742737,1.39672214232869e-19,1.87300439286278e-16
"HGD",1.91107666408934,2.36320230124437e-19,3.1690542859687e-16
"HSD11B1",2.57659973841072,2.95984110675193e-19,3.96914692415434e-16
"HULC",2.76334448403499,4.12643685450518e-19,5.53355182189144e-16
"APOC4",1.98709785953102,4.33351642395442e-19,5.81124552452288e-16
"MT-ND3",1.11891206152007,4.87253739033407e-19,6.53407264043799e-16
"MPC2",2.02620909386463,8.38261406081885e-19,1.12410854555581e-15
"RPL23A",1.50554438273653,1.12013232943561e-18,1.50209745377316e-15
"EIF1",0.989743492164444,1.47278096618232e-18,1.9749992756505e-15
"ATOX1",1.80272007525209,1.7219664461577e-18,2.30915700429747e-15
"NDUFC2",2.35904021119803,2.46861391619548e-18,3.31041126161814e-15
"BTBD9",-0.985119379035372,3.4437577589646e-18,4.61807915477152e-15
"PLCG2",1.40877989966082,4.34256168837603e-18,5.82337522411226e-15
"SERF2",1.02484214599993,5.01157516646834e-18,6.72052229823404e-15
"CYB5A",1.29832438787204,6.28132737642298e-18,8.42326001178322e-15
"PPP2R5C",-0.462449130388452,6.6322704825233e-18,8.89387471706375e-15
"IGFBP1",0.831668349660328,7.41610131641511e-18,9.94499186531266e-15
