"gene","log2FC","pvalue","padj"
"GLUL",3.32625181598791,4.70734034105583e-51,6.31254339735587e-48
"APOA2",0.312264791183393,2.10978691648203e-38,2.82922425500241e-35
"MT-CO2",2.21880922612546,4.19969757042924e-38,5.63179444194561e-35
"CPS1",2.28516296421036,2.67615810971574e-36,3.58872802512881e-33
"CYP2E1",2.00766251755195,4.86823597972179e-36,6.52830444880692e-33
"MT-CYB",2.10080479308673,2.26732758523315e-35,3.04048629179765e-32
"FP236383-3",-1.03508271799707,2.65888270244281e-33,3.56556170397581e-30
"HPD",3.02335253137913,1.77159248138557e-32,2.37570551753805e-29
"PAGE4",11.6430903535953,4.0836366297084e-31,5.47615672043896e-28
"DCXR",3.01242238582262,1.00558110437818e-30,1.34848426097113e-27
"MT-CO1",1.52736299225574,2.64822061683145e-29,3.55126384717098e-26
"MT-ATP6",2.81110015635333,3.71731926573229e-27,4.984925135347e-24
"APOA1",-4.60770834284552,1.29547946215937e-26,1.73723795875572e-23
"MTRNR2L12",10.0814252425293,1.54335585016692e-26,2.06964019507383e-23
"MT-CO3",2.0446570178814,1.27539659012592e-25,1.71030682735886e-22
"SLC1A2",4.39264490244533,5.34998661557701e-24,7.17433205148877e-21
"MT-ND4",1.99155259505618,1.48491753048316e-23,1.99127440837791e-20
"MT-ND2",1.97097711938446,6.88075042239433e-23,9.22708631643079e-20
"HSP90AA1",3.19949968986386,1.3824226606528e-22,1.8538287879354e-19
"PDK4",2.48291333045564,1.51031669357328e-22,2.02533468608177e-19
"ALB",-0.884471447747181,2.07866502062679e-22,2.78748979266053e-19
"FP671120-4",-0.789071238138164,3.26919453290103e-21,4.38398986862028e-18
"APOC3",0.250657677866699,5.12838915850261e-20,6.877169861552e-17
"MT-ND5",1.49074089613216,2.888349297618e-18,3.87327640810573e-15
"MT-ND1",1.70154514231783,6.03820964712666e-18,8.09723913679685e-15
"MALAT1",1.024447244598,7.79645217918398e-18,1.04550423722857e-14
"CYP3A4",1.70726525291629,1.43693020231757e-17,1.92692340130786e-14
"RBP4",0.607312023293737,4.42198786002386e-17,5.92988572029199e-14
"HGD",2.91723117517187,4.46906873416977e-17,5.99302117252166e-14
"HSD11B1",3.77373425168285,2.22345904990957e-16,2.98165858592873e-13
"SELENOP",1.08416297645771,8.09021985636346e-16,1.08489848273834e-12
"C4BPA",2.30559181567969,3.25123237805121e-14,4.35990261896667e-11
"MPC2",3.51975957969888,3.79440943698565e-14,5.08830305499775e-11
"EPHX1",2.15038158564503,7.95286207632776e-14,1.06647880443555e-10
"COX6C",2.03760675352342,9.99146560290707e-14,1.33985553734984e-10
"AKR1C1",2.74753949242513,1.11904498343673e-13,1.50063932278865e-10
"RARRES2",2.1706689991656,1.74743661164016e-13,2.34331249620946e-10
"MT-ND4L",0.850358246376798,1.91671223927429e-13,2.57031111286683e-10
"ATOX1",2.08132349285245,2.16047525819795e-13,2.89719732124345e-10
"FTH1",0.632057259314592,4.25742763772674e-13,5.70921046219155e-10
"A2M",-1.71855272763556,8.11526060025537e-13,1.08825644649425e-09
"MT-ND3",2.32206590205964,8.32070248794178e-13,1.11580620363299e-09
"AL135905-2",1.97288361187452,2.85418716241825e-12,3.82746498480287e-09
"APOE",0.784926831652471,6.00033768976936e-12,8.04645284198072e-09
"GAPDH",1.48675167591599,6.70315595424287e-12,8.98893213463969e-09
"TAT",1.62845416189838,8.70578922985955e-12,1.16744633572417e-08
"AASS",2.81346273276581,1.01598085013779e-11,1.36243032003478e-08
"CTH",2.82301218751621,1.33930450742993e-11,1.79600734446353e-08
"TXNIP",-1.91007807497641,1.41140036630466e-11,1.89268789121454e-08
"SERPINC1",1.92242750093076,1.51667942668303e-11,2.03386711118194e-08
"UQCRQ",1.66052417719847,3.15786941774321e-11,4.23470288919364e-08
"ASPSCR1",2.07003572545072,4.96717978448238e-11,6.66098809099087e-08
"AOX1",1.93319943203007,7.17333078208055e-11,9.61943657877001e-08
"INSIG1",1.44288921403346,9.13937549270234e-11,1.22559025357138e-07
"IGFBP1",1.53979386690459,1.14862472890727e-10,1.54030576146465e-07
"TOR1AIP2",1.24476167198844,1.90332046424745e-10,2.55235274255582e-07
"ACSM2B",1.99790435608796,3.11566665248184e-10,4.17810898097814e-07
"HPR",2.65510689489451,7.39740417218604e-10,9.91991899490147e-07
"IFITM3",1.59124846527669,8.01662513277125e-10,1.07502943030462e-06
"AKR1C2",2.20295377468088,1.50897775820569e-09,2.02353917375383e-06
"KDM2A",0.7096569537859,1.64323212176079e-09,2.20357427528122e-06
"C4BPB",2.28467421962743,5.03011517937449e-09,6.74538445554119e-06
"DSP",1.63414570686923,6.78030604364451e-09,9.09239040452729e-06
"COX5B",1.58899528226304,6.955080313836e-09,9.32676270085408e-06
"CEMIP2",2.438641525627,7.12330462776774e-09,9.55235150583654e-06
"HINT1",1.28770980831482,7.16328136202618e-09,9.6059603064771e-06
"MIR122HG",3.98119268957537,7.52977218187703e-09,1.00974244958971e-05
"APOC2",0.491816669687248,1.03158242343985e-08,1.38335202983284e-05
"ALDH1L1",2.30164942842929,1.13798640179353e-08,1.52603976480512e-05
"CES1",1.25853215627865,1.62558255728023e-08,2.17990620931278e-05
"PPIA",0.732935319381852,1.95280409654682e-08,2.61871029346928e-05
"PRAP1",2.07621887581885,1.97789845059852e-08,2.65236182225262e-05
"APOC4",2.18978181273127,2.23208560758685e-08,2.99322679977396e-05
"AQP9",1.75429431058691,3.88678604579455e-08,5.21218008741049e-05
"HLF",2.27811409948936,5.63870455944999e-08,7.56150281422244e-05
"PSAP",-1.42281603393349,6.46927929695711e-08,8.67530353721948e-05
"DNAJB6",0.817692798170861,6.74622530666584e-08,9.04668813623889e-05
"UGT2B4",1.81824453126138,8.96117399945857e-08,0.000120169343332739
"CCND3",1.70462238622653,1.08781369798674e-07,0.000145875816900022
"FGA",-0.454502778241658,1.22817549839068e-07,0.00016469833433419
"TTR",1.02125777423502,1.47488838830704e-07,0.000197782532871974
"HSPE1",1.85527146308326,1.47719613387554e-07,0.00019809200155271
"RPL3",-1.18597022071743,1.50182463283196e-07,0.000201394683262766
"FBXO11",0.533668644817534,1.58555651940712e-07,0.000212623129252495
"SQSTM1",0.913392383603562,1.74528193283937e-07,0.00023404230719376
"ARHGAP26",-0.277015050952432,1.77932558796018e-07,0.00023860756134546
"ATP1B1",1.91925002709527,1.91929418792917e-07,0.000257377350601301
"ARID4B",0.496579366925869,2.6977423717454e-07,0.000361767252051058
"GATAD2B",0.663775639139154,2.79140821468265e-07,0.000374327841588943
"SDC2",2.72054394337441,2.81861620999015e-07,0.000377976433759679
"MBNL3",0.910889839424327,2.89187295596056e-07,0.000387800163394311
"HLA-C",-1.00877666410326,3.85762885496175e-07,0.00051730802945037
"PRDX6",1.23120420545654,4.27935296087767e-07,0.000573861232053696
"SLC2A2",1.43579271001279,4.36666987096012e-07,0.000585570429695752
"CELF2",1.1550911050786,4.58921637202226e-07,0.000615413915488186
"PLCG2",0.781493746897733,4.76884325478949e-07,0.000639501880467271
"CHD1",0.321881524456634,5.27128729064301e-07,0.000706879625675228
"BPTF",0.73148793594109,5.29252704711617e-07,0.000709727877018278
"SYNE2",0.673485581148257,5.48459543641263e-07,0.000735484248022933
"APOB",-0.330273651257178,5.81338405574641e-07,0.000779574801875593
"MT-ATP8",1.21102981428902,6.0637604969625e-07,0.000813150282642672
"ADH1B",0.646824264968361,8.0383935266411e-07,0.00107794857192257
"PIP4K2A",0.785534084338713,9.01055013232515e-07,0.0012083147727448
"RPL30",0.818130026221882,9.31777743556529e-07,0.00124951395410931
"PTGR1",2.02258340045412,9.60256313738095e-07,0.00128770371672279
"SIPA1L1",0.252205504197742,1.01380205664376e-06,0.00135950855795928
"PEBP1",0.832734672743459,1.09225454726975e-06,0.00146471334788873
"SEL1L",-1.45885187185186,1.2645324170227e-06,0.00169573797122744
"SMCHD1",0.390186866114229,1.26884210123334e-06,0.00170151725775391
"ONECUT2",2.84939962867926,1.28306744977735e-06,0.00172059345015143
"PRRC2C",0.624136578493438,1.29140944947918e-06,0.00173178007175158
"GPATCH8",0.510088881208638,1.5406176415814e-06,0.00206596825736066
"ROCK2",0.686392728659851,1.5432270286593e-06,0.00206946744543212
"NDUFA4",1.60515653617172,1.56696244564471e-06,0.00210129663960956
"ANKS1A",-0.42986467201976,1.59946309974984e-06,0.00214488001676454
"NCOR1",0.545331249547579,1.87942628108483e-06,0.00252031064293476
"PAH",1.08155719886734,2.06892500729787e-06,0.00277442843478645
"TMEM176A",1.68221762312611,2.18784478806699e-06,0.00293389986079783
"AHR",1.40178525302052,2.24829320439826e-06,0.00301496118709807
"GNB1",0.417705750845975,2.29132845160082e-06,0.0030726714535967
"APOH",1.04416737468662,2.40180256010248e-06,0.00322081723309742
"GPX3",1.41533032474407,2.58416164327769e-06,0.00346536076363539
"SON",-0.638166383395795,2.61770440313892e-06,0.00351034160460929
"DENND4A",0.684451125527345,2.67758292580738e-06,0.0035906387035077
"IGFBP2",1.46116490774373,2.90399659957622e-06,0.00389425944003172
"RPL38",1.34594682550906,3.2511918235915e-06,0.0043598482354362
"SLC30A10",2.32851665909476,3.70922453958337e-06,0.0049740701075813
"TTPA",2.01732077770141,3.73502438209024e-06,0.00500866769638301
"PAK2",-0.597965566147953,3.92814005537391e-06,0.00526763581425641
"XBP1",-0.939994843577427,3.9761980541931e-06,0.00533208159067295
"RASA2",0.312943805244406,4.27313143546998e-06,0.00573026925496524
"CYTH1",0.973665875475799,4.5676251514422e-06,0.00612518532808399
"PITPNC1",2.2592377550365,4.62482462609945e-06,0.00620188982359936
"ANKRD44",-0.391056466091725,4.64387400250058e-06,0.00622743503735328
"TNRC6A",0.430699930068141,4.838307388422e-06,0.0064881702078739
"PARP8",0.511435498797882,5.28999757415762e-06,0.00709388674694537
