"gene","log2FC","pvalue","padj"
"APOA1",-4.73163336095209,0,0
"FTH1",1.84517831588274,0,0
"SERPINC1",2.92161253516957,0,0
"CPS1",1.86344427116338,0,0
"MT-CO2",1.51753814457503,0,0
"APOE",1.19295823787137,0,0
"RBP4",1.15274634641666,0,0
"APOA2",0.800820241639458,0,0
"GAPDH",2.23269359763561,9.49250724317307e-303,1.27294522130951e-299
"ACTB",1.34875363830823,1.43112485813356e-298,1.91913843475711e-295
"APOC3",0.496770627083379,8.53322979679771e-292,1.14430611575057e-288
"AMBP",1.37341806995931,6.02659406957427e-288,8.08166264729909e-285
"INSIG1",2.28613938110172,4.11297287332767e-284,5.51549662313241e-281
"APOC2",0.880711989882994,1.44446747823004e-269,1.93703088830649e-266
"CYP2E1",1.14647163730559,1.92222229174284e-267,2.57770009322715e-264
"GLUL",2.37825229801614,3.83978594220575e-265,5.14915294849792e-262
"FTL",0.489581463965458,2.66225165539623e-264,3.57007946988635e-261
"EPHX1",2.8091732081113,1.33888968665869e-249,1.7954510698093e-246
"RPS3",1.48446204345025,2.3038832212321e-244,3.08950739967224e-241
"KNG1",2.35141472240041,1.89417220498791e-243,2.54008492688879e-240
"MT-CYB",1.34213294281537,2.39397653662611e-240,3.21032253561561e-237
"RPL10",1.33238765423263,1.57837190086127e-238,2.11659671905496e-235
"EEF1A1",0.64582439218999,3.89907834474935e-234,5.22866406030887e-231
"DCXR",2.94662916832593,4.4530687505647e-234,5.97156519450727e-231
"SELENOP",0.978133225151076,5.53435995176705e-233,7.42157669531961e-230
"IFITM3",2.08325234113955,8.02904679866106e-232,1.07669517570045e-228
"RPL13",0.813873768216271,1.66033976160763e-231,2.22651562031583e-228
"MT-ND5",0.983075626470599,3.81824883650198e-229,5.12027168974916e-226
"MT-CO1",0.937463642771974,5.1878925623378e-229,6.95696392609498e-226
"FN1",0.900350894363591,1.28232023211065e-225,1.71959143126038e-222
"APOB",0.428531603637633,1.6866444180997e-218,2.2617901646717e-215
"RARRES2",2.37229023601932,5.24580451358813e-214,7.03462385272168e-211
"ACTG1",1.65285255087173,3.10492065287432e-213,4.16369859550446e-210
"RPLP0",1.32440648803651,8.25502837611844e-212,1.10699930523748e-208
"APOH",1.55074707534304,7.5685994553855e-202,1.0149491869672e-198
"CLU",1.32679242335589,4.06918278338529e-201,5.45677411251968e-198
"RPLP1",0.795923650401248,9.40515901475681e-201,1.26123182387889e-197
"HSP90AB1",2.38484532055513,6.86682463452159e-200,9.20841183489345e-197
"PPIA",1.71266396857843,1.48585235674709e-198,1.99252801039785e-195
"ANG",2.90684563079576,3.72329421377705e-195,4.99293754067502e-192
"TMEM176B",2.40392691505671,1.72682424834392e-194,2.3156713170292e-191
"F5",2.17965017152561,4.68416445158766e-194,6.28146452957905e-191
"RPS2",1.28539768079,1.24935412862081e-187,1.67538388648051e-184
"PARP8",-0.559807021265228,2.08194887175974e-186,2.79189343702981e-183
"ARHGAP15",-0.73221266013286,9.21973895407607e-178,1.2363669937416e-174
