"gene","log2FC","pvalue","padj"
"APOC3",3.62560687073233,3.11506782029659e-13,4.17730594701772e-10
"APOC1",3.25099159810025,3.76609688468737e-11,5.05033592236576e-08
"APOA2",2.4720625017206,6.68062293798995e-11,8.95871535984452e-08
"ALB",2.09579622779215,8.46510746716896e-11,1.13517091134736e-07
"APOC2",4.47905665560758,4.21266323849823e-08,5.64918140282612e-05
"TTR",3.00948044648923,4.94256743474114e-08,6.62798292998787e-05
"FTL",1.53429258671811,5.99153753979283e-08,8.03465184086218e-05
"APOE",3.94691235114002,1.72536756017596e-07,0.000231371789819596
"PRAP1",10.0784535318332,3.72786303757802e-06,0.00499906433339212
"SELENOP",2.95547781479615,3.95035727500672e-06,0.00529742910578402
"APOA1",2.45228905462727,8.62834594503934e-06,0.0115706119122978
"FGA",4.74299200900774,1.15906259548672e-05,0.0155430294054769
"GATM",9.77993682672998,1.40939270916423e-05,0.0188999562298923
"SERPINA1",2.2599406586358,1.65648176346241e-05,0.0222134204480309
"GLUL",2.01844488806925,2.32244258386611e-05,0.0311439550496446
"CYP2E1",4.59454162955878,2.34390396870456e-05,0.0314317522203282
"GC",4.29587973300632,4.1518364644607e-05,0.0556761269884179
"APOH",4.23285097750537,5.16260713428257e-05,0.0692305616707293
"EPHX1",9.54542079393127,7.02333211607633e-05,0.0941828836765836
"CYP3A4",9.69957280748813,7.31662940845999e-05,0.0981160003674485
"FN1",3.69480159228116,8.14783263497861e-05,0.109262435635063
"CES1",2.83315460226621,0.000100101386875874,0.134235959800547
"SERPINC1",9.43747015169167,0.000100815289561426,0.135193303301872
"DCXR",9.90402064103356,0.000109588626832378,0.146958348582218
"RBP4",2.103013958692,0.000145987351627162,0.195769038532024
"AMBP",3.96842278039259,0.000147467533720878,0.197753962719698
"HULC",2.53948811302556,0.000192848068771688,0.258609260222833
"MT1E",9.20703293308259,0.000386575902131517,0.518398284758365
"CYP2C9",8.97887460351748,0.000537845152909556,0.721250350051715
"BAAT",9.22367059226641,0.000594520853764184,0.797252464897771
"ALDH1A1",3.52262005716835,0.000618655514600081,0.829617045078708
"ARHGAP26",-1.96981949262851,0.000646052297185016,0.866356130525106
"POR",-7.94951870344257,0.000706915430490848,0.947973592288227
"B2M",-1.29816467366534,0.000784046379383587,1
"AKR1C1",9.11772489366442,0.0007931422288564,1
"CLU",3.5284826514897,0.000850963066061965,1
"FTH1",1.29659534595835,0.00129969706258053,1
"TF",9.10945653643782,0.00134123490319822,1
"MGST1",3.42736191515272,0.00224788157885974,1
"TBCA",9.07318444876941,0.0024085823431775,1
"UGT2B4",3.12715841613114,0.00258766299388218,1
"UTRN",-0.326806110581836,0.0027177762697892,1
"STARD10",8.54402405034543,0.0029216932769704,1
"ALDOB",9.07423932019604,0.00316132202433543,1
"AC105402-3",-1.36204841322387,0.00354428109918993,1
"UQCRQ",1.16678822237639,0.00388556131582572,1
"HADHA",8.29921503458718,0.00496372657391991,1
"PTPRF",8.39363165483684,0.00496372657391991,1
"BAZ1A",-1.50472540869852,0.00518386550959943,1
"ANKRD44",-0.355329251173126,0.00538633779628998,1
"VTN",3.54889593679267,0.0054029154307867,1
"HPR",8.79272418124503,0.00544360991549009,1
"SERPINA3",8.25148099381391,0.00581700700349009,1
"CDK13",-0.361651989574621,0.00615550118103203,1
"HLA-C",-1.28524022011382,0.00699207695078933,1
"SMARCC1",1.34407098617555,0.0072173288709124,1
"ITIH1",8.22357934941697,0.00742027571148207,1
"C2",8.33208182099966,0.00862517884188346,1
"N4BP2L2",-0.387335349593162,0.00917502884079428,1
"HP",8.58730808414741,0.00932937339788736,1
"LEAP2",8.63778365307936,0.00985588980133021,1
"CPB2",8.1049535005671,0.0103837954611633,1
"CCND3",-0.681473194162015,0.0118116717781763,1
"RNF213",-0.980504802157484,0.0121114176132304,1
"EIF4G1",3.02999374495937,0.0124504367718426,1
"NFIB",2.12083192947894,0.0136049898558568,1
"TPT1",0.779462478767708,0.0143502533128797,1
"PTGR1",2.95178881720307,0.0147055685386309,1
"IFITM2",-2.99055333855807,0.0147246074319556,1
"UBE2H",1.45611673036161,0.0149107557553385,1
"HDGF",2.35254196743274,0.0149229998049878,1
"TMEM245",-1.84731234125851,0.0151709379758965,1
"TMSB10",-1.45235691834015,0.0153784807010574,1
"OSBPL8",2.04360558773405,0.0154024217851381,1
"APOB",2.32884436965296,0.0158505345978427,1
"CFHR1",8.58906754631804,0.0163210083248797,1
"VPS13A",2.75178591798921,0.0164144901241808,1
"AGMO",7.99714575399907,0.018090992895571,1
"WDPCP",-1.3971110155771,0.019565110594386,1
"PKP4",8.52835632804501,0.0196957385676564,1
"CFHR2",8.0902680447029,0.0201710597241582,1
"RAC1",1.72211040183955,0.0202962675299106,1
"CYB5A",2.35104523129614,0.0209752909838295,1
"DOCK4",2.41505433094565,0.0210668612684832,1
"IGFBP2",7.9646352905017,0.0211477952207435,1
"TCF7L2",1.69566613443338,0.0222595436717785,1
"AQP9",8.10086240958111,0.0229200901850238,1
"PAH",8.25128346932335,0.024087275806277,1
"NDUFC2",3.52025650834905,0.0257663904443697,1
"HRG",7.71669693022886,0.0259665090863861,1
"RPS11",-1.02390136249955,0.0263115120913262,1
"PLEKHA5",-5.96073408558106,0.0279455397260979,1
"ASGR1",7.91436749065382,0.0291428978029328,1
"HSP90AB1",1.20228310404427,0.0292350473420978,1
"ALDH1L1",1.25588303385526,0.0292627202500473,1
"HPX",8.07544493231529,0.0306707947024998,1
"RARRES2",3.76710742328554,0.0319725143933803,1
"APOC4",2.93439732467829,0.0339863493330823,1
"NBAS",3.58945853333357,0.0353953092452389,1
"RBL2",-4.11526145107938,0.0357873904140381,1
"PGRMC1",7.74131479903976,0.0360514172674998,1
"UBR2",-1.4622164569914,0.0375064193341833,1
"CALD1",7.93626899062773,0.0380224441819169,1
"EIF5",1.53679932497498,0.0389202585926331,1
"ANG",8.06012452640321,0.0393338707406475,1
"RPL4",1.03332065942598,0.0403319156570792,1
"KNG1",2.23115145261943,0.0405424124191935,1
"LRMDA",1.84854703980172,0.0415617241786664,1
"ABCC2",7.78513257985029,0.0416038959667587,1
"RPLP1",-1.12076248268516,0.0434100545653663,1
"CDO1",7.57546838365715,0.0440740020505991,1
"ERRFI1",7.46373986243242,0.0454514479831329,1
"RHOB",-1.10621706212303,0.0507410765264953,1
"NACA",0.79695783958427,0.052235010842741,1
"ORM1",8.23121107825186,0.0525561301381473,1
"PARD3B",2.68582727531122,0.0548736729609161,1
"GBE1",1.84304498940018,0.0550497756346058,1
"PBRM1",-1.0253397109468,0.0568004558939149,1
"QKI",1.28252634209441,0.0605155594076204,1
"SCP2",2.59685336034243,0.0610820100727919,1
"ATP1B1",7.44515107199847,0.0611219690308824,1
"ROBO1",0.98157640839355,0.0633607414513363,1
"ACSM2B",7.36536443302109,0.0667001574624816,1
"IFITM3",1.04969469762358,0.0679641503321585,1
"MT-ND1",-0.628791101368599,0.0712966778114167,1
"FRYL",-0.565320410721559,0.071594567611196,1
