"gene","log2FC","pvalue","padj"
"APOC3",4.48840457866959,6.24191943630532e-40,8.37041396408544e-37
"APOA2",2.80784268258242,1.23818652668782e-37,1.66040813228837e-34
"ALB",2.56927602063323,2.94595921991132e-37,3.95053131390108e-34
"APOC1",2.92178493253513,2.51667983476015e-35,3.37486765841336e-32
"TTR",3.36148361856888,8.22190026930029e-31,1.10255682611317e-27
"APOC2",5.3426716841115,1.38235785599684e-25,1.85374188489176e-22
"RBP4",5.7486437260487,2.06143483360304e-25,2.76438411186167e-22
"APOA1",4.27626810270776,1.77781317702899e-24,2.38404747039587e-21
"AC105402-3",-1.37692071403353,9.23748415755954e-24,1.23874662552873e-20
"TMSB4X",-1.33353360868156,5.42264366290928e-21,7.27176515196135e-18
"APOH",3.74155076005029,2.73728606575979e-19,3.67070061418388e-16
"GLUL",3.21010064475301,4.43521391070725e-18,5.94762185425842e-15
"GATM",10.8846886499738,7.39464670789214e-18,9.91622123528336e-15
"SELENOP",3.16639243268932,7.88324337731258e-17,1.05714293689762e-13
"CST3",-0.940727790676036,1.3795847384777e-16,1.8500231342986e-13
"AMBP",3.53756368270957,2.48167309587593e-16,3.32792362156963e-13
"ACTB",-1.13658656932158,4.36385430378222e-16,5.85192862137196e-13
"CES1",4.07162091464716,8.99103347851292e-16,1.20569758946858e-12
"CYP3A4",10.4435307345361,1.07001638272469e-14,1.43489196923381e-11
"CD74",-0.585077134561103,1.07458296613181e-14,1.44101575758276e-11
"APOB",5.42874751956082,1.39781347217244e-14,1.87446786618324e-11
"CYP2E1",3.151089028422,5.23374614877193e-14,7.01845358550316e-11
"FN1",4.40261512466488,2.82710568363307e-13,3.79114872175195e-10
"PRAP1",4.46958974426884,3.8613819765746e-13,5.17811323058653e-10
"HLA-B",-1.11896818558707,1.62298510312299e-12,2.17642302328793e-09
"APOE",2.82646825246858,7.22438152612783e-12,9.68789562653741e-09
"ALDH1A1",3.26981164017296,3.0122816635567e-11,4.03946971082953e-08
"HLA-A",-1.12010085580489,3.54990308452496e-11,4.76042003634797e-08
"MTRNR2L12",-1.11442905406053,4.41570760227627e-11,5.92146389465248e-08
"RPS29",-1.1481070516301,1.35196217450356e-10,1.81298127600927e-07
"LEAP2",10.1097785364822,2.63797694326472e-10,3.53752708091799e-07
"B2M",-0.99720081689501,2.95082789441137e-10,3.95706020640564e-07
"APOC4",5.0283197182382,5.21104830434581e-10,6.98801577612773e-07
"CLU",3.01426326453706,5.26658953377388e-10,7.06249656479078e-07
"HLA-C",-1.1458442169268,2.37799886128803e-09,3.18889647298724e-06
"HPD",4.65349024444171,2.44064213845008e-09,3.27290110766156e-06
"UGT2B4",6.23557036190269,2.51062764315798e-09,3.36675166947485e-06
"UQCRQ",2.04271483600653,3.24996883622972e-09,4.35820820938405e-06
"PITPNC1",-1.71807987607896,4.19405262819961e-09,5.62422457441568e-06
"SERPINA1",2.01392764374392,6.9450317052833e-09,9.31328751678491e-06
"LRMDA",1.54180290193002,7.44250101462536e-09,9.98039386061261e-06
"RPS28",-0.912283677984951,1.06452675017815e-08,1.4275303719889e-05
"ALDOB",5.20328475026005,1.06521961757559e-08,1.42845950716886e-05
"VTN",2.48763096750738,1.11704506323573e-08,1.49795742979911e-05
"SERPINC1",9.74434391916636,1.19350595127524e-08,1.6004914806601e-05
"HULC",1.98263439901488,1.93360927943675e-08,2.59297004372468e-05
"CADM1",-1.51667642417813,2.70038773116769e-08,3.62121994749588e-05
"HP",9.85454839597019,5.08225321188986e-08,6.8153015571443e-05
"RPLP2",-0.842537774355749,5.35620208678212e-08,7.18266699837482e-05
"MGST1",3.13350995219196,5.39287542194642e-08,7.23184594083015e-05
"TMSB10",-0.965448464420436,8.31623673458818e-08,0.000111520734610828
"RARRES2",9.3658586624608,1.22814881936964e-07,0.000164694756677469
"ACTG1",-1.06207777018705,1.5272130746137e-07,0.000204799273305697
"IGFBP2",9.47134621845187,1.5940546378077e-07,0.000213762726930012
"ORM1",9.59125420976023,1.77492982816373e-07,0.000238018089956756
"HSPE1",1.65607776389128,2.09877724668141e-07,0.000281446028779976
"RPLP1",-0.986981984295385,2.55944171527737e-07,0.000343221134018696
"CYB5A",3.11533970093245,3.45782308914114e-07,0.000463694076253827
"CTSB",1.23241197927988,4.14564915035787e-07,0.00055593155106299
"RPS11",-0.686287317853918,4.89385212269673e-07,0.000656265569653631
"TF",4.45726306293744,5.22608263981526e-07,0.000700817681999226
"MT1E",1.95086240698513,7.19985547761957e-07,0.000965500619548785
"KNG1",4.15911829087394,7.75683792035422e-07,0.0010401919651195
"RPS27",-1.15407885307225,9.71005634245317e-07,0.00130211855552297
"AHSG",4.27650390018163,1.14768890628102e-06,0.00153905082332285
"PCK1",9.15638180785819,1.37914359744854e-06,0.00184943156417849
"TXN",2.017015322354,1.6485441559318e-06,0.00221069771310454
"AOX1",9.35103707253457,2.07145186229697e-06,0.00277781694734024
"FGG",5.47804190260906,2.73559316760449e-06,0.00366843043775762
