"gene","log2FC","pvalue","padj"
"AC105402-3",-1.1953491926505,1.84549116001471e-14,2.47480364557973e-11
"B2M",-0.99435552265691,2.47032029457636e-12,3.3126995150269e-09
"HLA-B",-1.23759903763073,6.41108748416734e-12,8.59726831626841e-09
"RPS29",-1.75784446812408,1.29306862801566e-11,1.734005030169e-08
"ACTB",-1.45923941831862,6.97502793598541e-11,9.35351246215644e-08
"TMSB4X",-1.36318262348072,1.36198260373519e-10,1.82641867160889e-07
"RPL13",-1.27221902830108,2.44326452497343e-10,3.27641772798936e-07
"FAU",-1.95412041109101,8.75196644469682e-10,1.17363870023384e-06
"RPS27",-1.46344144905689,3.54080571233545e-09,4.74822046024184e-06
"RPLP1",-1.11264881905657,4.15547285051669e-09,5.57248909254288e-06
"PLCG2",-1.1202323403644,5.34721005060465e-09,7.17060867786084e-06
"RPS11",-1.40203265819336,8.74847552621799e-09,1.17317056806583e-05
"PRRC2C",-1.59477162134011,9.91684173321707e-09,1.32984847642441e-05
"HIPK2",-1.5576968461237,4.52382228882456e-08,6.06644568931373e-05
"RPL11",-1.44149692808946,4.95727645874802e-08,6.64770773118109e-05
"ANKRD11",-0.735868319111073,5.52068613413436e-08,7.40324010587418e-05
"MALAT1",-0.794881975900521,8.774782339956e-08,0.00011766983117881
"RPS28",-1.22562495428987,1.10503953469453e-07,0.000148185801602537
"LRMDA",-0.931394158708537,1.13703881984129e-07,0.000152476905740717
"RNF213",-0.84020146180599,4.95561194925856e-07,0.000664547562395573
"CYTH1",-0.783933167897279,6.22311593448481e-07,0.000834519846814414
"SRRM2",-1.2472945442567,6.38196941041507e-07,0.000855822097936661
"RPL41",-0.929824153913039,8.34242522273638e-07,0.00111871922236895
"RPS2",-1.11279787965373,1.29138851806626e-06,0.00173175200272686
"FKBP5",-0.767271670527392,1.65500246032606e-06,0.00221935829929724
"RPL28",-0.945713727524746,2.28022626251497e-06,0.00305778341803257
"INSR",-1.15909696829526,2.35871547282798e-06,0.00316303744906233
"RPL13A",-0.853382770254011,3.42079074554022e-06,0.00458728038976944
"SYNE1",-1.25119459335271,4.54726114156891e-06,0.00609787719084391
"HLA-A",-0.655860532392506,4.78165136696039e-06,0.00641219448309389
"MACF1",-0.563556889932038,5.19748671916887e-06,0.00696982969040545
"TBC1D22A",-0.897461444364093,5.35329976440141e-06,0.00717877498406229
"ANKRD44",-1.39290591117906,5.42205316932947e-06,0.00727097330007081
"RPL34",-0.946021817840939,6.65198056844504e-06,0.0089203059422848
"BTG1",-1.45013848276571,7.66742834395325e-06,0.0102820214092413
