"gene","log2FC","pvalue","padj"
"APOA2",2.36498400712687,6.67584033214968e-149,8.95230188541273e-146
"APOC1",2.28515294357661,1.75613883321527e-130,2.35498217534168e-127
"APOC3",3.02663382673233,2.97879895232209e-124,3.99456939506393e-121
"ALB",1.66209293371212,8.37921255289916e-116,1.12365240334378e-112
"TTR",2.41430183133998,1.4727913743228e-93,1.97501323296687e-90
"MALAT1",-0.782574498838509,2.64084001830831e-91,3.54136646455144e-88
"FTL",1.20197301930153,1.11298324624621e-85,1.49251053321616e-82
"RBP4",3.29485241544663,4.84985413624074e-69,6.50365439669884e-66
"APOA1",3.23856639805171,1.34308038173413e-68,1.80107079190547e-65
"B2M",-1.36112505861885,2.36673824843426e-61,3.17379599115035e-58
"APOC2",3.02770790747088,7.01836676091076e-52,9.41162982638132e-49
"AMBP",2.72974909317927,1.22083226940813e-51,1.63713607327631e-48
"HLA-B",-1.61574635525248,2.02305736686303e-50,2.71291992896333e-47
"HLA-A",-1.7057008987741,1.7642531863528e-45,2.3658635228991e-42
"TXNIP",-2.12269188065606,3.18866086951066e-44,4.2759942260138e-41
"SELENOP",3.16199271620699,1.02064377231316e-42,1.36868329867195e-39
"FTH1",1.47063285366371,1.26095424269538e-39,1.6909396394545e-36
"HLA-C",-1.69369195104715,5.63137007569568e-37,7.55166727150791e-34
"MTRNR2L12",-0.879835950580344,2.65431644175169e-35,3.55943834838902e-32
"HLA-E",-1.79317609641135,1.61335822590128e-34,2.16351338093361e-31
"APOH",2.14827003198889,1.26650061878592e-32,1.69837732979193e-29
"SERPINA1",2.12080362478699,2.32837005013292e-30,3.12234423722824e-27
"TMSB4X",-1.39252345671815,2.59305636502093e-30,3.47728858549306e-27
"RPL13A",-1.02019523405661,3.88081948726404e-30,5.20417893242107e-27
"TXN",2.17665425492356,1.55995732688252e-29,2.09190277534946e-26
"AC105402-3",-0.841967931339726,3.11433580076421e-29,4.17632430882481e-26
"APOB",2.525568016371,4.00749499911534e-29,5.37405079381367e-26
"CYP2E1",2.44640416584134,6.44868650910783e-29,8.6476886087136e-26
"ACTB",-1.01795807059244,2.36000536498775e-28,3.16476719444857e-25
"RPS29",-1.14058289995718,4.3732090729179e-28,5.86447336678291e-25
"PARP8",-1.90880610458685,4.95255769897177e-28,6.64137987432115e-25
"BTG1",-1.86881661117663,1.59502072458986e-27,2.138922791675e-24
"CCND3",-1.86211417599807,1.74682101305064e-27,2.34248697850091e-24
"APOE",2.75862656108013,6.581496798085e-27,8.82578720623199e-24
"CYP3A4",3.49998611902187,8.87828299481283e-26,1.1905777496044e-22
"MBNL1",-0.845214716342372,1.23988130230774e-24,1.66268082639468e-21
"GATM",2.98328741776255,1.28487205533148e-24,1.72301342619951e-21
"MGST1",2.76732811800493,3.16348496975619e-24,4.24223334444306e-21
"CES1",2.24799224205105,3.80690019609651e-24,5.10505316296541e-21
"FN1",2.4530421594872,7.81063712870866e-24,1.04740643895983e-20
"PITPNC1",-1.70610087657622,1.03742974554854e-23,1.3911932887806e-20
"RPLP1",-0.791053583811962,9.40735332353201e-23,1.26152608068564e-19
"PRAP1",2.75116542544351,1.62791391197218e-22,2.18303255595469e-19
"GLUL",1.98250561142885,3.31542422928091e-22,4.4459838914657e-19
"RABGAP1L",-0.875415699654348,7.54292305318009e-22,1.01150598143145e-18
"TMSB10",-1.35143180141134,7.70957173588261e-22,1.03385356978186e-18
"RPS19",-0.778277228403631,7.87529880587656e-22,1.05607756986805e-18
"RPL13",-0.624878962581881,4.8785812436255e-21,6.54217744770179e-18
"PTPRC",-1.53031368755489,1.20432903654113e-19,1.61500523800166e-16
"APOC4",4.14963338005993,1.25196768784277e-19,1.67888866939715e-16
"GC",3.57805738476001,1.61251498631851e-19,2.16238259665313e-16
"TPT1",0.53870293382963,4.41338645701644e-19,5.91835123885905e-16
"ZFP36L2",-1.63515700774706,5.53239410566806e-19,7.41894049570087e-16
"RPS27",-0.896659304472459,5.62459251787664e-19,7.54257856647257e-16
"CDC42SE2",-1.47676472740754,7.49549996012807e-19,1.00514654465317e-15
"ALDH1A1",1.61135142259247,1.64045699571168e-18,2.19985283124936e-15
