"gene","log2FC","pvalue","padj"
"APOA2",2.97930124362909,5.55335444230584e-221,7.44704830713214e-218
"APOC1",3.6102931555205,1.38424667959773e-212,1.85627479734056e-209
"ALB",2.58464848922051,2.13731725683148e-205,2.86614244141101e-202
"APOC3",3.98213275436739,5.47191052096233e-193,7.33783200861049e-190
"TTR",3.9258007146016,2.5593937117511e-173,3.43214696745822e-170
"AC105402-3",-1.14994634985058,2.44833534153388e-125,3.28321769299693e-122
"RBP4",4.6830613826443,7.28837395174515e-119,9.77370946929024e-116
"APOA1",4.19952577911329,3.56132176482928e-118,4.77573248663607e-115
"MTRNR2L12",-1.05660957081991,3.42290788006019e-115,4.59011946716071e-112
"APOC2",3.88423936795625,1.89597111646698e-92,2.54249726718222e-89
"HLA-B",-1.12184266382561,1.60181120496711e-89,2.14802882586089e-86
"AMBP",3.54356955376093,5.93566273632719e-89,7.95972372941476e-86
"B2M",-0.902284630244985,2.69882082874352e-85,3.61911873134506e-82
"APOH",4.94015705418411,3.62479591506637e-74,4.860851322104e-71
"PRAP1",8.07378108374233,8.14287191733852e-70,1.0919591241151e-66
"MT-CO1",-0.719025745896325,4.58578704648938e-68,6.14954042934226e-65
"CES1",3.93434349857909,6.49247663407291e-65,8.70641116629177e-62
"MT-CO2",-0.716370258371976,9.92160204787202e-65,1.33048683461964e-61
"FTL",0.923290671125607,4.02360010817975e-64,5.39564774506904e-61
"CCND3",-1.06208208296343,6.69017297826412e-64,8.97152196385219e-61
"SELENOP",2.8783680524227,2.22700988663111e-63,2.98642025797232e-60
"CYP2E1",4.16020489725188,2.86396996397362e-63,3.84058372168862e-60
"MT-ATP6",-0.687552992161725,5.27087799437967e-60,7.06824739046314e-57
"TXN",2.89561214078902,1.051396826508e-59,1.40992314434723e-56
"SERPINA1",2.1716680013214,1.10442915675727e-58,1.48103949921149e-55
"MT-ATP8",-0.918405558565959,8.64783307991268e-57,1.15967441601629e-53
"MT-ND4",-0.705060755848878,9.59950265417154e-57,1.2872933059244e-53
"TXNIP",-1.15508786063495,2.36095385233851e-56,3.16603911598594e-53
"FN1",3.15807293851152,5.96822273910583e-53,8.00338669314091e-50
"MT-ND2",-0.700864303942226,1.71738553753096e-52,2.30301400582902e-49
"TMSB4X",-0.923340995262182,3.64111807796069e-51,4.88273934254529e-48
"GLUL",2.25256711136246,3.52246821765473e-50,4.723629879875e-47
"APOB",3.66909735004292,4.2669961644569e-50,5.7220418565367e-47
"MT-ND5",-0.7045548345423,2.53534619577984e-49,3.39989924854076e-46
"DCXR",4.2528402876942,9.11936208363108e-49,1.22290645541493e-45
"ACTB",-0.778863680142218,1.15658444574311e-48,1.55097974174151e-45
"ALDH1A1",3.02834762045382,6.60855618898069e-48,8.86207384942311e-45
"RABGAP1L",-0.866626533796114,2.01357911500223e-47,2.70020959321799e-44
"MT-ND1",-0.701323621945299,1.72803191213177e-46,2.31729079416871e-43
"APOE",2.92867565614769,1.42904869084799e-45,1.91635429442715e-42
"MALAT1",-0.494478382342137,2.6632372424901e-45,3.57140114217922e-42
"GATM",4.19771042016026,5.7931520701805e-45,7.76861692611205e-42
"MT-CYB",-0.670995595461985,9.69727929439423e-45,1.30040515337827e-41
"HLA-A",-0.738643066535229,1.26182505485522e-44,1.69210739856085e-41
"PARP8",-1.42581785625159,1.55333077721184e-44,2.08301657224108e-41
"MGST1",3.98662089457246,2.06606667076063e-44,2.77059540549001e-41
"UQCRQ",2.07511750428429,2.05786397128108e-43,2.75959558548792e-40
"HLA-C",-0.967889780105154,2.62523272652566e-42,3.52043708627091e-39
"PRKCH",-1.05766249616757,2.93647004934526e-42,3.93780633617199e-39
"VTN",3.73980307637827,7.61755536719027e-42,1.02151417474022e-38
"PITPNC1",-1.20417458214256,6.5447804201509e-41,8.77655054342235e-38
"CYB5A",7.94109435370702,7.61847660166638e-41,1.02163771228346e-37
"MT-ND3",-0.66314965688412,1.83641055064815e-40,2.46262654841916e-37
"MT-CO3",-0.644356817325191,3.23280455350091e-40,4.33519090624473e-37
"MT-ND4L",-0.703608247594707,1.82480454350569e-39,2.44706289284113e-36
"APOC4",4.93454104400351,7.20471901342924e-39,9.66152819700861e-36
"SYNE2",-1.97920088919491,1.18756280753175e-38,1.59252172490008e-35
"RPLP1",-0.760088445907134,1.27338266759743e-38,1.70760615724816e-35
"RPS29",-0.951000141764197,2.39471803917374e-38,3.21131689053199e-35
"CLU",3.65309899779016,3.24978638449089e-37,4.35796354160229e-34
"CBLB",-1.14468363056697,3.50009516262576e-37,4.69362761308115e-34
