"gene","log2FC","pvalue","padj"
"AC105402-3",-4.87767063597665,0,0
"B2M",-1.43143881998624,6.4977406464767e-203,8.71347020692525e-200
"RPL41",-2.59228552547031,6.88236281687603e-176,9.22924853743076e-173
"RPS29",-2.57766273025196,2.18077839546295e-168,2.92442382831582e-165
"HLA-B",-1.44206070911101,4.74945117790361e-161,6.36901402956874e-158
"MALAT1",-0.505780437887362,2.1701818801684e-158,2.91021390130582e-155
"RPLP1",-2.03232613739799,2.94997757864671e-157,3.95591993296523e-154
"RPS27",-2.55441794227359,6.48830084252154e-154,8.70081142982138e-151
"TMSB4X",-2.32020810583347,3.86057504882002e-147,5.17703114046765e-144
"HSPA1A",-3.13192543783062,5.97870055334855e-126,8.0174374420404e-123
"HLA-A",-1.47941672466459,2.07890219630275e-117,2.78780784524199e-114
"TMSB10",-2.5825029081379,1.74806632211383e-115,2.34415693795465e-112
"RPS19",-1.81724258210355,2.59076644343284e-115,3.47421780064344e-112
"RPL28",-2.12735004698424,3.42602597333383e-115,4.59430083024066e-112
"RPS28",-2.43987409824721,7.20943070257202e-103,9.66784657214908e-100
"RPL37A",-2.06750584264248,3.1773878869096e-102,4.26087715634577e-99
"HLA-C",-1.9262573921972,1.35161076116956e-96,1.81251003072838e-93
"RPL13",-1.26751040662794,1.28166616738739e-95,1.71871433046649e-92
"RPS14",-2.58307770147012,2.60615902110929e-95,3.49485924730756e-92
"ACTB",-1.38637514976383,6.94250790067759e-94,9.30990309480865e-91
"RPS11",-2.64317542763697,2.0565958477731e-93,2.75789503186373e-90
"RPLP2",-2.31357743025724,2.23268940716755e-92,2.99403649501168e-89
"RPS27A",-2.34495466294724,5.38220473997115e-89,7.21753655630132e-86
"RPL13A",-1.55608279206315,2.1809130712418e-85,2.92460442853526e-82
"RPL39",-2.58538856744984,2.01782611654906e-83,2.70590482229229e-80
"RPS18",-2.39308713802886,1.05307576912913e-81,1.41217460640216e-78
"RPS21",-2.45611694682723,2.30286062000405e-79,3.08813609142542e-76
"RPS16",-2.49986339012191,1.11255967638945e-76,1.49194252603826e-73
"RPS12",-2.2656555207865,4.40640699243954e-76,5.90899177686143e-73
"TXNIP",-1.25870164042902,6.643368787673e-76,8.90875754426949e-73
"RPS2",-1.89481497400736,9.58642973293992e-76,1.28554022718724e-72
"RPS15A",-2.72944600892723,1.1483373690154e-75,1.53992041184966e-72
"RPL34",-1.89632100464925,3.8308234323644e-74,5.13713422280066e-71
"RPL30",-2.47961596651112,6.48090472766649e-73,8.69089323980077e-70
"RPL27A",-2.25745891303112,4.62263582401086e-71,6.19895463999856e-68
"RPS15",-2.05377900563783,3.30829892410023e-66,4.4364288572184e-63
"RPL10",-2.35716420141905,1.16309760921793e-65,1.55971389396125e-62
"MT-ATP6",-0.419568732111036,2.27121362569073e-65,3.04569747205128e-62
"MT-CO2",-0.411652998736796,2.80051116638776e-64,3.75548547412598e-61
"RPL11",-2.1223655230113,9.3004881607794e-64,1.24719546236052e-60
"RPL23A",-2.51074385495493,1.66297590331699e-62,2.23005068634808e-59
"FAU",-2.49554212986253,3.7037374506623e-62,4.96671192133814e-59
"RPL19",-2.39554646671045,4.13446926495218e-62,5.54432328430088e-59
"RPS23",-2.46636220126844,5.22174191703899e-61,7.00235591074928e-58
"RPL38",-2.44644009455537,3.47828837709289e-60,4.66438471368156e-57
"RPL23",-2.55871959286834,9.18989565014565e-59,1.23236500668453e-55
"EEF1A1",-1.06001270690342,1.35805692844892e-57,1.82115434105e-54
"RPS3",-2.03924349782958,2.03674025902868e-55,2.73126868735746e-52
"ARHGAP15",1.00160075430048,2.71967405958569e-52,3.64708291390441e-49
"RPL37",-2.10374084960889,1.23149876964372e-51,1.65143985009223e-48
"MT-ND4",-0.375202895695284,3.6263316893455e-51,4.86291079541231e-48
"DOCK4",3.00358630589567,3.92322719715736e-51,5.26104767138802e-48
"RPL18A",-1.84838389461048,1.38226826082847e-50,1.85362173777098e-47
"RPS20",-2.09042203417419,1.13628082148419e-49,1.52375258161031e-46
"BTG1",-1.21754869800009,1.04117184029706e-48,1.39621143783835e-45
"RPL18",-1.97111362195863,2.79494572537927e-48,3.7480222177336e-45
"RPL35A",-2.23435816034507,8.69030962425126e-48,1.16537052061209e-44
"LRMDA",2.56045943500885,1.96959396628007e-47,2.64122550878158e-44
"RPL21",-1.9317702325845,1.22913797445006e-46,1.64827402373754e-43
"RPL3",-1.80745773363959,2.11687153973891e-46,2.83872473478988e-43
"NAMPT",1.73870173163882,3.34308514729887e-46,4.48307718252778e-43
"HSP90AA1",-0.401532968939296,4.33666875422574e-46,5.81547279941672e-43
"PDE4D",1.73891251485953,8.22709102190109e-46,1.10325290603694e-42
"HLA-E",-1.12102337133146,4.3777883375757e-45,5.87061416068902e-42
"MT-CO1",-0.380392696357673,6.36010401240322e-45,8.52889948063272e-42
"RPL32",-2.15352737908737,1.29833334401765e-44,1.74106501432766e-41
"RPS25",-2.36486577613399,1.39985092868702e-44,1.87720009536929e-41
"RPL26",-2.16915174018501,2.3945287660617e-44,3.21106307528874e-41
"RPL31",-2.42309292849294,5.69749323570465e-44,7.64033842907994e-41
"RPS24",-1.87964753364082,1.18836325983356e-42,1.59359513143681e-39
"RPL9",-2.25572846024162,6.72899476760593e-42,9.02358198335955e-39
"PTMA",-1.03656524048567,7.62450909499423e-42,1.02244666963873e-38
"ROBO1",2.17000972758801,9.00860333721735e-42,1.20805370752085e-38
"ZBTB20",1.04916737102325,5.49984941493648e-41,7.37529806542982e-38
"CD74",-1.55475219542256,7.67674552303705e-40,1.02945157463927e-36
"DPYD",1.04348147962178,9.89031927281483e-40,1.32629181448447e-36
"RPS13",-2.59776136817574,1.4216438791485e-39,1.90642444193814e-36
"FKBP5",0.925436123436387,3.34099467810655e-39,4.48027386334088e-36
"NFKB1",1.24360955404025,3.51623053614592e-39,4.71526514897168e-36
"RPL36A",-2.32859162452557,3.69892071239954e-39,4.96025267532778e-36
"ELMO1",1.33172048416883,4.12096646688205e-39,5.52621603208883e-36
"RPL36",-1.98829664347999,9.42351147555492e-39,1.26369288887192e-35
"ALB",1.57083859420029,5.01532267567586e-38,6.72554770808133e-35
"SNX9",2.33313995652671,3.83394905882209e-37,5.14132568788042e-34
"SOX5",2.37191586090823,5.30662912045305e-37,7.11618965052754e-34
"RPL35",-1.59663491074995,8.58818379510363e-37,1.1516754469234e-33
"SIPA1L1",1.28720906620649,9.70770702702792e-37,1.30180351232444e-33
"RPS8",-1.86840725382403,3.96985511533155e-36,5.32357570965961e-33
"PFN1",-2.13517503652895,8.81352483514208e-36,1.18189368039255e-32
"AL391117-1",2.45284276535714,1.83752950920304e-35,2.46412707184127e-32
"CCNH",0.625191448366652,4.68317106060527e-35,6.28013239227166e-32
"GPC6",2.19653314463146,9.54652964908986e-35,1.28018962594295e-31
"RPL17",-1.5309573209282,1.37242062951547e-34,1.84041606418025e-31
"RPL15",-2.31288276989842,1.97286631289908e-34,2.64561372559767e-31
"IFITM2",-3.56411486735991,3.72628530803669e-34,4.9969485980772e-31
"RNF213",-0.626888376729465,3.945275586466e-34,5.29061456145091e-31
"IMMP2L",1.39484929219495,4.43529704330509e-33,5.94773333507213e-30
"RPS17",-1.90438756085563,3.55953148429211e-32,4.77333172043572e-29
"FHIT",1.46338281207493,5.53830847296848e-32,7.42687166225074e-29
"PARP8",0.367529554316317,1.11021167964422e-31,1.4887938624029e-28
"PTPRG",2.50397949355826,2.60474916739405e-31,3.49296863347542e-28
"TBC1D5",1.27554346862713,3.60853588570316e-31,4.83904662272794e-28
"ZFHX3",1.47825397703656,8.52460404812503e-31,1.14314940285357e-27
"GNAQ",1.68329297670013,1.18403240364192e-30,1.58778745328382e-27
"UBA52",-1.60148556668291,2.62962234847407e-30,3.52632356930372e-27
"ATP5F1E",-1.99021699042796,7.69303295490826e-30,1.0316357192532e-26
"RPL24",-2.1329090880688,9.96518880469512e-30,1.33633181870962e-26
"CASK",1.65473487672167,1.03632583644398e-29,1.38971294667138e-26
"TRPS1",1.56275074402848,2.018177538173e-29,2.70637607869e-26
"MAGI1",2.25369127551465,1.37370510817787e-28,1.84213855006653e-25
"RPL7A",-2.15041463515587,1.45283291687702e-28,1.94824894153208e-25
"TPT1",-1.42574292679936,3.05162999793846e-28,4.09223582723548e-25
"CHST11",0.584252677140173,3.39695494002514e-28,4.55531657457372e-25
"VPS13B",0.999668169407058,4.46981900882928e-28,5.99402729084006e-25
"AKAP13",0.333785682994877,5.12253532085517e-28,6.86931986526679e-25
"RPL10A",-2.44633393907817,5.17938044063495e-28,6.94554917089146e-25
"LDLRAD4",1.57473233928688,6.47879624088939e-28,8.68806575903267e-25
"PRKN",1.35493322225429,6.84411460080101e-28,9.17795767967416e-25
"JMJD1C",0.680996654409086,7.15853998413734e-28,9.59960211872818e-25
"RPS6",-1.2540878711642,8.74104620394759e-28,1.17217429594937e-24
"MT-CYB",-0.290542202465359,9.85552577701273e-28,1.32162600669741e-24
"MYL6",-1.56656360637489,1.576743320879e-27,2.11441279329874e-24
"TNFAIP3",0.844960831627939,1.35889156345942e-26,1.82227358659909e-23
"MBNL1",0.361487745772954,1.74721570780632e-26,2.34301626416828e-23
"CDK14",2.00177552092509,2.90117951009507e-26,3.89048172303748e-23
"PARD3B",1.9042073031789,3.45243851441569e-26,4.62972004783145e-23
"SERF2",-1.9857428526108,6.08627810367646e-26,8.16169893703014e-23
"APOB",3.87277516662021,6.3362220360081e-26,8.49687375028686e-23
"RORA",0.901477475310253,5.48227215457945e-25,7.35172695929104e-22
"DLC1",2.38120587968332,6.5083277427854e-25,8.72766750307522e-22
"PHACTR2",1.29745436096501,8.61534645327917e-25,1.15531795938474e-21
"CADPS2",2.24161933342092,9.29404252405504e-25,1.24633110247578e-21
"RPS4X",-2.11147750720938,1.12155518190685e-24,1.50400549893709e-21
"RPL27",-2.1039639295283,1.51094234705584e-24,2.02617368740189e-21
"TAPBP",-1.49082562551466,1.93922950546879e-24,2.60050676683365e-21
"SERPINA1",1.78096369911095,2.97087435426146e-24,3.98394250906462e-21
"CBLB",0.394103008088411,3.02409160787168e-24,4.05530684615593e-21
"DUSP16",1.59333459657675,3.07853741522268e-24,4.12831867381362e-21
"FGD4",2.07125773271258,3.49208306980997e-24,4.68288339661517e-21
"CAMK2D",1.10342783565433,5.5272270731725e-24,7.41201150512432e-21
"EXOC4",0.776125860251978,6.48641390826226e-24,8.69828105097969e-21
"RPL29",-1.8913095245779,6.76578030922134e-24,9.07291139466581e-21
"APP",3.24160936264,6.95014605169764e-24,9.32014585532653e-21
"ALCAM",3.41523159705475,7.78974414852373e-24,1.04460469031703e-20
