"gene","log2FC","pvalue","padj"
"APOA2",3.39415213822663,0,0
"APOC1",3.45941399524309,0,0
"ALB",2.84535257122523,0,0
"APOC3",4.60520013266822,0,0
"TTR",4.2983997565447,0,0
"APOA1",4.88597326194265,0,0
"RBP4",4.85365547438666,0,0
"AC105402-3",-1.12845701434438,0,0
"MTRNR2L12",-1.09288489987875,0,0
"APOC2",4.49977310902073,1.07363833938028e-304,1.43974901310896e-301
"AMBP",4.71813608896999,3.29394572939068e-291,4.4171812231129e-288
"FTL",1.61189085395107,5.54667839660851e-284,7.43809572985202e-281
"MT-CO1",-0.626025500606157,1.72167565805796e-266,2.30876705745573e-263
"MT-ND4",-0.622150658038355,8.42074953344173e-240,1.12922251243454e-236
"MT-ND5",-0.682722998333471,5.68830551041441e-236,7.62801768946572e-233
"MT-CO2",-0.605722202114364,7.38927556472959e-233,9.90901853230237e-230
"MT-ND2",-0.648910462467544,2.9673318933435e-232,3.97919206897363e-229
"MT-ATP8",-1.11470638278319,4.19912616910547e-228,5.63102819277044e-225
"MT-ND1",-0.602981311934291,2.30615054740606e-225,3.09254788407153e-222
"MT-ATP6",-0.587193340843173,6.43130772428034e-217,8.62438365825994e-214
"SELENOP",4.01126318787978,7.98077323722311e-210,1.07022169111162e-206
"MT-ND4L",-0.89088101770139,4.00901232453779e-197,5.37608552720518e-194
"CYP2E1",4.19675172356595,4.64058015940657e-193,6.22301799376421e-190
"APOH",3.76116850508163,2.97117290881309e-188,3.98434287071835e-185
"MT-ND3",-0.567982209769961,1.5299281205541e-178,2.05163360966305e-175
"CES1",4.12456100551574,3.07485722197369e-177,4.12338353466671e-174
"MT-CYB",-0.561046754090991,6.94320497273421e-175,9.31083786843657e-172
"APOE",4.23957690434466,3.06809865905707e-166,4.11432030179553e-163
"HLA-B",-0.706557198149686,4.95314887676229e-166,6.64217264373823e-163
"APOB",4.57020123366148,1.49917532007326e-165,2.01039410421824e-162
"SERPINA1",3.20879466684767,8.75530572496853e-165,1.17408649771828e-161
"CCND3",-0.60750165363154,1.59078725918614e-158,2.13324571456861e-155
"MT-CO3",-0.535529417327199,1.94207547369825e-158,2.60432321022936e-155
