"gene","log2FC","pvalue","padj"
"ALB",2.38530739187963,8.13598715662106e-32,1.09103587770288e-28
"APOC3",3.28168324914635,1.42431165555774e-30,1.91000193010293e-27
"APOC1",2.17835973300596,3.94494449677553e-28,5.29017057017599e-25
"TTR",3.14809725595544,8.93533317753781e-27,1.19822817910782e-23
"APOA2",2.41498497272067,2.44496883205796e-25,3.27870320378972e-22
"APOA1",3.29818455334992,9.57349847494172e-25,1.28380614548968e-21
"B2M",-1.20405420638834,6.01855991196358e-24,8.07088884194316e-21
"RBP4",3.89892138013269,6.69381031341238e-23,8.976399630286e-20
"SELENOP",3.78011522117391,5.76942865176101e-22,7.73680382201152e-19
"APOC2",4.44419148917441,1.71802735801253e-20,2.30387468709481e-17
"HLA-B",-1.2572636363575,2.29434341458603e-19,3.07671451895987e-16
"RPLP1",-1.12192946502042,2.84605134222904e-19,3.81655484992915e-16
"AMBP",3.42535443230091,4.92375690322235e-19,6.60275800722117e-16
"SERPINA1",3.36928470402641,1.38094136344625e-17,1.85184236838142e-14
"PTGR1",3.15807595275773,1.32307478209532e-15,1.77424328278982e-12
"APOH",3.43130820012181,3.75531210384419e-15,5.03587353125506e-12
"APOC4",12.1386700482366,9.78264216428491e-15,1.31185231423061e-11
"GATM",4.13678009256436,1.07013459286159e-14,1.4350504890274e-11
"CYP2E1",3.50354646410479,1.67543796495903e-13,2.24676231101006e-10
"AC105402-3",-0.910409238175713,2.23496562230383e-13,2.99708889950943e-10
"FN1",4.27917014651693,1.49131210681887e-12,1.99984953524411e-09
"APOE",2.97381393565936,1.62811784525367e-12,2.18330603048517e-09
"VTN",3.34020866882697,2.26019041399467e-12,3.03091534516685e-09
"HLA-A",-1.11218565972365,3.76995211230768e-12,5.0555057826046e-09
"TXN",2.62412697539944,9.7121066809727e-12,1.30239350591844e-08
"PRAP1",4.30450759322711,9.86061300581498e-12,1.32230820407979e-08
"ALDH1A1",2.79543518881659,2.64714131738098e-11,3.5498165066079e-08
"AHSG",5.11916284240863,2.65278023569314e-11,3.5573782960645e-08
"CES1",3.21994939222501,2.91769412467886e-11,3.91262782119435e-08
"RPL13",-0.960717855285662,4.28033100905314e-11,5.73992388314026e-08
"UGT2B4",3.46155323698532,9.41234811173163e-11,1.26219588178321e-07
"RPS19",-1.08214782814317,9.97587193102348e-11,1.33776442595025e-07
"RPL13A",-0.88203575164879,1.14001118268828e-10,1.52875499598499e-07
"TMSB4X",-1.38861573095992,1.19258362666764e-10,1.59925464336131e-07
"HULC",2.41899594977593,1.23069728444935e-10,1.65036505844658e-07
"RPS27",-1.21088405133935,1.61134808249511e-10,2.16081777862595e-07
"RPS29",-1.40763950258438,3.54962185057178e-10,4.76004290161676e-07
"RPL41",-0.885342849031015,6.04265880286781e-10,8.10320545464574e-07
"DCXR",2.23976143941878,6.81398365881984e-10,9.1375520864774e-07
"EEF1A1",-0.789056869002165,9.80460777414214e-10,1.31479790251246e-06
"ACTB",-1.25501963160172,1.20861938582728e-09,1.62075859639438e-06
