"gene","log2FC","pvalue","padj"
"APOC3",4.29712464141002,4.43334985326267e-319,5.94512215322525e-316
"APOC1",3.27645894209968,1.81955078553118e-302,2.44001760339732e-299
"ALB",2.37537662287268,2.70753553951494e-300,3.63080515848953e-297
"APOA2",2.72681660901359,2.54351909515061e-297,3.41085910659696e-294
"TTR",4.07119040326175,2.30776992359465e-289,3.09471946754042e-286
"AC105402-3",-1.47815060044732,4.84059080110036e-230,6.49123226427558e-227
"APOA1",4.30024863645689,2.95069198501964e-208,3.95687795191133e-205
"RBP4",3.90918840416656,2.24452745205521e-203,3.00991131320604e-200
"AMBP",4.02948102432426,9.05639821145109e-170,1.21446300015559e-166
"APOC2",3.93373437811806,1.96095103167892e-169,2.62963533348143e-166
"HLA-B",-1.11887295194683,5.09004227090365e-154,6.8257466852818e-151
"B2M",-0.964485860936924,1.64521596324643e-141,2.20623460671346e-138
"APOH",2.95387287832737,1.78941344105284e-131,2.39960342445186e-128
"APOE",4.11802275716351,1.5341127291169e-129,2.05724516974576e-126
"CYP2E1",3.38164400026541,2.4065394167944e-129,3.2271693579213e-126
"APOB",4.31155577695644,2.53919048304119e-127,3.40505443775824e-124
"SERPINA1",2.87052172052407,1.73724802941414e-126,2.32964960744436e-123
"SELENOP",3.30184427046593,2.07256046284359e-122,2.77930358067326e-119
"TXNIP",-1.5169529346105,1.76749519876324e-120,2.37021106154151e-117
"PRAP1",4.53672255785791,5.10235715865343e-120,6.84226094975425e-117
"FN1",3.36564474015788,1.99918093737398e-107,2.68090163701851e-104
"FTL",1.23618723950357,6.53143348414369e-107,8.75865230223668e-104
"CES1",4.05031173704621,3.78391964323056e-104,5.07423624157218e-101
"HLA-A",-1.01722009773131,3.09378343555822e-96,4.14876358708357e-93
"ALDH1A1",2.9610562900522,9.97866349000079e-95,1.33813877400911e-91
"TMSB4X",-1.23728860029757,2.04942406951937e-94,2.74827767722548e-91
"GATM",3.58925142396643,1.39059633820435e-91,1.86478968953203e-88
"TXN",2.42133439457177,1.56764949745755e-88,2.10221797609057e-85
"VTN",3.84579969810997,7.35711635737846e-85,9.86589303524452e-82
"HLA-C",-1.02541434638048,1.23476232933704e-83,1.65581628364097e-80
"RPS29",-1.17634808218552,3.52798222383037e-80,4.73102416215653e-77
"MGST1",2.94973718261789,1.23435541551705e-78,1.65527061220837e-75
"CLU",3.73022304458711,1.61062526899911e-78,2.15984848572781e-75
"GLUL",1.96781850454225,7.39061546292795e-78,9.91081533578638e-75
