,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
A1BG,5,dimgrey,dimgrey,2,0.8412792807420809,-0.6177573227724996,0.799859252074241,-0.7091482464870674,-0.060593234501743386,0.2522489918360601
A1CF,5,darkgrey,darkgrey,1,0.4686788374826174,-0.7335954706536436,-0.6525960772948952,0.49685503920561536,0.1451848376676972,0.941841948871963
A2M,5,snow,snow,5,0.7679492839103763,-0.9356642066833636,-0.32073825950036333,0.2167877138772263,0.10708110987318387,0.9974639653632871
AAK1,6,darkgrey,darkgrey,1,-0.8117608767206322,0.946382361477376,0.22723303841380618,-0.22528722318422154,0.02690233914685927,-0.9684470264688213
AASS,5,darkgrey,darkgrey,1,0.3269903264313905,-0.6110006952164894,-0.7455912291169728,0.581083152271662,0.24472121345653686,0.8724535546052129
ABCA1,5,black,black,0,0.8280293367824215,-0.596195782754511,0.8105132539308614,-0.7132410592879951,0.06375177516943838,0.23134857775324735
ABCA6,4,black,black,0,0.9563866990204444,-0.9633762535621546,0.15059573267541904,-0.07895262639582716,-0.030669248100245648,0.8405450570040647
ABCB11,3,black,black,0,0.671591796481624,-0.6560157666935008,0.10081281636098889,0.07783801113681045,0.4287219113577373,0.5915307606831424
ABCC2,3,black,black,0,0.6668082493899545,-0.6494643430966481,0.10017124025857174,0.11735093580518219,0.33849667530516636,0.5883489342334703
ABCC6,4,black,black,0,0.9633095025272305,-0.9732585969032989,0.1522582134357137,-0.10622295305086586,-0.0625268958697652,0.8463823542397944
ABCD3,5,darkgrey,darkgrey,1,0.5267907614479063,-0.7477736642735497,-0.5064980385220388,0.44866642693581477,-0.3108385611101425,0.8946278341977885
ABHD2,6,black,black,0,0.8873145450052892,-0.9261376118224823,0.11346987207302534,-0.31112807424979744,-0.04157555947945129,0.8012078169183078
ABLIM1,6,black,black,0,0.9664303380457845,-0.9126279083807327,0.3373013979622767,-0.23944504068903746,-0.20429983870936508,0.713577473247062
ABLIM3,4,black,black,0,0.9770918027986143,-0.9902863214360319,0.1545026977390923,-0.16839732007233155,0.038635112206779496,0.8578505111331313
AC008014-1,6,black,black,0,0.9859752599561702,-0.9000681486624872,0.443221360887177,-0.4103696974464995,-0.09221683076972216,0.6563286247941544
AC016831-7,6,black,black,0,0.7222781333095936,-0.8242129150075794,-0.15010271495322147,0.11237421576933687,0.25433774537979786,0.8143085081518516
AC105402-3,2,darkgrey,darkgrey,1,-0.9810557524064599,0.9888747823044884,-0.17325102793981295,0.20200825726131602,-0.06304578374819816,-0.8480057693809081
AC118549-1,6,black,black,0,0.8939906492470955,-0.9521044056336898,0.03558059013378094,-0.09489285423853287,-0.216437941312412,0.8639386095047334
ACACA,6,black,black,0,0.7494488025180491,-0.6189414092271983,0.4954006095757404,-0.262958916261277,-0.07179065650678784,0.3641212661398916
ACADSB,6,darkgrey,darkgrey,1,-0.03001829264378706,0.09666656810503262,0.10329834783424184,0.13895202915545238,0.5533830727047248,-0.12186293052674453
ACADVL,5,dimgrey,dimgrey,2,0.8117822862869399,-0.5726265895273608,0.8136452902956472,-0.6119355543237674,-0.025701011590418005,0.20791789778907743
ACAP2,6,black,black,0,0.9692187044371384,-0.8748714819406156,0.47744352201763407,-0.4871111599433299,-0.09412221767897591,0.6135182949979963
ACBD6,6,snow,snow,5,0.8098702902309419,-0.9375009755902746,-0.20814675697235224,0.2041786079917056,-0.10158780661623916,0.9586581759301281
ACO1,4,black,black,0,0.9678587981629735,-0.9850899276165205,0.1536767493773031,-0.23632080146716405,0.06028636579269561,0.852503200017985
ACOX1,5,dimgrey,dimgrey,2,0.6881188074586414,-0.41268184087043697,0.8795842154438651,-0.6465031933547605,0.04941011701733745,0.038626677941801774
ACSL1,6,black,black,0,0.7026038376649204,-0.7415725773801628,0.018362778656168824,0.1529397014390212,-0.5603479058040761,0.6864740174335483
ACSM2A,3,black,black,0,0.6938377564493806,-0.6780719924297421,0.10484259146289146,0.1720091645597783,0.22340294786334536,0.6023857042773729
ACSM2B,4,black,black,0,0.9765259420279743,-0.9908304352327505,0.15441492891271938,-0.187169920222628,0.07643588572349647,0.8564274808325861
ACTB,6,darkgrey,darkgrey,1,-0.9532001754654961,0.9484585609068812,-0.18616801351167625,0.1800373924425225,-0.2378596551565951,-0.807577265045554
ACTG1,6,darkgrey,darkgrey,1,-0.7930374751943136,0.8030077457284647,-0.13570481985039845,0.27366096490511727,-0.48806882304733634,-0.6814217220203043
ACTR2,6,darkgrey,darkgrey,1,-0.6658385940689994,0.8255410739136555,0.2786156960327216,0.004632162675019527,-0.2895257092606478,-0.861182166563145
ACTR3,6,black,black,0,0.8973584209567838,-0.7087663814800991,0.7200483328926722,-0.6715958890377841,-0.045835969827791305,0.36512447977447055
ADAM10,6,snow,snow,5,0.6285833776331459,-0.7575823506169985,-0.2807832487534669,0.4748557188956823,-0.12507897476918559,0.8165177688891233
ADAR,6,dimgrey,dimgrey,2,0.37958990137710996,-0.5843332914831729,-0.43469664082852444,-0.060140808406924644,0.41959960794496604,0.7028579872795635
ADD1,6,black,black,0,0.8019919579712569,-0.5714838161118957,0.7803992937796306,-0.6105423874702449,0.06307496718987833,0.2290844624946323
ADH1B,4,black,black,0,0.9683405464150505,-0.979108414249411,0.15226274140163806,-0.17297086082367288,0.1672921901720768,0.8506434973775145
ADH4,4,black,black,0,0.9681010463921392,-0.9841894053388752,0.15313538536148572,-0.21844696682442016,0.13168419078902574,0.8480688313571999
ADI1,5,dimgrey,dimgrey,2,0.7321465481582901,-0.4907984221909618,0.847383543245085,-0.8201862461742891,0.008358305223540221,0.1048042020608324
ADK,6,dimgrey,dimgrey,2,0.5500112566893147,-0.403489834467388,0.5497251383622129,-0.8120153859638164,0.6420140403513321,0.15275312304388025
AFDN,5,black,black,0,0.8586158141071913,-0.6398670235525451,0.7784368301148887,-0.6327659274175053,-0.08764225258242889,0.2836772669833045
AFF1,6,darkgrey,darkgrey,1,-0.6976442087186017,0.601892011744218,-0.48513905989848627,0.7534367390884995,0.021671345387033476,-0.34331282840111116
AFF4,6,darkgrey,darkgrey,1,-0.7877661852379523,0.5500033753862251,-0.8052529267954355,0.6837234962441379,-0.1951027128818408,-0.19388365180305808
AGAP1,6,black,black,0,-0.33180264588169833,0.5581586439155871,0.49756576987424206,-0.02140234419661432,-0.1676062113031493,-0.7047129107279897
