,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
C3,6,black,black,0,0.998524012721757,-0.9499091083477451,0.3304184169323292,-0.29385763256445857,0.007330754551253157,0.749191028514165
ALB,6,black,black,0,0.9972579351726131,-0.9418521761498415,0.3529735522916557,-0.36099409399178295,0.10397578116397022,0.732891523533675
AGFG1,6,black,black,0,0.9951032844712221,-0.9633823040497481,0.2839317268733561,-0.2900072560432364,0.07450374889865499,0.7819734746341633
TTC17,6,black,black,0,0.9948108316172372,-0.9048811855369,0.4472454379566333,-0.39494958676671166,-0.0017148545649957204,0.6601190444884241
ATP2B1,6,black,black,0,0.9946422370151551,-0.9041249006007698,0.4472868215720628,-0.4015050852295652,0.04237345705692606,0.6599909610042907
TBCK,6,black,black,0,0.9945862918663253,-0.9409610050061438,0.34553010710766047,-0.290843194919845,-0.06375448201016173,0.7336377384335384
USP24,6,black,black,0,0.9928193173146412,-0.9441983933467264,0.33465058299120254,-0.2942821438779333,-0.0495059419496331,0.7386534001490723
ZEB1,6,black,black,0,0.992476450925461,-0.9700604896531955,0.25755852103791993,-0.23977065999464003,-0.012015762948342517,0.7975571802611452
COMMD10,6,black,black,0,0.9912836469559257,-0.9331221724566776,0.3698382799418083,-0.397089589862709,0.06988798732739367,0.7126735019043262
FAM172A,6,black,black,0,0.9895331263809156,-0.9019044249023389,0.45105958065142193,-0.46718439078825524,0.03970323199336554,0.6550229523882977
TMEM131,6,black,black,0,0.986112431078867,-0.9756418681203607,0.2222144310378305,-0.20552742441119284,-0.02716534275247213,0.8174995305484077
AC008014-1,6,black,black,0,0.9859752599561702,-0.9000681486624872,0.443221360887177,-0.4103696974464995,-0.09221683076972216,0.6563286247941544
CDK14,6,black,black,0,0.9859638489366874,-0.9455897560374534,0.314777933377277,-0.37895644121843086,0.17755300281063777,0.7507152225666028
TBC1D22A,6,black,black,0,0.9854895860826318,-0.9784262345982206,0.22210592097273393,-0.2575329381252874,0.004592296614148089,0.8181964895823729
BIRC6,6,black,black,0,0.9853545827992258,-0.9458363996860761,0.3165898745136178,-0.3579581352293645,-0.0014298806571123922,0.7512192010557327
