,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
RPS11,6,darkgrey,darkgrey,1,-0.9502763821234564,0.9947564706166147,-0.06738471311207908,0.13069317658574847,-0.11025440467310764,-0.8931304830087136
RPS28,6,darkgrey,darkgrey,1,-0.9697551225974935,0.9940256673204662,-0.12801265439364223,0.15799322358001186,-0.003185771503916255,-0.8695069507003238
FYN,6,darkgrey,darkgrey,1,-0.9446949365554734,0.9928921314348641,-0.0681179305043519,0.15551530718662482,0.0058876198760057265,-0.8890345262044306
EEF1A1,6,darkgrey,darkgrey,1,-0.9074762469200836,0.9911165090198478,0.04351359205039375,0.06066168323906938,-0.08975794330981868,-0.9317464335716661
RPS3,6,darkgrey,darkgrey,1,-0.9695234822050744,0.9909526317829378,-0.12653015160221234,0.14649423436559378,-0.0923539682578728,-0.8707335077308188
MAN1A1,6,darkgrey,darkgrey,1,-0.9214002385493428,0.989465880669452,-0.0035330281357379674,0.10591981309998186,-0.10996517288224078,-0.9106436718873797
DNAJA1,6,darkgrey,darkgrey,1,-0.9705640546993518,0.9888916389056353,-0.14911616108223463,0.23198729357667036,-0.11513222370517426,-0.8567002450651949
AC105402-3,2,darkgrey,darkgrey,1,-0.9810557524064599,0.9888747823044884,-0.17325102793981295,0.20200825726131602,-0.06304578374819816,-0.8480057693809081
RPL23,6,darkgrey,darkgrey,1,-0.9723666468088197,0.9884741978080014,-0.1588820456350957,0.22391183724893113,-0.04917484426900497,-0.8490596529313401
RPS29,6,darkgrey,darkgrey,1,-0.96753517854671,0.987375579165534,-0.14883018354985156,0.2151650668311836,-0.040345011338630186,-0.8509032800832541
SAMHD1,6,darkgrey,darkgrey,1,-0.9165658229739564,0.9871337166546639,0.0066194768179713166,0.1161971239007627,-0.18376509498653112,-0.9147632249959402
RPS12,6,darkgrey,darkgrey,1,-0.9776042752922399,0.9866170728854493,-0.16401132469581373,0.154804435613395,-0.02630670502360783,-0.8494104161683563
BTG1,6,darkgrey,darkgrey,1,-0.9355401115794987,0.9855694297885893,-0.04602354656042762,0.06484969837826869,0.07527627749128224,-0.8976984355212028
HSP90AA1,6,darkgrey,darkgrey,1,-0.9739410857230992,0.9855289497166247,-0.16907157096958372,0.23702692126850863,-0.04984152478054479,-0.8466351927196967
RPS19,6,darkgrey,darkgrey,1,-0.9700148795487699,0.9848537867276959,-0.16090056494828847,0.19438775422012572,0.02637305049267888,-0.8439863845272955
B2M,6,darkgrey,darkgrey,1,-0.9705650532355775,0.984013344125637,-0.1579152051535659,0.20502874466615806,-0.12100480386879292,-0.8465235348087281
RPL13A,6,darkgrey,darkgrey,1,-0.969831949771203,0.9839826308140823,-0.15289106561045238,0.17505072877575303,0.005425772254770719,-0.854239018939689
RPL37,6,darkgrey,darkgrey,1,-0.9772797449683894,0.983483194793617,-0.1814705358405528,0.20288739368471703,0.03643065390630026,-0.8393081503521367
