,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
DENND4C,6,gainsboro,gainsboro,3,-0.3304988032844969,0.06013111365184353,-0.8682981313370518,0.9940211162697175,-0.18275767628371375,0.29887367480340377
FNBP1,6,gainsboro,gainsboro,3,-0.3619539850388877,0.10880073824809676,-0.8389944729627947,0.9770019343694155,-0.004178214685331324,0.24480296048272318
SERINC5,6,gainsboro,gainsboro,3,-0.22385228380274758,-0.03880324204311613,-0.8391556021859091,0.9651070296331042,0.02566872597332115,0.38253156086059675
PPM1B,6,gainsboro,gainsboro,3,-0.4043309375046797,0.1566402929413892,-0.8277584334079526,0.9606419563578519,0.0005659268372119053,0.19231822606164276
GPC6,6,gainsboro,gainsboro,3,-0.3216470000882794,0.08535456259774585,-0.7842404737121328,0.9600303324052107,-0.03881832517427938,0.24072814040645157
NCOA1,6,gainsboro,gainsboro,3,-0.37753840094034125,0.2295303218852995,-0.5616044789145177,0.9246065957152191,-0.36773163064917336,0.0224259178379878
HSPA5,6,gainsboro,gainsboro,3,-0.5609524257028604,0.3333841457024565,-0.7939034924810112,0.9233637738555036,-0.04698108254735024,0.010896781543570834
KIAA0232,6,gainsboro,gainsboro,3,-0.5704892220034294,0.4098569464933538,-0.6287090899030507,0.8968941582228848,-0.1263837911235765,-0.1208566472576905
SNX9,6,gainsboro,gainsboro,3,-0.44221900967866223,0.1646417088782009,-0.8746937554317284,0.8690384926498865,-0.13412264600191484,0.18791342022740953
SPATS2L,6,gainsboro,gainsboro,3,-0.6980285313809526,0.4676322969367442,-0.7974323418571234,0.8565852185866328,-0.29818320906080836,-0.11790487317458057
KDM2A,6,gainsboro,gainsboro,3,0.12470819222576246,-0.31389580899162806,-0.553848323058734,0.8081186348305442,-0.5261657568106467,0.5251882863541899
SLMAP,6,gainsboro,gainsboro,3,-0.12406861472627362,-0.16464228414653737,-0.8512297556912014,0.7966102966436394,-0.19663769574526938,0.5073291083981885
CPD,6,gainsboro,gainsboro,3,-0.30003003636993714,0.10078620914967833,-0.6640741913929864,0.7654250103866108,0.2123863326117809,0.1690031326129818
HSPA9,6,gainsboro,gainsboro,3,-0.18900656320106202,-0.0893643025202723,-0.8224003340882748,0.7636649323827217,-0.33681935831924087,0.421953292220307
TOP1,6,gainsboro,gainsboro,3,-0.4514431750922819,0.1900627224415629,-0.8576597462071479,0.7315566203134123,0.3580685355915582,0.18642573674416488
N4BP2L2,6,gainsboro,gainsboro,3,0.18790354631362644,-0.3700197909903801,-0.5139797911290902,0.7255329955744365,-0.5354936903482858,0.5633421057068373
ATP5MC2,6,gainsboro,gainsboro,3,-0.32909339888180356,-0.0019172205288331204,-0.9687169541809059,0.7076311001337244,-0.026976450425706053,0.3855282271086045
SRSF11,6,gainsboro,gainsboro,3,0.17992826748571014,-0.34272261330963455,-0.43709707718557056,0.6669631408261609,-0.712907357705596,0.48786499572407815
DCAF6,6,gainsboro,gainsboro,3,0.28684061968046515,-0.49681402816668474,-0.5386552831837317,0.6579223425616487,-0.5501385592129694,0.6696278861738032
ATP2B4,6,gainsboro,gainsboro,3,-0.757196137135885,0.6706926115596893,-0.4127688845807521,0.6511602918190024,-0.572812436190268,-0.4592917557216872
APMAP,6,gainsboro,gainsboro,3,-0.3750600143874371,0.35746055509597857,-0.22783439575068032,0.6500874736751638,0.06702092943633889,-0.21851854672482643
PCNX1,6,gainsboro,gainsboro,3,-0.4708010856940411,0.269004101340535,-0.7091033263831421,0.6289057020659915,0.5879421683387248,0.05258545471936259
STAT3,6,gainsboro,gainsboro,3,-0.16189398278219538,0.11558958978031177,-0.2671490420853599,0.6162794230600535,0.2925814011204763,0.021770808235778757
ATP2A2,6,gainsboro,gainsboro,3,-0.2958305104766636,-0.01928461816355919,-0.9022792266656894,0.5675494255211229,-0.02638998128807805,0.3752543886672326
HULC,5,gainsboro,gainsboro,3,-0.33262269299526515,0.3335342830559989,-0.1676549571836908,0.5527438577138523,0.22945370843443771,-0.22021610493036228
PSMA1,6,gainsboro,gainsboro,3,0.11002061536821867,-0.19861747478102448,-0.2777728499447225,0.5361907411269401,-0.5304308394921238,0.32150605289010087
MLLT10,6,gainsboro,gainsboro,3,0.2440968554180821,-0.3075122506814603,-0.1892336158094875,0.5314685585229532,-0.5807413699610595,0.3842174243592108
IL6ST,6,gainsboro,gainsboro,3,0.12502850878894453,-0.1824728054186486,-0.1691096612839512,0.4648823362958934,-0.7784703655241256,0.25208938624826316
CYP51A1,5,gainsboro,gainsboro,3,-0.2552784932333606,0.28548750538785994,-0.06972438921355466,0.4370575777276326,0.33365522423534866,-0.21488558180229564
PDIA6,6,gainsboro,gainsboro,3,0.25926748272384664,-0.20528058565294768,0.19059501578339444,0.1136246261120385,-0.8791864063609232,0.1213171395936327
RAB10,6,gainsboro,gainsboro,3,0.12331680765127483,-0.10334824443690904,0.0886601460466177,0.028486422875424133,-0.7277083032124674,0.0724368252155446
