,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
A2M,5,snow,snow,5,0.7679492839103763,-0.9356642066833636,-0.32073825950036333,0.2167877138772263,0.10708110987318387,0.9974639653632871
EIF3H,6,snow,snow,5,0.765521340247599,-0.9334792328762389,-0.322800215098884,0.2424467179286394,0.056030935591561,0.9952252539742009
PRKAG2,6,snow,snow,5,0.7723087736307451,-0.9352636796965975,-0.3093076677844134,0.23138497664029328,0.03944388714274511,0.9947263538351843
CLASP1,6,snow,snow,5,0.7239310524137436,-0.90971762989487,-0.375859725987141,0.2406921957223128,0.1519098207310621,0.9926966173125843
ROCK1,6,snow,snow,5,0.7419617922910174,-0.9143304377938977,-0.3458693285379333,0.2412140488956568,0.15540467388380108,0.9925099712714485
TBL1XR1,6,snow,snow,5,0.7410011313337824,-0.9114691659943033,-0.34416775784604225,0.2516534639597711,0.20045163568264407,0.987851673471379
RBP4,6,snow,snow,5,0.8154637408249179,-0.9559995271870023,-0.2388332077903796,0.19058582290010964,0.0022119793340645497,0.9849276144296257
GMDS-DT,6,snow,snow,5,0.7811877182035999,-0.9399000283053831,-0.28370636791836507,0.193571213147273,-0.0604871226376127,0.9842339548526602
PTPN4,6,snow,snow,5,0.7890511719198554,-0.9416847315552402,-0.27190565896283475,0.13655263843081175,0.21902115177744638,0.9823040672253371
ARGLU1,6,snow,snow,5,0.7905557192740368,-0.938491434118841,-0.2695374484138776,0.2542935949367125,-0.031161147878312534,0.9808037702184188
ZNF207,6,snow,snow,5,0.8079673940094395,-0.9514026977330314,-0.2375816802889085,0.12716017389569673,0.012456695269926276,0.980381907599208
DECR1,6,snow,snow,5,0.7903787410137237,-0.9371317364797834,-0.26982539990431226,0.25685846412764096,0.0307644601197276,0.979559572034105
EPS15,6,snow,snow,5,0.8241231325443865,-0.9612695845345043,-0.22258729669910024,0.16952473319305816,-0.0014920040158719196,0.9790749833798857
DENND1B,6,snow,snow,5,0.6691801892283581,-0.8669117661402375,-0.42312673011125296,0.32388102408374686,-0.04261018131644544,0.9783285991048492
SMAD4,6,snow,snow,5,0.8420845718759734,-0.9688627928901322,-0.19544599796798495,0.15296697480361932,0.03772481738865541,0.9779598280221683
ANKRD44,6,snow,snow,5,0.8003484126418423,-0.9396965369668436,-0.24650925405526025,0.2075512629689193,0.041945254109130116,0.9778414339391065
TRAPPC9,6,snow,snow,5,0.790300473934147,-0.9372924536017133,-0.2650924285844948,0.17349634881344064,0.21768649039318533,0.9772540183282687
RESF1,6,snow,snow,5,0.7685418275650243,-0.9197703709273067,-0.2936464954823145,0.29854283397948866,0.037333181770239386,0.9762673492628398
LARP4B,6,snow,snow,5,0.8018488710088137,-0.9442789302859174,-0.23694629499817127,0.09248738871429793,0.11969181633293584,0.9756378037757997
NKTR,6,snow,snow,5,0.7912210322345438,-0.9412961030886644,-0.2600339371431482,0.20363975456282166,-0.10107432988934825,0.9749465256643953
