,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
A1BG,16,darkgrey,darkgrey,1,-0.05776135895117427,0.6222858810836611,-0.06028445663828347,0.4805680110105711,-0.5422159428166672,0.6378459188505705,0.41996881435117256,0.12348277106846943
A1CF,13,darkgrey,darkgrey,1,0.2626141602032922,0.8569598311942559,-0.2526630265700932,0.604245830350731,-0.44924458396522426,0.6413777626771273,0.14309297961063153,0.09443713306014914
A2M,15,darkgrey,darkgrey,1,0.39910161115070547,0.7099853404978929,-0.24015684493974432,0.5050057512999087,-0.36981874674952275,0.7390898304854211,0.1135115938807181,0.1622545863399601
AAK1,18,indianred,indianred,2,0.12243441231869212,-0.6632213269825167,0.17411681436465634,-0.6409264719079151,0.4973481530447922,-0.4081686664583572,-0.2628543599248963,-0.6948309784159232
AASS,9,darkgrey,darkgrey,1,0.05247371654097446,0.7193427037754895,0.09651703113292111,0.6615728660773474,-0.6003190086241582,0.5060627396371696,0.459781648013208,0.4076586388193326
ABCA1,16,lightcoral,lightcoral,3,-0.22010171557081318,0.4542872877397865,0.002001570694989614,0.6065317198259512,-0.49582931145912074,0.44923709868859113,0.3041197352954279,0.7021377334643831
ABCA6,8,lightcoral,lightcoral,3,-0.06074406126492308,0.7085224879362296,0.3254041893767308,0.7988718675487964,-0.7977225861835985,0.5866816594127028,0.6784530271927073,0.45561783700001
ABCB11,9,indianred,indianred,2,0.04857842229913979,0.46846460847067717,0.23848005519104967,0.5592920744547706,-0.46382349770217374,0.4694849727691268,0.35933053834985634,0.4133106699460381
ABCC2,13,darkgrey,darkgrey,1,-0.18141155467032946,0.553224853496409,-0.3739888928178748,0.44919629492139046,-0.3665260014679812,0.5956447218561712,0.1522221244587672,0.4750139963690333
ABCC6,11,black,black,0,0.3146803670697658,-0.0045758684901750606,-0.09399416183370228,-0.10049878347134,0.22907147167649602,-0.15901379254085463,-0.3068167739703383,-0.33535709682260384
ABCD3,14,darkgrey,darkgrey,1,0.3259610864545749,0.8087624628576836,-0.3204190818525772,0.47491082105626004,-0.43523103475796077,0.45400301673249704,0.22505021014007479,0.5632461284908146
ABHD2,18,lightcoral,lightcoral,3,-0.5826724443524038,0.5088264720420469,0.5698495802403993,0.8214401061292873,-0.9297185283089807,0.5563539964523022,0.9123896005838021,0.3927237371586711
ABLIM1,16,indianred,indianred,2,-0.2785705474795547,-0.09863180667775036,0.03745330385947496,0.008591372135467233,-4.784666816278946e-05,-0.16958819101469497,0.031424142663790094,0.499168950717944
ABLIM3,6,indianred,indianred,2,-0.03896244392493604,0.5756180976940999,0.27345308486794984,0.613023028758714,-0.5942411916316904,0.4423027259259662,0.5528187963526953,0.36899673684599893
AC008014-1,18,lightcoral,lightcoral,3,-0.11429203519881356,0.8519947173663613,0.27199303420674453,0.9165872784088912,-0.8426678678649202,0.6463599313705506,0.6419242006642564,0.46518692533105327
AC016831-7,18,indianred,indianred,2,0.11168046894239107,0.3284334627836213,0.06434787444334894,0.3795284975368383,-0.2743242120564176,0.6012495020051939,0.11465700118626848,0.1670524500793218
AC105402-3,10,lightgrey,lightgrey,4,0.5549721421968608,-0.5621252934518791,-0.5912331384421026,-0.9221277040500094,0.9887986187623421,-0.6939157147204243,-0.9372460951368754,-0.5694052490791718
AC118549-1,17,darkgrey,darkgrey,1,-0.18147270789391576,0.5056510831195342,0.1315279277801038,0.6014607266461997,-0.5435277281890419,0.1704538089794175,0.4480897736507454,0.9583869619213824
ACACA,18,indianred,indianred,2,-0.5936302741146887,0.14858259853047778,0.5868894253250672,0.5253580285972181,-0.5698371108239049,0.18848409300391647,0.5677116937782477,0.3496640101355952
ACADSB,13,darkgrey,darkgrey,1,0.23302323956025045,0.8639757987203653,-0.1747601570803649,0.601170441259499,-0.511290093350785,0.3684926283270831,0.2889412674265055,0.5326656730216458
ACADVL,17,rosybrown,rosybrown,5,0.014084829944912279,0.598342280213007,-0.04654278929635146,0.5233665015055681,-0.5134465064134272,0.818021534507236,0.34016191618407865,0.1570968389346365
ACAP2,18,whitesmoke,whitesmoke,7,-0.41231324627381566,0.0654295449815027,0.1793756615103051,0.2904010565995349,-0.306766979031908,0.5903786438074925,0.25740100630848967,0.039490070390886256
ACBD6,18,lightcoral,lightcoral,3,-0.337472031197796,0.6374109894396749,0.41460245844121646,0.8698311690453547,-0.8380671256001428,0.48660778319113324,0.6903747328070121,0.464833381736119
ACO1,15,lightcoral,lightcoral,3,0.4091480249014597,0.525376288741754,-0.21397983564568004,0.35874171228919205,-0.1970845243874299,0.24073799722366046,0.005675134649325944,0.4652281919191249
