,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
RPL12,17,black,black,0,0.9896891001716327,0.09222531841288033,-0.5696334373653923,-0.4653213561588652,0.5772071625839947,-0.37843448490245457,-0.6450019260277244,-0.29203886235924104
EIF1,17,black,black,0,0.9851195611134403,0.11930502375768648,-0.6181768002242082,-0.4355299957987615,0.5717699830085082,-0.2616572063636637,-0.6858044672777834,-0.3367766876792024
RPLP0,17,black,black,0,0.983614853286953,0.07528422743810383,-0.45397636057693497,-0.4341572087286646,0.5349238547498566,-0.3695018394239956,-0.575111548888724,-0.325254324973682
NACA,17,black,black,0,0.9828231867608799,0.24491754393754248,-0.5991379921773028,-0.32630828829370084,0.46862982667578074,-0.243693317713023,-0.5898244077382928,-0.1477447932987378
COX6C,17,black,black,0,0.981796563511645,0.16603763758410117,-0.5979447672819395,-0.38546456727179484,0.5091277084129748,-0.26896812465935743,-0.5990437329723073,-0.1959980678396542
PPIA,17,black,black,0,0.9811294691410551,0.15877867998313175,-0.46637419407045005,-0.3535394914602906,0.4767071976279495,-0.3093528443040089,-0.5519260802173476,-0.2905985103673442
EEF1G,17,black,black,0,0.9789555673705403,0.037174167700689945,-0.5681839068918547,-0.5005600814871599,0.6086077223570028,-0.31876279313078215,-0.6734226105656234,-0.4083200412763062
RPL5,17,black,black,0,0.9733177530435382,0.14056539659247122,-0.5665652557885485,-0.40644959649065093,0.5287818897969977,-0.2902011092948841,-0.6137244968620986,-0.2688396595711978
RPL18,17,black,black,0,0.9695378430239591,-0.039945203962112576,-0.5182948406839469,-0.5509435123668044,0.6549749689214739,-0.45384490967886354,-0.6834325028542169,-0.40091652309920417
RPL31,17,black,black,0,0.9671844900927569,-0.029303409241733705,-0.550595687968327,-0.5611590279246057,0.6678611975227515,-0.4629446508434316,-0.6968810483558867,-0.3797510781764091
RPLP2,17,black,black,0,0.9663392782784751,-0.06376267910496386,-0.4859598649114443,-0.5718348068103558,0.666707403215373,-0.47091008566811215,-0.6729167351350543,-0.41561367955398787
RPL30,17,black,black,0,0.9661747538716903,-0.06494071176566553,-0.5426276757410521,-0.5853810154608167,0.6921506193597194,-0.4734745248619466,-0.7150104933199051,-0.38921177625730025
CD63,17,black,black,0,0.9657628227435056,0.029798959059748716,-0.547827242066419,-0.5174343531100459,0.6182631208354987,-0.4197475766784415,-0.6614118138224745,-0.3277790791655175
