,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
HP,12,darkgrey,darkgrey,1,0.17075819001120734,0.9880586925096455,-0.21766965344841688,0.7934248210927765,-0.6355185017070054,0.6630243748249933,0.3099019018348222,0.5284652206652891
SERPINA3,12,darkgrey,darkgrey,1,0.17413686318249055,0.9866610093833669,-0.22066379321825763,0.7863543857516838,-0.6273351084185029,0.6615800905535579,0.3030845554856265,0.5262268455681838
ADH1B,12,darkgrey,darkgrey,1,0.18837169474628385,0.9849152933776535,-0.25610222507311603,0.7673874482121169,-0.5996377402936991,0.646717122730828,0.27387474292038927,0.5181956870616948
HPX,12,darkgrey,darkgrey,1,0.1928826194918645,0.9823981503898973,-0.26833763316513504,0.7595602371569541,-0.5917707949817367,0.6478505231912094,0.26476826684289356,0.5117414181051256
DHCR24,12,darkgrey,darkgrey,1,0.1346465008759348,0.9791831938912373,-0.11991590182470456,0.8264828869107267,-0.6872233659355205,0.6775160600703307,0.3776652073823585,0.5410641353318294
IGFBP4,12,darkgrey,darkgrey,1,0.14141619290059854,0.9786168890055916,-0.14596400078471397,0.8167951010574981,-0.6688440760847976,0.6742770832583114,0.3659543673004129,0.5363552164474465
ITIH2,12,darkgrey,darkgrey,1,0.17958364251282963,0.9760289506483977,-0.24132285248001314,0.768369993118139,-0.6030969363823973,0.6459096239569163,0.27937485749340407,0.5203800404803246
CFB,12,darkgrey,darkgrey,1,0.20762430416336586,0.9758444576641868,-0.31077086692767864,0.7368862199441019,-0.5610805978337899,0.6344917780745762,0.2135575866544427,0.5040956230997211
CYP3A5,12,darkgrey,darkgrey,1,0.1592772389532014,0.9751228762101396,-0.19645053219844208,0.7915924281812139,-0.6441137306406274,0.6599144142458652,0.32748561359190836,0.5257657281562115
ORM1,12,darkgrey,darkgrey,1,0.2197313907759965,0.9741684259278769,-0.34665744540930454,0.7193824264561837,-0.5324595055779956,0.6236997614877485,0.17990829116123283,0.49645991651109883
ITIH1,12,darkgrey,darkgrey,1,0.20431988662515335,0.9732738815153708,-0.31175626784308413,0.7365863245677285,-0.5601691713993843,0.6334265918016235,0.20856456136236134,0.5071955497839642
CPB2,12,darkgrey,darkgrey,1,0.2104514698208586,0.96764345993308,-0.32229323499241735,0.7208874814582321,-0.5398434247136003,0.6236095766106067,0.2091898775616611,0.49762439049796436
GPX3,12,darkgrey,darkgrey,1,0.18261651312289892,0.9672102901257063,-0.25748999751032786,0.7572088927514825,-0.5894443664400538,0.6372294414351264,0.2803787597012929,0.5083924441517839
TMEM176B,12,darkgrey,darkgrey,1,0.21960842096047112,0.9670731558042083,-0.35334337387261605,0.7087719580243887,-0.520309411050914,0.6228838241966207,0.158971837390177,0.49306358209813494
ANGPTL3,12,darkgrey,darkgrey,1,0.18788764935556468,0.965534114009537,-0.27043037268322256,0.7476558575328499,-0.5827768431714911,0.6366328821047345,0.2678320584570482,0.49990407122745883
F2,12,darkgrey,darkgrey,1,0.18165777261715263,0.9621830381775629,-0.2557266701723482,0.75445618118342,-0.5964335068367692,0.6376012969203226,0.2769676285548265,0.5017362773061731
AGXT,12,darkgrey,darkgrey,1,0.2050741281185756,0.9603261081572867,-0.2893752710549851,0.720066445951379,-0.5463113402872822,0.6171791536392996,0.23559969348389445,0.4916845764624482
SCD,12,darkgrey,darkgrey,1,0.19386084497183292,0.9590608199659271,-0.3030475124314881,0.7377088218511236,-0.5660183074041691,0.6316475961717135,0.21192110817785062,0.5023265875517662
PCK1,12,darkgrey,darkgrey,1,0.23317106496778428,0.9529273112036336,-0.39007881663666133,0.6793710050023758,-0.48407650102847444,0.59415230863433,0.13736817452639657,0.47556474352925965
LEPR,13,darkgrey,darkgrey,1,0.20273837429989933,0.9457527949904061,-0.14750104684393298,0.7169743073051752,-0.6058720472111525,0.49975866078038006,0.3435649246935483,0.5658070997962615
CYP3A4,12,darkgrey,darkgrey,1,0.26078217911599577,0.9455329966712462,-0.4527965256977473,0.6392032653686073,-0.43360631033972735,0.578212702884814,0.06463638877861774,0.4583120086803721
RARRES2,12,darkgrey,darkgrey,1,0.24780953294069885,0.9436131480826857,-0.4261834509182234,0.6500910105534768,-0.4441332688021771,0.5845916103932337,0.0960455416422238,0.46231271516649447
AOX1,12,darkgrey,darkgrey,1,0.2563283272207942,0.942097218756576,-0.45298372432312095,0.6446785750137476,-0.4408274360631838,0.5792753593696737,0.06164536557002779,0.4622503945633047
MBNL3,13,darkgrey,darkgrey,1,0.22343247303941366,0.9409778151018184,-0.18766939644786496,0.6869648773990633,-0.5711348272872404,0.4777254110906502,0.3060203261861724,0.5554202432789375
CERS2,12,darkgrey,darkgrey,1,0.23942630475353932,0.9361254934932051,-0.3769469582398625,0.6587473338805082,-0.46711937289486316,0.5808319933436583,0.1334562191656565,0.4612458695743876
APCS,12,darkgrey,darkgrey,1,0.242199904750949,0.9314723254696902,-0.41112548811474575,0.641314117864475,-0.44302695367379524,0.5800641044209048,0.10094452826826883,0.4577070785105005
CYP2C9,13,darkgrey,darkgrey,1,0.2718682588569643,0.9291285944542758,-0.3261721666555366,0.6138623268809106,-0.46681212490765556,0.4417895231506997,0.1789708595963768,0.5216690870368184
GATM,13,darkgrey,darkgrey,1,-0.039665417599789775,0.9223107158301752,-0.3162660023970175,0.7727167259301642,-0.5991903777049137,0.6945105394305675,0.24000451860091243,0.5581785388301869
ALDOB,13,darkgrey,darkgrey,1,0.24759630658461332,0.9207997038668798,-0.2645110086062194,0.6789373129435023,-0.522992264619044,0.6741348045983249,0.2018875141215814,0.20551275679502298
TAT,13,darkgrey,darkgrey,1,0.2847636322062864,0.920128439112478,-0.355007807054451,0.5919786832851313,-0.4418144551608222,0.4214164987208394,0.14026010022427024,0.5171600141716852
CP,13,darkgrey,darkgrey,1,0.1875137662866141,0.9180170412268255,-0.12725423919732798,0.7528509601245825,-0.5899845692265675,0.42446948277851676,0.3122181437000981,0.49476850372720405
IGFBP2,12,darkgrey,darkgrey,1,0.2710592432985851,0.9156257508057207,-0.49095655678629857,0.5994129836464829,-0.38679552584515403,0.5511780877024736,0.018572670944609893,0.43545708835863245
APOC2,13,darkgrey,darkgrey,1,0.2619717723343649,0.9127031909758121,-0.3364340528325342,0.6519693556741473,-0.44558578082260597,0.39667426375457826,0.10690594199383271,0.456063986391831
LEAP2,12,darkgrey,darkgrey,1,0.27560836900884966,0.9090166190620664,-0.5114662403205795,0.5842277018761377,-0.3654521259988543,0.5456144520699706,-0.0018817836289042298,0.42663030125607243
APOB,14,darkgrey,darkgrey,1,0.27017910103649134,0.9066607192655967,-0.20607645722031417,0.6778443188777451,-0.5066258449990587,0.49949122807684565,0.19867095349051472,0.2156986978599801
SLC2A2,13,darkgrey,darkgrey,1,0.27512071445829595,0.9065674993460485,-0.3169012017684237,0.5912070145289362,-0.4507075316301941,0.4127877934984538,0.15985438007060512,0.5219426889524151
C1R,11,darkgrey,darkgrey,1,0.08599552369935452,0.9033802715377818,-0.006848472093356106,0.8105961491391228,-0.6985942147386667,0.6436628182118014,0.4492346534802279,0.5274367667750346
FN1,14,darkgrey,darkgrey,1,0.3301395022874003,0.9026818377885337,-0.3228360740962114,0.5631073511146849,-0.42349532130498496,0.4890846712898417,0.12736220020932884,0.25088294423911306
HPN,11,darkgrey,darkgrey,1,0.11030767699214504,0.8987206007955083,-0.07280910808230723,0.769367827759377,-0.6432750528017308,0.6266245869152138,0.37771030908622394,0.5093985600068802
ST6GAL1,18,darkgrey,darkgrey,1,-0.0401146405273295,0.8980799250591853,-0.0009147282047903492,0.8264919553701523,-0.7995219484872955,0.7196442382776214,0.5633050337452137,0.5959376738690425
MAN1A1,18,darkgrey,darkgrey,1,0.020603422686546777,0.8971418262242116,-0.0853506209915468,0.7953739426816738,-0.6625818964948297,0.4416240744197889,0.37352636666041505,0.7263215855256626
DOCK4,18,darkgrey,darkgrey,1,0.11815110583523834,0.8964111011018134,-0.33897774190473823,0.6853914017054771,-0.5219759601446999,0.6870176711261586,0.17877368127513701,0.5999471831971793
PLG,13,darkgrey,darkgrey,1,0.1890037670885025,0.8963632950762499,-0.1639417538563689,0.7150511853714162,-0.6387413783053482,0.6874766934040767,0.39653965014471254,0.5494933006318747
F5,11,darkgrey,darkgrey,1,0.13160166782945837,0.895523474325624,-0.11427592644693417,0.7446321045549487,-0.6281227025583402,0.6057439824643251,0.4016789686145851,0.4789323973903959
CPS1,13,darkgrey,darkgrey,1,0.22459242351886985,0.8942241358216264,-0.23054914649047983,0.6802986794612847,-0.4938591436764247,0.3883185181722842,0.20817280450656464,0.4630151125562265
FGL1,13,darkgrey,darkgrey,1,0.20348734066336105,0.891459652479727,-0.1975178427491689,0.693380848626593,-0.6216512350783854,0.6868417704287139,0.3805372424128571,0.5505625982770769
PAH,13,darkgrey,darkgrey,1,0.29528258735532475,0.8863603561068444,-0.35395337431878443,0.5439296146359088,-0.39787984390651826,0.36855045775176754,0.11861636961324082,0.5039794922807064
ITFG1,18,darkgrey,darkgrey,1,-0.029187885044804105,0.8851454109504612,0.08025549164291348,0.8327881977403779,-0.7424370553583275,0.4982511695207067,0.48732750337038,0.4386186292399271
SLCO1B1,11,darkgrey,darkgrey,1,0.12246389864544077,0.8836927285303066,-0.1089191334020877,0.744411424612446,-0.6172218335034141,0.6059885362792804,0.35892926197520714,0.49915922976399446
TTC37,18,darkgrey,darkgrey,1,0.4016017414371186,0.8788017567478127,-0.36172295928249987,0.5074478527478398,-0.3561590220082952,0.23967708483107864,0.06015490303170823,0.4074959287746554
KNG1,13,darkgrey,darkgrey,1,0.32550512686644306,0.8752807399792953,-0.5336028070918709,0.5257163033427911,-0.3759601785081717,0.6021879996392793,0.048605225186573696,0.47842398827364274
STRN3,18,darkgrey,darkgrey,1,0.050573472622161685,0.8739869048741432,0.06515691761550445,0.7983104212320515,-0.6854462535819101,0.4109501411862326,0.43653644322935053,0.4023052115360388
HMGCS2,11,darkgrey,darkgrey,1,0.13357572726540784,0.8667156386091456,-0.09057019134455864,0.7256019610076873,-0.5913468194159264,0.5891728219252861,0.32854862242089883,0.4768967932530576
ZFAND6,18,darkgrey,darkgrey,1,0.317022594063187,0.8666813784966395,-0.2925463873479648,0.5720357582964086,-0.4656112766478221,0.4669758628742016,0.20637892712238964,0.65997853712357
ACADSB,13,darkgrey,darkgrey,1,0.23302323956025045,0.8639757987203653,-0.1747601570803649,0.601170441259499,-0.511290093350785,0.3684926283270831,0.2889412674265055,0.5326656730216458
GC,14,darkgrey,darkgrey,1,0.3037742237160975,0.8618004229358996,-0.22703537203171598,0.5635195178333461,-0.41138234158858555,0.17374149766366953,0.1565335235820395,0.5021713599029948
BAAT,13,darkgrey,darkgrey,1,0.2753115973342179,0.858961664574914,-0.33522380185973527,0.5957046176854286,-0.38400515580990324,0.2959310701388134,0.06818978851097864,0.4209310782729152
COL18A1,11,darkgrey,darkgrey,1,0.11345139311159969,0.8583322532636112,-0.08998004326649177,0.7267332644306094,-0.6186820509448752,0.6015897254990703,0.4023009193620663,0.45742919372878327
ARHGAP15,18,darkgrey,darkgrey,1,0.08983098612669105,0.8583023137289654,0.10452014752042638,0.7972382114981179,-0.7623255208278977,0.694525178347742,0.5695463973831776,0.4907588888590299
A1CF,13,darkgrey,darkgrey,1,0.2626141602032922,0.8569598311942559,-0.2526630265700932,0.604245830350731,-0.44924458396522426,0.6413777626771273,0.14309297961063153,0.09443713306014914
TM4SF4,13,darkgrey,darkgrey,1,0.27117255207433305,0.8551986356571697,-0.29505311530754913,0.5379898913431818,-0.41704952071049023,0.3493384597388259,0.14425163808940092,0.5059829471993733
CDO1,11,darkgrey,darkgrey,1,0.21846644101082302,0.8535397270825791,-0.3786056726850645,0.5944283356319368,-0.4085862855341949,0.5398453689546266,0.09361837643744567,0.4236105284900282
SERPINC1,13,darkgrey,darkgrey,1,-0.09625027610280372,0.8505159436118389,-0.3765569332480112,0.7048779770602337,-0.5224325178119318,0.6622193914000026,0.1641577458257877,0.5291164905632125
C1S,14,darkgrey,darkgrey,1,0.29344560567845235,0.8493465785187704,-0.2674057547483081,0.6007477564491407,-0.47030472811474183,0.38764330969968575,0.20783077248790682,0.5005033942737239
AZGP1,13,darkgrey,darkgrey,1,0.32695791422601667,0.8492179704481972,-0.5094924460062779,0.5035613071124924,-0.37383296691275697,0.593356097710782,0.08276341964273408,0.46692158990037497
CYP8B1,11,darkgrey,darkgrey,1,0.18071551843278588,0.8460195477372543,-0.2973474943756353,0.6351741010547073,-0.4699977381834021,0.5407399808157909,0.19323112144672136,0.42730952412969764
EPHX1,13,darkgrey,darkgrey,1,0.3170684389763916,0.8397297859016852,-0.4317046592408948,0.5186079098559978,-0.3332544731001765,0.5965843815092292,-0.006990347407504369,0.07055217204799394
ANG,13,darkgrey,darkgrey,1,0.2963366371924891,0.833573592585229,-0.3483833903580442,0.4906935364431896,-0.3575388121529388,0.32505474760537856,0.08634059790707689,0.473055147460221
CYP4A11,10,darkgrey,darkgrey,1,0.0236458491347225,0.8332512959028845,0.12314772401829688,0.8165216209842208,-0.7505019102493509,0.6232955105864032,0.5406833583611526,0.5122916003096953
CLDN1,10,darkgrey,darkgrey,1,0.021364577325168752,0.8312738659444308,0.09435499296381783,0.8116132543072586,-0.7389241406990911,0.636374363835883,0.495159107881874,0.5120651147535429
SEL1L,18,darkgrey,darkgrey,1,0.023923295888986833,0.8299811030245002,0.043547703238090936,0.7302892219187657,-0.7115498884824989,0.4460580794355136,0.5516380389300397,0.5915850323958393
SNX13,18,darkgrey,darkgrey,1,-0.08029107367637953,0.8282836748210667,0.06284797632565477,0.7847389243571932,-0.7699700960632059,0.6416525503551204,0.5955925353116264,0.7206557761898728
ADH4,13,darkgrey,darkgrey,1,0.3105026560294006,0.8277189001120447,-0.39963211495149475,0.5215957014380079,-0.3422320584479958,0.6023585744672834,0.019133249206673884,0.04124995554459265
APOA1,14,darkgrey,darkgrey,1,0.36868493766405763,0.8266351916356666,-0.4762249025646063,0.5275324019437945,-0.35372927612132987,0.6381858370165753,0.028878591757471483,0.5273180205326846
AR,10,darkgrey,darkgrey,1,0.04045182299368685,0.8246175001365951,0.05732774839175628,0.7815506931113216,-0.7001748435144707,0.6193461485534161,0.448422737206364,0.5011890601201865
KCTD3,14,darkgrey,darkgrey,1,0.2586774744174534,0.8241571787162696,-0.19082304808667044,0.6187932089348611,-0.5206648859703764,0.4132791467557972,0.277697052201747,0.5084524250869907
FAT1,10,darkgrey,darkgrey,1,0.05607503943117941,0.8240309445922147,0.10158473265280352,0.7710478536258981,-0.6958784495975,0.5915551088202858,0.5416785281096423,0.47396776561485804
G6PC,10,darkgrey,darkgrey,1,0.06443841368396527,0.8237892120411276,0.027398129782258064,0.7620507767582156,-0.6879563675240985,0.5934885557779346,0.5036119151353858,0.47049931306595455
C8G,11,darkgrey,darkgrey,1,0.24136704690902408,0.8228752019299783,-0.45834392267283386,0.5261409545281948,-0.32450755778447826,0.4999276678052301,0.016431299367284224,0.38155763815572247
BABAM2,18,darkgrey,darkgrey,1,-0.038768338938158335,0.8212859063400526,0.1057840196487949,0.7809886946349103,-0.7084282396456367,0.36708705423502375,0.5141324695194385,0.42972655216280903
CHCHD3,18,darkgrey,darkgrey,1,-0.22299540005178226,0.821009017176942,0.17300546559105048,0.8764999210440625,-0.8624183416785235,0.6558508298948603,0.6653115238901162,0.5796414607862892
C3,15,darkgrey,darkgrey,1,0.3626986888376709,0.8208355760115565,-0.24149900874332045,0.5573500772348284,-0.44992399318859694,0.5089023364754898,0.21630647854970927,0.6343570876143687
PON2,14,darkgrey,darkgrey,1,0.33137548159232694,0.8204986107884876,-0.3275309897612009,0.5277730832893379,-0.44846788880093547,0.7039712067949228,0.17479736152215963,0.16755338970138725
TFPI,14,darkgrey,darkgrey,1,0.33375728113624076,0.8119388534001037,-0.36406258143931397,0.5174104268488141,-0.363474164599749,0.3148400317610822,0.08238957968655193,0.4582758560947458
APOA2,18,darkgrey,darkgrey,1,0.2732895409263876,0.8115003439931585,-0.6179009747972485,0.39828830077725813,-0.2319728310918299,0.4513640263731401,-0.10619978063524721,0.2959718787501341
ABCD3,14,darkgrey,darkgrey,1,0.3259610864545749,0.8087624628576836,-0.3204190818525772,0.47491082105626004,-0.43523103475796077,0.45400301673249704,0.22505021014007479,0.5632461284908146
MPDZ,10,darkgrey,darkgrey,1,0.06902537486762024,0.8084638810614515,-0.03708801576213004,0.7210298849008797,-0.6194722881407131,0.593506700527048,0.3510296022595836,0.4692357340456572
CNN3,12,darkgrey,darkgrey,1,0.1988431381462189,0.802644584875874,-0.13153345525199148,0.5754372062248104,-0.5050857934446373,0.3681408639588323,0.3421174876223069,0.4798196611864554
HMBOX1,18,darkgrey,darkgrey,1,-0.09459783258435889,0.7971736112648128,-0.0034083745442748704,0.6840162349960478,-0.7088629209833399,0.6052947116053035,0.5296824269990609,0.29903033171158366
GPAM,13,darkgrey,darkgrey,1,0.2565127432236574,0.797131759416211,-0.22468330789149882,0.6489144109783958,-0.43872548162582026,0.6035168153489575,0.12684382076403836,0.5057165337305564
MLXIPL,10,darkgrey,darkgrey,1,0.11521737483425915,0.7945311599781312,-0.13050374620363528,0.6665152210366235,-0.567610493893869,0.5396874847948921,0.3654366541385496,0.42350562157068133
HRG,14,darkgrey,darkgrey,1,0.2564177830626021,0.794256754252256,-0.1048933818972899,0.6871345657216507,-0.47362747674241207,0.39956068247655735,0.1864794888520062,0.5176745119144047
UBE2E2,18,darkgrey,darkgrey,1,-0.07112565975968906,0.7936731823147317,-0.08362781923166049,0.7344979888191435,-0.6652706890559243,0.8055503433947003,0.4195487112865148,0.5955280906519579
MT1X,14,darkgrey,darkgrey,1,0.3245422019605359,0.7908984492372234,-0.23135502863147014,0.5941132547506859,-0.39738337265398116,0.6749896131557229,0.08549302035801971,0.14870899688173292
HP1BP3,18,darkgrey,darkgrey,1,0.18172310385253584,0.7894272765245478,-0.15192590617773744,0.5953631905919379,-0.5384439482114612,0.41410249576725033,0.3704066129693962,0.7125471291532977
HLF,10,darkgrey,darkgrey,1,0.1229693073516155,0.7890765451554398,-0.1703694751344873,0.6431034908436073,-0.5097305860687035,0.5389235345395123,0.2594116790467695,0.4233097980822001
PHKB,18,darkgrey,darkgrey,1,0.2236684643544895,0.7878899528926864,-0.014348289032916371,0.6891351260887859,-0.5671299403080549,0.6847935289433978,0.3041195291602677,0.32380542152706443
MAP2K5,18,darkgrey,darkgrey,1,0.28865729318380645,0.7865292821877616,0.06717135686328381,0.6857834506743828,-0.5477898544223397,0.4970695473375126,0.3379545127480665,0.22126803043659213
MCL1,18,darkgrey,darkgrey,1,0.21142595101957828,0.7859429896461508,-0.25413527952659176,0.5665950529337754,-0.40015049440679856,0.5681164655329126,0.07944159591429441,0.12537751519869025
SLC25A13,18,darkgrey,darkgrey,1,0.09618750966309152,0.7856654594875064,0.08103903000042645,0.7354657074404066,-0.6139787625839231,0.5634662830662712,0.42147483963483795,0.5645017383780051
FGGY,18,darkgrey,darkgrey,1,0.1949921201395213,0.7816686306096412,0.10286846210447942,0.6440965522515312,-0.6081179830899852,0.23465996972117953,0.46034527321177,0.4723628434408112
SYBU,10,darkgrey,darkgrey,1,0.14805908243751012,0.7743593926270127,-0.2241364763108912,0.5940732511602848,-0.4396176660499528,0.5134301676190433,0.15929080450173444,0.42333916339094413
RBPMS,12,darkgrey,darkgrey,1,0.08649842976472423,0.7710752190770889,0.12968157736314473,0.7389698555579273,-0.631696094455221,0.3291109917901949,0.4289043686900319,0.4736592616936397
PPP1R12B,18,darkgrey,darkgrey,1,0.2381712927122543,0.7695239397782673,0.0015293969504493754,0.6545696961869508,-0.5640609500853935,0.47002590319080195,0.3616314294692155,0.6462366284946459
PAN3,18,darkgrey,darkgrey,1,0.10049788121694292,0.7692052275404907,-0.1856637621074534,0.6209469604092608,-0.5378582415995669,0.6379379807701537,0.2955668135687977,0.6913207908667672
HGD,10,darkgrey,darkgrey,1,0.1412451092551779,0.7687609860854869,-0.18345552261292422,0.5989666452954755,-0.4785674961636924,0.495702059941969,0.2299725621535405,0.3983554088861704
TOP2B,18,darkgrey,darkgrey,1,0.33203467983850793,0.76716138573822,-0.18168552813579433,0.5167750565682282,-0.3239532118268833,0.1785489184763491,0.06811515279457789,0.24567857545235375
SMAP2,18,darkgrey,darkgrey,1,-0.32702231975704094,0.7668358377756268,0.26748234634638723,0.8648182268722175,-0.9018859873498558,0.5706619373757117,0.7673855907483014,0.5936961046014146
VTN,15,darkgrey,darkgrey,1,0.3898789507941091,0.7645712311315134,-0.20559087793750586,0.5158790159021459,-0.31238610918597315,0.1481802911951967,0.0642665510031945,0.5522544710030856
F12,9,darkgrey,darkgrey,1,-0.009326954414047661,0.7645261534018521,0.2575125772562072,0.7874973338090113,-0.7498752839039762,0.5810181025266226,0.6333505357080228,0.479034018989294
CHD2,18,darkgrey,darkgrey,1,-0.037327742420324966,0.7628096005065681,0.030222972044742395,0.7155720171470972,-0.6598193295913227,0.6358244932606569,0.4210701796706333,0.4549705395660278
ALDH2,18,darkgrey,darkgrey,1,0.007977309993328591,0.7608162769212007,0.014743080054998496,0.7230059212090959,-0.5780628598389337,0.5322834098499074,0.29801210604664574,0.1574015981023821
IMMP2L,18,darkgrey,darkgrey,1,-0.07769536694985471,0.7593254078571858,0.20692499761689323,0.8295504986318439,-0.6887311679272444,0.5580258240482462,0.45022540480857876,0.2614359829137437
MTUS1,9,darkgrey,darkgrey,1,-0.00016903978707828078,0.7553466103106321,0.19853013975581948,0.7681602033227416,-0.7257947649700806,0.5917762343400456,0.5743804159599636,0.45681766326932305
ATF6,18,darkgrey,darkgrey,1,0.4377032702571194,0.7533531443659561,-0.042057555693785297,0.5838771049979374,-0.4076007594814113,0.3461112857878092,0.16844954128203452,0.38826115669161
EGFR,9,darkgrey,darkgrey,1,0.007260533793120444,0.7517178385128575,0.18254985600871038,0.7592171664471806,-0.7117847589299696,0.5633317051948179,0.5943736362985912,0.45467545268200993
NBPF12,18,darkgrey,darkgrey,1,0.2886844831094916,0.7515387245797437,-0.045617965926886855,0.5485935858429423,-0.5216960518770528,0.5637743170769555,0.34460670135421434,0.3317675357616412
FNDC3A,18,darkgrey,darkgrey,1,0.09831096696220647,0.7504662475588834,-0.24190126673332288,0.5533604680790647,-0.5124967465716702,0.6540780078639683,0.2986951680699736,0.4866135106046654
CCNY,18,darkgrey,darkgrey,1,0.24188692183105626,0.744807416085076,-0.04163793157509326,0.6072748107053862,-0.5421625806423249,0.4871056149211909,0.3497168906634762,0.6946463887410906
MTR,18,darkgrey,darkgrey,1,0.15948711670963206,0.7416920709959582,0.14784179679485493,0.6596138496781263,-0.6277855451673225,0.6213529576102337,0.44994128001657874,0.024784450425883925
DSP,12,darkgrey,darkgrey,1,0.20398095148553932,0.7384609864019869,-0.1932157873664796,0.5422976318713142,-0.5123881760336102,0.5931839336162351,0.35753843687525355,0.46878819040009306
MT1E,15,darkgrey,darkgrey,1,0.39219279363325027,0.735866136546509,-0.21203004745481419,0.5117767396680183,-0.2915854480982403,0.18930187371668217,0.035843446138784804,0.5431448497385508
TRPC4AP,18,darkgrey,darkgrey,1,0.08125275853785005,0.7340152860436415,-0.10763420783639238,0.5131306716790439,-0.5263668270978656,0.287456166188791,0.37363546560626015,0.36501705148955965
CLU,15,darkgrey,darkgrey,1,0.4846607501324451,0.7337013784877282,-0.5170046709239763,0.36131651550940763,-0.20006561023089195,0.4462091660443854,-0.08172388829061544,0.5672130371130357
SNX9,18,darkgrey,darkgrey,1,-0.23153268543069735,0.7304104086622151,-0.1520184095299829,0.668881983412348,-0.6093158410211534,0.4454162313443357,0.40249323817073257,0.8528261362427758
CYP4F3,9,darkgrey,darkgrey,1,0.09193004107669861,0.7292888380039734,-0.027648614609707682,0.6221416159076245,-0.5050327774140712,0.5033427500554842,0.31980263268617243,0.420745705972243
HPD,14,darkgrey,darkgrey,1,0.43025512596004595,0.7292885322927263,-0.6249953357080719,0.376186774973057,-0.1688380159810135,0.5465401983224477,-0.17204358906551337,0.4562896418849592
ACSM2A,12,darkgrey,darkgrey,1,0.26653349346594746,0.7286838651761246,-0.31104971098401324,0.4047204456335076,-0.29201427724916423,0.24811776094162105,0.08083253797181957,0.4141702986322972
