,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
FAM49B,18,indianred,indianred,2,-0.7362202903353435,-0.11864161589396673,0.8616081116301572,0.4755975720378998,-0.5853415892449142,0.1152794088728543,0.7248055534987569,0.32873062075789955
PTPRK,14,indianred,indianred,2,-0.356654901491691,-0.08962212399955652,0.8614199378085134,0.306976469890707,-0.41301969760909635,-0.07418030496381994,0.6282329154944665,-0.018477351707178544
MBNL1,18,indianred,indianred,2,-0.4496215507092898,-0.03665865793283055,0.8180558896084442,0.3818551533544883,-0.48235208449904443,-0.12230420131171722,0.5956262640457777,0.07672306114615347
HUWE1,18,indianred,indianred,2,-0.3861202868367267,-0.08664800490533597,0.8171509587700009,0.3293915942880584,-0.5039360212427155,0.07953909624730962,0.749673171987525,0.28859423237992726
RASA2,18,indianred,indianred,2,-0.2542821215585171,0.02478725670316354,0.8100773823146119,0.4201504651769999,-0.5334759984287046,0.21692806153234945,0.6682700877456677,0.13358594968929938
MAPK1,18,indianred,indianred,2,-0.5642968880375689,-0.3506864041889462,0.7935348570397972,0.11231146698652165,-0.24985471366712042,-0.09511231684257629,0.46603834547263767,-0.25313105293769983
ANKRD12,18,indianred,indianred,2,-0.6672918058199865,-0.07372532319004121,0.7830082358660576,0.3856974957451519,-0.5412960701939897,0.1372467531101926,0.7243177273815541,0.06829974166259052
PTPRC,18,indianred,indianred,2,-0.5108357304304697,-0.6010417484444806,0.7391646302865564,-0.1613230318696253,-0.07779118170545246,-0.20569667673819989,0.3898047961501766,-0.3962128090102888
GPATCH8,18,indianred,indianred,2,-0.4426087528503388,-0.08972690928122923,0.7375846082450882,0.2866567799883641,-0.3797544945561537,-0.2635820478932193,0.5741144794144963,0.17725657912406967
RABGAP1L,18,indianred,indianred,2,-0.33382661224863747,-0.3143399554435093,0.7276068177437829,0.028209763370251707,-0.19727095896534103,-0.32677689553445316,0.46719029725076205,0.1383770630041086
ADK,18,indianred,indianred,2,-0.5404436951008036,-0.021970067585756016,0.7192456784249232,0.39982849601133186,-0.5490070145598345,0.3796473479779997,0.6629684278129027,0.06120963903518889
PTPRJ,18,indianred,indianred,2,-0.6987530916434489,-0.1378906908745851,0.7027968632989829,0.39765682417666354,-0.5108778519763532,0.32489560523236893,0.5904965014739745,0.06255014601251575
ATF7IP,18,indianred,indianred,2,-0.5998392795649836,-0.30663324927616786,0.691832060732483,0.15718556666773031,-0.33919385960256704,0.23746267234660573,0.48011711248216354,-0.2811240124352057
R3HDM2,18,indianred,indianred,2,-0.46866158308504785,-0.4084997858893198,0.6879115105102347,0.09245520636145349,-0.20030218775274913,0.06509039422659584,0.3438809360392559,-0.23143439960933923
EPS15,18,indianred,indianred,2,-0.4225658992540003,-0.02892955502572591,0.6625361696428222,0.33788337947416625,-0.3616132350313778,-0.033906044246623905,0.44500104722484296,0.048561942459821816
