,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
WDR70,18,lightcoral,lightcoral,3,-0.31721642837506986,0.840082489487776,0.2142369499826448,0.9779858642703095,-0.9003784152874323,0.6904545080106188,0.6688590300440703,0.6814911123818537
ELMO1,18,lightcoral,lightcoral,3,-0.2540123475599926,0.823794489823551,0.2714384153091171,0.9715230959833847,-0.9082976036019118,0.6875114297184308,0.6943541297343172,0.6866069663949671
TTC17,18,lightcoral,lightcoral,3,-0.27548525249836636,0.7967776374706,0.2329471645771564,0.9533859741515589,-0.8648387281062704,0.7589545235650677,0.617873254118966,0.5219078131917076
BACH1,18,lightcoral,lightcoral,3,-0.4229033207960405,0.7079271620380769,0.35535985678384946,0.948061776859304,-0.9105183575721411,0.6097531161344748,0.7365959023987771,0.6163812622391432
FAF1,18,lightcoral,lightcoral,3,-0.46820917889654773,0.6956958373624218,0.3599832403520817,0.9458563800704504,-0.9134447065517962,0.6932184848185076,0.738609451748041,0.4683079449298546
WAPL,18,lightcoral,lightcoral,3,-0.550796627443866,0.6017229486164031,0.5352810927058097,0.9442544006921163,-0.9739079054952908,0.6862728897833282,0.8797082343856799,0.536518186710442
STK3,18,lightcoral,lightcoral,3,-0.28187564964975254,0.7701181175507357,0.2863043832960407,0.942167636565308,-0.847173892747227,0.706760951050648,0.6205351681040548,0.45610077851465775
TBC1D5,18,lightcoral,lightcoral,3,-0.39762168611716775,0.7500911160123714,0.2735800597733111,0.9411844244480692,-0.8706315836965828,0.5710461387035048,0.6729628953300956,0.7323429504601018
EXOC4,18,lightcoral,lightcoral,3,-0.2452702039687725,0.757474620814254,0.388563780798604,0.9384999960305892,-0.8719518484559735,0.5823829086016944,0.7079865499394836,0.5317227107163423
XRN2,18,lightcoral,lightcoral,3,-0.3770823132328216,0.7069000476738114,0.3708031479900361,0.9346335307565505,-0.9347505016121977,0.8354103352095296,0.764563482344157,0.5442791351189881
OGT,18,lightcoral,lightcoral,3,-0.36059318715235916,0.7546776930664816,0.3185110056444632,0.9303643341788839,-0.9279059318451094,0.6937737997467301,0.7955780297377822,0.587697279213303
UVRAG,18,lightcoral,lightcoral,3,-0.4029615383628987,0.6516332697073298,0.39219111955539265,0.9297732438627355,-0.907133863471095,0.6646743874247817,0.7425872996409555,0.6874998722373368
