,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
AC105402-3,10,lightgrey,lightgrey,4,0.5549721421968608,-0.5621252934518791,-0.5912331384421026,-0.9221277040500094,0.9887986187623421,-0.6939157147204243,-0.9372460951368754,-0.5694052490791718
RPS29,18,lightgrey,lightgrey,4,0.5581828959188078,-0.6122000233894133,-0.5268941351185269,-0.9497147261616194,0.9851002448852406,-0.7107274156300277,-0.900276203920325,-0.5860680859842372
RPL37A,18,lightgrey,lightgrey,4,0.5991330875691206,-0.5521443397443568,-0.5905638857389988,-0.9293317098122805,0.985071369161347,-0.6830939410473714,-0.9143246148698834,-0.5605460442379123
RPL28,18,lightgrey,lightgrey,4,0.49301526842161814,-0.6416045186382092,-0.5165756931028966,-0.9508053254463317,0.9850420377584267,-0.6900044327073517,-0.8945788849776746,-0.6261247218766451
RPL39,18,lightgrey,lightgrey,4,0.4867109371910221,-0.6058187441987902,-0.569101023262974,-0.9304794502418513,0.9815793581054235,-0.6873650113414027,-0.9030975294199798,-0.5504422396304821
RPS16,18,lightgrey,lightgrey,4,0.5849065295485246,-0.5707111532732356,-0.5571035625393722,-0.9343300142838903,0.9813692340572955,-0.6690131284804784,-0.9092245143094295,-0.5797773365906759
FAU,18,lightgrey,lightgrey,4,0.5822569784706806,-0.5807308388806683,-0.5556428860402081,-0.9276690276950641,0.9804478250010585,-0.7144351614929206,-0.9064626673982741,-0.5422909207108968
RPL37,18,lightgrey,lightgrey,4,0.5636560566540018,-0.5248107927714996,-0.6335907902976733,-0.8969673039320382,0.9804320947138491,-0.6515925585366005,-0.9495931025661276,-0.5452049425533563
EEF1A1,18,lightgrey,lightgrey,4,0.5273101785273863,-0.6549400747825407,-0.4643773142161977,-0.9617032145748213,0.9784088996772248,-0.7255146828386928,-0.8618740685891504,-0.6392688563095972
RPS5,18,lightgrey,lightgrey,4,0.6043831316393288,-0.5770523972990477,-0.5361031006525708,-0.9323778451320988,0.978404072649585,-0.6746050068291666,-0.8932557015922717,-0.5932536739721513
RPL13A,18,lightgrey,lightgrey,4,0.6417792822258204,-0.5417013889562711,-0.5601607239413692,-0.9255428066091306,0.9783402459744618,-0.7077673827654622,-0.9050325956194306,-0.5863779951164282
RPL13,18,lightgrey,lightgrey,4,0.5744105962793278,-0.6031012107491113,-0.52348619671293,-0.947697955325501,0.9778156405224404,-0.7151627887202701,-0.8770064853689659,-0.6190058072305541
RPL19,18,lightgrey,lightgrey,4,0.5700032036190392,-0.5327934264481029,-0.5858310331391463,-0.8979180498230053,0.9747221237582088,-0.6648513835305716,-0.9222882649313855,-0.5265473829938361
RPL34,18,lightgrey,lightgrey,4,0.6610146261489637,-0.510853239229534,-0.5889926861915424,-0.9066784829563916,0.9725309659790686,-0.6639700908310694,-0.9206325184679827,-0.5948210831217432
RPL27A,18,lightgrey,lightgrey,4,0.6138509924398535,-0.5186692361251553,-0.5898302875909937,-0.9156238334349801,0.9718753862636297,-0.6918233396814962,-0.9231250732474123,-0.597072811628293
PTMA,18,lightgrey,lightgrey,4,0.41462944173488875,-0.6833409340349241,-0.46391757386140703,-0.9384105721720964,0.9710085166129968,-0.7226590399290869,-0.8475894269327738,-0.5413467032289496
RPS14,18,lightgrey,lightgrey,4,0.6550855495443845,-0.5118132889496222,-0.5780251687497651,-0.9200902729034242,0.9703254054700422,-0.6985899411131786,-0.9034731706570954,-0.6076158946513657
RPL10,18,lightgrey,lightgrey,4,0.6421639743988339,-0.4917046846975788,-0.6209178869581159,-0.8934474882711936,0.9700754543507107,-0.6524439960669214,-0.9367303036873635,-0.5846924985601212
RPS8,18,lightgrey,lightgrey,4,0.6341226801223032,-0.5539883880456002,-0.5453659908012204,-0.9187122729373256,0.9690224352984994,-0.6837692168474757,-0.8958691104508963,-0.5452771599050706
RPS15,18,lightgrey,lightgrey,4,0.6495774007371781,-0.5228395537716327,-0.5598484574780491,-0.9034149115711035,0.9676574807644337,-0.6592572247948477,-0.9011065063598351,-0.6116203110116215
ATP5F1E,18,lightgrey,lightgrey,4,0.6206989576945297,-0.5068394791629769,-0.6142624908916261,-0.894746975948783,0.9653847525212728,-0.6232002011034714,-0.9293223593895424,-0.5990105894110522
RPL32,18,lightgrey,lightgrey,4,0.5954275234703335,-0.4752960589419139,-0.6268743211560927,-0.8690843835695957,0.9616280591138205,-0.6721760444137553,-0.927757004908025,-0.525968460780825
RPL14,18,lightgrey,lightgrey,4,0.4741278696112631,-0.5399765476975157,-0.6073653110324281,-0.8769406778063216,0.9612556274763281,-0.6714286322353684,-0.9189456293717354,-0.5712592834306601
RPL36A,18,lightgrey,lightgrey,4,0.5404992959637189,-0.5620749664316816,-0.5775189931252587,-0.9157199226874276,0.9605575391057625,-0.6709732413637235,-0.884219031646912,-0.5861857823549476
RPS2,18,lightgrey,lightgrey,4,0.6882015065360195,-0.5094842271606281,-0.5513954746087716,-0.907957333185548,0.9603516802280767,-0.6524969166849599,-0.8961519918863083,-0.5759608434052479
RPL21,18,lightgrey,lightgrey,4,0.6821546587582157,-0.4829224915746593,-0.5986506999095633,-0.9010095473839033,0.9600040425106708,-0.6504060323977735,-0.9004593111443886,-0.5741738772934717
RPS19,18,lightgrey,lightgrey,4,0.6925862373999413,-0.526917239125942,-0.516165975647065,-0.9094960695194542,0.9581532475502739,-0.6911538185328533,-0.874537047238136,-0.5735084150100496
CFL1,18,lightgrey,lightgrey,4,0.4267696787993051,-0.7130555878046957,-0.3615835858395563,-0.9384638491606659,0.9576284659180672,-0.6948165940906175,-0.804766003234639,-0.5951723772375581
ACTB,18,lightgrey,lightgrey,4,0.5627365194120392,-0.6578945746200743,-0.3996553567961277,-0.9573758046124469,0.9550220019021258,-0.7578857262593871,-0.8173819610887847,-0.6112076130960541
PFN1,18,lightgrey,lightgrey,4,0.4981512833568131,-0.6806078654814207,-0.40494890253973626,-0.9496567878632954,0.9512892936605066,-0.6913329968483958,-0.8009473562273374,-0.5464724495761654
RPL23A,18,lightgrey,lightgrey,4,0.5059826186542609,-0.566527037432998,-0.5543299236730993,-0.8988852785694492,0.9511853942138656,-0.6653376990732325,-0.8850528050958526,-0.5755366502765277
B2M,18,lightgrey,lightgrey,4,0.5187255371844118,-0.7305562474699567,-0.29519630027376165,-0.9615623645448991,0.9511148386039444,-0.77364947289056,-0.7716347433388742,-0.6459844456719603
RPL8,18,lightgrey,lightgrey,4,0.6513542034007163,-0.4457653822368215,-0.6462196387648017,-0.8785077798096708,0.9510991674806895,-0.6410595502631184,-0.9088713760200064,-0.5434763294764179
BTG1,18,lightgrey,lightgrey,4,0.48265599083443794,-0.7286525578520745,-0.3093572701231557,-0.9576712151340848,0.9503479746178964,-0.7403912033572283,-0.7763225457436965,-0.6974639897484308
UBC,18,lightgrey,lightgrey,4,0.458982961070297,-0.5376314586291615,-0.6490651691788619,-0.8781105164003563,0.9496248164706583,-0.5509563664570769,-0.9123237689248288,-0.49612205243974994
RPL36,18,lightgrey,lightgrey,4,0.6314714433094781,-0.49364345389080383,-0.5864778272103842,-0.8804809142112907,0.9492961388966945,-0.6754525718249969,-0.9038094041926338,-0.4864798158102393
JUN,18,lightgrey,lightgrey,4,0.31331017226095076,-0.7114592914483401,-0.44624970382123547,-0.9202647168571513,0.944836221247726,-0.7195356308185085,-0.8513591026230121,-0.5615862591956239
