,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
RAD50,16,rosybrown,rosybrown,5,-0.10193584159526854,0.49488103127531013,-0.10103253556725324,0.5362663947121341,-0.4941705243707287,0.9401035083931519,0.2859662082109033,0.18062199751037009
ITPR2,18,rosybrown,rosybrown,5,-0.16676162851901355,0.7126650194609846,0.055094594563077755,0.7366511029165116,-0.7287476423272861,0.9159127311775112,0.5401080344403755,0.4115666661032855
ACOX1,16,rosybrown,rosybrown,5,-0.24234680206911322,0.4597151548018745,-0.06773500388439202,0.586900188759356,-0.49093330936940394,0.9154984932727158,0.2762941273503365,0.2905941740755439
SLC39A14,16,rosybrown,rosybrown,5,-0.0928399883895037,0.4996495654918841,-0.150843483422614,0.5304006963023231,-0.4227459365246477,0.8968174913868505,0.20994895135772532,0.23359254603519317
ASPSCR1,16,rosybrown,rosybrown,5,-0.16712492488335023,0.3171308528513944,-0.1004322723048294,0.4180747893445802,-0.34779650368542886,0.8731035135082582,0.16344912585806404,0.07217438445704966
FOXJ3,17,rosybrown,rosybrown,5,-0.1964171736964114,0.5405079212729424,-0.029753500639198304,0.5652616275674637,-0.5685097256959859,0.8617305815635011,0.4020469831383492,0.4118353033898782
DICER1,17,rosybrown,rosybrown,5,-0.2168900392202423,0.4987817932606105,-0.04997183783433821,0.5227914843978902,-0.5188734083195063,0.8555039001365223,0.3554201868451491,0.29856289672414676
TNS3,18,rosybrown,rosybrown,5,0.020025501274407193,0.6534200146838492,-0.1140309000936162,0.6474947958285295,-0.5142923303964444,0.8475396690947564,0.2752949711108984,0.40064453702178093
STAG1,18,rosybrown,rosybrown,5,-0.11644609950795272,0.516132576719998,0.1610561094076224,0.634474547964368,-0.58257165520449,0.8470065232320825,0.39316548947340113,0.11468182528902211
DAP,17,rosybrown,rosybrown,5,-0.11899809526246645,0.47964319261343863,-0.11812693390019716,0.46721994115145576,-0.4483288862020983,0.8436406810210988,0.2976157647043257,0.31491741600090944
ACADVL,17,rosybrown,rosybrown,5,0.014084829944912279,0.598342280213007,-0.04654278929635146,0.5233665015055681,-0.5134465064134272,0.818021534507236,0.34016191618407865,0.1570968389346365
SMARCC1,18,rosybrown,rosybrown,5,-0.2935142666733048,0.28181156110193306,-0.013507415277619287,0.4261441982377332,-0.4386767114671446,0.8082809142378666,0.268904851966255,0.2995076025419897
PUM1,18,rosybrown,rosybrown,5,-0.5594377713550146,0.35424432632948566,0.3477765763525892,0.6690829658400854,-0.7067029555762737,0.806252621226583,0.6153342469166139,0.4250938379749517
ASPH,17,rosybrown,rosybrown,5,-0.26571252290610875,0.47863625351089595,0.0984656381795577,0.6883976170047138,-0.5900485749253801,0.797318487070131,0.3705860120922338,0.26161662690943016
JPX,17,rosybrown,rosybrown,5,-0.22357743243986117,0.43480534804861826,0.018509162942757496,0.5918637640099629,-0.5055671703627116,0.7956638897262965,0.28452533511822137,0.08991015846160859
SMYD3,18,rosybrown,rosybrown,5,-0.1908420184375809,0.5866521131711473,-0.08906157649072108,0.5713116483570245,-0.5479485888677162,0.7932494445450193,0.36399397791179605,0.3692012026039517
GOLGB1,18,rosybrown,rosybrown,5,-0.4256328656053609,0.5113403107171014,0.20106489851684778,0.7904218555331878,-0.7141730479665468,0.7919451973273318,0.5014325375622799,0.39857396415715063
ATR,18,rosybrown,rosybrown,5,-0.4105386920403503,0.6390895767947471,0.19397087563122298,0.8364070848387354,-0.8046793380736733,0.7827597137789922,0.6083434652149609,0.31905088899668127
KDM6A,18,rosybrown,rosybrown,5,-0.4292916010379228,0.45686375768640713,0.1278963342331699,0.589233138550463,-0.6264038022302694,0.7806731304600167,0.5102007435485828,0.39552069822336167
KANK1,14,rosybrown,rosybrown,5,-0.3739243108693393,0.458326490024941,0.04474746667525622,0.5714349013125184,-0.6198056753152473,0.7779425273739669,0.45015238441608946,0.1908584167982786
MGMT,17,rosybrown,rosybrown,5,0.1550296863275846,0.5595591256132073,-0.2200389779395935,0.4047319647962183,-0.3755964352702485,0.7736382378570984,0.19243578655839244,0.3250756655987639
CDC73,17,rosybrown,rosybrown,5,-0.1308806299342655,0.4456626237143326,-0.0909523004667155,0.4059903695099256,-0.4470814615067205,0.773011672604857,0.33333381095996245,0.3137193779160873
