,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
ACTR3,18,white,white,6,-0.5753229325673884,0.42976334396716664,0.6332635671886435,0.800259307208668,-0.9164967122418585,0.501852431369603,0.9391480707820961,0.645821825000253
NSD1,18,white,white,6,-0.6482169832081427,0.2391790967330142,0.671170323463044,0.6306188333288911,-0.7902932321095412,0.44925456862048146,0.9049430055842309,0.2705215209759606
KANSL1,18,white,white,6,-0.46907616678297914,0.4204600352233404,0.6913502636609002,0.7884936611383178,-0.8700189024876848,0.4731581256564752,0.903032079527042,0.6049328185384714
RESF1,18,white,white,6,-0.34113736210861095,0.37495535800044755,0.6184557061411389,0.6852474982708175,-0.7876703862039208,0.3418419757877281,0.8354876019548413,0.6669876321489651
TMEM131L,18,white,white,6,-0.7148976094086887,0.16765211802283167,0.6175721458654587,0.5695988571778625,-0.7050942244791455,0.43419382532301143,0.7883223710710718,0.22448778371811137
EXT1,18,white,white,6,-0.3535829838739768,0.21878475906774236,0.6577018556108003,0.5013449832117258,-0.6499150099486466,0.3002630748085173,0.7807946233381331,0.0864120956062562
ST3GAL1,18,white,white,6,-0.6518077420831669,0.21050761894321732,0.49005666259859454,0.5142189808671874,-0.6709815673062752,0.31322394531101244,0.7706643407297471,0.354897367505215
NAV2,12,white,white,6,-0.4510340792001053,0.34450097267290786,0.45886210847225495,0.6419940900451568,-0.7382877568242745,0.3643157849788942,0.7705871615366808,0.4995893626548022
BTBD9,18,white,white,6,-0.43557444152801744,0.16542923060969644,0.7720322337762422,0.5596476323049097,-0.680013134149243,0.4678488304531676,0.7608621095018083,-0.010322170095758053
ADAM10,18,white,white,6,-0.7388142815575651,0.021474527394709658,0.5880550468974513,0.47128999345452816,-0.6097676621506228,0.3148115511677712,0.7302305847663076,0.2788021203388905
RASA1,18,white,white,6,0.059494218147890104,0.35087939267158574,0.5408302999915878,0.46465420003154395,-0.521872957850757,0.07933246003661902,0.596388616448014,0.43591701971170493
SEC31A,18,white,white,6,-0.32953082350395585,0.16586313724054846,0.4768246275163732,0.428385820924263,-0.5026716414832704,0.30870090942817163,0.5419398078141892,0.15629786775675725
