,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
RALGAPA2,17,whitesmoke,whitesmoke,7,-0.25112191246390136,0.5454565260003487,0.03795666523843663,0.6319205385008017,-0.5718014596747055,0.28545412104180473,0.4233594149045366,0.9734843296389047
TSC22D1,17,whitesmoke,whitesmoke,7,-0.18687877109131082,0.49003833891823534,0.0279716528362817,0.5321515014630197,-0.5046836179722407,0.22891248078309837,0.40597447293096195,0.9732676081624796
DNAJC3,17,whitesmoke,whitesmoke,7,-0.2960772813527589,0.5735211522092155,-0.004737071293996113,0.6549392999013632,-0.5912769250722594,0.3481327717682763,0.42020983171060466,0.9633133126295426
XPR1,17,whitesmoke,whitesmoke,7,-0.21702059042207178,0.41998023883259844,0.0043612080651732835,0.4845790807748638,-0.4299412846830606,0.11372078503031934,0.3227824224252771,0.9629675852167056
MIA2,17,whitesmoke,whitesmoke,7,-0.15195870822062352,0.47084173084649833,-0.03180032928469181,0.4971546956990384,-0.45194419019967724,0.19631493528222665,0.33804426982152896,0.9596548539927394
GPHN,17,whitesmoke,whitesmoke,7,-0.04183823766871205,0.5289742375570781,-0.12007046243919865,0.48204165824076994,-0.41293784956323965,0.17624302431207153,0.27104431041239524,0.9452020186245244
LRRFIP2,17,whitesmoke,whitesmoke,7,-0.2276118530942499,0.38757635689636877,0.005154827719916072,0.4455632622307302,-0.40856996394063494,0.10797593905699386,0.32073988243178403,0.941893579016544
CNOT4,17,whitesmoke,whitesmoke,7,-0.24104092663306573,0.4324224914850384,0.13863374282863328,0.5677891332605207,-0.48615544142944,0.1330880437148712,0.38140417246736547,0.9397667858600023
LAMP2,17,whitesmoke,whitesmoke,7,-0.08795307516075529,0.5710005784934958,-0.14430162817914177,0.5522947040161977,-0.42227640706105285,0.2144634807532299,0.22880996776735327,0.9349795576971694
PPP2R2A,18,whitesmoke,whitesmoke,7,-0.2683081063109386,0.6171513494803716,0.10826981655848654,0.7046660081470122,-0.6557731197218212,0.3012831711079632,0.5000354213015733,0.9295532274575644
UBE3C,18,whitesmoke,whitesmoke,7,-0.47223857858343615,0.44315611514085007,0.20509792514632336,0.6803081421567693,-0.6657027981877197,0.38573109026613,0.5635245064978256,0.9256831193981193
CAT,17,whitesmoke,whitesmoke,7,-0.05560305062992202,0.5955467041813216,-0.13090501767795978,0.5622378935919684,-0.43089111204745384,0.20829832353089905,0.23289509852062545,0.9250039967247271
SNTB1,17,whitesmoke,whitesmoke,7,-0.2515183462481036,0.2897300211642524,-0.04980173005447699,0.3472670337577141,-0.31708901171711834,0.09791460840574716,0.26257797650943016,0.909940172181101
TNKS,18,whitesmoke,whitesmoke,7,-0.2661876073634909,0.625980275612834,0.21460687938924325,0.7639501780824098,-0.7277417796250923,0.47282022588640693,0.6001780897207234,0.9053467100897542
BRI3,17,whitesmoke,whitesmoke,7,-0.16228385867226128,0.3137938647742567,-0.18012689612028202,0.31233635215265987,-0.23397729205876436,0.0512927600332517,0.1176380628177564,0.896141054263285
PARP14,18,whitesmoke,whitesmoke,7,-0.4587353340157256,0.41261439187304044,0.025575558347306532,0.6120621999444473,-0.5408374000921349,0.3976463205854193,0.38084043923173416,0.8951857385398656
LMAN1,17,whitesmoke,whitesmoke,7,0.02214655568801772,0.5178290835164159,-0.04626255259041795,0.46817288649573413,-0.3992253196377526,0.1800135282566302,0.2963139997420475,0.8917858887075703
C1ORF43,17,whitesmoke,whitesmoke,7,-0.1693808838852283,0.2991081228690297,-0.08033456894661953,0.31758807789130694,-0.27085752259833834,-0.013001641285699457,0.21217849771831798,0.8850942333758652
CTNNB1,18,whitesmoke,whitesmoke,7,-0.24583618314587302,0.687495083791563,-0.07813615213874288,0.7036097047382652,-0.6315403954863793,0.3942709315112449,0.4208539328439226,0.88430831472469
HECTD4,18,whitesmoke,whitesmoke,7,-0.3644855338306929,0.3569632814472401,0.24516009620052645,0.587220105170921,-0.5531268274476339,0.2596756701295709,0.4690667070399603,0.8754654645269287
SPPL3,18,whitesmoke,whitesmoke,7,-0.13726941226226985,0.5897047232698654,0.009098389055425444,0.6270120649703778,-0.5584780990079827,0.26470086066433246,0.3963300932148706,0.8724960647243737
ATG10,18,whitesmoke,whitesmoke,7,-0.050029934001399344,0.5885839053478066,0.23593754184609672,0.6863922113314664,-0.6333074083545995,0.3269621414058653,0.5298633817637345,0.8555751486287814
MED13,18,whitesmoke,whitesmoke,7,-0.38920553184874773,0.30896349787860306,0.22991173164109804,0.4896360369854171,-0.4861850345729293,0.1142164706456141,0.43455307414126576,0.8483147387973109
KIF13B,18,whitesmoke,whitesmoke,7,-0.3864944672240906,0.3354320904554368,0.1465713435739191,0.5247935725074931,-0.48936747618766463,0.3028593396716976,0.4255744785352011,0.8166395823055657
AKAP9,18,whitesmoke,whitesmoke,7,-0.5464812401281592,0.3180514836329813,0.14463640514819182,0.5482937661611692,-0.5429623258732775,0.2937954128734776,0.46688689943480455,0.8132984446247108
RHOBTB3,16,whitesmoke,whitesmoke,7,-0.25336893267391836,0.5026822819407395,-0.06606481132503744,0.5580195996830918,-0.5198064316296254,0.5910705245942627,0.36540428528122476,0.8104546606569302
SF3B1,18,whitesmoke,whitesmoke,7,0.12918853710224082,0.6258600397117483,-0.061361703119692836,0.5863254795809719,-0.43369898753063924,0.2831502100511463,0.21714984512863558,0.8046994359017726
ZFAND3,18,whitesmoke,whitesmoke,7,-0.007422783358479541,0.5401880188228879,0.2598835780965009,0.5784278980787311,-0.5853847514036724,0.20610050299489982,0.5290817771194608,0.8028688756530908
BDP1,18,whitesmoke,whitesmoke,7,-0.5521463660512489,0.1668113477579168,0.19509301939404863,0.4702652165533888,-0.5053189592637254,0.34433415614675533,0.4593167009410482,0.7954759392613187
SEM1,17,whitesmoke,whitesmoke,7,0.056405461507501004,0.32455335952553915,-0.30774856079560986,0.1729579116552538,-0.08385199329070046,-0.10839413300441751,-0.04107920077006229,0.7688675019095571
TCF7L2,17,whitesmoke,whitesmoke,7,-0.2097996532726223,0.08769689736560185,-0.08208995426938799,0.15969626304134393,-0.07712076546031703,-0.18456805597363746,0.021931557429716062,0.7679328698178077
KMT2A,18,whitesmoke,whitesmoke,7,-0.1816785088358704,0.5336666652923373,0.17645462344100127,0.5845389282453505,-0.6115040391782921,0.2166144550133847,0.5395965622339689,0.7678709630246388
NPM1,17,whitesmoke,whitesmoke,7,0.16769199408272983,0.22328256496826793,-0.3148027826604072,0.10273100447820979,0.030273216030812882,-0.07682454477496867,-0.15132463393178366,0.7389381428978687
TAOK1,18,whitesmoke,whitesmoke,7,-0.4624181546040321,0.3037435739511563,0.16129489229520289,0.5246167549026644,-0.5185258666676091,0.22987719303193646,0.44578575214008426,0.718902150121503
ATXN1,18,whitesmoke,whitesmoke,7,-0.48667610414666235,0.0273267791188319,0.32947963247395023,0.3091287208326924,-0.3799863259551753,0.14186796644289884,0.4259094383330507,0.7116385685313023
NAP1L4,18,whitesmoke,whitesmoke,7,0.1875613803778551,0.5315206490350121,0.10881339495224623,0.47899948385254576,-0.404453552564802,0.17834666801797391,0.3254946078657877,0.6867444350087348
