,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
TAT,36,black,black,0,0.9778468042204778,-0.8116862179640127,-0.6211692240982635,0.5266838032056614
CPS1,36,black,black,0,0.9776969487706489,-0.8705251608992429,-0.6117233285854525,0.4916411449423228
PGRMC1,36,black,black,0,0.9759162703777507,-0.7932615258270211,-0.5613536968736899,0.46218748719708097
HPX,36,black,black,0,0.9712849639725983,-0.7820498510885676,-0.5296180379777528,0.4286207314634467
FMO5,36,black,black,0,0.9687608106293282,-0.7779881818863096,-0.6130763055259364,0.5331907987117778
EPHX1,36,black,black,0,0.9672359767370233,-0.7604998414609916,-0.6381320697217894,0.5773135627339069
TMEM176B,36,black,black,0,0.9664994750435483,-0.8409839229470921,-0.6863078233575021,0.5998802060658447
SDC2,36,black,black,0,0.9579132103955083,-0.7703871393346295,-0.6085897945711191,0.5108090124250614
AZGP1,36,black,black,0,0.9576845411718712,-0.7941483942086187,-0.5982485963077768,0.5053401940108679
TMEM176A,36,black,black,0,0.9549975926326607,-0.8340653184244504,-0.7091194835794313,0.625027829440598
ALAS1,36,black,black,0,0.9545696097933459,-0.7968776945108201,-0.44080836916798855,0.325319951780251
PROX1,36,black,black,0,0.9533739237524006,-0.7464325471548277,-0.461636402750678,0.38081830730516986
DHCR24,36,black,black,0,0.9521508429604587,-0.8424134807879669,-0.4151327790384494,0.27583297822607944
PEBP1,36,black,black,0,0.9501096280265913,-0.6964110671979052,-0.6287984910211697,0.5921325749595783
CYB5A,36,black,black,0,0.9461191450083806,-0.6773389058004841,-0.567833272891051,0.5401501747242596
SEPHS2,36,black,black,0,0.943539851247296,-0.7684141720957361,-0.617737800073016,0.5598138898601814
TF,36,black,black,0,0.9423668762745183,-0.6900846696618097,-0.38826252415239176,0.3144636942744469
HLF,36,black,black,0,0.9414499277839389,-0.8107257777565707,-0.733661044456199,0.6363694268297109
PRDX6,36,black,black,0,0.9410520649099046,-0.6853594306347456,-0.5156865505059547,0.4726500188901073
RHOB,37,black,black,0,0.9400797643695479,-0.8657728133205748,-0.7850914858421613,0.6812621686793615
APOB,37,black,black,0,0.9395754023959548,-0.9361848725696965,-0.5547526596226074,0.38579509124211153
PLG,36,black,black,0,0.9393127769070871,-0.7394653568255294,-0.34189645936926094,0.24301307602259214
ANGPTL3,36,black,black,0,0.9392019083333817,-0.7030302948701854,-0.5665087772314878,0.5264641674199295
APCS,36,black,black,0,0.938954074234849,-0.7759414513865943,-0.5508133506237971,0.4336428850281054
APOC2,36,black,black,0,0.9387868875780264,-0.637354069745234,-0.4628913079311831,0.4393223974980916
ASPSCR1,36,black,black,0,0.9381144757717259,-0.831855660590243,-0.7600860657935501,0.6548503328824546
FGG,37,black,black,0,0.9370910464495816,-0.9288875026812067,-0.5248365697304682,0.3398683035245915
NADK2,36,black,black,0,0.9355032627113268,-0.7548899639591999,-0.4348448812559904,0.32288767555329306
CPB2,36,black,black,0,0.9341069602998502,-0.8169403036443947,-0.6496985263366336,0.5439258195513204
EIF4EBP2,36,black,black,0,0.9330534934776079,-0.7700910309851605,-0.38630525391800885,0.27323200816442766
SEC61B,36,black,black,0,0.932318371494242,-0.6773146769989551,-0.5259914602082831,0.5058839885490942
F12,36,black,black,0,0.9311616060024727,-0.8129594048326001,-0.5493430398680472,0.44538632061057787
A1CF,36,black,black,0,0.9299262662852523,-0.6895097136920523,-0.4841009907131888,0.4397698891807074
FH,36,black,black,0,0.9297522608728569,-0.7985062751732679,-0.6054782955487613,0.5270825714302395
VTN,37,black,black,0,0.9292666704617735,-0.8416673548368726,-0.7793499986151047,0.7029918470012634
AGXT,36,black,black,0,0.9290438957941802,-0.7342347658243162,-0.5277366236624937,0.4872722868369533
ALDH3A2,36,black,black,0,0.9289332046165217,-0.6994750922058579,-0.4180737682235389,0.3363104946626114
FGB,36,black,black,0,0.9289220982938388,-0.7056209531865715,-0.300927359132814,0.20635548032742804
COX8A,36,black,black,0,0.928538990629695,-0.7220287830062694,-0.7139522523815324,0.6741635843698373
G6PC,36,black,black,0,0.9251571839689506,-0.8457257166848109,-0.5083841375795509,0.3898047787298753
SELENOP,37,black,black,0,0.9236135057034843,-0.8537138932481552,-0.8214408683253809,0.7111283853316833
GPAM,36,black,black,0,0.9233671200417616,-0.7093999694858105,-0.4756159938855765,0.4196935107967225
SDC1,36,black,black,0,0.9229235039795927,-0.8301684898164229,-0.4867674058581772,0.3597340799149793
APOA2,37,black,black,0,0.9225570035425256,-0.7032386196984016,-0.748347166918003,0.7351627706375115
APOC1,37,black,black,0,0.9219268770344169,-0.6503547823723661,-0.6232211164800194,0.6001195914359769
CYP27A1,36,black,black,0,0.9214786527207066,-0.7036444861761982,-0.5249411070836235,0.46027141939051774
P4HB,37,black,black,0,0.920800929632017,-0.865302821340963,-0.6839334660884417,0.5645405919659019
GPX3,37,black,black,0,0.9206691233730606,-0.9487635097665099,-0.667213841831135,0.47669482398154245
IFITM3,36,black,black,0,0.9200349575534407,-0.61017366399443,-0.4953273746002892,0.4995518823794173
RBP4,37,black,black,0,0.9189640437385206,-0.8343311498682732,-0.8255873810474788,0.7559618717552337
C8A,36,black,black,0,0.9186334057345357,-0.814873208889906,-0.5305053166152319,0.409610358009645
SDHC,36,black,black,0,0.9171298305336079,-0.6886796997505619,-0.4150803366560151,0.3608958174052662
PPIB,36,black,black,0,0.916228310421368,-0.6439051287339581,-0.40239819897053036,0.37089780104957887
C5,36,black,black,0,0.9148422183981119,-0.7117832196629988,-0.3428977059165289,0.23760288993770706
ITIH1,36,black,black,0,0.9146662014754098,-0.6675486415964338,-0.5528039745134977,0.5189072767626505
PDIA6,36,black,black,0,0.9141892465109089,-0.6463556484845219,-0.3190516322696566,0.2687510351088526
